,UNM US Equity,UNM US Equity,UNM US Equity,UNM US Equity,UNM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,23.276,23.5396,23.1721,23.4677,1434376.0
2019-01-02,22.9485,24.2265,22.9485,24.0028,3202145.0
2019-01-03,23.883,24.4501,23.6514,23.867,2331233.0
2019-01-04,24.3942,25.0812,24.3862,25.0332,2171063.0
2019-01-05,24.3942,25.0812,24.3862,25.0332,2171063.0
2019-01-06,24.3942,25.0812,24.3862,25.0332,2171063.0
2019-01-07,24.9134,25.3448,24.5779,25.1051,1456256.0
2019-01-08,25.3927,25.6323,24.8575,25.2489,2285264.0
2019-01-09,25.3607,25.86,25.177,25.8001,1519075.0
2019-01-10,25.7362,25.8879,25.4566,25.7202,1677763.0
2019-01-11,25.5045,26.0397,25.3208,25.856,1746856.0
2019-01-12,25.5045,26.0397,25.3208,25.856,1746856.0
2019-01-13,25.5045,26.0397,25.3208,25.856,1746856.0
2019-01-14,25.6243,26.1914,25.5764,25.9838,1332749.0
2019-01-15,25.9997,26.0716,25.6283,26.0077,1217440.0
2019-01-16,26.2154,26.7466,26.1036,26.5509,1080403.0
2019-01-17,26.3672,26.9651,26.1435,26.8544,1243561.0
2019-01-18,27.0302,27.5933,26.9023,27.5174,2555913.0
2019-01-19,27.0302,27.5933,26.9023,27.5174,2555913.0
2019-01-20,27.0302,27.5933,26.9023,27.5174,2555913.0
2019-01-21,27.0302,27.5933,26.9023,27.5174,2555913.0
2019-01-22,27.3417,27.4375,27.0541,27.158,1266937.0
2019-01-23,27.2937,27.4295,26.8464,27.102,1296559.0
2019-01-24,27.0381,27.5254,26.9343,27.3097,1080851.0
2019-01-25,27.6719,27.8248,27.4546,27.6639,1409572.0
2019-01-26,27.6719,27.8248,27.4546,27.6639,1409572.0
2019-01-27,27.6719,27.8248,27.4546,27.6639,1409572.0
2019-01-28,27.4143,27.6799,27.2614,27.527,903223.0
2019-01-29,27.4626,27.5753,27.189,27.2292,1201782.0
2019-01-30,27.3017,27.5029,26.7463,27.3017,2853749.0
2019-01-31,27.0843,28.026,27.028,27.9778,4547856.0
2019-02-01,28.0582,28.2031,27.7846,28.026,2021697.0
2019-02-02,28.0582,28.2031,27.7846,28.026,2021697.0
2019-02-03,28.0582,28.2031,27.7846,28.026,2021697.0
2019-02-04,28.01,28.0582,27.7524,27.9697,3286929.0
2019-02-05,28.0421,28.0985,27.6799,27.9214,2308184.0
2019-02-06,28.348,29.7083,27.3419,29.3863,4484427.0
2019-02-07,29.0885,29.173,27.9214,28.4043,2370497.0
2019-02-08,28.1548,28.517,27.5029,28.2273,1549931.0
2019-02-09,28.1548,28.517,27.5029,28.2273,1549931.0
2019-02-10,28.1548,28.517,27.5029,28.2273,1549931.0
2019-02-11,28.3561,28.4607,27.9858,28.2675,1945346.0
2019-02-12,28.6136,29.2092,28.517,29.0,1922523.0
2019-02-13,29.1851,29.3783,28.835,28.847,1649253.0
2019-02-14,28.4446,28.7343,28.2836,28.4848,1178505.0
2019-02-15,28.839,29.2414,28.7694,29.2334,1359989.0
2019-02-16,28.839,29.2414,28.7694,29.2334,1359989.0
2019-02-17,28.839,29.2414,28.7694,29.2334,1359989.0
2019-02-18,28.839,29.2414,28.7694,29.2334,1359989.0
2019-02-19,29.1207,29.7324,29.0724,29.5634,1573423.0
2019-02-20,29.5875,30.0705,29.4587,30.0302,1875011.0
2019-02-21,30.0785,30.2878,29.7083,29.8612,1270232.0
2019-02-22,29.9658,30.1509,29.7968,29.998,1053860.0
2019-02-23,29.9658,30.1509,29.7968,29.998,1053860.0
2019-02-24,29.9658,30.1509,29.7968,29.998,1053860.0
2019-02-25,30.2636,30.497,29.99,30.1348,1671655.0
2019-02-26,30.0383,30.5856,30.0302,30.1509,1538229.0
2019-02-27,30.0544,30.2234,29.9819,30.1268,1414805.0
2019-02-28,30.0544,30.2636,29.9256,30.0705,2095015.0
2019-03-01,30.4085,30.819,30.0866,30.32,1314044.0
2019-03-02,30.4085,30.819,30.0866,30.32,1314044.0
2019-03-03,30.4085,30.819,30.0866,30.32,1314044.0
2019-03-04,30.3602,30.5212,29.7485,29.9175,2547297.0
2019-03-05,29.9014,29.998,29.3622,29.837,1636544.0
2019-03-06,29.7324,29.9256,29.169,29.2092,1557751.0
2019-03-07,29.0241,29.0764,28.5653,29.0402,1611010.0
2019-03-08,28.7102,29.0161,28.5734,29.0,1225874.0
2019-03-09,28.7102,29.0161,28.5734,29.0,1225874.0
2019-03-10,28.7102,29.0161,28.5734,29.0,1225874.0
2019-03-11,29.1529,29.2897,28.9275,29.0804,1541170.0
2019-03-12,29.1529,29.3622,29.0241,29.1046,1843443.0
2019-03-13,29.3219,29.3944,29.0564,29.0965,2029514.0
2019-03-14,29.0965,29.2656,29.0,29.1207,1547394.0
2019-03-15,29.0402,29.5272,29.0402,29.2817,3618191.0
2019-03-16,29.0402,29.5272,29.0402,29.2817,3618191.0
2019-03-17,29.0402,29.5272,29.0402,29.2817,3618191.0
2019-03-18,29.4265,29.829,29.3219,29.5956,2061436.0
2019-03-19,29.829,29.9336,29.1529,29.2012,2371488.0
2019-03-20,29.1609,29.2414,27.7846,27.8007,3100365.0
2019-03-21,27.688,27.9939,27.189,27.8651,1952174.0
2019-03-22,27.4626,27.5914,26.6096,26.859,2178989.0
2019-03-23,27.4626,27.5914,26.6096,26.859,2178989.0
2019-03-24,27.4626,27.5914,26.6096,26.859,2178989.0
2019-03-25,26.9073,27.1568,26.6095,26.7865,1739527.0
