,HON US Equity,HON US Equity,HON US Equity,HON US Equity,HON US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,117.4766,118.0124,116.5033,117.9767,2199898.0
2019-01-02,116.2533,117.9499,115.6371,117.7177,2756347.0
2019-01-03,117.9588,118.7446,115.2532,116.1461,3183974.0
2019-01-04,118.4231,120.5841,117.9119,120.209,3583572.0
2019-01-05,118.4231,120.5841,117.9119,120.209,3583572.0
2019-01-06,118.4231,120.5841,117.9119,120.209,3583572.0
2019-01-07,119.959,121.4413,118.8964,120.8787,2944574.0
2019-01-08,121.4949,122.2271,119.9412,120.6287,2636179.0
2019-01-09,121.6199,122.1021,120.6076,121.1913,1993192.0
2019-01-10,120.7448,123.1736,120.2537,123.004,2149743.0
2019-01-11,122.111,123.004,121.8074,122.6557,1890355.0
2019-01-12,122.111,123.004,121.8074,122.6557,1890355.0
2019-01-13,122.111,123.004,121.8074,122.6557,1890355.0
2019-01-14,121.7449,123.2627,121.4234,122.879,3100638.0
2019-01-15,122.7182,123.3612,121.9235,123.0218,1841881.0
2019-01-16,122.7986,123.8523,122.5575,123.2451,2247292.0
2019-01-17,122.6111,125.5757,122.5039,124.906,2577361.0
2019-01-18,126.6026,127.2589,125.3346,126.6651,5421632.0
2019-01-19,126.6026,127.2589,125.3346,126.6651,5421632.0
2019-01-20,126.6026,127.2589,125.3346,126.6651,5421632.0
2019-01-21,126.6026,127.2589,125.3346,126.6651,5421632.0
2019-01-22,125.8703,126.04,123.8523,124.8524,3196454.0
2019-01-23,125.7453,126.1695,124.3255,125.6739,2966263.0
2019-01-24,125.8078,126.799,125.4239,126.0668,2707213.0
2019-01-25,127.2455,127.4241,126.2811,126.5401,3207326.0
2019-01-26,127.2455,127.4241,126.2811,126.5401,3207326.0
2019-01-27,127.2455,127.4241,126.2811,126.5401,3207326.0
2019-01-28,125.3078,125.7185,124.0041,125.4417,3478329.0
2019-01-29,125.7721,126.9821,125.4596,126.5668,2424691.0
2019-01-30,127.2098,128.3617,125.8525,127.942,3112772.0
2019-01-31,127.5134,128.6385,127.0223,128.2545,3473563.0
2019-02-01,132.7818,133.0497,128.8885,129.2189,5536461.0
2019-02-02,132.7818,133.0497,128.8885,129.2189,5536461.0
2019-02-03,132.7818,133.0497,128.8885,129.2189,5536461.0
2019-02-04,129.0135,132.1656,128.9778,132.0942,4692787.0
2019-02-05,132.5139,132.7729,131.6299,132.7729,2962876.0
2019-02-06,133.0407,133.4872,132.4144,132.9604,3147242.0
2019-02-07,131.862,132.9604,131.487,132.2907,2962010.0
2019-02-08,132.1389,132.7282,131.4334,132.7014,3952141.0
2019-02-09,132.1389,132.7282,131.4334,132.7014,3952141.0
2019-02-10,132.1389,132.7282,131.4334,132.7014,3952141.0
2019-02-11,133.0407,133.3354,132.2014,132.5853,2977816.0
2019-02-12,133.2283,134.398,133.014,134.2641,2655170.0
2019-02-13,134.8266,136.3357,134.5498,135.2642,2760130.0
2019-02-14,134.7731,135.4071,133.9071,134.407,2110746.0
2019-02-15,135.7285,136.9072,135.3624,136.9072,3039428.0
2019-02-16,135.7285,136.9072,135.3624,136.9072,3039428.0
2019-02-17,135.7285,136.9072,135.3624,136.9072,3039428.0
2019-02-18,135.7285,136.9072,135.3624,136.9072,3039428.0
2019-02-19,136.2732,137.2912,136.0768,136.8715,2479800.0
2019-02-20,136.9161,138.26,136.6304,138.0323,2622435.0
2019-02-21,137.8349,138.0234,136.5242,137.0,2706429.0
2019-02-22,137.5745,137.8887,136.7935,137.5297,2868464.0
2019-02-23,137.5745,137.8887,136.7935,137.5297,2868464.0
2019-02-24,137.5745,137.8887,136.7935,137.5297,2868464.0
2019-02-25,138.4274,138.8583,138.0054,138.3017,2312501.0
2019-02-26,138.1491,138.975,137.9067,138.176,1986327.0
2019-02-27,138.1221,138.9121,137.4489,138.7865,1751422.0
2019-02-28,138.3286,138.7595,137.7182,138.3107,2843883.0
2019-03-01,139.1366,139.9131,138.8224,139.7919,3385361.0
2019-03-02,139.1366,139.9131,138.8224,139.7919,3385361.0
2019-03-03,139.1366,139.9131,138.8224,139.7919,3385361.0
2019-03-04,140.7524,140.923,138.2299,138.6967,4068387.0
2019-03-05,138.7057,139.3161,137.8977,138.3825,3381931.0
2019-03-06,138.3376,139.1635,138.0054,138.0144,3929374.0
2019-03-07,137.8618,138.0997,136.1292,136.8833,3579552.0
2019-03-08,135.7971,136.2818,134.9981,136.0843,2920740.0
2019-03-09,135.7971,136.2818,134.9981,136.0843,2920740.0
2019-03-10,135.7971,136.2818,134.9981,136.0843,2920740.0
2019-03-11,135.5547,137.5566,135.1507,137.5207,2792821.0
2019-03-12,137.8618,138.5757,137.1706,137.799,1822035.0
2019-03-13,138.5171,139.5405,138.1132,139.1814,2533938.0
2019-03-14,139.4597,139.7111,138.58,139.37,2657991.0
2019-03-15,139.2802,140.0522,139.1725,139.4597,5287296.0
2019-03-16,139.2802,140.0522,139.1725,139.4597,5287296.0
2019-03-17,139.2802,140.0522,139.1725,139.4597,5287296.0
2019-03-18,139.6393,141.0218,139.0558,140.8781,2395883.0
2019-03-19,141.4975,141.9823,140.6357,141.1564,2694586.0
2019-03-20,141.1115,141.5514,139.7291,140.3036,2373746.0
2019-03-21,140.3754,142.6556,140.133,142.2427,1951860.0
2019-03-22,141.4796,141.6861,139.7021,139.8906,2430974.0
2019-03-23,141.4796,141.6861,139.7021,139.8906,2430974.0
2019-03-24,141.4796,141.6861,139.7021,139.8906,2430974.0
2019-03-25,139.9804,141.1474,139.6931,139.9804,2048543.0
2019-03-26,140.8243,141.7219,140.5639,141.3719,2214385.0
2019-03-27,141.2372,142.099,140.2228,141.0397,2764652.0
2019-03-28,141.4975,142.4401,140.9499,142.3234,2179154.0
2019-03-29,142.907,143.1763,141.8207,142.6646,2704653.0
2019-03-30,142.907,143.1763,141.8207,142.6646,2704653.0
2019-03-31,142.907,143.1763,141.8207,142.6646,2704653.0
2019-04-01,143.6341,145.2231,143.4187,144.9537,2393566.0
2019-04-02,144.8191,145.0256,143.5084,144.5677,3332685.0
2019-04-03,145.0974,145.3846,143.7777,143.8944,3815227.0
2019-04-04,143.8675,144.846,143.4456,144.5947,1967290.0
2019-04-05,145.0884,145.5911,144.6934,145.1602,1745172.0
2019-04-06,145.0884,145.5911,144.6934,145.1602,1745172.0
2019-04-07,145.0884,145.5911,144.6934,145.1602,1745172.0
2019-04-08,144.7114,145.5193,144.1278,145.4834,1854106.0
2019-04-09,144.6934,145.0076,144.1279,144.3972,1932490.0
2019-04-10,144.3523,144.3523,142.9249,143.6072,2381043.0
2019-04-11,143.7957,144.5767,143.3468,144.442,1756192.0
2019-04-12,145.3487,145.9951,144.8909,145.8515,2118890.0
2019-04-13,145.3487,145.9951,144.8909,145.8515,2118890.0
2019-04-14,145.3487,145.9951,144.8909,145.8515,2118890.0
2019-04-15,146.1028,146.2105,145.241,145.4295,2392898.0
2019-04-16,145.9502,146.2554,145.5462,146.2016,3007355.0
2019-04-17,146.6055,147.8085,146.022,146.2285,3416367.0
2019-04-18,150.3849,152.4856,148.9216,151.7674,6376881.0
2019-04-19,150.3849,152.4856,148.9216,151.7674,6376881.0
2019-04-20,150.3849,152.4856,148.9216,151.7674,6376881.0
2019-04-21,150.3849,152.4856,148.9216,151.7674,6376881.0
2019-04-22,151.0402,152.0906,150.3679,151.0313,3264741.0
2019-04-23,151.0402,154.4067,150.8248,154.2361,4169445.0
2019-04-24,154.2002,154.5054,153.5538,153.7693,3825218.0
2019-04-25,153.2396,153.4641,151.3724,152.9883,3340329.0
2019-04-26,152.7549,154.667,152.6112,154.6311,2703263.0
2019-04-27,152.7549,154.667,152.6112,154.6311,2703263.0
2019-04-28,152.7549,154.667,152.6112,154.6311,2703263.0
2019-04-29,154.3169,155.4121,154.2002,154.9004,2943204.0
