,CW US Equity,CW US Equity,CW US Equity,CW US Equity,CW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,138.4957,139.219,137.5574,137.7138,146966.0
2020-01-02,138.1341,139.9521,137.5671,139.8837,170729.0
2020-01-03,138.789,140.2747,137.9288,140.1867,125275.0
2020-01-04,138.789,140.2747,137.9288,140.1867,125275.0
2020-01-05,138.789,140.2747,137.9288,140.1867,125275.0
2020-01-06,139.2386,140.3333,138.3687,140.304,260413.0
2020-01-07,140.5582,142.3176,139.7615,141.9755,230101.0
2020-01-08,142.2883,142.8552,140.9589,141.7409,143608.0
2020-01-09,142.6206,143.6762,141.7311,142.7672,209549.0
2020-01-10,142.8161,142.9138,140.2747,140.4897,114668.0
2020-01-11,142.8161,142.9138,140.2747,140.4897,114668.0
2020-01-12,142.8161,142.9138,140.2747,140.4897,114668.0
2020-01-13,140.8807,142.1612,140.2387,142.1612,136638.0
2020-01-14,141.8875,142.4691,140.783,141.7604,114846.0
2020-01-15,143.1973,145.2499,142.7477,144.0868,179696.0
2020-01-16,145.2499,146.5206,144.9176,145.7191,183460.0
2020-01-17,145.5725,145.9342,144.6732,145.3184,168193.0
2020-01-18,145.5725,145.9342,144.6732,145.3184,168193.0
2020-01-19,145.5725,145.9342,144.6732,145.3184,168193.0
2020-01-20,145.5725,145.9342,144.6732,145.3184,168193.0
2020-01-21,144.9958,145.3868,143.7349,144.5853,152677.0
2020-01-22,144.5853,145.3819,143.5394,144.1063,161892.0
2020-01-23,143.8913,144.9274,143.0702,144.6146,154603.0
2020-01-24,144.9078,145.3086,143.4123,144.165,175483.0
2020-01-25,144.9078,145.3086,143.4123,144.165,175483.0
2020-01-26,144.9078,145.3086,143.4123,144.165,175483.0
2020-01-27,142.298,144.4875,141.6529,143.5296,308856.0
2020-01-28,143.9988,145.5921,143.3635,145.2793,176555.0
2020-01-29,145.9048,146.2176,144.4631,145.289,152080.0
2020-01-30,144.3507,145.5921,143.4416,145.289,132298.0
2020-01-31,144.7123,144.7123,141.7995,142.1514,181325.0
2020-02-01,144.7123,144.7123,141.7995,142.1514,181325.0
2020-02-02,144.7123,144.7123,141.7995,142.1514,181325.0
2020-02-03,142.7477,143.9988,141.7311,142.0732,197500.0
2020-02-04,143.5198,145.0545,143.3439,144.2823,178532.0
2020-02-05,145.4063,146.1394,144.1454,145.8853,184826.0
2020-02-06,146.0221,146.0221,143.7838,144.9274,237240.0
2020-02-07,144.5071,144.7905,143.6958,143.9988,84477.0
2020-02-08,144.5071,144.7905,143.6958,143.9988,84477.0
2020-02-09,144.5071,144.7905,143.6958,143.9988,84477.0
2020-02-10,143.8326,144.1747,143.4074,144.077,131257.0
2020-02-11,144.9469,145.4943,144.1992,144.8687,141917.0
2020-02-12,145.4552,145.5139,144.4582,145.3868,117606.0
2020-02-13,144.6439,145.118,144.3409,144.7612,281304.0
2020-02-14,145.074,145.074,143.0995,143.2364,101766.0
2020-02-15,145.074,145.074,143.0995,143.2364,101766.0
2020-02-16,145.074,145.074,143.0995,143.2364,101766.0
2020-02-17,145.074,145.074,143.0995,143.2364,101766.0
2020-02-18,142.689,143.7153,141.8288,142.7574,242393.0
2020-02-19,143.4319,144.3311,143.1191,143.1582,185463.0
2020-02-20,142.5326,143.3048,140.7634,141.5258,149933.0
2020-02-21,140.91,141.9559,139.9717,141.4379,584644.0
2020-02-22,140.91,141.9559,139.9717,141.4379,584644.0
2020-02-23,140.91,141.9559,139.9717,141.4379,584644.0
2020-02-24,138.31,138.8329,136.6874,137.2739,215804.0
2020-02-25,137.3619,137.3619,130.0603,130.5001,234939.0
2020-02-26,131.9565,132.8216,127.5971,127.6557,263917.0
2020-02-27,124.8798,125.6031,120.0023,120.2857,385260.0
2020-02-28,116.9037,118.5654,114.2841,117.2361,404170.0
2020-02-29,116.9037,118.5654,114.2841,117.2361,404170.0
2020-03-01,116.9037,118.5654,114.2841,117.2361,404170.0
2020-03-02,117.715,123.5504,116.2391,123.4625,354819.0
2020-03-03,123.697,126.7174,121.4196,122.0549,439162.0
2020-03-04,124.7429,126.4632,122.4263,125.9647,517373.0
2020-03-05,121.1948,123.7557,119.8752,120.4519,460789.0
2020-03-06,116.415,120.1391,116.283,118.9759,305212.0
2020-03-07,116.415,120.1391,116.283,118.9759,305212.0
2020-03-08,116.415,120.1391,116.283,118.9759,305212.0
2020-03-09,109.6705,110.0615,104.8419,106.6209,324889.0
2020-03-10,109.6999,110.2277,103.4833,109.1134,475765.0
2020-03-11,105.7607,106.9434,100.4922,101.7629,363431.0
2020-03-12,93.3666,94.9892,83.4747,83.5432,592037.0
2020-03-13,89.3004,94.5884,84.5304,94.2463,655674.0
2020-03-14,89.3004,94.5884,84.5304,94.2463,655674.0
2020-03-15,89.3004,94.5884,84.5304,94.2463,655674.0
2020-03-16,84.8627,87.3846,81.0213,81.1875,464646.0
2020-03-17,82.5071,87.0229,78.9589,82.5364,571890.0
2020-03-18,76.9746,79.086,68.9693,78.998,636311.0
2020-03-19,78.4017,83.0251,73.5047,80.7085,659117.0
2020-03-20,81.0506,86.021,75.0784,76.2416,618145.0
2020-03-21,81.0506,86.021,75.0784,76.2416,618145.0
2020-03-22,81.0506,86.021,75.0784,76.2416,618145.0
