,EVR US Equity,EVR US Equity,EVR US Equity,EVR US Equity,EVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,62.126,62.9174,61.444,62.572,358437.0
2019-01-02,61.3041,64.9066,61.1904,64.5656,725137.0
2019-01-03,64.1634,66.0958,63.7699,64.417,790355.0
2019-01-04,65.405,67.2063,65.2301,66.839,607866.0
2019-01-05,65.405,67.2063,65.2301,66.839,607866.0
2019-01-06,65.405,67.2063,65.2301,66.839,607866.0
2019-01-07,65.099,66.6816,63.9623,65.5886,783743.0
2019-01-08,66.8915,67.8446,65.4837,67.4599,771328.0
2019-01-09,67.7921,69.2436,67.7834,69.1912,390373.0
2019-01-10,68.8764,70.2754,68.1331,69.9869,413523.0
2019-01-11,69.6021,71.3247,69.3835,71.0799,560368.0
2019-01-12,69.6021,71.3247,69.3835,71.0799,560368.0
2019-01-13,69.6021,71.3247,69.3835,71.0799,560368.0
2019-01-14,70.494,71.3728,69.5847,70.529,916807.0
2019-01-15,70.8438,71.1411,69.2961,71.0187,335786.0
2019-01-16,71.9193,73.5981,71.8931,73.2047,305482.0
2019-01-17,72.68,74.2277,72.3609,73.1522,438690.0
2019-01-18,73.8605,75.5874,73.0123,75.3907,602003.0
2019-01-19,73.8605,75.5874,73.0123,75.3907,602003.0
2019-01-20,73.8605,75.5874,73.0123,75.3907,602003.0
2019-01-21,73.8605,75.5874,73.0123,75.3907,602003.0
2019-01-22,74.7611,74.7611,72.1991,72.7237,628823.0
2019-01-23,73.1697,73.3883,71.4384,72.409,414181.0
2019-01-24,72.4439,73.5719,71.8843,73.1347,407459.0
2019-01-25,74.0878,74.6299,73.7774,74.0179,284377.0
2019-01-26,74.0878,74.6299,73.7774,74.0179,284377.0
2019-01-27,74.0878,74.6299,73.7774,74.0179,284377.0
2019-01-28,73.2659,74.866,73.2134,74.4113,421002.0
2019-01-29,74.4376,74.4376,73.0648,73.1085,493084.0
2019-01-30,81.3628,81.7563,76.5055,79.2905,2047592.0
2019-01-31,79.4304,80.7901,77.7778,78.215,1020116.0
2019-02-01,77.9964,79.0631,77.7253,78.5298,754196.0
2019-02-02,77.9964,79.0631,77.7253,78.5298,754196.0
2019-02-03,77.9964,79.0631,77.7253,78.5298,754196.0
2019-02-04,78.6522,78.8602,77.2619,78.3986,459888.0
2019-02-05,78.486,80.4097,78.3942,79.3255,867460.0
2019-02-06,78.2412,79.3867,78.1887,79.0981,602099.0
2019-02-07,78.6959,78.9582,77.0957,78.3986,768113.0
2019-02-08,77.9264,78.6084,76.9383,78.3549,368546.0
2019-02-09,77.9264,78.6084,76.9383,78.3549,368546.0
2019-02-10,77.9264,78.6084,76.9383,78.3549,368546.0
2019-02-11,78.591,79.8064,78.2835,79.7102,464479.0
2019-02-12,79.9813,80.8557,79.0456,79.4391,492059.0
2019-02-13,79.3867,80.2611,78.4685,78.6084,376117.0
2019-02-14,78.0226,78.8358,77.2619,78.3112,417915.0
2019-02-15,79.1681,80.8119,78.486,80.2173,507717.0
2019-02-16,79.1681,80.8119,78.486,80.2173,507717.0
2019-02-17,79.1681,80.8119,78.486,80.2173,507717.0
2019-02-18,79.1681,80.8119,78.486,80.2173,507717.0
2019-02-19,79.5965,80.8119,78.7046,80.3048,360914.0
2019-02-20,79.8851,81.1005,79.5878,80.7944,444086.0
2019-02-21,81.0406,81.1988,79.9241,80.3197,219006.0
2019-02-22,80.3197,81.0933,80.0999,80.645,211667.0
2019-02-23,80.3197,81.0933,80.0999,80.645,211667.0
2019-02-24,80.3197,81.0933,80.0999,80.645,211667.0
2019-02-25,80.9263,82.3066,80.8472,81.656,485999.0
2019-02-26,81.6032,82.6582,81.6032,82.2802,557739.0
2019-02-27,82.4121,82.8604,81.4098,82.3593,348067.0
2019-02-28,82.3417,82.4384,80.8032,80.9703,412499.0
2019-03-01,81.8142,82.7637,81.6912,82.289,246715.0
2019-03-02,81.8142,82.7637,81.6912,82.289,246715.0
2019-03-03,81.8142,82.7637,81.6912,82.289,246715.0
2019-03-04,82.456,83.3176,81.0933,81.6208,373417.0
2019-03-05,81.5241,81.8318,79.757,80.3021,486382.0
2019-03-06,80.39,80.4164,78.2097,78.3592,235335.0
2019-03-07,78.1482,78.3328,76.68,77.8932,361822.0
2019-03-08,76.9965,78.1921,76.4162,77.4448,326510.0
2019-03-09,76.9965,78.1921,76.4162,77.4448,326510.0
2019-03-10,76.9965,78.1921,76.4162,77.4448,326510.0
2019-03-11,78.0339,80.0647,77.436,79.8449,395373.0
2019-03-12,80.0999,81.2428,79.6515,81.0845,456831.0
2019-03-13,81.7351,81.9813,80.9878,81.278,376633.0
2019-03-14,81.067,81.5593,80.3724,80.4252,587701.0
2019-03-15,80.39,80.8208,78.5262,79.0273,807903.0
2019-03-16,80.39,80.8208,78.5262,79.0273,807903.0
2019-03-17,80.39,80.8208,78.5262,79.0273,807903.0
2019-03-18,79.5548,81.4362,79.5548,81.0494,311702.0
2019-03-19,81.7439,82.034,80.7153,80.9263,419215.0
2019-03-20,80.856,81.568,79.968,80.0383,621351.0
2019-03-21,79.6955,80.979,78.9922,80.6801,374679.0
2019-03-22,79.8713,79.8845,76.7855,77.4712,294465.0
2019-03-23,79.8713,79.8845,76.7855,77.4712,294465.0
2019-03-24,79.8713,79.8845,76.7855,77.4712,294465.0
2019-03-25,77.6734,78.6625,77.2954,78.4207,400909.0
2019-03-26,79.124,79.6427,78.5702,79.5109,482252.0
2019-03-27,79.7658,80.8911,79.4669,80.1087,374027.0
2019-03-28,80.4955,81.0889,80.0006,80.4164,398848.0
2019-03-29,80.9527,80.9527,79.1328,80.0032,554675.0
2019-03-30,80.9527,80.9527,79.1328,80.0032,554675.0
2019-03-31,80.9527,80.9527,79.1328,80.0032,554675.0
2019-04-01,80.9351,82.5264,80.8384,82.1132,382622.0
2019-04-02,82.034,82.1395,81.3202,82.0164,237981.0
2019-04-03,82.7813,82.8956,81.4538,81.8142,351051.0
2019-04-04,81.7615,82.7725,81.7351,82.456,351574.0
2019-04-05,82.711,83.089,82.2714,82.6143,310382.0
2019-04-06,82.711,83.089,82.2714,82.6143,310382.0
2019-04-07,82.711,83.089,82.2714,82.6143,310382.0
2019-04-08,81.8494,81.911,79.4933,79.8186,526139.0
2019-04-09,79.3174,80.0559,78.8515,79.0713,300969.0
2019-04-10,79.5372,80.0559,79.2647,79.5284,406294.0
2019-04-11,80.0823,80.7768,79.5988,80.6889,416801.0
2019-04-12,82.0956,83.6693,82.0956,83.3791,504622.0
2019-04-13,82.0956,83.6693,82.0956,83.3791,504622.0
2019-04-14,82.0956,83.6693,82.0956,83.3791,504622.0
2019-04-15,83.089,84.1044,82.3242,82.3681,313964.0
2019-04-16,82.6319,83.6956,82.3066,83.6165,271178.0
2019-04-17,83.8451,83.8865,82.0164,82.9308,395609.0
2019-04-18,83.2209,83.2209,81.4977,82.5703,273827.0
2019-04-19,83.2209,83.2209,81.4977,82.5703,273827.0
2019-04-20,83.2209,83.2209,81.4977,82.5703,273827.0
2019-04-21,83.2209,83.2209,81.4977,82.5703,273827.0
2019-04-22,82.4209,83.3528,81.9461,83.1154,300089.0
2019-04-23,83.3,84.6012,82.3593,84.311,587501.0
2019-04-24,83.4846,83.5638,80.8174,82.7198,1125729.0
2019-04-25,83.6341,85.599,82.7286,85.155,618816.0
2019-04-26,84.7155,85.7001,84.0561,85.0056,524763.0
2019-04-27,84.7155,85.7001,84.0561,85.0056,524763.0
2019-04-28,84.7155,85.7001,84.0561,85.0056,524763.0
2019-04-29,85.5682,86.9485,85.1023,86.1749,344431.0
2019-04-30,86.3595,86.4166,84.4429,85.6562,434504.0
2019-05-01,85.7792,85.8584,83.3264,83.3264,275615.0
2019-05-02,83.4407,84.1088,82.5,83.3703,338502.0
2019-05-03,83.3967,84.0649,83.0978,83.5022,337390.0
2019-05-04,83.3967,84.0649,83.0978,83.5022,337390.0
2019-05-05,83.3967,84.0649,83.0978,83.5022,337390.0
2019-05-06,82.1307,82.5395,80.9966,82.3066,381605.0
2019-05-07,81.3483,81.4977,79.037,79.801,448032.0
2019-05-08,79.4581,80.2318,78.8427,78.9042,321582.0
2019-05-09,78.3416,79.8889,77.7086,79.3262,428207.0
2019-05-10,78.8427,79.6603,78.0339,79.2735,447252.0
2019-05-11,78.8427,79.6603,78.0339,79.2735,447252.0
2019-05-12,78.8427,79.6603,78.0339,79.2735,447252.0
2019-05-13,77.4009,77.7701,75.1415,75.4052,424344.0
2019-05-14,75.4667,77.0141,75.414,76.3019,421293.0
2019-05-15,75.3173,75.4536,74.0689,74.7722,414699.0
2019-05-16,74.737,75.9503,74.6579,75.3964,466440.0
2019-05-17,74.5612,74.6931,72.2666,72.3282,735691.0
2019-05-18,74.5612,74.6931,72.2666,72.3282,735691.0
2019-05-19,74.5612,74.6931,72.2666,72.3282,735691.0
2019-05-20,71.9062,73.1721,71.405,72.7501,601563.0
2019-05-21,73.4359,74.4381,72.9963,73.2073,437337.0
2019-05-22,72.7326,73.0315,72.3897,72.4776,222785.0
2019-05-23,72.671,72.8644,70.6753,71.0622,533755.0
2019-05-24,71.6072,72.3545,71.1852,72.1523,714001.0
2019-05-25,71.6072,72.3545,71.1852,72.1523,714001.0
2019-05-26,71.6072,72.3545,71.1852,72.1523,714001.0
2019-05-27,71.6072,72.3545,71.1852,72.1523,714001.0
2019-05-28,72.3018,72.8117,70.8424,70.8951,324039.0
2019-05-29,70.3325,70.7105,69.6467,70.605,433097.0
2019-05-30,70.6493,71.5171,69.5866,69.7992,367100.0
2019-05-31,68.9667,69.5955,68.2583,68.3911,951497.0
2019-06-01,68.9667,69.5955,68.2583,68.3911,951497.0
2019-06-02,68.9667,69.5955,68.2583,68.3911,951497.0
2019-06-03,68.2494,69.8523,68.1963,69.5069,579859.0
2019-06-04,71.1895,73.5805,70.8618,73.5185,434471.0
2019-06-05,73.9435,74.7937,72.996,74.6785,564862.0
2019-06-06,76.1574,77.7071,75.4667,77.1847,467971.0
2019-06-07,77.7071,78.6989,77.1227,77.8134,322465.0
2019-06-08,77.7071,78.6989,77.1227,77.8134,322465.0
2019-06-09,77.7071,78.6989,77.1227,77.8134,322465.0
2019-06-10,79.062,79.3144,78.2296,78.5838,491440.0
2019-06-11,79.3454,80.045,78.7255,79.1417,271614.0
2019-06-12,79.0709,79.0709,77.2909,78.2119,224397.0
2019-06-13,78.637,79.1329,77.4769,77.9108,242174.0
2019-06-14,77.7425,77.809,76.4674,77.1404,269104.0
2019-06-15,77.7425,77.809,76.4674,77.1404,269104.0
2019-06-16,77.7425,77.809,76.4674,77.1404,269104.0
2019-06-17,76.7684,77.6186,76.0689,76.2725,302032.0
2019-06-18,76.3257,78.3713,76.1751,77.4237,325541.0
2019-06-19,77.8222,78.1588,76.8481,76.9013,324127.0
2019-06-20,77.9374,78.4864,77.1847,77.7957,271820.0
2019-06-21,77.6097,78.5927,77.3529,78.3093,564710.0
2019-06-22,77.6097,78.5927,77.3529,78.3093,564710.0
2019-06-23,77.6097,78.5927,77.3529,78.3093,564710.0
2019-06-24,78.3447,79.0177,77.1669,77.2378,254655.0
2019-06-25,77.3263,77.778,76.1308,77.0695,324871.0
2019-06-26,77.6009,78.5218,77.2378,77.592,271677.0
2019-06-27,78.1056,79.735,77.4326,78.3359,395420.0
2019-06-28,79.0974,80.1601,78.3536,78.4333,975703.0
2019-06-29,79.0974,80.1601,78.3536,78.4333,975703.0
2019-06-30,79.0974,80.1601,78.3536,78.4333,975703.0
2019-07-01,80.1158,80.6914,78.3846,78.7698,356267.0
2019-07-02,78.8052,78.8052,77.7691,78.327,254770.0
2019-07-03,78.7698,79.1949,78.3359,78.9735,127108.0
2019-07-04,78.7698,79.1949,78.3359,78.9735,127108.0
2019-07-05,79.2657,80.1335,78.8672,79.3985,194516.0
2019-07-06,79.2657,80.1335,78.8672,79.3985,194516.0
2019-07-07,79.2657,80.1335,78.8672,79.3985,194516.0
2019-07-08,78.4776,78.4776,76.0777,76.7596,515126.0
2019-07-09,76.0954,77.5876,75.8829,77.4946,326942.0
2019-07-10,77.8045,78.3536,77.0164,77.1138,215252.0
2019-07-11,77.6983,79.0177,77.406,78.8761,258805.0
2019-07-12,79.0355,80.7269,78.938,80.5055,269788.0
2019-07-13,79.0355,80.7269,78.938,80.5055,269788.0
2019-07-14,79.0355,80.7269,78.938,80.5055,269788.0
2019-07-15,80.2309,80.9837,77.9728,78.4687,443633.0
2019-07-16,78.8052,79.8767,78.5661,79.4782,256357.0
2019-07-17,79.434,79.6509,77.4946,77.8134,386066.0
2019-07-18,77.8134,79.0487,77.1935,78.0613,371366.0
2019-07-19,78.0082,79.0709,77.1847,77.2112,524918.0
2019-07-20,78.0082,79.0709,77.1847,77.2112,524918.0
