,PKG US Equity,PKG US Equity,PKG US Equity,PKG US Equity,PKG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,69.766,70.7753,69.4282,70.4924,712734.0
2019-01-02,69.1494,71.8607,69.1494,71.413,974504.0
2019-01-03,70.9316,71.7847,69.7069,70.0109,846732.0
2019-01-04,71.2525,73.3599,71.2441,72.7813,799895.0
2019-01-05,71.2525,73.3599,71.2441,72.7813,799895.0
2019-01-06,71.2525,73.3599,71.2441,72.7813,799895.0
2019-01-07,72.6631,74.2425,72.1394,73.4992,1179222.0
2019-01-08,74.1412,75.4968,73.6344,75.3912,1152365.0
2019-01-09,74.6395,74.6395,72.2306,73.6682,1296057.0
2019-01-10,73.3726,77.0044,73.3726,76.7511,1147294.0
2019-01-11,76.4132,77.2325,76.2105,76.9622,599864.0
2019-01-12,76.4132,77.2325,76.2105,76.9622,599864.0
2019-01-13,76.4132,77.2325,76.2105,76.9622,599864.0
2019-01-14,76.4892,76.7004,75.1378,75.3152,893554.0
2019-01-15,75.1885,76.2443,75.1885,75.7966,441478.0
2019-01-16,75.6784,76.5568,75.1378,75.3828,982783.0
2019-01-17,74.8084,76.6497,74.7746,76.2105,690766.0
2019-01-18,76.675,78.2291,76.6666,77.621,1032578.0
2019-01-19,76.675,78.2291,76.6666,77.621,1032578.0
2019-01-20,76.675,78.2291,76.6666,77.621,1032578.0
2019-01-21,76.675,78.2291,76.6666,77.621,1032578.0
2019-01-22,77.4352,78.3389,76.9453,77.942,1206038.0
2019-01-23,78.6261,78.8204,76.7342,77.5534,745895.0
2019-01-24,77.5366,78.1447,77.0298,77.9758,692634.0
2019-01-25,79.0062,80.4083,78.8964,79.6143,766089.0
2019-01-26,79.0062,80.4083,78.8964,79.6143,766089.0
2019-01-27,79.0062,80.4083,78.8964,79.6143,766089.0
2019-01-28,78.9724,79.3609,78.0349,78.9048,552906.0
2019-01-29,79.1836,79.5932,78.4319,79.3272,1099196.0
2019-01-30,77.1987,79.8086,75.8642,78.4825,1589840.0
2019-01-31,78.3305,80.2858,77.5788,79.665,1543320.0
2019-02-01,80.1211,80.6025,79.1244,80.3914,998031.0
2019-02-02,80.1211,80.6025,79.1244,80.3914,998031.0
2019-02-03,80.1211,80.6025,79.1244,80.3914,998031.0
2019-02-04,80.3914,80.611,79.0231,79.3441,1170739.0
2019-02-05,79.8086,81.1262,79.3356,81.084,1002656.0
2019-02-06,80.7968,81.8188,80.7936,81.1178,838307.0
2019-02-07,80.4421,80.8433,79.0484,80.1042,633561.0
2019-02-08,79.665,80.3914,78.8204,80.366,690863.0
2019-02-09,79.665,80.3914,78.8204,80.366,690863.0
2019-02-10,79.665,80.3914,78.8204,80.366,690863.0
2019-02-11,80.5688,80.8559,78.8795,79.3272,874407.0
2019-02-12,79.986,82.3087,79.8553,82.0975,886759.0
2019-02-13,82.4354,83.3645,82.4354,82.5536,737008.0
2019-02-14,82.1651,82.9295,82.0637,82.2327,656660.0
2019-02-15,82.9253,83.4489,82.6296,83.1702,574672.0
2019-02-16,82.9253,83.4489,82.6296,83.1702,574672.0
2019-02-17,82.9253,83.4489,82.6296,83.1702,574672.0
2019-02-18,82.9253,83.4489,82.6296,83.1702,574672.0
2019-02-19,82.8915,83.4912,82.3087,83.1449,861970.0
2019-02-20,82.9928,85.2564,82.7183,85.0706,893749.0
2019-02-21,84.6314,84.775,82.6972,82.9844,1026916.0
2019-02-22,83.601,84.0402,82.6128,83.0182,523759.0
2019-02-23,83.601,84.0402,82.6128,83.0182,523759.0
2019-02-24,83.601,84.0402,82.6128,83.0182,523759.0
2019-02-25,83.6601,84.8003,83.2234,84.0486,776493.0
2019-02-26,84.0064,85.1297,83.7957,84.1162,685028.0
2019-02-27,84.074,84.1838,83.1871,83.6601,503413.0
2019-02-28,83.5418,83.5587,80.6025,80.7377,1091783.0
2019-03-01,81.3036,82.1313,80.9235,81.236,786895.0
2019-03-02,81.3036,82.1313,80.9235,81.236,786895.0
2019-03-03,81.3036,82.1313,80.9235,81.236,786895.0
2019-03-04,81.8019,83.1026,81.2867,83.0604,1321138.0
2019-03-05,82.8577,84.1246,82.8324,83.6854,1068311.0
2019-03-06,83.8712,84.3358,83.432,83.6601,1010639.0
2019-03-07,83.432,83.5967,81.4556,82.4692,733174.0
2019-03-08,81.7597,82.3509,81.1853,82.2665,617670.0
2019-03-09,81.7597,82.3509,81.1853,82.2665,617670.0
2019-03-10,81.7597,82.3509,81.1853,82.2665,617670.0
2019-03-11,82.334,83.1111,82.2665,82.5959,1165912.0
2019-03-12,82.6465,84.2513,82.5959,83.7868,1284211.0
2019-03-13,84.226,86.0166,84.1331,85.3578,1139448.0
2019-03-14,85.5451,85.8004,83.6212,84.0638,754566.0
2019-03-15,83.4424,83.7999,81.5781,81.876,2393399.0
2019-03-16,83.4424,83.7999,81.5781,81.876,2393399.0
2019-03-17,83.4424,83.7999,81.5781,81.876,2393399.0
2019-03-18,81.7654,83.0849,81.6121,83.0508,1171803.0
