,CAC US Equity,CAC US Equity,CAC US Equity,CAC US Equity,CAC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,38.6213,38.8132,38.346,38.4294,40407.0
2020-01-02,38.6297,38.6297,37.8537,38.4211,52405.0
2020-01-03,38.0373,38.5129,37.762,38.2292,54327.0
2020-01-04,38.0373,38.5129,37.762,38.2292,54327.0
2020-01-05,38.0373,38.5129,37.762,38.2292,54327.0
2020-01-06,38.0039,38.2667,37.563,38.0873,36449.0
2020-01-07,37.9038,38.0623,37.6118,37.9121,58420.0
2020-01-08,37.9539,38.5487,37.6201,38.3794,44336.0
2020-01-09,38.5045,38.5379,37.9455,38.0456,40365.0
2020-01-10,38.0123,38.1791,37.787,38.0623,38944.0
2020-01-11,38.0123,38.1791,37.787,38.0623,38944.0
2020-01-12,38.0123,38.1791,37.787,38.0623,38944.0
2020-01-13,38.104,39.1469,37.6562,38.9217,76650.0
2020-01-14,38.8713,38.9217,38.4914,38.8293,60067.0
2020-01-15,38.7032,38.8713,38.4931,38.7872,56102.0
2020-01-16,38.9805,39.325,38.8124,39.2326,30292.0
2020-01-17,39.4258,39.4258,39.0141,39.1486,47091.0
2020-01-18,39.4258,39.4258,39.0141,39.1486,47091.0
2020-01-19,39.4258,39.4258,39.0141,39.1486,47091.0
2020-01-20,39.4258,39.4258,39.0141,39.1486,47091.0
2020-01-21,38.9973,39.0729,38.678,38.8881,44442.0
2020-01-22,38.9469,39.0645,38.804,38.9385,37232.0
2020-01-23,38.8293,38.9469,38.6654,38.9133,59584.0
2020-01-24,38.8124,38.9553,38.6528,38.8293,41765.0
2020-01-25,38.8124,38.9553,38.6528,38.8293,41765.0
2020-01-26,38.8124,38.9553,38.6528,38.8293,41765.0
2020-01-27,38.4007,38.8797,38.3587,38.7116,32417.0
2020-01-28,39.367,39.6275,39.1906,39.3838,48443.0
2020-01-29,39.4847,39.7704,39.2662,39.6191,56001.0
2020-01-30,39.4427,40.1149,39.4427,40.0056,73036.0
2020-01-31,39.8292,39.9888,39.5876,39.7115,92217.0
2020-02-01,39.8292,39.9888,39.5876,39.7115,92217.0
2020-02-02,39.8292,39.9888,39.5876,39.7115,92217.0
2020-02-03,39.6191,40.2073,39.6191,39.9888,78975.0
2020-02-04,40.3333,40.3333,39.8964,40.1737,48877.0
2020-02-05,40.1989,40.5266,40.1989,40.4678,122924.0
2020-02-06,40.5434,40.7367,40.0561,40.1149,77144.0
2020-02-07,39.888,40.2577,39.8208,39.972,33681.0
2020-02-08,39.888,40.2577,39.8208,39.972,33681.0
2020-02-09,39.888,40.2577,39.8208,39.972,33681.0
2020-02-10,39.9552,40.0645,39.5183,39.7283,31347.0
2020-02-11,39.9384,40.1149,39.6947,39.7199,35860.0
2020-02-12,39.9468,39.972,39.5435,39.804,34432.0
2020-02-13,39.804,40.0729,39.4931,40.0729,26515.0
2020-02-14,39.9384,40.1233,39.4847,39.5351,34139.0
2020-02-15,39.9384,40.1233,39.4847,39.5351,34139.0
2020-02-16,39.9384,40.1233,39.4847,39.5351,34139.0
2020-02-17,39.9384,40.1233,39.4847,39.5351,34139.0
2020-02-18,39.4427,39.846,39.0897,39.3334,34520.0
2020-02-19,39.3586,39.8208,39.2914,39.6443,32692.0
2020-02-20,39.5939,39.93,39.2494,39.6863,23471.0
2020-02-21,39.7031,39.7031,39.2326,39.6023,32053.0
2020-02-22,39.7031,39.7031,39.2326,39.6023,32053.0
2020-02-23,39.7031,39.7031,39.2326,39.6023,32053.0
2020-02-24,38.8461,38.9217,38.2747,38.3503,31509.0
2020-02-25,38.3335,38.5688,37.3588,37.4512,53799.0
2020-02-26,37.6192,38.1066,37.2243,37.2831,34393.0
2020-02-27,36.7622,37.3748,34.9472,36.0815,71320.0
2020-02-28,35.2413,35.7286,33.4599,34.4598,110348.0
2020-02-29,35.2413,35.7286,33.4599,34.4598,110348.0
2020-03-01,35.2413,35.7286,33.4599,34.4598,110348.0
2020-03-02,34.4178,36.4429,34.1321,36.4429,55630.0
2020-03-03,36.1992,36.2496,35.0312,35.1908,126199.0
2020-03-04,35.6194,35.6194,34.7203,35.2917,77106.0
2020-03-05,34.7791,34.7959,33.4053,34.0733,60598.0
2020-03-06,32.7961,33.712,32.1911,33.0313,58681.0
2020-03-07,32.7961,33.712,32.1911,33.0313,58681.0
2020-03-08,32.7961,33.712,32.1911,33.0313,58681.0
2020-03-09,31.0651,31.9894,29.3425,29.4601,46966.0
2020-03-10,30.334,30.6449,29.4097,29.8215,81881.0
