,TILE US Equity,TILE US Equity,TILE US Equity,TILE US Equity,TILE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,13.6763,13.7134,13.3023,13.6667,259097.0
2019-01-02,13.5037,14.0791,13.4845,13.964,417867.0
2019-01-03,13.8969,13.9544,13.542,13.6283,278627.0
2019-01-04,13.7626,14.1942,13.5324,14.0791,868896.0
2019-01-05,13.7626,14.1942,13.5324,14.0791,868896.0
2019-01-06,13.7626,14.1942,13.5324,14.0791,868896.0
2019-01-07,14.1079,14.4915,13.964,14.3381,539735.0
2019-01-08,14.434,14.7121,14.3572,14.5491,677819.0
2019-01-09,14.5778,14.9183,14.5011,14.7505,490281.0
2019-01-10,14.7313,14.9615,14.3668,14.9231,528695.0
2019-01-11,14.8464,15.0286,14.6066,14.9806,294960.0
2019-01-12,14.8464,15.0286,14.6066,14.9806,294960.0
2019-01-13,14.8464,15.0286,14.6066,14.9806,294960.0
2019-01-14,14.8751,15.2779,14.8176,14.9902,337779.0
2019-01-15,15.0094,15.0094,14.6354,14.7025,244467.0
2019-01-16,14.7409,15.0286,14.5682,14.7121,618073.0
2019-01-17,14.6737,14.9615,14.5299,14.9519,493518.0
2019-01-18,15.019,15.6232,14.9902,15.5369,389801.0
2019-01-19,15.019,15.6232,14.9902,15.5369,389801.0
2019-01-20,15.019,15.6232,14.9902,15.5369,389801.0
2019-01-21,15.019,15.6232,14.9902,15.5369,389801.0
2019-01-22,15.4793,15.5657,15.2684,15.3547,341974.0
2019-01-23,15.3834,15.4985,15.0094,15.0286,197424.0
2019-01-24,15.0861,15.2156,14.9327,15.182,213565.0
2019-01-25,15.2779,15.4889,15.2204,15.2971,210995.0
2019-01-26,15.2779,15.4889,15.2204,15.2971,210995.0
2019-01-27,15.2779,15.4889,15.2204,15.2971,210995.0
2019-01-28,15.182,15.3547,14.9806,15.3547,247724.0
2019-01-29,15.3067,15.4602,15.2684,15.4026,314035.0
2019-01-30,15.5273,15.5273,15.1053,15.3163,269950.0
2019-01-31,15.3451,15.7767,15.2684,15.7383,493895.0
2019-02-01,15.7863,15.9877,15.7167,15.7958,222842.0
2019-02-02,15.7863,15.9877,15.7167,15.7958,222842.0
2019-02-03,15.7863,15.9877,15.7167,15.7958,222842.0
2019-02-04,15.7958,15.9013,15.6903,15.9013,233546.0
2019-02-05,15.9493,16.1171,15.8054,15.9205,247737.0
2019-02-06,15.9205,16.0836,15.8074,16.0452,150586.0
2019-02-07,15.8246,15.9685,15.4506,15.6424,301645.0
2019-02-08,15.6136,15.9781,15.4889,15.9301,377074.0
2019-02-09,15.6136,15.9781,15.4889,15.9301,377074.0
2019-02-10,15.6136,15.9781,15.4889,15.9301,377074.0
2019-02-11,15.9781,16.1699,15.6999,16.1507,253483.0
2019-02-12,16.2274,16.472,16.1869,16.4576,189638.0
2019-02-13,16.4864,16.6926,16.4288,16.6015,273314.0
2019-02-14,16.5151,16.7261,16.4288,16.5439,417010.0
2019-02-15,16.6302,16.8604,16.611,16.822,632241.0
2019-02-16,16.6302,16.8604,16.611,16.822,632241.0
2019-02-17,16.6302,16.8604,16.611,16.822,632241.0
2019-02-18,16.6302,16.8604,16.611,16.822,632241.0
2019-02-19,16.8316,17.3112,16.8029,17.0234,511589.0
2019-02-20,15.8822,17.8195,15.8822,17.5893,891382.0
2019-02-21,17.6277,17.7907,17.4358,17.6085,540476.0
2019-02-22,17.7236,18.3949,17.503,18.3661,1056956.0
2019-02-23,17.7236,18.3949,17.503,18.3661,1056956.0
2019-02-24,17.7236,18.3949,17.503,18.3661,1056956.0
2019-02-25,18.462,18.6059,17.8674,17.8674,528218.0
2019-02-26,17.8578,17.9128,17.5126,17.5413,292027.0
2019-02-27,17.5126,17.5605,17.2344,17.3303,294903.0
2019-02-28,17.3016,17.3303,17.0091,17.0234,273805.0
2019-03-01,17.1865,17.3256,16.9851,17.2632,247819.0
2019-03-02,17.1865,17.3256,16.9851,17.2632,247819.0
2019-03-03,17.1865,17.3256,16.9851,17.2632,247819.0
2019-03-04,17.2728,17.3094,16.9755,17.0234,240193.0
2019-03-05,17.0618,17.0618,16.7165,16.7165,198683.0
2019-03-06,16.7549,16.7741,16.3809,16.4001,390187.0
2019-03-07,16.4145,16.4145,15.9042,15.9909,278365.0
2019-03-08,15.9235,16.0583,15.6732,15.9524,287453.0
2019-03-09,15.9235,16.0583,15.6732,15.9524,287453.0
2019-03-10,15.9235,16.0583,15.6732,15.9524,287453.0
2019-03-11,16.0005,16.1546,15.8657,16.1064,447138.0
2019-03-12,16.0968,16.2027,15.9428,15.962,335427.0
2019-03-13,15.9813,16.1353,15.885,15.8946,156372.0
2019-03-14,15.9139,15.9331,15.5673,15.5962,139174.0
2019-03-15,15.6154,15.7791,15.4614,15.5095,500434.0
2019-03-16,15.6154,15.7791,15.4614,15.5095,500434.0
2019-03-17,15.6154,15.7791,15.4614,15.5095,500434.0
2019-03-18,15.5384,15.7021,15.4614,15.6251,248592.0
2019-03-19,15.6443,16.039,15.6443,15.8465,283379.0
2019-03-20,15.7695,15.8369,14.98,15.1148,318502.0
