,FICO US Equity,FICO US Equity,FICO US Equity,FICO US Equity,FICO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,373.36,376.25,371.9,374.68,195128.0
2020-01-02,377.0,383.17,375.25,382.92,145848.0
2020-01-03,378.66,383.38,378.66,381.92,171966.0
2020-01-04,378.66,383.38,378.66,381.92,171966.0
2020-01-05,378.66,383.38,378.66,381.92,171966.0
2020-01-06,377.96,384.0,377.96,384.0,247717.0
2020-01-07,383.01,390.0,381.97,388.49,157425.0
2020-01-08,391.25,395.5,389.14,391.33,200755.0
2020-01-09,396.01,405.0,394.91,401.51,273525.0
2020-01-10,404.42,408.01,402.05,404.01,327459.0
2020-01-11,404.42,408.01,402.05,404.01,327459.0
2020-01-12,404.42,408.01,402.05,404.01,327459.0
2020-01-13,405.05,410.43,405.05,408.92,214442.0
2020-01-14,407.93,408.8,400.09,402.77,214903.0
2020-01-15,404.24,407.59,402.16,403.87,237172.0
2020-01-16,406.95,408.74,403.24,407.84,159072.0
2020-01-17,408.54,408.54,402.2,404.97,202182.0
2020-01-18,408.54,408.54,402.2,404.97,202182.0
2020-01-19,408.54,408.54,402.2,404.97,202182.0
2020-01-20,408.54,408.54,402.2,404.97,202182.0
2020-01-21,402.95,410.71,402.95,407.53,189572.0
2020-01-22,410.68,413.26,408.09,410.97,198285.0
2020-01-23,410.61,418.1,409.19,415.08,184270.0
2020-01-24,417.67,420.2,407.13,409.3,144031.0
2020-01-25,417.67,420.2,407.13,409.3,144031.0
2020-01-26,417.67,420.2,407.13,409.3,144031.0
2020-01-27,400.61,406.39,400.04,403.75,173773.0
2020-01-28,404.68,411.02,402.3,408.94,231160.0
2020-01-29,410.65,413.87,408.73,409.35,195862.0
2020-01-30,405.86,411.36,403.95,409.89,244899.0
2020-01-31,397.58,409.61,390.01,402.38,411273.0
2020-02-01,397.58,409.61,390.01,402.38,411273.0
2020-02-02,397.58,409.61,390.01,402.38,411273.0
2020-02-03,405.04,417.88,405.04,415.83,305919.0
2020-02-04,420.02,426.98,417.96,421.58,352961.0
2020-02-05,421.68,422.43,405.76,410.81,235044.0
2020-02-06,412.77,415.0,408.68,413.72,203832.0
2020-02-07,413.41,418.17,410.68,417.6,147808.0
