,TRN US Equity,TRN US Equity,TRN US Equity,TRN US Equity,TRN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.7786,19.007,18.7109,18.7363,1112931.0
2020-01-02,18.9055,18.9393,18.4741,18.7278,1204934.0
2020-01-03,18.398,18.6856,18.3557,18.6517,623351.0
2020-01-04,18.398,18.6856,18.3557,18.6517,623351.0
2020-01-05,18.398,18.6856,18.3557,18.6517,623351.0
2020-01-06,18.491,18.5502,18.3641,18.5248,1104458.0
2020-01-07,18.4741,18.5079,18.0934,18.2119,804661.0
2020-01-08,18.2119,18.3768,18.1357,18.1442,1100407.0
2020-01-09,18.2457,18.3049,17.882,18.0004,1160535.0
2020-01-10,18.0681,18.0681,17.8481,17.9243,1013336.0
2020-01-11,18.0681,18.0681,17.8481,17.9243,1013336.0
2020-01-12,18.0681,18.0681,17.8481,17.9243,1013336.0
2020-01-13,18.0258,18.1188,17.7635,18.085,981378.0
2020-01-14,17.6668,18.1533,17.59,17.957,1228605.0
2020-01-15,17.7692,17.9228,17.5046,17.6668,937450.0
2020-01-16,17.9399,18.3666,17.8972,18.3496,1233493.0
2020-01-17,18.2471,18.3666,17.7607,17.846,1122711.0
2020-01-18,18.2471,18.3666,17.7607,17.846,1122711.0
2020-01-19,18.2471,18.3666,17.7607,17.846,1122711.0
2020-01-20,18.2471,18.3666,17.7607,17.846,1122711.0
2020-01-21,17.7521,17.8289,17.0181,17.4022,1071770.0
2020-01-22,17.59,17.7436,17.3681,17.5217,955615.0
2020-01-23,17.4193,17.8716,17.1888,17.8033,1194269.0
2020-01-24,17.8289,17.9228,17.5217,17.7521,769226.0
2020-01-25,17.8289,17.9228,17.5217,17.7521,769226.0
2020-01-26,17.8289,17.9228,17.5217,17.7521,769226.0
2020-01-27,17.3169,17.9314,17.2571,17.7607,963909.0
2020-01-28,17.8972,17.9996,17.7521,17.8716,554530.0
2020-01-29,17.9655,18.1703,17.9057,17.9228,678827.0
2020-01-30,17.7777,18.0594,17.6838,17.9911,767036.0
2020-01-31,17.8545,17.957,17.3467,17.351,1242413.0
2020-02-01,17.8545,17.957,17.3467,17.351,1242413.0
2020-02-02,17.8545,17.957,17.3467,17.351,1242413.0
2020-02-03,17.479,17.7009,17.351,17.5558,1012465.0
2020-02-04,17.9228,18.2898,17.8161,18.0594,728446.0
2020-02-05,18.3496,18.5202,18.2557,18.4776,683319.0
2020-02-06,18.6227,18.6227,18.1277,18.2215,713180.0
2020-02-07,18.0423,18.0764,17.7692,17.9484,618977.0
2020-02-08,18.0423,18.0764,17.7692,17.9484,618977.0
2020-02-09,18.0423,18.0764,17.7692,17.9484,618977.0
2020-02-10,17.9399,18.3026,17.8887,18.1191,639130.0
2020-02-11,18.2045,18.6056,18.1959,18.452,503563.0
2020-02-12,18.7421,18.964,18.6397,18.7848,1202989.0
2020-02-13,18.6312,18.7848,18.5715,18.7251,808461.0
2020-02-14,18.7421,18.7678,18.2429,18.4434,570607.0
2020-02-15,18.7421,18.7678,18.2429,18.4434,570607.0
2020-02-16,18.7421,18.7678,18.2429,18.4434,570607.0
2020-02-17,18.7421,18.7678,18.2429,18.4434,570607.0
2020-02-18,18.341,18.8147,18.2642,18.8104,767417.0
