,SNA US Equity,SNA US Equity,SNA US Equity,SNA US Equity,SNA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,126.281,127.756,124.746,126.752,657414.0
2019-01-02,124.877,128.855,123.446,128.646,723508.0
2019-01-03,128.41,129.466,124.947,126.901,1736004.0
2019-01-04,129.125,132.458,128.611,131.533,1251385.0
2019-01-05,129.125,132.458,128.611,131.533,1251385.0
2019-01-06,129.125,132.458,128.611,131.533,1251385.0
2019-01-07,131.795,134.377,130.6,133.217,495591.0
2019-01-08,135.145,135.572,133.985,134.918,787462.0
2019-01-09,136.192,138.286,135.834,137.631,657172.0
2019-01-10,137.413,139.747,136.93,139.682,471471.0
2019-01-11,139.01,140.702,138.696,139.873,481693.0
2019-01-12,139.01,140.702,138.696,139.873,481693.0
2019-01-13,139.01,140.702,138.696,139.873,481693.0
2019-01-14,139.463,142.883,138.846,141.444,799025.0
2019-01-15,141.863,142.229,140.065,141.008,614791.0
2019-01-16,141.226,142.342,140.903,141.723,513098.0
2019-01-17,141.714,146.011,141.568,145.021,602261.0
2019-01-18,145.692,147.359,145.239,146.355,677731.0
2019-01-19,145.692,147.359,145.239,146.355,677731.0
2019-01-20,145.692,147.359,145.239,146.355,677731.0
2019-01-21,145.692,147.359,145.239,146.355,677731.0
2019-01-22,144.174,144.174,136.715,141.897,1111324.0
2019-01-23,142.761,143.276,140.475,142.351,768207.0
2019-01-24,142.465,143.66,142.089,142.526,466345.0
2019-01-25,143.904,143.948,141.871,142.395,773009.0
2019-01-26,143.904,143.948,141.871,142.395,773009.0
2019-01-27,143.904,143.948,141.871,142.395,773009.0
2019-01-28,141.243,142.805,139.856,142.081,576998.0
2019-01-29,142.709,143.128,141.191,141.636,727503.0
2019-01-30,142.342,143.66,140.859,143.075,387835.0
2019-01-31,142.726,144.951,141.697,144.811,667491.0
2019-02-01,144.803,145.483,143.354,144.288,427912.0
2019-02-02,144.803,145.483,143.354,144.288,427912.0
2019-02-03,144.803,145.483,143.354,144.288,427912.0
2019-02-04,144.602,145.413,143.878,144.977,512056.0
2019-02-05,144.995,145.3,144.183,144.785,699346.0
2019-02-06,144.489,145.884,143.948,144.462,995570.0
2019-02-07,135.119,135.921,131.08,132.362,1957697.0
2019-02-08,131.804,134.77,131.716,133.549,1013699.0
2019-02-09,131.804,134.77,131.716,133.549,1013699.0
2019-02-10,131.804,134.77,131.716,133.549,1013699.0
2019-02-11,134.386,135.577,133.945,135.433,944878.0
2019-02-12,135.764,136.986,135.503,135.799,681859.0
2019-02-13,135.948,136.541,134.979,135.468,1171754.0
2019-02-14,134.979,137.16,134.604,136.026,675537.0
2019-02-15,136.855,137.684,135.895,137.649,403325.0
2019-02-16,136.855,137.684,135.895,137.649,403325.0
2019-02-17,136.855,137.684,135.895,137.649,403325.0
2019-02-18,136.855,137.684,135.895,137.649,403325.0
2019-02-19,138.443,139.856,136.986,138.827,539759.0
2019-02-20,139.08,139.725,138.007,139.437,785396.0
2019-02-21,139.525,140.728,138.975,140.336,502664.0
2019-02-22,140.862,142.267,140.432,141.591,467113.0
2019-02-23,140.862,142.267,140.432,141.591,467113.0
2019-02-24,140.862,142.267,140.432,141.591,467113.0
2019-02-25,142.705,142.705,141.012,141.126,371995.0
2019-02-26,140.827,142.082,140.257,140.397,608700.0
2019-02-27,140.09,143.048,139.204,142.995,508415.0
2019-02-28,142.907,142.907,139.98,140.415,529660.0
2019-03-01,141.459,141.661,138.783,139.458,754903.0
2019-03-02,141.459,141.661,138.783,139.458,754903.0
2019-03-03,141.459,141.661,138.783,139.458,754903.0
2019-03-04,140.371,142.302,138.862,140.134,811906.0
2019-03-05,140.248,141.784,140.187,140.915,570908.0
2019-03-06,141.213,142.31,140.941,141.187,429123.0
2019-03-07,141.056,141.073,139.66,140.862,503154.0
2019-03-08,139.634,140.288,137.589,138.317,623249.0
2019-03-09,139.634,140.288,137.589,138.317,623249.0
2019-03-10,139.634,140.288,137.589,138.317,623249.0
2019-03-11,137.229,140.406,137.229,140.301,460685.0
2019-03-12,140.608,141.336,139.607,140.652,531776.0
2019-03-13,140.854,141.284,139.362,139.467,616574.0
2019-03-14,139.335,139.722,136.948,137.44,680373.0
2019-03-15,137.264,138.08,136.317,136.624,835942.0
2019-03-16,137.264,138.08,136.317,136.624,835942.0
2019-03-17,137.264,138.08,136.317,136.624,835942.0
2019-03-18,137.168,139.757,137.071,139.493,666547.0
2019-03-19,140.353,140.941,138.695,139.327,568271.0
2019-03-20,138.8,138.879,134.711,136.194,758194.0
2019-03-21,136.29,138.089,136.29,137.387,508537.0
2019-03-22,136.668,136.782,131.455,131.604,514768.0
2019-03-23,136.668,136.782,131.455,131.604,514768.0
2019-03-24,136.668,136.782,131.455,131.604,514768.0
2019-03-25,131.814,133.697,131.613,132.587,495166.0
2019-03-26,133.693,134.754,132.675,133.868,488015.0
2019-03-27,134.105,135.571,133.728,134.816,608996.0
2019-03-28,135.026,136.668,134.614,135.711,351838.0
2019-03-29,136.878,137.721,136.334,137.361,480641.0
2019-03-30,136.878,137.721,136.334,137.361,480641.0
2019-03-31,136.878,137.721,136.334,137.361,480641.0
2019-04-01,138.774,140.441,138.484,139.765,429981.0
2019-04-02,139.686,139.915,138.159,139.555,475379.0
2019-04-03,140.257,140.775,139.098,139.616,747013.0
2019-04-04,140.274,142.284,139.875,141.468,354764.0
2019-04-05,141.889,142.46,141.31,141.477,464340.0
2019-04-06,141.889,142.46,141.31,141.477,464340.0
2019-04-07,141.889,142.46,141.31,141.477,464340.0
2019-04-08,140.854,141.161,139.915,140.45,601159.0
2019-04-09,139.177,139.529,137.554,137.993,736410.0
2019-04-10,136.685,136.685,132.297,134.974,913994.0
2019-04-11,135.193,137.58,135.193,136.255,458424.0
2019-04-12,137.396,138.159,135.72,136.878,487000.0
2019-04-13,137.396,138.159,135.72,136.878,487000.0
2019-04-14,137.396,138.159,135.72,136.878,487000.0
2019-04-15,137.212,138.098,136.94,137.256,607238.0
2019-04-16,135.448,138.484,134.008,137.615,1074468.0
2019-04-17,138.344,138.87,137.273,138.519,1180369.0
2019-04-18,147.436,152.701,146.76,147.497,2511740.0
2019-04-19,147.436,152.701,146.76,147.497,2511740.0
2019-04-20,147.436,152.701,146.76,147.497,2511740.0
2019-04-21,147.436,152.701,146.76,147.497,2511740.0
2019-04-22,146.698,148.19,144.338,147.795,882311.0
2019-04-23,148.655,150.718,147.874,150.253,910266.0
2019-04-24,150.332,151.464,148.699,149.129,599780.0
2019-04-25,148.348,148.48,146.198,147.576,478249.0
2019-04-26,147.436,149.156,146.611,148.989,299621.0
