,MYL US Equity,MYL US Equity,MYL US Equity,MYL US Equity,MYL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.31,27.58,26.98,27.4,3982418.0
2019-01-02,26.91,28.16,26.87,27.92,3768202.0
2019-01-03,27.83,28.18,27.17,27.23,4914939.0
2019-01-04,27.67,28.88,27.55,28.84,5373838.0
2019-01-05,27.67,28.88,27.55,28.84,5373838.0
2019-01-06,27.67,28.88,27.55,28.84,5373838.0
2019-01-07,28.78,30.125,28.65,29.75,5246240.0
2019-01-08,29.99,30.45,29.64,29.87,5093330.0
2019-01-09,29.91,29.99,28.36,28.94,7505347.0
2019-01-10,28.85,29.2,28.63,29.11,3228575.0
2019-01-11,28.89,29.58,28.81,29.55,3606508.0
2019-01-12,28.89,29.58,28.81,29.55,3606508.0
2019-01-13,28.89,29.58,28.81,29.55,3606508.0
2019-01-14,29.24,29.705,29.01,29.51,2644088.0
2019-01-15,29.52,29.75,29.17,29.35,3621932.0
2019-01-16,29.34,29.63,29.17,29.26,3088244.0
2019-01-17,29.12,29.55,28.75,29.55,4706829.0
2019-01-18,29.76,29.94,29.28,29.59,3881045.0
2019-01-19,29.76,29.94,29.28,29.59,3881045.0
2019-01-20,29.76,29.94,29.28,29.59,3881045.0
2019-01-21,29.76,29.94,29.28,29.59,3881045.0
2019-01-22,29.26,29.26,28.35,28.89,5411081.0
2019-01-23,28.45,28.89,28.02,28.06,6422836.0
2019-01-24,28.06,28.45,27.76,28.21,5500868.0
2019-01-25,28.65,29.25,28.49,29.04,6404048.0
2019-01-26,28.65,29.25,28.49,29.04,6404048.0
2019-01-27,28.65,29.25,28.49,29.04,6404048.0
2019-01-28,28.75,28.9,28.39,28.53,3417238.0
2019-01-29,28.46,28.865,28.35,28.77,2735026.0
2019-01-30,28.73,30.94,28.51,30.82,10376794.0
2019-01-31,30.81,30.9899,29.6752,29.95,9747706.0
2019-02-01,30.02,30.84,30.0,30.76,4223210.0
2019-02-02,30.02,30.84,30.0,30.76,4223210.0
2019-02-03,30.02,30.84,30.0,30.76,4223210.0
2019-02-04,30.6,30.84,30.23,30.83,2964053.0
2019-02-05,30.79,31.3027,30.69,31.08,2838125.0
2019-02-06,30.95,31.21,30.83,30.97,2471334.0
2019-02-07,30.85,31.08,30.2299,30.35,3454607.0
2019-02-08,30.18,30.48,29.85,30.47,2512616.0
2019-02-09,30.18,30.48,29.85,30.47,2512616.0
2019-02-10,30.18,30.48,29.85,30.47,2512616.0
2019-02-11,30.53,31.09,30.48,31.04,2904252.0
2019-02-12,31.47,31.83,31.29,31.74,3817492.0
2019-02-13,31.04,32.05,30.72,31.25,5020828.0
2019-02-14,31.23,31.74,31.01,31.52,2987514.0
2019-02-15,31.91,31.91,31.59,31.84,2943977.0
2019-02-16,31.91,31.91,31.59,31.84,2943977.0
2019-02-17,31.91,31.91,31.59,31.84,2943977.0
2019-02-18,31.91,31.91,31.59,31.84,2943977.0
2019-02-19,31.91,32.1,31.71,32.1,2566330.0
2019-02-20,31.96,32.23,31.52,31.62,3233486.0
2019-02-21,31.57,31.74,30.895,31.06,2727298.0
2019-02-22,31.08,31.38,30.98,31.26,4018826.0
2019-02-23,31.08,31.38,30.98,31.26,4018826.0
2019-02-24,31.08,31.38,30.98,31.26,4018826.0
2019-02-25,31.51,31.75,30.9,30.97,4930057.0
2019-02-26,30.99,31.58,30.53,30.62,8246017.0
2019-02-27,27.38,29.06,26.0,26.01,25114692.0
2019-02-28,26.15,26.78,26.05,26.39,11487121.0
2019-03-01,26.58,27.55,26.45,27.45,8121924.0
2019-03-02,26.58,27.55,26.45,27.45,8121924.0
2019-03-03,26.58,27.55,26.45,27.45,8121924.0
2019-03-04,27.38,28.555,27.35,28.08,10434082.0
2019-03-05,28.03,28.24,27.15,27.39,7548739.0
2019-03-06,28.11,28.57,27.05,27.06,7698119.0
2019-03-07,27.03,27.19,26.625,26.82,4374612.0
2019-03-08,26.61,26.86,26.35,26.61,4461500.0
2019-03-09,26.61,26.86,26.35,26.61,4461500.0
2019-03-10,26.61,26.86,26.35,26.61,4461500.0
2019-03-11,26.69,27.365,26.615,27.16,4653127.0
2019-03-12,27.27,27.65,27.235,27.37,4512222.0
2019-03-13,27.47,27.63,27.18,27.47,7292825.0
2019-03-14,27.63,28.545,27.29,28.0,10251093.0
2019-03-15,28.0,28.21,27.57,28.09,9701572.0
2019-03-16,28.0,28.21,27.57,28.09,9701572.0
2019-03-17,28.0,28.21,27.57,28.09,9701572.0
2019-03-18,28.09,28.55,27.93,28.18,6708560.0
2019-03-19,28.28,28.8,28.19,28.62,6807308.0
2019-03-20,28.72,29.09,28.535,28.71,5919423.0
2019-03-21,28.57,29.3,28.48,29.25,5118988.0
2019-03-22,29.02,29.12,28.32,28.69,5578305.0
2019-03-23,29.02,29.12,28.32,28.69,5578305.0
2019-03-24,29.02,29.12,28.32,28.69,5578305.0
2019-03-25,28.67,28.67,27.94,28.32,6143788.0
2019-03-26,28.38,28.83,27.965,28.18,6004173.0
2019-03-27,28.19,28.59,27.83,28.25,4802052.0
2019-03-28,28.16,28.44,27.945,28.24,5558490.0
2019-03-29,28.29,28.555,28.15,28.34,4364023.0
2019-03-30,28.29,28.555,28.15,28.34,4364023.0
2019-03-31,28.29,28.555,28.15,28.34,4364023.0
2019-04-01,28.63,28.88,28.385,28.47,4094128.0
2019-04-02,28.46,28.51,27.54,27.61,5482729.0
2019-04-03,27.69,27.7181,26.615,26.98,8373334.0
2019-04-04,27.01,27.635,27.01,27.42,4425618.0
2019-04-05,27.47,27.82,27.46,27.63,3279483.0
2019-04-06,27.47,27.82,27.46,27.63,3279483.0
2019-04-07,27.47,27.82,27.46,27.63,3279483.0
2019-04-08,27.57,27.85,27.31,27.77,2298669.0
2019-04-09,27.63,27.71,27.07,27.12,3234681.0
2019-04-10,27.09,27.34,26.97,27.22,3010354.0
2019-04-11,27.19,27.43,26.85,27.01,2362587.0
2019-04-12,27.04,27.41,26.8,26.97,2987757.0
2019-04-13,27.04,27.41,26.8,26.97,2987757.0
2019-04-14,27.04,27.41,26.8,26.97,2987757.0
2019-04-15,26.99,27.095,26.59,26.93,5084679.0
2019-04-16,27.18,27.27,26.82,27.07,3200458.0
2019-04-17,27.25,27.25,26.44,26.73,4293006.0
2019-04-18,26.83,27.18,26.57,26.85,3806669.0
2019-04-19,26.83,27.18,26.57,26.85,3806669.0
2019-04-20,26.83,27.18,26.57,26.85,3806669.0
2019-04-21,26.83,27.18,26.57,26.85,3806669.0
2019-04-22,26.7,26.86,26.46,26.72,2694766.0
2019-04-23,26.72,27.08,26.42,26.6,5565097.0
2019-04-24,26.67,26.785,26.33,26.44,3212929.0
2019-04-25,26.35,26.79,26.0684,26.68,3710299.0
2019-04-26,26.76,27.07,26.51,27.04,3645120.0
2019-04-27,26.76,27.07,26.51,27.04,3645120.0
