,MANH US Equity,MANH US Equity,MANH US Equity,MANH US Equity,MANH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,79.31,79.97,78.94,79.75,332937.0
2020-01-02,80.14,80.7125,79.44,80.68,284378.0
2020-01-03,79.45,80.72,79.45,80.44,331204.0
2020-01-04,79.45,80.72,79.45,80.44,331204.0
2020-01-05,79.45,80.72,79.45,80.44,331204.0
2020-01-06,80.03,81.43,79.425,81.4,402870.0
2020-01-07,81.32,82.17,80.82,81.4,243137.0
2020-01-08,81.55,83.14,81.41,82.5,306708.0
2020-01-09,83.41,83.65,82.61,83.22,324393.0
2020-01-10,83.59,83.82,82.7,83.19,294410.0
2020-01-11,83.59,83.82,82.7,83.19,294410.0
2020-01-12,83.59,83.82,82.7,83.19,294410.0
2020-01-13,83.27,84.58,83.04,83.96,274558.0
2020-01-14,83.68,84.28,82.81,83.87,270056.0
2020-01-15,83.8,85.0,83.8,84.42,293439.0
2020-01-16,84.93,85.82,84.56,85.29,283669.0
2020-01-17,85.67,85.84,84.795,85.24,249340.0
2020-01-18,85.67,85.84,84.795,85.24,249340.0
2020-01-19,85.67,85.84,84.795,85.24,249340.0
2020-01-20,85.67,85.84,84.795,85.24,249340.0
2020-01-21,84.81,85.28,83.68,84.24,191121.0
2020-01-22,84.63,85.72,84.63,85.56,303080.0
2020-01-23,85.35,86.09,84.54,85.9,427686.0
2020-01-24,86.79,87.32,85.3,85.87,393174.0
2020-01-25,86.79,87.32,85.3,85.87,393174.0
2020-01-26,86.79,87.32,85.3,85.87,393174.0
2020-01-27,84.1,85.3,83.61,84.98,257081.0
2020-01-28,85.38,86.96,84.75,86.57,358798.0
2020-01-29,87.32,88.62,87.07,87.07,528744.0
2020-01-30,86.45,87.955,86.22,87.82,460382.0
2020-01-31,87.68,87.68,85.2,85.46,708983.0
2020-02-01,87.68,87.68,85.2,85.46,708983.0
2020-02-02,87.68,87.68,85.2,85.46,708983.0
2020-02-03,86.02,88.05,85.83,87.22,506870.0
2020-02-04,88.21,90.46,88.01,88.99,522056.0
2020-02-05,88.0,89.0,77.61,78.12,1275842.0
2020-02-06,78.58,79.8,78.1202,78.42,521204.0
2020-02-07,78.09,78.34,76.49,76.67,503760.0
2020-02-08,78.09,78.34,76.49,76.67,503760.0
2020-02-09,78.09,78.34,76.49,76.67,503760.0
2020-02-10,76.28,78.7,76.08,78.5,390894.0
2020-02-11,79.15,79.29,77.9,78.4,441874.0
2020-02-12,78.58,78.82,76.57,78.71,422947.0
2020-02-13,78.18,80.48,78.0601,79.96,520583.0
2020-02-14,80.34,80.735,79.81,80.22,352340.0
2020-02-15,80.34,80.735,79.81,80.22,352340.0
2020-02-16,80.34,80.735,79.81,80.22,352340.0
2020-02-17,80.34,80.735,79.81,80.22,352340.0
2020-02-18,79.91,81.2,79.35,81.17,370798.0
2020-02-19,81.8,82.32,81.28,81.57,282989.0
2020-02-20,81.19,81.68,77.56,78.81,351022.0
2020-02-21,78.39,78.39,75.49,77.12,351094.0
2020-02-22,78.39,78.39,75.49,77.12,351094.0
2020-02-23,78.39,78.39,75.49,77.12,351094.0
2020-02-24,74.39,75.95,73.74,74.37,405423.0
2020-02-25,74.5,75.66,72.95,73.21,352090.0
2020-02-26,73.6,74.76,72.06,72.37,343529.0
2020-02-27,70.26,71.81,69.0,69.13,695253.0
2020-02-28,67.43,68.83,66.0,67.36,870755.0
2020-02-29,67.43,68.83,66.0,67.36,870755.0
2020-03-01,67.43,68.83,66.0,67.36,870755.0
2020-03-02,67.62,68.44,65.75,68.33,640335.0
2020-03-03,68.37,70.26,65.02,66.0,617633.0
2020-03-04,67.01,68.89,65.8,68.67,492068.0
2020-03-05,66.83,68.6,66.68,67.54,457982.0
2020-03-06,65.56,68.14,64.52,67.99,775253.0
2020-03-07,65.56,68.14,64.52,67.99,775253.0
2020-03-08,65.56,68.14,64.52,67.99,775253.0
2020-03-09,63.91,65.13,59.53,62.01,1147633.0
2020-03-10,64.12,65.8,62.29,65.7,903753.0
2020-03-11,63.98,65.24,61.73,64.06,998688.0
2020-03-12,59.7,60.31,54.3,55.27,1545103.0
2020-03-13,57.14,60.34,54.51,57.46,726680.0
2020-03-14,57.14,60.34,54.51,57.46,726680.0
2020-03-15,57.14,60.34,54.51,57.46,726680.0
2020-03-16,53.38,54.89,46.65,46.68,977329.0
2020-03-17,47.77,49.09,42.3,46.76,1038725.0
2020-03-18,42.76,44.0,36.105,37.44,1255563.0
2020-03-19,37.37,45.775,35.2,45.37,1764861.0
2020-03-20,45.93,47.66,43.3302,47.18,1668638.0
2020-03-21,45.93,47.66,43.3302,47.18,1668638.0
2020-03-22,45.93,47.66,43.3302,47.18,1668638.0
2020-03-23,45.87,47.585,41.39,42.62,1095729.0
2020-03-24,45.48,48.09,43.47,47.98,1575901.0
2020-03-25,48.28,52.05,47.43,49.7,1527087.0
2020-03-26,50.15,55.44,49.42,55.11,939695.0
2020-03-27,52.63,54.62,51.59,53.61,992298.0
2020-03-28,52.63,54.62,51.59,53.61,992298.0
2020-03-29,52.63,54.62,51.59,53.61,992298.0
2020-03-30,53.04,54.84,52.07,52.99,919589.0
2020-03-31,52.91,54.11,49.2,49.82,688658.0
2020-04-01,47.46,49.025,44.6,45.35,1152701.0
2020-04-02,45.07,47.0422,43.8,46.07,1081894.0
2020-04-03,46.06,48.34,43.09,45.42,1179303.0
2020-04-04,46.06,48.34,43.09,45.42,1179303.0
2020-04-05,46.06,48.34,43.09,45.42,1179303.0
2020-04-06,48.01,51.19,47.15,50.6,539610.0
2020-04-07,52.1,54.89,50.435,50.98,1117613.0
2020-04-08,51.91,54.69,51.515,54.09,623214.0
2020-04-09,55.87,58.7,54.19,57.75,899594.0
2020-04-10,55.87,58.7,54.19,57.75,899594.0
2020-04-11,55.87,58.7,54.19,57.75,899594.0
2020-04-12,55.87,58.7,54.19,57.75,899594.0
2020-04-13,57.35,58.77,54.21,56.07,894858.0
