,FIBK US Equity,FIBK US Equity,FIBK US Equity,FIBK US Equity,FIBK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,33.3814,33.5168,33.3415,33.4053,123061.0
2020-01-02,33.6364,33.6364,32.9829,33.2539,189590.0
2020-01-03,32.7678,33.214,32.7678,33.1025,218906.0
2020-01-04,32.7678,33.214,32.7678,33.1025,218906.0
2020-01-05,32.7678,33.214,32.7678,33.1025,218906.0
2020-01-06,32.967,33.3415,32.696,33.1821,219707.0
2020-01-07,33.0706,33.1184,32.7598,32.8395,88988.0
2020-01-08,32.8714,33.0706,32.8475,32.9989,156421.0
2020-01-09,33.0706,33.0706,32.7518,32.7996,156296.0
2020-01-10,32.72,32.7757,32.3693,32.4729,111677.0
2020-01-11,32.72,32.7757,32.3693,32.4729,111677.0
2020-01-12,32.72,32.7757,32.3693,32.4729,111677.0
2020-01-13,32.4729,32.6243,32.3056,32.6243,74670.0
2020-01-14,32.4889,32.6642,32.3614,32.4968,162441.0
2020-01-15,32.3693,32.7439,32.0625,32.2179,149338.0
2020-01-16,32.4251,32.8156,32.3653,32.7837,146898.0
2020-01-17,33.0307,33.0307,32.6383,32.7678,126547.0
2020-01-18,33.0307,33.0307,32.6383,32.7678,126547.0
2020-01-19,33.0307,33.0307,32.6383,32.7678,126547.0
2020-01-20,33.0307,33.0307,32.6383,32.7678,126547.0
2020-01-21,32.5765,32.6801,32.0665,32.0904,119996.0
2020-01-22,32.1143,32.1781,31.8912,32.0267,165148.0
2020-01-23,31.8832,32.2697,31.7398,31.9549,140011.0
2020-01-24,32.0187,32.0187,31.0385,31.2935,154956.0
2020-01-25,32.0187,32.0187,31.0385,31.2935,154956.0
2020-01-26,32.0187,32.0187,31.0385,31.2935,154956.0
2020-01-27,30.8473,31.0146,30.5923,30.7756,146046.0
2020-01-28,30.9668,31.1342,30.7437,30.7915,100800.0
2020-01-29,30.7676,30.919,30.0743,30.146,167458.0
2020-01-30,31.4928,31.5007,30.2895,31.1501,233452.0
2020-01-31,30.8473,31.1182,30.5843,30.6799,260522.0
2020-02-01,30.8473,31.1182,30.5843,30.6799,260522.0
2020-02-02,30.8473,31.1182,30.5843,30.6799,260522.0
2020-02-03,30.7756,31.0306,30.5445,30.8234,171725.0
2020-02-04,31.174,31.538,30.9668,31.2696,190072.0
2020-02-05,31.4928,31.8035,31.4848,31.7239,129534.0
2020-02-06,31.9151,31.9749,31.3812,31.421,125204.0
2020-02-07,31.3005,31.405,31.0674,31.2603,131484.0
2020-02-08,31.3005,31.405,31.0674,31.2603,131484.0
2020-02-09,31.3005,31.405,31.0674,31.2603,131484.0
2020-02-10,31.1477,31.421,31.1038,31.413,130963.0
2020-02-11,31.5497,31.7426,31.3728,31.3809,210385.0
2020-02-12,31.6059,31.7024,31.4653,31.63,178024.0
2020-02-13,31.5014,31.8712,31.5014,31.8471,99272.0
2020-02-14,31.7988,31.8471,31.5818,31.7185,116937.0
2020-02-15,31.7988,31.8471,31.5818,31.7185,116937.0
2020-02-16,31.7988,31.8471,31.5818,31.7185,116937.0
2020-02-17,31.7988,31.8471,31.5818,31.7185,116937.0
2020-02-18,31.3487,31.6381,31.0312,31.4693,158777.0
2020-02-19,31.4693,31.6541,31.3931,31.5215,102370.0
2020-02-20,31.5898,32.1525,31.5167,32.1043,153471.0
2020-02-21,32.0882,32.1525,31.7586,32.0239,156932.0
2020-02-22,32.0882,32.1525,31.7586,32.0239,156932.0
2020-02-23,32.0882,32.1525,31.7586,32.0239,156932.0
2020-02-24,31.1477,31.3567,30.8423,31.0352,200834.0
2020-02-25,31.1076,31.1076,30.143,30.352,216513.0
2020-02-26,30.5047,30.77,30.0867,30.2394,232636.0
2020-02-27,29.7089,30.36,28.8649,28.889,201606.0
2020-02-28,28.2187,28.5866,27.2214,27.8427,404512.0
2020-02-29,28.2187,28.5866,27.2214,27.8427,404512.0
2020-03-01,28.2187,28.5866,27.2214,27.8427,404512.0
2020-03-02,27.859,29.4694,27.7364,29.3713,415415.0
2020-03-03,29.265,29.6738,27.6874,27.8754,475853.0
2020-03-04,28.186,28.3577,27.671,28.1043,335286.0
2020-03-05,27.3522,27.5279,25.5374,26.2731,456064.0
2020-03-06,25.2268,26.7554,25.1287,25.9462,357149.0
2020-03-07,25.2268,26.7554,25.1287,25.9462,357149.0
2020-03-08,25.2268,26.7554,25.1287,25.9462,357149.0
2020-03-09,23.7472,24.5156,22.9543,23.1423,354060.0
2020-03-10,24.1232,24.4584,22.6526,23.6655,391515.0
2020-03-11,23.0524,23.4447,22.0469,22.3003,419436.0
2020-03-12,20.927,22.7989,20.3466,21.1068,423074.0
2020-03-13,22.0959,23.4774,21.2499,23.1831,504001.0
2020-03-14,22.0959,23.4774,21.2499,23.1831,504001.0
2020-03-15,22.0959,23.4774,21.2499,23.1831,504001.0
2020-03-16,20.8779,22.4965,20.5182,21.3847,467473.0
2020-03-17,21.7035,24.8835,21.0905,24.7854,481895.0
2020-03-18,23.2077,25.7336,23.2077,23.927,572392.0
2020-03-19,23.7227,25.9462,23.2976,25.1532,566375.0
2020-03-20,25.2595,25.9707,20.3547,21.303,829648.0
2020-03-21,25.2595,25.9707,20.3547,21.303,829648.0
2020-03-22,25.2595,25.9707,20.3547,21.303,829648.0
2020-03-23,21.2785,22.0796,20.0278,21.4665,590274.0
2020-03-24,22.6109,23.0278,21.4665,22.6273,521056.0
2020-03-25,22.6927,23.175,21.348,21.6627,345677.0
2020-03-26,21.7035,23.4693,21.4829,23.3139,230081.0
2020-03-27,22.5292,23.551,22.2022,22.3984,241614.0
2020-03-28,22.5292,23.551,22.2022,22.3984,241614.0
2020-03-29,22.5292,23.551,22.2022,22.3984,241614.0
2020-03-30,22.66,23.0528,22.1613,22.9297,159884.0
2020-03-31,22.7826,23.69,22.5374,23.5755,325608.0
2020-04-01,22.7662,22.7662,22.2022,22.6518,233290.0
2020-04-02,22.4229,23.6409,22.4229,23.3793,212967.0
2020-04-03,23.2731,23.3385,21.4828,21.9488,202067.0
2020-04-04,23.2731,23.3385,21.4828,21.9488,202067.0
2020-04-05,23.2731,23.3385,21.4828,21.9488,202067.0
2020-04-06,22.9052,23.5101,22.7417,23.3957,286195.0
2020-04-07,23.7554,24.2949,22.7744,22.9788,243772.0
2020-04-08,23.3221,24.6055,23.2199,24.2622,376825.0
2020-04-09,24.5401,26.0279,24.5401,25.9625,212712.0
2020-04-10,24.5401,26.0279,24.5401,25.9625,212712.0
2020-04-11,24.5401,26.0279,24.5401,25.9625,212712.0
2020-04-12,24.5401,26.0279,24.5401,25.9625,212712.0
2020-04-13,26.1587,26.2886,23.9924,24.2295,247813.0
2020-04-14,24.72,24.9407,23.502,23.9679,171627.0
2020-04-15,23.0197,23.1014,22.2022,22.2676,225920.0
2020-04-16,22.3166,22.472,21.0005,21.6136,201029.0
2020-04-17,22.6681,23.4366,22.2921,23.2812,199202.0
2020-04-18,22.6681,23.4366,22.2921,23.2812,199202.0
2020-04-19,22.6681,23.4366,22.2921,23.2812,199202.0
2020-04-20,22.709,23.7962,22.6353,23.2158,194484.0
2020-04-21,22.4556,23.6655,22.4556,23.5347,227583.0
2020-04-22,24.0006,24.0415,22.8071,23.2158,197762.0
2020-04-23,23.3139,23.8616,23.1545,23.6164,149553.0
2020-04-24,23.7554,24.0905,23.2036,23.8371,263369.0
2020-04-25,23.7554,24.0905,23.2036,23.8371,263369.0
2020-04-26,23.7554,24.0905,23.2036,23.8371,263369.0
2020-04-27,24.1151,25.9952,24.0027,25.8235,186647.0
2020-04-28,26.5184,26.9598,25.987,26.6328,231522.0
2020-04-29,27.4912,28.9054,26.7473,28.137,262568.0
2020-04-30,27.205,27.7936,26.6001,27.6301,345240.0
2020-05-01,26.8372,27.5606,24.769,26.0197,414071.0
2020-05-02,26.8372,27.5606,24.769,26.0197,414071.0
2020-05-03,26.8372,27.5606,24.769,26.0197,414071.0
2020-05-04,26.0034,26.5756,25.0551,26.3917,391363.0
2020-05-05,26.9598,27.4012,25.8481,25.9298,281633.0
2020-05-06,26.0034,26.686,25.2104,25.3085,249241.0
2020-05-07,25.799,26.2077,24.9652,25.1532,276682.0
2020-05-08,25.7814,26.6163,25.5748,26.5171,214058.0
2020-05-09,25.7814,26.6163,25.5748,26.5171,214058.0
2020-05-10,25.7814,26.6163,25.5748,26.5171,214058.0
2020-05-11,25.9302,25.9302,25.178,25.4177,212710.0
2020-05-12,25.3929,25.6492,24.0787,24.1448,285656.0
2020-05-13,24.0125,24.1035,22.8594,23.3761,290804.0
2020-05-14,22.7478,23.3769,22.0287,23.0041,304147.0
2020-05-15,22.847,23.1777,22.6239,23.0041,232565.0
2020-05-16,22.847,23.1777,22.6239,23.0041,232565.0
2020-05-17,22.847,23.1777,22.6239,23.0041,232565.0
