,ENSG US Equity,ENSG US Equity,ENSG US Equity,ENSG US Equity,ENSG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,43.9318,44.8997,43.6849,44.8108,231971.0
2020-01-02,44.7022,45.3442,43.596,44.4553,175862.0
2020-01-03,43.9121,44.8405,43.4972,44.7516,277947.0
2020-01-04,43.9121,44.8405,43.4972,44.7516,277947.0
2020-01-05,43.9121,44.8405,43.4972,44.7516,277947.0
2020-01-06,44.4059,45.4133,44.1985,45.1664,248966.0
2020-01-07,45.196,45.196,44.3324,44.9195,195307.0
2020-01-08,45.0182,46.0109,45.0182,45.759,286710.0
2020-01-09,45.9565,46.5294,45.6405,46.3467,211321.0
2020-01-10,46.48,46.5393,45.838,46.243,231408.0
2020-01-11,46.48,46.5393,45.838,46.243,231408.0
2020-01-12,46.48,46.5393,45.838,46.243,231408.0
2020-01-13,46.401,46.8059,46.0356,46.7171,198706.0
2020-01-14,46.5393,46.6677,45.8874,46.0751,252415.0
2020-01-15,46.2232,46.7664,46.1244,46.5096,204475.0
2020-01-16,46.6677,47.2504,46.4207,47.201,186470.0
2020-01-17,47.4973,47.4973,46.5328,46.9442,150680.0
2020-01-18,47.4973,47.4973,46.5328,46.9442,150680.0
2020-01-19,47.4973,47.4973,46.5328,46.9442,150680.0
2020-01-20,47.4973,47.4973,46.5328,46.9442,150680.0
2020-01-21,46.7072,46.9738,46.322,46.638,218094.0
2020-01-22,46.8059,46.9738,46.0257,46.9442,140067.0
2020-01-23,46.7862,46.7862,44.8306,45.3491,383121.0
2020-01-24,45.4825,45.601,44.2084,44.317,222156.0
2020-01-25,45.4825,45.601,44.2084,44.317,222156.0
2020-01-26,45.4825,45.601,44.2084,44.317,222156.0
2020-01-27,43.8232,44.544,43.6553,44.2577,205381.0
2020-01-28,44.5738,45.3639,44.5047,45.2158,184054.0
2020-01-29,45.1763,46.3022,45.1269,45.4133,186708.0
2020-01-30,44.9886,46.2331,44.9886,45.759,221037.0
2020-01-31,45.601,46.0652,44.4751,44.6429,203498.0
2020-02-01,45.601,46.0652,44.4751,44.6429,203498.0
2020-02-02,45.601,46.0652,44.4751,44.6429,203498.0
2020-02-03,44.9096,45.3442,44.8207,45.2454,209893.0
2020-02-04,45.8578,46.3911,45.6602,46.1738,217902.0
2020-02-05,46.5491,47.7146,46.3788,47.3097,231794.0
2020-02-06,48.8899,52.4456,48.8899,51.5172,619595.0
2020-02-07,51.6851,52.574,50.9344,52.3764,455009.0
2020-02-08,51.6851,52.574,50.9344,52.3764,455009.0
2020-02-09,51.6851,52.574,50.9344,52.3764,455009.0
2020-02-10,52.3666,52.6826,51.8826,52.6135,321794.0
2020-02-11,52.6826,52.8109,51.7838,52.0307,252835.0
2020-02-12,52.2579,52.5838,51.3789,52.0406,230994.0
2020-02-13,51.3789,53.0184,51.3789,52.4258,162280.0
2020-02-14,52.4653,52.4653,51.3196,51.4579,182037.0
2020-02-15,52.4653,52.4653,51.3196,51.4579,182037.0
2020-02-16,52.4653,52.4653,51.3196,51.4579,182037.0
2020-02-17,52.4653,52.4653,51.3196,51.4579,182037.0
2020-02-18,51.5369,52.7024,51.211,51.6851,237777.0
2020-02-19,51.6851,52.3073,51.2209,51.606,352888.0
2020-02-20,51.2999,51.9122,49.9863,51.0628,265035.0
2020-02-21,51.0727,51.0727,50.2826,50.569,342037.0
2020-02-22,51.0727,51.0727,50.2826,50.569,342037.0
2020-02-23,51.0727,51.0727,50.2826,50.569,342037.0
2020-02-24,49.1665,49.7245,48.1689,48.1986,240970.0
