,STX US Equity,STX US Equity,STX US Equity,STX US Equity,STX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,53.1636,53.6849,53.0557,53.4782,1266220.0
2020-01-02,53.7568,54.5028,53.7211,54.377,2018530.0
2020-01-03,53.8017,53.9725,52.858,52.9479,1649702.0
2020-01-04,53.8017,53.9725,52.858,52.9479,1649702.0
2020-01-05,53.8017,53.9725,52.858,52.9479,1649702.0
2020-01-06,52.4895,52.7681,52.0401,52.3187,1997073.0
2020-01-07,52.5794,53.0646,52.148,52.9479,1915807.0
2020-01-08,52.9389,53.8377,52.5704,53.3613,2541227.0
2020-01-09,53.8287,54.5388,53.577,54.341,2313841.0
2020-01-10,54.35,54.4399,53.622,53.9096,1734821.0
2020-01-11,54.35,54.4399,53.622,53.9096,1734821.0
2020-01-12,54.35,54.4399,53.622,53.9096,1734821.0
2020-01-13,54.1343,54.8264,53.9725,54.8174,2111998.0
2020-01-14,54.7814,54.9342,54.2062,54.6286,2007851.0
2020-01-15,54.4309,55.0241,54.1972,54.386,1950375.0
2020-01-16,54.8893,55.3117,54.6519,55.3027,1496769.0
2020-01-17,55.2848,55.4106,54.7662,54.8983,2013628.0
2020-01-18,55.2848,55.4106,54.7662,54.8983,2013628.0
2020-01-19,55.2848,55.4106,54.7662,54.8983,2013628.0
2020-01-20,55.2848,55.4106,54.7662,54.8983,2013628.0
2020-01-21,54.8264,55.2084,54.6286,54.8713,2352254.0
2020-01-22,55.2488,55.4286,54.8129,55.0511,1242467.0
2020-01-23,55.3746,56.4352,54.9702,56.4082,3000631.0
2020-01-24,56.7768,57.6755,56.3184,56.8307,2902585.0
2020-01-25,56.7768,57.6755,56.3184,56.8307,2902585.0
2020-01-26,56.7768,57.6755,56.3184,56.8307,2902585.0
2020-01-27,55.6263,55.86,54.1465,54.5298,2398014.0
2020-01-28,55.3477,55.8869,54.8039,55.6982,1745052.0
2020-01-29,54.7455,55.2398,52.5165,53.0378,2897140.0
2020-01-30,52.5344,53.0737,51.357,52.4715,2778739.0
2020-01-31,52.3457,52.3457,51.0335,51.2222,2901122.0
2020-02-01,52.3457,52.3457,51.0335,51.2222,2901122.0
2020-02-02,52.3457,52.3457,51.0335,51.2222,2901122.0
2020-02-03,51.9772,52.6243,51.7884,52.0851,3610053.0
2020-02-04,53.5141,53.7928,52.1659,53.0018,4698163.0
2020-02-05,51.2582,51.9143,48.8494,49.1909,6600866.0
2020-02-06,49.5145,50.0313,49.128,49.5774,4046547.0
2020-02-07,49.3078,49.3707,48.364,48.6247,2884888.0
2020-02-08,49.3078,49.3707,48.364,48.6247,2884888.0
2020-02-09,49.3078,49.3707,48.364,48.6247,2884888.0
2020-02-10,48.5079,49.4516,48.2652,49.3797,2311753.0
2020-02-11,49.6313,50.602,49.5684,50.1077,2434548.0
2020-02-12,50.2965,51.1413,50.2605,50.5301,1668885.0
2020-02-13,50.0718,50.4762,49.7931,50.1526,2307914.0
2020-02-14,50.2066,50.3324,48.2921,48.5258,3451425.0
2020-02-15,50.2066,50.3324,48.2921,48.5258,3451425.0
2020-02-16,50.2066,50.3324,48.2921,48.5258,3451425.0
2020-02-17,50.2066,50.3324,48.2921,48.5258,3451425.0
2020-02-18,48.0764,48.8,47.6989,48.7146,2769260.0
2020-02-19,48.8224,49.128,48.3461,48.4899,2107740.0
2020-02-20,48.5528,49.3257,48.1011,49.2089,2220165.0
2020-02-21,48.9483,48.9842,48.1304,48.5708,2355766.0
2020-02-22,48.9483,48.9842,48.1304,48.5708,2355766.0
2020-02-23,48.9483,48.9842,48.1304,48.5708,2355766.0
2020-02-24,46.8361,47.681,46.7013,46.7732,3115841.0
2020-02-25,47.3214,47.4832,45.052,45.3171,3426887.0
2020-02-26,45.8744,46.908,45.6901,45.9103,3056901.0
2020-02-27,44.643,45.1194,43.4387,43.4656,4479924.0
2020-02-28,42.3781,43.16,41.5242,43.0971,6034720.0
2020-02-29,42.3781,43.16,41.5242,43.0971,6034720.0
2020-03-01,42.3781,43.16,41.5242,43.0971,6034720.0
2020-03-02,44.0498,45.3171,43.4477,45.2722,4056988.0
2020-03-03,45.1014,46.2429,43.906,45.1284,4147096.0
2020-03-04,46.144,46.3867,45.1554,46.2339,2912146.0
2020-03-05,45.0205,45.7126,44.6341,45.1823,2204590.0
2020-03-06,43.6004,44.643,43.1645,44.2745,3010687.0
2020-03-07,43.6004,44.643,43.1645,44.2745,3010687.0
2020-03-08,43.6004,44.643,43.1645,44.2745,3010687.0
2020-03-09,41.0389,42.3242,40.203,40.7243,4427508.0
2020-03-10,42.3691,43.0881,40.1491,43.0522,3888868.0
2020-03-11,41.8118,42.0905,39.8974,40.7423,3550961.0
2020-03-12,37.8302,40.6524,36.5269,40.0412,6520522.0
2020-03-13,41.6051,44.0229,39.7446,43.9779,5238577.0
2020-03-14,41.6051,44.0229,39.7446,43.9779,5238577.0
2020-03-15,41.6051,44.0229,39.7446,43.9779,5238577.0
2020-03-16,38.4054,39.9154,36.8235,36.8235,4638445.0
2020-03-17,37.4168,40.7153,36.1764,40.5805,4473801.0
2020-03-18,38.1088,40.1131,36.2933,38.6391,4210182.0
2020-03-19,38.1627,41.7849,37.6326,38.3425,3452766.0
2020-03-20,38.72,38.9087,36.491,36.6078,3817526.0
2020-03-21,38.72,38.9087,36.491,36.6078,3817526.0
2020-03-22,38.72,38.9087,36.491,36.6078,3817526.0
2020-03-23,36.4371,37.1471,35.0709,36.6528,4791759.0
2020-03-24,38.1627,39.5694,37.3808,39.0615,3622246.0
2020-03-25,39.457,43.2859,38.693,40.0143,4310804.0
2020-03-26,40.1221,43.2319,39.9963,43.1151,3661034.0
2020-03-27,41.8568,44.4543,41.4433,43.1151,3417311.0
2020-03-28,41.8568,44.4543,41.4433,43.1151,3417311.0
2020-03-29,41.8568,44.4543,41.4433,43.1151,3417311.0
2020-03-30,43.3308,45.4924,42.8455,44.8228,2985427.0
2020-03-31,44.4273,45.4969,43.7353,43.8611,3620936.0
2020-04-01,42.5938,43.7739,41.9377,43.0162,3020761.0
2020-04-02,42.6208,43.8701,41.4793,42.7646,2798295.0
2020-04-03,42.6567,43.223,40.8501,41.1288,2492710.0
2020-04-04,42.6567,43.223,40.8501,41.1288,2492710.0
2020-04-05,42.6567,43.223,40.8501,41.1288,2492710.0
2020-04-06,43.0252,44.0588,42.414,43.7173,2334129.0
2020-04-07,44.9936,45.771,44.0678,44.1038,2781974.0
2020-04-08,44.4723,46.153,44.2835,45.8654,2168767.0
2020-04-09,46.4227,47.8787,45.9283,46.0631,3287467.0
2020-04-10,46.4227,47.8787,45.9283,46.0631,3287467.0
2020-04-11,46.4227,47.8787,45.9283,46.0631,3287467.0
2020-04-12,46.4227,47.8787,45.9283,46.0631,3287467.0
2020-04-13,45.6497,45.8384,44.5352,45.7575,2002121.0
