,WTS US Equity,WTS US Equity,WTS US Equity,WTS US Equity,WTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,96.2477,97.1275,96.2477,96.4507,89403.0
2020-01-02,96.8761,97.2918,95.7062,96.7697,111917.0
2020-01-03,95.5032,97.1371,95.1938,96.9921,165967.0
2020-01-04,95.5032,97.1371,95.1938,96.9921,165967.0
2020-01-05,95.5032,97.1371,95.1938,96.9921,165967.0
2020-01-06,96.1413,96.5184,95.4645,96.035,131125.0
2020-01-07,95.5322,96.093,95.0681,95.2518,91440.0
2020-01-08,95.2808,96.6054,95.2808,95.6096,115370.0
2020-01-09,96.209,96.7697,95.6869,95.7642,109523.0
2020-01-10,95.9576,96.0543,94.7491,95.1551,76963.0
2020-01-11,95.9576,96.0543,94.7491,95.1551,76963.0
2020-01-12,95.9576,96.0543,94.7491,95.1551,76963.0
2020-01-13,95.2615,96.7214,95.2132,96.6827,113398.0
2020-01-14,96.47,97.2435,95.6192,96.6441,101360.0
2020-01-15,96.2573,97.4272,95.8416,96.4797,96862.0
2020-01-16,97.2048,98.3457,97.2048,97.5916,108127.0
2020-01-17,98.2297,98.2297,97.3885,98.0943,120197.0
2020-01-18,98.2297,98.2297,97.3885,98.0943,120197.0
2020-01-19,98.2297,98.2297,97.3885,98.0943,120197.0
2020-01-20,98.2297,98.2297,97.3885,98.0943,120197.0
2020-01-21,97.8236,98.0121,97.0985,97.7849,145417.0
2020-01-22,98.2683,99.6751,97.6882,98.8968,130340.0
2020-01-23,98.481,98.481,97.2822,98.452,142246.0
2020-01-24,98.5584,99.3899,97.6496,98.0846,118662.0
2020-01-25,98.5584,99.3899,97.6496,98.0846,118662.0
2020-01-26,98.5584,99.3899,97.6496,98.0846,118662.0
2020-01-27,96.7988,97.7269,96.354,97.4659,102052.0
2020-01-28,97.9686,98.5294,97.4272,97.6399,108617.0
2020-01-29,97.8333,98.394,96.122,96.18,89068.0
2020-01-30,95.3388,98.046,95.2808,97.9589,109051.0
2020-01-31,97.7366,98.1523,95.8223,96.4024,143786.0
2020-02-01,97.7366,98.1523,95.8223,96.4024,143786.0
2020-02-02,97.7366,98.1523,95.8223,96.4024,143786.0
2020-02-03,97.0405,98.5632,97.0405,97.2048,190859.0
2020-02-04,98.3457,99.3705,98.2828,98.5584,153518.0
2020-02-05,99.5832,100.3567,99.0484,100.26,154908.0
2020-02-06,100.492,100.492,99.211,99.6896,59161.0
2020-02-07,97.5722,97.988,96.3975,96.9051,116250.0
2020-02-08,97.5722,97.988,96.3975,96.9051,116250.0
2020-02-09,97.5722,97.988,96.3975,96.9051,116250.0
2020-02-10,96.3927,98.133,95.8223,98.133,106420.0
2020-02-11,104.5237,110.6528,101.9423,103.9049,419992.0
2020-02-12,105.1908,105.2102,103.5085,104.6494,164418.0
2020-02-13,104.3883,104.9104,103.4505,103.5956,97041.0
2020-02-14,103.3538,104.0983,102.503,103.4505,98146.0
2020-02-15,103.3538,104.0983,102.503,103.4505,98146.0
2020-02-16,103.3538,104.0983,102.503,103.4505,98146.0
2020-02-17,103.3538,104.0983,102.503,103.4505,98146.0
2020-02-18,102.9188,103.3828,102.242,103.2958,168623.0
2020-02-19,103.6826,103.6826,101.8553,102.2613,120346.0
2020-02-20,101.6909,103.4457,101.4105,103.1992,96526.0
2020-02-21,103.2862,103.6342,102.097,102.5901,137728.0
2020-02-22,103.2862,103.6342,102.097,102.5901,137728.0
2020-02-23,103.2862,103.6342,102.097,102.5901,137728.0
2020-02-24,98.8774,100.3083,98.8774,99.1095,92908.0
2020-02-25,99.4672,99.4672,95.4452,95.6289,97918.0
2020-02-26,96.2573,97.2338,94.2657,94.7297,154890.0
2020-02-27,92.8012,95.0011,91.4493,92.8496,238048.0
2020-02-28,90.0683,91.1343,88.5178,91.0084,349718.0
2020-02-29,90.0683,91.1343,88.5178,91.0084,349718.0
2020-03-01,90.0683,91.1343,88.5178,91.0084,349718.0
2020-03-02,91.9387,93.3051,90.7661,92.6752,245842.0
2020-03-03,92.3845,96.0041,90.6304,93.4117,208917.0
2020-03-04,95.0689,96.8714,94.1373,96.5613,197618.0
2020-03-05,94.0804,95.5244,92.2488,93.4699,272106.0
2020-03-06,90.4753,92.5492,89.4869,91.9871,226463.0
2020-03-07,90.4753,92.5492,89.4869,91.9871,226463.0
2020-03-08,90.4753,92.5492,89.4869,91.9871,226463.0
2020-03-09,89.545,93.2954,86.8558,89.923,224382.0
2020-03-10,93.0338,94.0513,88.4402,92.7624,313335.0
2020-03-11,90.7079,91.6092,87.6068,88.3433,230197.0
2020-03-12,77.751,82.3012,77.2083,77.6735,331988.0
2020-03-13,75.6965,84.5057,74.6305,84.5057,335815.0
2020-03-14,75.6965,84.5057,74.6305,84.5057,335815.0
2020-03-15,75.6965,84.5057,74.6305,84.5057,335815.0
2020-03-16,74.6208,77.9739,70.4731,71.3453,233232.0
2020-03-17,73.0509,81.0163,69.9498,80.8715,243788.0
2020-03-18,75.9873,77.8383,71.2968,73.6517,191701.0
2020-03-19,72.6051,73.7293,67.3187,73.2641,220245.0
2020-03-20,74.6984,78.8849,71.3356,73.0412,263443.0
2020-03-21,74.6984,78.8849,71.3356,73.0412,263443.0
2020-03-22,74.6984,78.8849,71.3356,73.0412,263443.0
2020-03-23,73.3707,75.3864,66.8874,70.192,210494.0
2020-03-24,73.6324,76.6753,72.6729,76.3168,168246.0
2020-03-25,75.6772,79.1756,74.2574,75.6578,191985.0
2020-03-26,76.3265,82.7419,75.0666,81.7147,179423.0
2020-03-27,78.5069,80.8037,75.8031,78.2162,120278.0
2020-03-28,78.5069,80.8037,75.8031,78.2162,120278.0
2020-03-29,78.5069,80.8037,75.8031,78.2162,120278.0
2020-03-30,78.8171,80.4984,76.0648,79.2822,212502.0
