,TFSL US Equity,TFSL US Equity,TFSL US Equity,TFSL US Equity,TFSL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,14.4166,14.5938,14.3797,14.5273,174053.0
2020-01-02,14.5421,14.5716,14.3305,14.5569,170782.0
2020-01-03,14.4757,14.5495,14.3575,14.5495,193129.0
2020-01-04,14.4757,14.5495,14.3575,14.5495,193129.0
2020-01-05,14.4757,14.5495,14.3575,14.5495,193129.0
2020-01-06,14.4535,14.5569,14.2911,14.4092,210667.0
2020-01-07,14.4092,14.4092,14.2099,14.269,170125.0
2020-01-08,14.3133,14.424,14.3133,14.3649,81908.0
2020-01-09,14.3575,14.424,14.329,14.4018,96790.0
2020-01-10,14.3649,14.424,14.3206,14.4092,136199.0
2020-01-11,14.3649,14.424,14.3206,14.4092,136199.0
2020-01-12,14.3649,14.424,14.3206,14.4092,136199.0
2020-01-13,14.4092,14.4092,14.328,14.3871,101321.0
2020-01-14,14.4166,14.5347,14.3723,14.5236,178493.0
2020-01-15,14.4978,14.5938,14.4166,14.4757,117600.0
2020-01-16,14.4978,14.6233,14.4535,14.5642,108018.0
2020-01-17,14.5716,14.6897,14.5716,14.6676,110411.0
2020-01-18,14.5716,14.6897,14.5716,14.6676,110411.0
2020-01-19,14.5716,14.6897,14.5716,14.6676,110411.0
2020-01-20,14.5716,14.6897,14.5716,14.6676,110411.0
2020-01-21,14.6454,14.7229,14.5495,14.579,143204.0
2020-01-22,14.5938,14.5938,14.4757,14.4978,199791.0
2020-01-23,14.4757,14.7045,14.4461,14.6676,163421.0
2020-01-24,14.675,14.7451,14.5347,14.6307,137319.0
2020-01-25,14.675,14.7451,14.5347,14.6307,137319.0
2020-01-26,14.675,14.7451,14.5347,14.6307,137319.0
2020-01-27,14.5569,14.734,14.5569,14.6676,152112.0
2020-01-28,14.7045,14.7377,14.579,14.675,157606.0
2020-01-29,14.6528,14.7562,14.5569,14.6307,86445.0
2020-01-30,14.6307,14.8152,14.6085,14.8005,141507.0
2020-01-31,14.8743,15.3689,14.8152,15.081,267646.0
2020-02-01,14.8743,15.3689,14.8152,15.081,267646.0
2020-02-02,14.8743,15.3689,14.8152,15.081,267646.0
2020-02-03,15.1253,15.2655,15.0219,15.2655,164022.0
2020-02-04,15.3541,15.6494,15.3541,15.5903,205381.0
2020-02-05,15.6494,15.8081,15.6051,15.797,195530.0
2020-02-06,15.8413,15.9299,15.7379,15.8118,146678.0
2020-02-07,16.2325,16.4023,16.048,16.0627,602658.0
2020-02-08,16.2325,16.4023,16.048,16.0627,602658.0
2020-02-09,16.2325,16.4023,16.048,16.0627,602658.0
2020-02-10,16.1218,16.299,16.0775,16.2251,231343.0
2020-02-11,16.2399,16.2768,15.9077,15.9151,308687.0
2020-02-12,15.9077,16.1594,15.893,16.0849,243229.0
2020-02-13,16.1144,16.299,16.1144,16.2473,168534.0
2020-02-14,16.2325,16.3211,16.1919,16.2399,149589.0
2020-02-15,16.2325,16.3211,16.1919,16.2399,149589.0
2020-02-16,16.2325,16.3211,16.1919,16.2399,149589.0
2020-02-17,16.2325,16.3211,16.1919,16.2399,149589.0
2020-02-18,16.2399,16.299,16.0849,16.2399,154947.0
2020-02-19,16.2694,16.3432,16.1772,16.2916,117212.0
2020-02-20,16.3285,16.4171,16.2473,16.3728,182340.0
2020-02-21,16.3285,16.4171,16.262,16.4171,136718.0
2020-02-22,16.3285,16.4171,16.262,16.4171,136718.0
2020-02-23,16.3285,16.4171,16.262,16.4171,136718.0
2020-02-24,16.2399,16.3875,16.2399,16.3285,230474.0
2020-02-25,16.3506,16.3506,15.9225,15.9372,288238.0
2020-02-26,15.9225,16.1366,15.8782,16.0775,317162.0
2020-02-27,15.952,16.0627,15.546,15.5534,260286.0
2020-02-28,15.236,15.3836,14.7931,15.0883,479752.0
2020-02-29,15.236,15.3836,14.7931,15.0883,479752.0
2020-03-01,15.236,15.3836,14.7931,15.0883,479752.0
2020-03-02,15.1105,16.0627,15.1105,15.9778,416059.0
2020-03-03,16.0258,16.1329,15.7306,16.0627,427439.0
2020-03-04,16.2178,16.5868,16.0775,16.5795,205311.0
2020-03-05,16.299,16.4466,16.1366,16.2768,317297.0
2020-03-06,15.8782,16.2399,15.7584,16.1661,525506.0
2020-03-07,15.8782,16.2399,15.7584,16.1661,525506.0
2020-03-08,15.8782,16.2399,15.7584,16.1661,525506.0
2020-03-09,15.5455,15.6576,14.9248,14.9248,372294.0
2020-03-10,15.2464,15.4019,14.0649,14.8501,735006.0
2020-03-11,14.5584,14.6183,13.9528,14.05,367269.0
2020-03-12,13.3396,13.6761,12.7084,12.9284,413482.0
2020-03-13,13.5116,13.8698,12.7863,13.063,691148.0
2020-03-14,13.5116,13.8698,12.7863,13.063,691148.0
2020-03-15,13.5116,13.8698,12.7863,13.063,691148.0
2020-03-16,12.0909,12.8087,10.1842,12.1732,371780.0
2020-03-17,12.3377,13.3172,12.3377,13.2948,401493.0
2020-03-18,12.6143,12.7527,11.6797,11.9339,591269.0
2020-03-19,11.575,11.9077,10.7151,11.6871,502161.0
2020-03-20,11.7544,12.8985,10.8048,11.1488,846326.0
2020-03-21,11.7544,12.8985,10.8048,11.1488,846326.0
2020-03-22,11.7544,12.8985,10.8048,11.1488,846326.0
2020-03-23,10.9394,11.3357,10.4646,10.4982,875314.0
2020-03-24,11.074,11.5525,10.8833,11.1787,461130.0
2020-03-25,11.1189,11.5301,10.73,10.8497,365824.0
2020-03-26,10.8721,12.076,10.8497,11.9638,352141.0
2020-03-27,11.5824,12.0343,11.2161,11.2834,179597.0
2020-03-28,11.5824,12.0343,11.2161,11.2834,179597.0
2020-03-29,11.5824,12.0343,11.2161,11.2834,179597.0
2020-03-30,11.2834,11.6124,11.0516,11.575,246668.0
2020-03-31,11.4628,11.5675,11.1787,11.4179,239848.0
2020-04-01,10.9917,11.2834,10.4085,10.4384,394980.0
2020-04-02,10.3861,10.6403,10.1244,10.3038,489341.0
2020-04-03,10.1543,10.3562,9.4589,9.5411,474540.0
2020-04-04,10.1543,10.3562,9.4589,9.5411,474540.0
2020-04-05,10.1543,10.3562,9.4589,9.5411,474540.0
2020-04-06,9.7654,10.087,9.6009,9.8103,373328.0
2020-04-07,10.0945,10.4235,9.7056,9.7281,478456.0
2020-04-08,9.7879,9.9673,9.5785,9.8701,422300.0
2020-04-09,9.9449,10.2963,9.8402,10.0945,559214.0
2020-04-10,9.9449,10.2963,9.8402,10.0945,559214.0
2020-04-11,9.9449,10.2963,9.8402,10.0945,559214.0
2020-04-12,9.9449,10.2963,9.8402,10.0945,559214.0
2020-04-13,10.1169,10.2216,9.6907,9.8701,270139.0
2020-04-14,9.9823,10.3636,9.6458,10.2552,493042.0
2020-04-15,10.0645,10.087,9.7431,9.9,487509.0
2020-04-16,9.9524,10.1991,9.8664,10.0945,341537.0
2020-04-17,10.3935,10.5805,10.2776,10.401,337329.0
2020-04-18,10.3935,10.5805,10.2776,10.401,337329.0
2020-04-19,10.3935,10.5805,10.2776,10.401,337329.0
2020-04-20,10.3412,10.6253,10.2452,10.3113,232353.0
2020-04-21,10.1318,10.4608,10.0496,10.1244,427904.0
2020-04-22,10.2365,10.3337,10.0197,10.1917,196101.0
2020-04-23,10.244,10.3562,10.0346,10.0496,167415.0
2020-04-24,10.1468,10.1468,9.915,10.0272,248796.0
2020-04-25,10.1468,10.1468,9.915,10.0272,248796.0
2020-04-26,10.1468,10.1468,9.915,10.0272,248796.0
2020-04-27,10.0421,10.4758,10.0421,10.3636,363271.0
2020-04-28,10.6253,10.6478,10.3337,10.3487,303430.0
2020-04-29,10.4534,10.5281,10.229,10.3337,474544.0
2020-04-30,10.2814,10.3636,9.8776,10.2066,441023.0
2020-05-01,10.0571,10.7226,10.0571,10.6627,382321.0
2020-05-02,10.0571,10.7226,10.0571,10.6627,382321.0
2020-05-03,10.0571,10.7226,10.0571,10.6627,382321.0
2020-05-04,10.6553,11.0815,10.4683,11.0516,354106.0
2020-05-05,11.1338,11.1712,10.6253,10.6553,392086.0
2020-05-06,10.6478,10.7861,10.4833,10.6328,329412.0
2020-05-07,10.7375,10.9095,10.6253,10.6852,454257.0
2020-05-08,10.8048,11.4703,10.8048,11.3731,335568.0
