,MTZ US Equity,MTZ US Equity,MTZ US Equity,MTZ US Equity,MTZ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,40.25,41.25,39.93,40.56,748812.0
2019-01-02,39.63,41.04,39.3,40.88,758815.0
2019-01-03,40.71,40.94,39.59,40.05,666331.0
2019-01-04,41.05,43.05,40.81,42.69,1093672.0
2019-01-05,41.05,43.05,40.81,42.69,1093672.0
2019-01-06,41.05,43.05,40.81,42.69,1093672.0
2019-01-07,42.59,44.33,42.01,43.92,1039472.0
2019-01-08,44.55,44.63,43.5,44.3,857392.0
2019-01-09,44.62,45.51,44.0,44.88,669039.0
2019-01-10,44.55,46.05,44.17,45.78,1347055.0
2019-01-11,45.42,45.6,44.78,45.37,801657.0
2019-01-12,45.42,45.6,44.78,45.37,801657.0
2019-01-13,45.42,45.6,44.78,45.37,801657.0
2019-01-14,44.91,45.75,44.46,44.96,763448.0
2019-01-15,45.04,45.39,44.62,44.83,426346.0
2019-01-16,44.89,45.46,44.64,45.24,607662.0
2019-01-17,44.89,45.55,44.36,44.76,1052243.0
2019-01-18,45.21,46.62,44.98,46.54,1347594.0
2019-01-19,45.21,46.62,44.98,46.54,1347594.0
2019-01-20,45.21,46.62,44.98,46.54,1347594.0
2019-01-21,45.21,46.62,44.98,46.54,1347594.0
2019-01-22,46.07,47.29,45.2,45.64,860688.0
2019-01-23,46.19,46.53,42.73,43.22,1594286.0
2019-01-24,43.36,44.9,43.36,44.65,725110.0
2019-01-25,45.07,45.44,44.25,45.21,746673.0
2019-01-26,45.07,45.44,44.25,45.21,746673.0
2019-01-27,45.07,45.44,44.25,45.21,746673.0
2019-01-28,44.7,45.74,44.3,45.56,871164.0
2019-01-29,45.74,45.74,44.06,44.29,929473.0
2019-01-30,44.29,44.85,42.94,44.48,1005735.0
2019-01-31,44.53,45.09,44.06,44.38,691717.0
2019-02-01,44.31,44.35,43.045,43.19,925643.0
2019-02-02,44.31,44.35,43.045,43.19,925643.0
2019-02-03,44.31,44.35,43.045,43.19,925643.0
2019-02-04,42.97,43.045,41.68,42.39,1299083.0
2019-02-05,42.57,43.04,42.57,43.03,668699.0
2019-02-06,43.11,43.49,42.59,42.66,516990.0
2019-02-07,42.31,42.53,41.24,41.29,846677.0
2019-02-08,41.1,41.6,40.51,41.4,649627.0
2019-02-09,41.1,41.6,40.51,41.4,649627.0
2019-02-10,41.1,41.6,40.51,41.4,649627.0
2019-02-11,41.45,41.73,40.65,41.58,683144.0
2019-02-12,41.8,42.98,41.75,42.84,803536.0
2019-02-13,43.0,43.54,42.93,43.31,767078.0
2019-02-14,43.01,43.64,42.81,43.14,1365273.0
2019-02-15,43.57,43.88,42.99,43.46,656618.0
2019-02-16,43.57,43.88,42.99,43.46,656618.0
2019-02-17,43.57,43.88,42.99,43.46,656618.0
2019-02-18,43.57,43.88,42.99,43.46,656618.0
2019-02-19,43.19,43.965,42.72,43.73,652101.0
2019-02-20,43.72,44.54,43.58,44.5,734162.0
2019-02-21,44.54,45.475,44.285,44.37,906055.0
2019-02-22,44.59,45.39,44.41,44.6,605171.0
2019-02-23,44.59,45.39,44.41,44.6,605171.0
2019-02-24,44.59,45.39,44.41,44.6,605171.0
2019-02-25,44.8,45.61,44.53,45.35,654439.0
2019-02-26,45.25,45.74,44.62,44.66,688039.0
2019-02-27,43.3,44.0,42.77,42.87,1946538.0
2019-02-28,42.91,43.56,42.77,43.18,1324631.0
2019-03-01,46.4,47.22,44.73,46.89,2851888.0
2019-03-02,46.4,47.22,44.73,46.89,2851888.0
2019-03-03,46.4,47.22,44.73,46.89,2851888.0
2019-03-04,47.33,48.05,46.8,47.12,1531410.0
2019-03-05,47.32,47.98,47.11,47.61,1100174.0
2019-03-06,47.8,48.0,47.22,47.26,1046715.0
2019-03-07,47.15,47.15,46.09,46.65,849188.0
2019-03-08,46.19,46.495,45.85,46.02,850452.0
2019-03-09,46.19,46.495,45.85,46.02,850452.0
2019-03-10,46.19,46.495,45.85,46.02,850452.0
2019-03-11,45.95,46.9,45.47,46.76,1037447.0
2019-03-12,46.91,47.91,46.82,47.68,876736.0
2019-03-13,48.0,48.215,47.46,47.71,980685.0
2019-03-14,47.49,47.78,47.16,47.21,811737.0
2019-03-15,47.25,47.93,47.02,47.65,1284304.0
2019-03-16,47.25,47.93,47.02,47.65,1284304.0
2019-03-17,47.25,47.93,47.02,47.65,1284304.0
2019-03-18,47.72,48.35,47.41,48.04,415216.0
2019-03-19,48.24,48.77,47.31,47.47,867620.0
2019-03-20,47.37,47.55,46.41,47.0,535900.0
2019-03-21,46.98,48.43,46.92,47.77,1251489.0
2019-03-22,47.46,47.59,45.29,45.38,1058661.0
2019-03-23,47.46,47.59,45.29,45.38,1058661.0
2019-03-24,47.46,47.59,45.29,45.38,1058661.0
2019-03-25,45.38,45.86,44.55,45.72,721387.0
2019-03-26,45.93,46.71,45.675,46.17,699012.0
2019-03-27,46.16,46.49,45.47,46.14,861589.0
2019-03-28,46.3,47.33,46.19,47.22,742103.0
2019-03-29,47.65,48.345,47.56,48.1,1020517.0
2019-03-30,47.65,48.345,47.56,48.1,1020517.0
2019-03-31,47.65,48.345,47.56,48.1,1020517.0
2019-04-01,48.51,49.01,48.0,48.68,962451.0
2019-04-02,48.6,49.16,48.3801,49.01,606557.0
2019-04-03,49.34,49.99,49.015,49.5,905951.0
2019-04-04,49.56,50.46,49.34,49.8,663909.0
2019-04-05,50.22,50.69,49.84,50.34,704626.0
2019-04-06,50.22,50.69,49.84,50.34,704626.0
2019-04-07,50.22,50.69,49.84,50.34,704626.0
2019-04-08,50.0,50.79,49.41,50.71,587091.0
2019-04-09,50.29,50.475,49.49,49.58,641771.0
2019-04-10,49.67,50.59,49.58,50.44,420362.0
2019-04-11,50.42,50.87,50.16,50.66,355457.0
2019-04-12,51.0,51.82,50.81,51.51,610301.0
2019-04-13,51.0,51.82,50.81,51.51,610301.0
2019-04-14,51.0,51.82,50.81,51.51,610301.0
2019-04-15,51.33,52.15,51.015,51.55,606585.0
2019-04-16,51.78,52.79,51.55,52.27,616593.0
2019-04-17,52.69,52.78,51.83,52.17,569994.0
2019-04-18,52.15,52.72,51.37,51.87,845021.0
2019-04-19,52.15,52.72,51.37,51.87,845021.0
2019-04-20,52.15,52.72,51.37,51.87,845021.0
2019-04-21,52.15,52.72,51.37,51.87,845021.0
2019-04-22,51.75,52.4136,51.4,52.35,510361.0
2019-04-23,52.36,53.14,51.85,52.53,602652.0
2019-04-24,52.54,53.1,52.45,52.61,610898.0
2019-04-25,52.18,52.18,50.47,51.18,829359.0
2019-04-26,51.35,51.53,50.69,51.19,613714.0
2019-04-27,51.35,51.53,50.69,51.19,613714.0
2019-04-28,51.35,51.53,50.69,51.19,613714.0
2019-04-29,51.4,51.755,50.71,51.37,745772.0
2019-04-30,51.54,51.54,50.44,50.65,1315668.0
2019-05-01,51.0,51.37,50.14,50.89,988698.0
2019-05-02,51.05,51.4,49.61,50.21,1271134.0
2019-05-03,53.1,53.8,49.13,49.9,2081234.0
2019-05-04,53.1,53.8,49.13,49.9,2081234.0
2019-05-05,53.1,53.8,49.13,49.9,2081234.0
2019-05-06,48.91,51.81,48.55,51.64,1297085.0
2019-05-07,51.32,51.96,50.74,51.24,1247448.0
2019-05-08,51.34,51.765,50.71,51.49,862176.0
2019-05-09,50.99,51.27,49.81,51.06,647867.0
2019-05-10,50.75,51.375,50.1,51.27,923011.0
2019-05-11,50.75,51.375,50.1,51.27,923011.0
2019-05-12,50.75,51.375,50.1,51.27,923011.0
2019-05-13,50.06,50.3,47.4,47.7,935974.0
2019-05-14,47.8,48.82,47.8,48.37,516701.0
2019-05-15,47.9,48.29,47.17,47.87,701801.0
2019-05-16,47.94,48.64,47.94,48.27,666990.0
2019-05-17,47.68,47.81,46.2,46.32,910808.0
2019-05-18,47.68,47.81,46.2,46.32,910808.0
2019-05-19,47.68,47.81,46.2,46.32,910808.0
2019-05-20,45.91,46.19,45.56,45.84,759885.0
2019-05-21,46.36,47.915,46.36,47.8,749254.0
2019-05-22,47.5,47.89,47.175,47.31,479586.0
2019-05-23,46.59,46.71,45.52,45.75,574205.0
2019-05-24,46.17,46.51,45.66,46.05,330500.0
2019-05-25,46.17,46.51,45.66,46.05,330500.0
2019-05-26,46.17,46.51,45.66,46.05,330500.0
2019-05-27,46.17,46.51,45.66,46.05,330500.0
2019-05-28,46.49,47.34,46.26,46.35,442829.0
2019-05-29,45.99,46.82,45.55,46.67,499348.0
2019-05-30,46.83,48.25,46.83,47.54,931132.0
2019-05-31,46.78,47.38,45.99,46.49,553221.0
2019-06-01,46.78,47.38,45.99,46.49,553221.0
2019-06-02,46.78,47.38,45.99,46.49,553221.0
2019-06-03,46.48,47.27,46.38,47.11,619449.0
2019-06-04,47.82,49.87,47.82,49.83,741380.0
2019-06-05,50.0,50.67,48.7,49.56,473821.0
2019-06-06,49.56,49.945,48.88,49.55,338704.0
2019-06-07,49.54,50.18,49.05,49.65,400239.0
2019-06-08,49.54,50.18,49.05,49.65,400239.0
2019-06-09,49.54,50.18,49.05,49.65,400239.0
2019-06-10,49.99,50.48,48.98,49.13,625485.0
2019-06-11,49.8,49.83,49.06,49.3,497593.0
2019-06-12,49.04,49.29,48.53,48.84,368460.0
2019-06-13,49.19,49.37,48.52,48.71,552959.0
2019-06-14,48.51,48.655,47.97,48.42,388345.0
2019-06-15,48.51,48.655,47.97,48.42,388345.0
2019-06-16,48.51,48.655,47.97,48.42,388345.0
2019-06-17,48.5,48.54,47.54,47.56,606370.0
2019-06-18,48.0,48.83,47.68,48.1,559422.0
2019-06-19,48.17,48.72,47.94,48.44,618806.0
2019-06-20,49.22,49.78,48.49,48.81,661720.0
2019-06-21,48.48,48.5512,47.95,48.03,867113.0
2019-06-22,48.48,48.5512,47.95,48.03,867113.0
2019-06-23,48.48,48.5512,47.95,48.03,867113.0
2019-06-24,48.25,49.15,47.85,48.0,411294.0
2019-06-25,47.95,48.27,47.65,47.66,462223.0
2019-06-26,47.93,49.04,47.74,48.82,640679.0
2019-06-27,49.13,49.42,48.79,49.06,590488.0
2019-06-28,49.15,51.6299,49.15,51.53,1090236.0
2019-06-29,49.15,51.6299,49.15,51.53,1090236.0
2019-06-30,49.15,51.6299,49.15,51.53,1090236.0
2019-07-01,52.17,52.8,51.44,51.77,710682.0
2019-07-02,51.57,52.15,51.2224,51.91,397009.0
2019-07-03,52.28,52.91,51.36,52.13,601973.0
2019-07-04,52.28,52.91,51.36,52.13,601973.0
2019-07-05,51.56,52.43,51.55,52.22,436293.0
2019-07-06,51.56,52.43,51.55,52.22,436293.0
2019-07-07,51.56,52.43,51.55,52.22,436293.0
2019-07-08,51.97,52.41,51.74,51.89,353081.0
2019-07-09,51.5,51.84,50.49,51.41,389918.0
2019-07-10,51.73,51.84,50.8,51.21,251664.0
2019-07-11,51.34,51.4,50.18,50.87,441837.0
2019-07-12,51.11,51.5,50.72,51.3,274384.0
2019-07-13,51.11,51.5,50.72,51.3,274384.0
2019-07-14,51.11,51.5,50.72,51.3,274384.0
2019-07-15,51.45,51.69,50.65,51.29,314826.0
2019-07-16,51.22,51.84,50.69,50.86,371352.0
2019-07-17,50.55,50.73,50.06,50.28,280605.0
2019-07-18,50.28,50.345,49.3,49.46,534769.0
2019-07-19,49.49,50.27,49.49,49.78,374072.0
2019-07-20,49.49,50.27,49.49,49.78,374072.0
2019-07-21,49.49,50.27,49.49,49.78,374072.0
2019-07-22,49.93,50.46,49.23,49.31,719761.0
2019-07-23,49.6,50.72,49.53,50.65,893712.0
2019-07-24,50.48,52.84,50.48,52.75,641052.0
2019-07-25,52.76,53.5,51.71,51.76,610257.0
2019-07-26,51.77,52.59,51.65,51.92,453571.0
2019-07-27,51.77,52.59,51.65,51.92,453571.0
2019-07-28,51.77,52.59,51.65,51.92,453571.0
2019-07-29,51.84,52.21,51.57,52.06,493401.0
2019-07-30,51.62,53.41,51.04,53.34,739002.0
2019-07-31,53.42,53.82,51.05,51.32,951431.0
2019-08-01,51.09,51.8,49.475,50.09,1064698.0
2019-08-02,54.33,58.43,53.14,58.02,5407918.0
2019-08-03,54.33,58.43,53.14,58.02,5407918.0
2019-08-04,54.33,58.43,53.14,58.02,5407918.0
2019-08-05,57.0,58.98,56.605,57.97,2263759.0
2019-08-06,58.44,60.61,58.3924,60.12,2081164.0
2019-08-07,59.31,60.37,58.37,60.08,1782873.0
2019-08-08,60.5,61.31,59.91,60.29,1101004.0
2019-08-09,60.27,61.61,60.01,61.28,1033143.0
2019-08-10,60.27,61.61,60.01,61.28,1033143.0
2019-08-11,60.27,61.61,60.01,61.28,1033143.0
2019-08-12,61.14,61.64,60.05,60.2,1321209.0
2019-08-13,60.2,61.535,60.13,61.13,1049326.0
2019-08-14,60.18,60.45,58.81,59.02,941960.0
2019-08-15,59.52,59.64,58.8,59.08,871821.0
2019-08-16,59.57,60.5,59.53,60.37,811379.0
2019-08-17,59.57,60.5,59.53,60.37,811379.0
2019-08-18,59.57,60.5,59.53,60.37,811379.0
2019-08-19,61.35,61.45,60.46,60.84,584545.0
2019-08-20,60.82,61.18,60.53,60.99,555695.0
