,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,54.7701,55.425,54.6637,55.384,1222015.0
2019-01-02,54.5327,55.2121,54.2871,55.1303,1161249.0
2019-01-03,54.2217,54.3772,52.7073,52.9038,1926783.0
2019-01-04,53.8124,55.2285,53.5832,55.2203,1651856.0
2019-01-05,53.8124,55.2285,53.5832,55.2203,1651856.0
2019-01-06,53.8124,55.2285,53.5832,55.2203,1651856.0
2019-01-07,55.1303,55.8506,55.0361,55.4986,1556431.0
2019-01-08,56.2108,56.2763,55.0648,55.7524,1521657.0
2019-01-09,55.7524,56.8493,55.7278,56.6692,1400626.0
2019-01-10,56.2763,57.2831,56.088,57.2012,1203713.0
2019-01-11,56.6692,56.9475,56.3745,56.8984,1102678.0
2019-01-12,56.6692,56.9475,56.3745,56.8984,1102678.0
2019-01-13,56.6692,56.9475,56.3745,56.8984,1102678.0
2019-01-14,56.5628,57.2094,56.4973,56.9966,1123933.0
2019-01-15,57.0703,57.2995,56.4809,57.2913,1225641.0
2019-01-16,57.1931,57.6842,57.0621,57.3158,1137016.0
2019-01-17,57.0212,58.5682,57.0212,58.4291,1151680.0
2019-01-18,58.7729,59.9434,58.7729,59.7797,1811713.0
2019-01-19,58.7729,59.9434,58.7729,59.7797,1811713.0
2019-01-20,58.7729,59.9434,58.7729,59.7797,1811713.0
2019-01-21,58.7729,59.9434,58.7729,59.7797,1811713.0
2019-01-22,59.2968,59.2968,58.2776,58.6665,1194984.0
2019-01-23,58.9038,59.4605,57.8397,58.2326,1046297.0
2019-01-24,58.2572,58.6174,58.0444,58.1098,1179213.0
2019-01-25,58.7565,59.2149,58.5028,59.1412,1464206.0
2019-01-26,58.7565,59.2149,58.5028,59.1412,1464206.0
2019-01-27,58.7565,59.2149,58.5028,59.1412,1464206.0
2019-01-28,58.2899,58.8629,57.9298,58.8465,840922.0
2019-01-29,58.9939,60.6392,58.9939,60.32,1788591.0
2019-01-30,60.7292,61.5478,59.9598,61.1713,1047582.0
2019-01-31,61.1549,61.5478,60.5082,61.3841,1102904.0
2019-02-01,61.4823,61.777,60.6719,60.8438,1285254.0
2019-02-02,61.4823,61.777,60.6719,60.8438,1285254.0
2019-02-03,61.4823,61.777,60.6719,60.8438,1285254.0
2019-02-04,61.0239,61.0239,60.3281,60.8193,1686563.0
2019-02-05,60.9584,61.3677,60.6146,61.0076,2240876.0
2019-02-06,60.7784,61.5601,60.7211,61.3514,1699352.0
2019-02-07,60.7374,61.0403,60.2217,60.9175,1939521.0
2019-02-08,61.7197,63.4305,60.9011,62.8821,3042064.0
2019-02-09,61.7197,63.4305,60.9011,62.8821,3042064.0
2019-02-10,61.7197,63.4305,60.9011,62.8821,3042064.0
2019-02-11,62.833,63.2504,62.129,63.1604,2031930.0
