,FLO US Equity,FLO US Equity,FLO US Equity,FLO US Equity,FLO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.6865,18.7555,18.6003,18.7382,1405363.0
2020-01-02,18.7727,18.8072,18.2426,18.3073,947065.0
2020-01-03,18.3159,18.4322,18.2211,18.4021,859797.0
2020-01-04,18.3159,18.4322,18.2211,18.4021,859797.0
2020-01-05,18.3159,18.4322,18.2211,18.4021,859797.0
2020-01-06,18.3935,18.5486,18.2555,18.4279,1825394.0
2020-01-07,18.4279,18.54,18.2728,18.5055,1297016.0
2020-01-08,18.5314,18.6176,18.3504,18.3676,1237721.0
2020-01-09,18.3848,18.665,18.2986,18.6348,1230378.0
2020-01-10,18.6606,18.7986,18.6003,18.7641,1181087.0
2020-01-11,18.6606,18.7986,18.6003,18.7641,1181087.0
2020-01-12,18.6606,18.7986,18.6003,18.7641,1181087.0
2020-01-13,18.8072,18.9537,18.7986,18.9106,1019661.0
2020-01-14,18.9451,19.0054,18.8072,18.9106,1050327.0
2020-01-15,18.9623,19.0442,18.902,18.9709,1093997.0
2020-01-16,19.0054,19.0916,18.9644,19.0916,800429.0
2020-01-17,19.1088,19.1347,18.9925,19.0571,599256.0
2020-01-18,19.1088,19.1347,18.9925,19.0571,599256.0
2020-01-19,19.1088,19.1347,18.9925,19.0571,599256.0
2020-01-20,19.1088,19.1347,18.9925,19.0571,599256.0
2020-01-21,19.0658,19.083,18.8891,18.9796,823192.0
2020-01-22,19.0399,19.083,18.7037,18.7468,1758498.0
2020-01-23,18.6865,18.9365,18.5529,18.7813,1361282.0
2020-01-24,18.8761,18.8761,18.5055,18.6693,1053215.0
2020-01-25,18.8761,18.8761,18.5055,18.6693,1053215.0
2020-01-26,18.8761,18.8761,18.5055,18.6693,1053215.0
2020-01-27,18.6262,18.8934,18.6089,18.8072,999382.0
2020-01-28,18.7813,18.833,18.5486,18.6003,848546.0
2020-01-29,18.6089,18.8158,18.5227,18.7727,926299.0
2020-01-30,18.8244,18.9365,18.7296,18.9365,840673.0
2020-01-31,18.8761,18.9192,18.5141,18.5572,875398.0
