,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.3626,42.6402,42.3317,42.6341,1277700.0
2020-01-02,42.8747,42.8747,42.2083,42.5477,1310315.0
2020-01-03,42.1713,42.6834,42.0541,42.6032,657582.0
2020-01-04,42.1713,42.6834,42.0541,42.6032,657582.0
2020-01-05,42.1713,42.6834,42.0541,42.6032,657582.0
2020-01-06,42.3502,42.5724,42.2146,42.5415,976680.0
2020-01-07,42.4613,42.5107,41.7394,41.7641,1029356.0
2020-01-08,41.832,42.3194,41.795,42.0603,861698.0
2020-01-09,42.1837,42.3379,41.9307,42.3071,1358273.0
2020-01-10,42.2885,42.2947,41.795,41.869,930782.0
2020-01-11,42.2885,42.2947,41.795,41.869,930782.0
2020-01-12,42.2885,42.2947,41.795,41.869,930782.0
2020-01-13,41.7764,42.1898,41.7703,42.0232,1354715.0
2020-01-14,41.9369,42.3626,41.7826,42.1343,1563198.0
2020-01-15,42.0973,42.6834,42.0849,42.5415,679449.0
2020-01-16,42.6217,43.0351,42.523,43.0228,772806.0
2020-01-17,43.1277,43.4115,43.0043,43.4115,1163022.0
2020-01-18,43.1277,43.4115,43.0043,43.4115,1163022.0
2020-01-19,43.1277,43.4115,43.0043,43.4115,1163022.0
2020-01-20,43.1277,43.4115,43.0043,43.4115,1163022.0
2020-01-21,43.2449,43.4176,42.9611,43.0968,1032761.0
2020-01-22,43.868,44.0408,43.5935,43.9544,1435584.0
2020-01-23,43.7446,44.0716,43.3097,44.0408,1001007.0
2020-01-24,44.0285,44.4974,43.9976,44.4665,1006776.0
2020-01-25,44.0285,44.4974,43.9976,44.4665,1006776.0
2020-01-26,44.0285,44.4974,43.9976,44.4665,1006776.0
2020-01-27,44.1395,44.4542,44.0408,44.1704,1104836.0
2020-01-28,44.2691,44.8861,44.2691,44.6516,1442625.0
2020-01-29,44.9416,45.318,43.9236,44.8861,1513575.0
2020-01-30,44.6701,46.0645,44.4974,46.0152,1120772.0
2020-01-31,45.8548,46.1509,45.1884,45.3673,1409636.0
2020-02-01,45.8548,46.1509,45.1884,45.3673,1409636.0
2020-02-02,45.8548,46.1509,45.1884,45.3673,1409636.0
2020-02-03,45.6265,46.2048,45.5629,45.8979,1492164.0
2020-02-04,46.1447,46.7864,45.9843,46.1756,1126475.0
2020-02-05,46.4656,47.0517,46.3422,47.0085,965508.0
2020-02-06,47.0887,47.7519,47.0887,47.6193,956901.0
2020-02-07,47.533,48.0883,47.4713,48.0081,1220363.0
2020-02-08,47.533,48.0883,47.4713,48.0081,1220363.0
2020-02-09,47.533,48.0883,47.4713,48.0081,1220363.0
2020-02-10,48.0389,48.6127,48.0266,48.5942,1202532.0
2020-02-11,48.6497,48.9952,48.6374,48.915,1160007.0
2020-02-12,48.8533,48.8533,48.4153,48.5202,782952.0
2020-02-13,48.4523,48.9459,48.3165,48.9397,1090160.0
2020-02-14,48.9397,49.0137,48.6374,48.9891,1203158.0
2020-02-15,48.9397,49.0137,48.6374,48.9891,1203158.0
2020-02-16,48.9397,49.0137,48.6374,48.9891,1203158.0
2020-02-17,48.9397,49.0137,48.6374,48.9891,1203158.0
2020-02-18,48.9891,49.2482,48.8101,48.9644,1110141.0
2020-02-19,49.0631,49.3099,48.915,49.0384,717909.0
2020-02-20,48.8595,48.9952,47.8291,48.1685,1506891.0
2020-02-21,48.1191,48.6682,48.0451,48.5263,5061014.0
2020-02-22,48.1191,48.6682,48.0451,48.5263,5061014.0
2020-02-23,48.1191,48.6682,48.0451,48.5263,5061014.0
2020-02-24,48.0204,48.3998,47.4774,47.533,1735737.0
2020-02-25,47.5391,47.7366,46.3175,46.3792,1423632.0
2020-02-26,46.5643,46.99,45.6635,45.682,1443479.0
2020-02-27,45.1514,45.4846,43.1215,43.1832,1537026.0
2020-02-28,42.2577,42.597,40.7954,41.4248,3297467.0
2020-02-29,42.2577,42.597,40.7954,41.4248,3297467.0
2020-03-01,42.2577,42.597,40.7954,41.4248,3297467.0
2020-03-02,41.5111,43.3189,41.0669,43.3128,1744436.0
2020-03-03,43.2511,43.9483,41.7394,41.9307,1752995.0
2020-03-04,42.6402,43.2079,41.7271,43.2017,1970972.0
2020-03-05,42.1837,42.2454,40.8695,41.2088,1957971.0
2020-03-06,39.8946,41.1163,39.5491,40.8695,1883255.0
2020-03-07,39.8946,41.1163,39.5491,40.8695,1883255.0
2020-03-08,39.8946,41.1163,39.5491,40.8695,1883255.0
2020-03-09,38.6915,38.6915,36.5814,37.2045,2303448.0
2020-03-10,38.1935,39.0373,37.1736,39.0094,1903718.0
2020-03-11,37.835,37.9463,35.7705,35.9436,2512802.0
2020-03-12,33.4896,34.0769,31.5858,31.8022,3056633.0
2020-03-13,33.366,34.8619,31.2397,34.7259,2361077.0
2020-03-14,33.366,34.8619,31.2397,34.7259,2361077.0
2020-03-15,33.366,34.8619,31.2397,34.7259,2361077.0
2020-03-16,30.6525,32.7541,29.0639,29.3668,3166433.0
2020-03-17,30.1703,32.921,29.0639,32.8777,2991863.0
2020-03-18,30.8379,32.5563,29.3606,31.3633,3056150.0
2020-03-19,30.943,31.4499,29.6759,29.9478,1958912.0
2020-03-20,30.0591,30.9245,29.1999,29.4101,2734182.0
2020-03-21,30.0591,30.9245,29.1999,29.4101,2734182.0
2020-03-22,30.0591,30.9245,29.1999,29.4101,2734182.0
2020-03-23,28.9094,29.2617,26.61,26.8016,2409896.0
2020-03-24,28.1367,29.8613,27.7226,29.7315,1773531.0
2020-03-25,29.5893,30.6957,28.2356,29.373,1648967.0
2020-03-26,29.6017,31.6291,28.9588,31.4066,1393422.0
2020-03-27,30.7637,33.1002,30.2383,32.0618,1467578.0
2020-03-28,30.7637,33.1002,30.2383,32.0618,1467578.0
2020-03-29,30.7637,33.1002,30.2383,32.0618,1467578.0
2020-03-30,32.0618,33.8111,31.1532,33.6936,1871802.0
2020-03-31,33.1311,33.4742,31.5549,32.2472,4515780.0
