,NRC US Equity,NRC US Equity,NRC US Equity,NRC US Equity,NRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,61.0201,61.8288,60.6505,61.2897,47075.0
2020-01-02,61.6057,62.0704,59.9559,61.1595,29835.0
2020-01-03,60.574,62.5073,60.3881,62.089,24067.0
2020-01-04,60.574,62.5073,60.3881,62.089,24067.0
2020-01-05,60.574,62.5073,60.3881,62.089,24067.0
2020-01-06,61.5592,63.6598,61.1874,63.4832,35873.0
2020-01-07,63.223,63.4368,61.9217,61.9217,20361.0
2020-01-08,62.0333,63.3903,62.0181,62.8512,26832.0
2020-01-09,63.13,64.1833,62.7025,62.9441,19938.0
2020-01-10,62.9906,63.4105,61.9886,62.8326,22178.0
2020-01-11,62.9906,63.4105,61.9886,62.8326,22178.0
2020-01-12,62.9906,63.4105,61.9886,62.8326,22178.0
2020-01-13,62.8605,64.1199,61.9171,63.6691,15752.0
2020-01-14,63.6691,64.7287,62.0611,62.1355,36189.0
2020-01-15,61.9775,62.7582,61.8102,62.3586,22482.0
2020-01-16,62.7118,63.0371,61.8102,62.0983,39228.0
2020-01-17,62.5631,63.3159,61.7079,61.9496,35270.0
2020-01-18,62.5631,63.3159,61.7079,61.9496,35270.0
2020-01-19,62.5631,63.3159,61.7079,61.9496,35270.0
2020-01-20,62.5631,63.3159,61.7079,61.9496,35270.0
2020-01-21,61.931,65.0541,61.931,64.5335,30272.0
2020-01-22,65.0633,65.463,64.1432,64.6916,36890.0
2020-01-23,64.1339,65.2343,63.9108,65.0541,25939.0
2020-01-24,65.2028,66.3205,64.106,64.2733,18334.0
2020-01-25,65.2028,66.3205,64.106,64.2733,18334.0
2020-01-26,65.2028,66.3205,64.106,64.2733,18334.0
2020-01-27,63.4182,65.2864,63.3717,64.8403,18083.0
2020-01-28,64.4406,65.3887,63.7481,65.3887,25619.0
2020-01-29,65.2957,65.2957,63.8736,64.4499,10375.0
2020-01-30,63.697,64.7845,62.2267,64.3476,12601.0
2020-01-31,64.2826,65.5978,61.1274,62.8977,56131.0
2020-02-01,64.2826,65.5978,61.1274,62.8977,56131.0
2020-02-02,64.2826,65.5978,61.1274,62.8977,56131.0
2020-02-03,63.2695,64.8124,63.2044,64.6265,21088.0
2020-02-04,64.8124,65.6117,63.8643,63.8736,40157.0
2020-02-05,64.171,64.9425,63.4554,64.7752,11358.0
2020-02-06,64.8124,65.1516,64.4499,64.6265,22599.0
2020-02-07,64.3848,65.2957,62.6772,63.0557,22785.0
2020-02-08,64.3848,65.2957,62.6772,63.0557,22785.0
2020-02-09,64.3848,65.2957,62.6772,63.0557,22785.0
2020-02-10,63.1022,63.8039,62.2749,62.9441,28387.0
2020-02-11,63.0278,64.2919,61.6196,63.0929,31258.0
2020-02-12,63.4925,64.0089,62.221,63.1579,20830.0
2020-02-13,63.0836,64.7177,62.4701,64.4592,20452.0
2020-02-14,64.2826,65.1749,63.288,64.0595,33731.0
2020-02-15,64.2826,65.1749,63.288,64.0595,33731.0
2020-02-16,64.2826,65.1749,63.288,64.0595,33731.0
2020-02-17,64.2826,65.1749,63.288,64.0595,33731.0
2020-02-18,63.855,64.1339,63.1161,63.9573,23329.0
2020-02-19,64.0967,64.1339,63.5111,63.8922,16424.0
2020-02-20,63.6598,63.9573,62.3734,62.8233,22503.0
2020-02-21,62.8326,63.3159,61.7637,63.0092,27060.0
2020-02-22,62.8326,63.3159,61.7637,63.0092,27060.0
2020-02-23,62.8326,63.3159,61.7637,63.0092,27060.0
2020-02-24,62.2099,62.656,61.5406,61.5499,37843.0
2020-02-25,61.7637,62.247,58.3246,61.9682,49345.0
2020-02-26,61.9961,62.3586,58.3061,58.6685,25701.0
2020-02-27,58.2224,58.2782,52.8036,54.4023,55520.0
2020-02-28,53.8446,54.2768,49.2622,51.1119,56133.0
2020-02-29,53.8446,54.2768,49.2622,51.1119,56133.0
2020-03-01,53.8446,54.2768,49.2622,51.1119,56133.0
2020-03-02,51.8369,52.943,51.3071,52.3388,55590.0
2020-03-03,52.0414,52.8082,49.3087,49.9779,28657.0
2020-03-04,50.7029,53.4449,48.909,52.8686,33190.0
2020-03-05,51.5859,51.7254,49.2622,50.1917,25999.0
2020-03-06,49.1042,51.3722,48.7882,50.6751,49635.0
2020-03-07,49.1042,51.3722,48.7882,50.6751,49635.0
2020-03-08,49.1042,51.3722,48.7882,50.6751,49635.0
2020-03-09,48.4629,51.1212,47.5334,48.7975,32657.0
