,CFFN US Equity,CFFN US Equity,CFFN US Equity,CFFN US Equity,CFFN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.4333,10.4636,10.403,10.403,277274.0
2020-01-02,10.4485,10.4485,10.2287,10.3197,305705.0
2020-01-03,10.2287,10.35,10.1984,10.3424,359258.0
2020-01-04,10.2287,10.35,10.1984,10.3424,359258.0
2020-01-05,10.2287,10.35,10.1984,10.3424,359258.0
2020-01-06,10.35,10.3803,10.1909,10.3576,405692.0
2020-01-07,10.2894,10.3651,10.2894,10.3197,240615.0
2020-01-08,10.2894,10.3954,10.2894,10.3197,323097.0
2020-01-09,10.3348,10.3954,10.3045,10.35,215282.0
2020-01-10,10.3197,10.3727,10.2666,10.3272,208937.0
2020-01-11,10.3197,10.3727,10.2666,10.3272,208937.0
2020-01-12,10.3197,10.3727,10.2666,10.3272,208937.0
2020-01-13,10.2894,10.3727,10.2742,10.3651,472604.0
2020-01-14,10.3727,10.5242,10.3348,10.4257,299613.0
2020-01-15,10.3727,10.4636,10.3576,10.4257,235689.0
2020-01-16,10.4864,10.6227,10.4561,10.5546,254330.0
2020-01-17,10.6303,10.6303,10.4712,10.4712,208677.0
2020-01-18,10.6303,10.6303,10.4712,10.4712,208677.0
2020-01-19,10.6303,10.6303,10.4712,10.4712,208677.0
2020-01-20,10.6303,10.6303,10.4712,10.4712,208677.0
2020-01-21,10.4409,10.4636,10.3576,10.3651,177984.0
2020-01-22,10.3954,10.3954,10.2894,10.3045,178099.0
2020-01-23,10.2666,10.3803,10.2363,10.3348,346636.0
2020-01-24,10.3576,10.4182,10.2515,10.3348,231659.0
2020-01-25,10.3576,10.4182,10.2515,10.3348,231659.0
2020-01-26,10.3576,10.4182,10.2515,10.3348,231659.0
2020-01-27,10.2136,10.4182,10.206,10.3424,342735.0
2020-01-28,10.403,10.5167,10.35,10.3576,372891.0
2020-01-29,10.3272,10.3954,10.2591,10.2628,414932.0
2020-01-30,10.2591,10.3348,10.1227,10.3272,268041.0
2020-01-31,10.2363,10.2363,9.956,9.9863,612878.0
2020-02-01,10.2363,10.2363,9.956,9.9863,612878.0
2020-02-02,10.2363,10.2363,9.956,9.9863,612878.0
2020-02-03,10.0014,10.0583,9.9408,9.9711,441335.0
2020-02-04,10.0393,10.1227,9.9408,9.9522,370931.0
2020-02-05,9.9939,10.1302,9.9787,10.0999,400314.0
2020-02-06,10.1724,10.18,10.0123,10.0351,231331.0
2020-02-07,10.0428,10.0428,9.9512,10.0199,294764.0
2020-02-08,10.0428,10.0428,9.9512,10.0199,294764.0
2020-02-09,10.0428,10.0428,9.9512,10.0199,294764.0
2020-02-10,10.0275,10.0961,9.9894,10.0809,214155.0
2020-02-11,10.1038,10.2029,10.0733,10.1343,841697.0
2020-02-12,10.18,10.2181,10.1266,10.1876,236841.0
2020-02-13,10.1495,10.2029,10.1343,10.1571,200468.0
2020-02-14,10.1648,10.1876,10.058,10.1038,212339.0
2020-02-15,10.1648,10.1876,10.058,10.1038,212339.0
