,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,47.088,47.8724,46.767,47.7485,4321951.0
2019-01-02,46.7578,50.1979,46.6844,49.6842,4282744.0
2019-01-03,49.097,49.4254,47.7577,47.9045,4240571.0
2019-01-04,49.2163,50.7758,49.0787,50.6107,4071993.0
2019-01-05,49.2163,50.7758,49.0787,50.6107,4071993.0
2019-01-06,49.2163,50.7758,49.0787,50.6107,4071993.0
2019-01-07,50.6749,51.4271,49.6108,50.8859,3223911.0
2019-01-08,51.4088,52.0418,50.7942,51.9042,3856657.0
2019-01-09,52.1748,52.8766,52.0051,52.2161,4145453.0
2019-01-10,51.7941,52.7481,51.3813,52.0418,3087166.0
2019-01-11,51.8124,52.3353,50.9409,52.2528,2288594.0
2019-01-12,51.8124,52.3353,50.9409,52.2528,2288594.0
2019-01-13,51.8124,52.3353,50.9409,52.2528,2288594.0
2019-01-14,51.4638,51.4638,50.5281,51.1978,2868603.0
2019-01-15,51.5739,52.1518,51.2125,51.9225,4092314.0
2019-01-16,52.1243,53.1059,51.9317,52.0876,2595222.0
2019-01-17,51.6748,52.6747,51.3537,52.3353,3944753.0
2019-01-18,52.8399,53.3995,51.8032,52.9316,8034122.0
2019-01-19,52.8399,53.3995,51.8032,52.9316,8034122.0
2019-01-20,52.8399,53.3995,51.8032,52.9316,8034122.0
2019-01-21,52.8399,53.3995,51.8032,52.9316,8034122.0
2019-01-22,52.7298,52.7481,51.207,52.3353,6412671.0
2019-01-23,52.6105,52.8949,52.0876,52.5555,6251312.0
2019-01-24,51.0327,52.8766,50.6841,51.7115,7920731.0
2019-01-25,52.1977,52.7481,51.7023,52.2436,4405943.0
2019-01-26,52.1977,52.7481,51.7023,52.2436,4405943.0
2019-01-27,52.1977,52.7481,51.7023,52.2436,4405943.0
2019-01-28,51.7299,52.6472,51.1978,51.6106,2881359.0
2019-01-29,51.6473,52.1651,51.4913,51.6198,2070287.0
2019-01-30,52.2711,54.2526,51.9592,54.1333,5517268.0
2019-01-31,54.6195,54.7204,53.2894,53.5371,5201727.0
2019-02-01,53.5187,54.9865,53.5187,54.9406,3816704.0
2019-02-02,53.5187,54.9865,53.5187,54.9406,3816704.0
2019-02-03,53.5187,54.9865,53.5187,54.9406,3816704.0
2019-02-04,54.8581,55.0048,53.9682,54.2159,1738338.0
2019-02-05,54.2251,54.7663,54.1333,54.7205,2307808.0
2019-02-06,54.8122,56.1515,54.8122,55.8305,3979133.0
2019-02-07,55.3993,55.6837,54.1654,54.537,3765028.0
2019-02-08,54.1609,54.8489,53.5921,54.1333,2328556.0
2019-02-09,54.1609,54.8489,53.5921,54.1333,2328556.0
2019-02-10,54.1609,54.8489,53.5921,54.1333,2328556.0
2019-02-11,54.6012,54.9957,53.8673,54.6746,2631537.0
2019-02-12,55.0415,56.0414,54.9039,55.1608,2796471.0
2019-02-13,55.6103,55.9222,55.0599,55.3809,2177473.0
2019-02-14,54.5186,54.8535,52.7114,54.4636,5207290.0
2019-02-15,54.5828,55.4085,53.9223,55.3259,2742720.0
2019-02-16,54.5828,55.4085,53.9223,55.3259,2742720.0
2019-02-17,54.5828,55.4085,53.9223,55.3259,2742720.0
2019-02-18,54.5828,55.4085,53.9223,55.3259,2742720.0
2019-02-19,55.5644,56.7295,55.5644,56.0965,4914810.0
2019-02-20,56.124,56.7203,55.3443,56.28,4959139.0
2019-02-21,56.2433,56.7111,55.7479,56.4267,2575201.0
2019-02-22,56.6836,57.0872,56.0598,56.5185,2137033.0
2019-02-23,56.6836,57.0872,56.0598,56.5185,2137033.0
2019-02-24,56.6836,57.0872,56.0598,56.5185,2137033.0
2019-02-25,56.9221,57.0138,55.9956,56.0231,3367814.0
2019-02-26,55.9589,57.39,55.8763,56.6744,3733786.0
2019-02-27,56.6744,56.8762,55.9268,56.3533,3241979.0
2019-02-28,56.1057,56.9221,55.8671,56.3533,3968295.0
2019-03-01,56.8579,56.8579,55.2525,55.4085,3619684.0
2019-03-02,56.8579,56.8579,55.2525,55.4085,3619684.0
2019-03-03,56.8579,56.8579,55.2525,55.4085,3619684.0
2019-03-04,55.4543,55.6378,54.326,54.7296,3908110.0
2019-03-05,54.9498,55.1333,54.6012,54.6838,2045510.0
2019-03-06,55.0415,56.9038,55.0415,55.647,4859398.0
2019-03-07,55.3901,55.4452,54.326,55.0324,3781317.0
2019-03-08,54.2159,55.3488,54.1609,55.2617,2459094.0
2019-03-09,54.2159,55.3488,54.1609,55.2617,2459094.0
2019-03-10,54.2159,55.3488,54.1609,55.2617,2459094.0
2019-03-11,55.3626,55.6011,54.9406,55.1791,2383725.0
2019-03-12,55.4085,55.4176,54.1517,54.2709,3350960.0
2019-03-13,54.5462,54.9131,54.2251,54.4361,2254621.0
2019-03-14,54.4636,54.5095,53.4637,54.5095,3396650.0
2019-03-15,54.9865,55.6286,54.5507,54.8214,2941251.0
2019-03-16,54.9865,55.6286,54.5507,54.8214,2941251.0
2019-03-17,54.9865,55.6286,54.5507,54.8214,2941251.0
2019-03-18,55.069,55.2433,54.4085,55.1149,3511984.0
2019-03-19,55.468,55.691,54.8361,55.1056,4210059.0
2019-03-20,55.0406,55.3751,54.4365,54.9569,2548558.0
2019-03-21,55.0127,56.9177,54.7339,56.8712,3915347.0
2019-03-22,56.3508,56.5088,55.1242,55.3565,4109453.0
2019-03-23,56.3508,56.5088,55.1242,55.3565,4109453.0
2019-03-24,56.3508,56.5088,55.1242,55.3565,4109453.0
2019-03-25,55.2264,55.6632,54.418,55.087,3530961.0
2019-03-26,55.1521,56.0999,55.1521,55.849,3041168.0
2019-03-27,55.849,55.9791,54.7246,54.8547,2736642.0
2019-03-28,54.8547,56.2161,54.8547,56.0628,3817104.0
2019-03-29,56.2114,56.7969,55.691,56.6482,4571750.0
2019-03-30,56.2114,56.7969,55.691,56.6482,4571750.0
2019-03-31,56.2114,56.7969,55.691,56.6482,4571750.0
2019-04-01,58.0328,58.9853,57.8748,58.8691,4116991.0
2019-04-02,58.9435,60.3839,58.6182,60.263,5870466.0
2019-04-03,60.4024,61.3782,59.5103,59.6311,4425489.0
2019-04-04,59.7798,61.0343,59.4825,60.9693,4354043.0
2019-04-05,61.0808,61.3038,60.7701,61.2574,2779635.0
2019-04-06,61.0808,61.3038,60.7701,61.2574,2779635.0
2019-04-07,61.0808,61.3038,60.7701,61.2574,2779635.0
2019-04-08,61.6198,61.7685,60.96,61.3689,2183089.0
2019-04-09,60.8857,60.9972,60.4675,60.895,2711715.0
2019-04-10,61.2667,61.5176,60.9228,61.1923,1773420.0
2019-04-11,61.341,61.5222,60.9972,61.406,2558373.0
2019-04-12,61.7963,62.3911,61.6848,62.1402,2631376.0
2019-04-13,61.7963,62.3911,61.6848,62.1402,2631376.0
2019-04-14,61.7963,62.3911,61.6848,62.1402,2631376.0
2019-04-15,62.4375,62.5676,61.341,61.8242,2574201.0
2019-04-16,62.0751,63.3854,61.9822,63.3389,2776690.0
2019-04-17,63.3947,63.4133,62.7442,63.1066,6536912.0
2019-04-18,64.1567,64.6771,62.0844,63.3947,7743853.0
2019-04-19,64.1567,64.6771,62.0844,63.3947,7743853.0
2019-04-20,64.1567,64.6771,62.0844,63.3947,7743853.0
2019-04-21,64.1567,64.6771,62.0844,63.3947,7743853.0
2019-04-22,62.9672,63.1717,61.8149,62.103,4830089.0
2019-04-23,61.8149,62.8464,61.6848,62.326,3575846.0
2019-04-24,62.1495,62.4468,61.7685,62.2981,3889803.0
2019-04-25,62.2052,62.642,61.945,62.3911,2778044.0
2019-04-26,62.7349,63.5619,62.3074,63.0601,2354893.0
2019-04-27,62.7349,63.5619,62.3074,63.0601,2354893.0
2019-04-28,62.7349,63.5619,62.3074,63.0601,2354893.0
2019-04-29,63.5248,63.6177,62.9208,63.2553,2574436.0
2019-04-30,62.6048,62.8557,62.0751,62.3074,3381615.0
2019-05-01,63.0044,63.7013,62.7907,63.0694,2402891.0
2019-05-02,62.7442,63.3947,62.0379,62.6606,1717374.0
2019-05-03,63.0973,63.627,62.8743,63.5991,1801259.0
2019-05-04,63.0973,63.627,62.8743,63.5991,1801259.0
2019-05-05,63.0973,63.627,62.8743,63.5991,1801259.0
2019-05-06,61.9822,62.2889,61.0715,61.8614,4015458.0
2019-05-07,61.3968,61.9079,58.3209,59.8913,9768220.0
2019-05-08,60.0865,61.2945,59.5289,60.6998,3085088.0
2019-05-09,59.8356,60.6998,58.8227,60.2909,4101724.0
2019-05-10,59.6869,61.1087,59.1479,60.8392,2697259.0
2019-05-11,59.6869,61.1087,59.1479,60.8392,2697259.0
2019-05-12,59.6869,61.1087,59.1479,60.8392,2697259.0
2019-05-13,59.1479,59.1851,57.0199,57.7169,5494387.0
2019-05-14,58.0886,58.9435,57.5496,58.2837,2951664.0
2019-05-15,57.8934,58.8784,57.373,58.4974,1863831.0
2019-05-16,59.0364,59.3198,58.5625,58.9156,2336600.0
2019-05-17,58.1815,58.4603,55.9977,56.0442,6115409.0
2019-05-18,58.1815,58.4603,55.9977,56.0442,6115409.0
2019-05-19,58.1815,58.4603,55.9977,56.0442,6115409.0
2019-05-20,55.4309,55.561,53.3493,55.0313,10406675.0
2019-05-21,55.3844,55.7468,54.4365,54.5295,6494828.0
2019-05-22,54.325,54.9662,54.0091,54.4458,4724307.0
2019-05-23,53.6745,53.7768,52.2249,52.9404,6210756.0
2019-05-24,53.3307,53.9938,52.6245,53.3679,3831930.0
2019-05-25,53.3307,53.9938,52.6245,53.3679,3831930.0
2019-05-26,53.3307,53.9938,52.6245,53.3679,3831930.0
2019-05-27,53.3307,53.9938,52.6245,53.3679,3831930.0
2019-05-28,53.5537,54.2321,52.6338,52.8196,5587066.0
2019-05-29,52.2063,53.0798,52.0855,52.6523,6488987.0
2019-05-30,52.7453,53.0148,51.3328,51.6116,4286542.0
2019-05-31,51.0726,51.6673,50.436,51.1098,6388779.0
2019-06-01,51.0726,51.6673,50.436,51.1098,6388779.0
2019-06-02,51.0726,51.6673,50.436,51.1098,6388779.0
