,GBDC US Equity,GBDC US Equity,GBDC US Equity,GBDC US Equity,GBDC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,12.3584,12.3784,12.2851,12.2885,1967210.0
2020-01-02,12.2851,12.2985,12.1853,12.2186,559631.0
2020-01-03,12.2186,12.2385,12.152,12.1919,363366.0
2020-01-04,12.2186,12.2385,12.152,12.1919,363366.0
2020-01-05,12.2186,12.2385,12.152,12.1919,363366.0
2020-01-06,12.2186,12.2385,12.1387,12.1586,475974.0
2020-01-07,12.1054,12.2585,12.0987,12.1253,566279.0
2020-01-08,12.1586,12.1786,12.092,12.1054,534507.0
2020-01-09,12.0987,12.172,12.0987,12.132,787050.0
2020-01-10,12.1054,12.2052,12.0787,12.1786,511043.0
2020-01-11,12.1054,12.2052,12.0787,12.1786,511043.0
2020-01-12,12.1054,12.2052,12.0787,12.1786,511043.0
2020-01-13,12.1387,12.2519,12.132,12.2385,679979.0
2020-01-14,12.2385,12.2851,12.1786,12.2119,633335.0
2020-01-15,12.1919,12.2452,12.1919,12.2319,784882.0
2020-01-16,12.2519,12.2519,12.1986,12.2119,582277.0
2020-01-17,12.2186,12.2519,12.2052,12.2519,398785.0
2020-01-18,12.2186,12.2519,12.2052,12.2519,398785.0
2020-01-19,12.2186,12.2519,12.2052,12.2519,398785.0
2020-01-20,12.2186,12.2519,12.2052,12.2519,398785.0
2020-01-21,12.2519,12.2985,12.2152,12.2718,420650.0
2020-01-22,12.2985,12.3184,12.2452,12.2618,229015.0
2020-01-23,12.2585,12.3184,12.2319,12.2985,441372.0
2020-01-24,12.2851,12.3184,12.2585,12.2718,381505.0
2020-01-25,12.2851,12.3184,12.2585,12.2718,381505.0
2020-01-26,12.2851,12.3184,12.2585,12.2718,381505.0
2020-01-27,12.2652,12.2652,12.172,12.2519,293111.0
2020-01-28,12.2785,12.2785,12.2052,12.2585,424546.0
2020-01-29,12.2652,12.3051,12.2219,12.2652,404040.0
2020-01-30,12.2585,12.2685,12.2119,12.2452,457288.0
2020-01-31,12.2452,12.3318,12.2319,12.2585,838848.0
2020-02-01,12.2452,12.3318,12.2319,12.2585,838848.0
2020-02-02,12.2452,12.3318,12.2319,12.2585,838848.0
2020-02-03,12.2718,12.3078,12.2585,12.2918,398926.0
2020-02-04,12.3051,12.3318,12.2052,12.2119,597086.0
2020-02-05,12.2785,12.3184,12.2252,12.2519,631152.0
2020-02-06,12.2985,12.3251,12.2385,12.2452,780028.0
2020-02-07,12.2519,12.3118,12.2286,12.2585,989949.0
