,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,94.0902,94.6328,94.0191,94.4816,412683.0
2020-01-02,94.8106,95.0241,93.2186,94.108,751968.0
2020-01-03,92.9963,93.2764,91.6621,92.7739,799060.0
2020-01-04,92.9963,93.2764,91.6621,92.7739,799060.0
2020-01-05,92.9963,93.2764,91.6621,92.7739,799060.0
2020-01-06,91.9823,92.2803,90.4348,90.8083,644116.0
2020-01-07,90.4703,91.6088,89.6254,90.4614,583205.0
2020-01-08,90.4614,91.2263,90.159,90.2035,597278.0
2020-01-09,90.3547,90.5148,89.0651,89.661,707067.0
2020-01-10,90.0079,90.0434,87.6776,87.9622,818496.0
2020-01-11,90.0079,90.0434,87.6776,87.9622,818496.0
2020-01-12,90.0079,90.0434,87.6776,87.9622,818496.0
2020-01-13,87.8733,88.8072,87.0461,88.6737,711881.0
2020-01-14,88.5048,89.0829,88.2201,88.9406,871203.0
2020-01-15,88.9317,89.6057,87.9622,88.318,650901.0
2020-01-16,88.7627,90.3547,88.5403,90.3458,714014.0
2020-01-17,90.7194,91.4665,89.9545,91.4309,953212.0
2020-01-18,90.7194,91.4665,89.9545,91.4309,953212.0
2020-01-19,90.7194,91.4665,89.9545,91.4309,953212.0
2020-01-20,90.7194,91.4665,89.9545,91.4309,953212.0
2020-01-21,90.7994,90.9862,89.8655,90.2035,952446.0
2020-01-22,90.4881,90.7905,88.8961,89.1273,447029.0
2020-01-23,88.6471,89.2607,87.9622,89.0918,737390.0
2020-01-24,89.1896,89.2963,86.886,87.224,657069.0
2020-01-25,89.1896,89.2963,86.886,87.224,657069.0
2020-01-26,89.1896,89.2963,86.886,87.224,657069.0
2020-01-27,86.2368,86.3168,85.0983,85.5252,754711.0
2020-01-28,86.1656,86.468,85.3918,85.8988,566877.0
2020-01-29,86.1567,87.0995,85.9077,86.4147,564423.0
2020-01-30,85.5252,86.299,84.9827,86.1656,533659.0
2020-01-31,85.9966,86.1923,83.1327,83.2217,851759.0
2020-02-01,85.9966,86.1923,83.1327,83.2217,851759.0
2020-02-02,85.9966,86.1923,83.1327,83.2217,851759.0
2020-02-03,83.7553,84.9694,83.4974,83.871,718192.0
2020-02-04,85.3296,86.4147,84.8137,84.8404,674518.0
2020-02-05,85.5252,87.3841,85.4897,87.1795,623378.0
2020-02-06,87.6954,87.7665,85.1339,85.5164,693302.0
2020-02-07,85.0005,85.2406,84.4227,84.8315,516475.0
2020-02-08,85.0005,85.2406,84.4227,84.8315,516475.0
2020-02-09,85.0005,85.2406,84.4227,84.8315,516475.0
2020-02-10,84.7959,84.9916,83.9866,84.6181,425856.0
2020-02-11,84.6803,85.4452,84.3512,85.125,492260.0
2020-02-12,85.4452,86.0678,85.125,85.8721,457011.0
2020-02-13,85.3918,86.2457,85.1072,86.2368,464731.0
2020-02-14,86.2546,86.2546,85.0983,85.801,641752.0
2020-02-15,86.2546,86.2546,85.0983,85.801,641752.0
2020-02-16,86.2546,86.2546,85.0983,85.801,641752.0
2020-02-17,86.2546,86.2546,85.0983,85.801,641752.0
2020-02-18,85.6853,86.8994,85.3029,86.0589,1215700.0
2020-02-19,88.9406,90.7194,87.6109,88.3624,1383603.0
2020-02-20,87.7665,88.8783,87.1618,88.5937,750523.0
2020-02-21,88.0689,88.398,85.3829,85.5697,2780058.0
2020-02-22,88.0689,88.398,85.3829,85.5697,2780058.0
2020-02-23,88.0689,88.398,85.3829,85.5697,2780058.0
2020-02-24,83.7909,86.0856,83.115,85.1339,1381190.0
2020-02-25,85.294,85.294,81.8075,81.8609,1219465.0
2020-02-26,82.8037,84.3068,80.1532,80.2066,1313615.0
2020-02-27,79.1126,80.847,77.1115,77.1204,1506096.0
2020-02-28,75.3149,77.6807,75.0747,77.5917,1727756.0
2020-02-29,75.3149,77.6807,75.0747,77.5917,1727756.0
2020-03-01,75.3149,77.6807,75.0747,77.5917,1727756.0
2020-03-02,77.9208,79.2283,75.2704,79.1927,1371806.0
2020-03-03,78.6146,79.7828,75.7418,76.8091,1415909.0
2020-03-04,77.9742,79.4862,76.1954,79.3795,963540.0
2020-03-05,77.1001,78.0729,75.7093,76.8579,1053472.0
2020-03-06,74.794,76.149,72.4878,74.3453,1837015.0
2020-03-07,74.794,76.149,72.4878,74.3453,1837015.0
2020-03-08,74.794,76.149,72.4878,74.3453,1837015.0
2020-03-09,70.4867,73.5197,69.4188,71.9224,1892690.0
2020-03-10,74.5517,77.163,73.1294,77.1001,1270895.0
2020-03-11,74.9734,76.6784,74.2107,75.2875,1495063.0
2020-03-12,70.5854,74.112,67.4985,70.397,2101325.0
2020-03-13,72.9185,73.4749,67.9113,71.1328,1604672.0
2020-03-14,72.9185,73.4749,67.9113,71.1328,1604672.0
2020-03-15,72.9185,73.4749,67.9113,71.1328,1604672.0
2020-03-16,63.4963,66.9377,62.8144,63.6668,1459883.0
2020-03-17,64.6539,68.9702,63.263,68.9612,1462706.0
2020-03-18,64.6988,65.7487,54.6485,59.539,1362863.0
2020-03-19,58.7853,59.5121,55.9317,57.7085,1558730.0
2020-03-20,58.4712,58.5879,49.3721,49.6682,2418331.0
2020-03-21,58.4712,58.5879,49.3721,49.6682,2418331.0
2020-03-22,58.4712,58.5879,49.3721,49.6682,2418331.0
2020-03-23,49.5605,49.758,44.5811,45.1276,2208070.0
2020-03-24,47.2185,54.9715,46.9403,54.5677,1684524.0
2020-03-25,54.6844,61.7196,53.7467,58.1302,1845543.0
2020-03-26,58.3725,62.1503,56.9726,61.594,1615304.0
2020-03-27,58.5161,60.0057,56.7842,57.8431,1231352.0
2020-03-28,58.5161,60.0057,56.7842,57.8431,1231352.0
2020-03-29,58.5161,60.0057,56.7842,57.8431,1231352.0
2020-03-30,57.8431,60.3018,56.9008,59.2968,1100007.0
2020-03-31,58.7404,61.0556,57.9597,60.4184,1886015.0
2020-04-01,57.0713,57.8123,55.5548,56.2996,1622362.0
2020-04-02,55.6266,58.0943,53.3922,55.0972,1392483.0
2020-04-03,54.8728,55.628,51.9295,52.2795,1098036.0
