,UBSI US Equity,UBSI US Equity,UBSI US Equity,UBSI US Equity,UBSI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,32.0367,32.3363,32.0367,32.1782,422837.0
2020-01-02,32.378,32.5195,31.787,32.2115,399576.0
2020-01-03,31.787,31.8786,31.4624,31.7787,417972.0
2020-01-04,31.787,31.8786,31.4624,31.7787,417972.0
2020-01-05,31.787,31.8786,31.4624,31.7787,417972.0
2020-01-06,31.529,31.7454,31.2044,31.6455,360791.0
2020-01-07,31.479,31.5623,31.0462,31.0878,311444.0
2020-01-08,31.0129,31.4041,31.0129,31.3042,376283.0
2020-01-09,31.4541,31.4707,31.1295,31.221,283024.0
2020-01-10,31.221,31.4541,30.8631,30.9713,293944.0
2020-01-11,31.221,31.4541,30.8631,30.9713,293944.0
2020-01-12,31.221,31.4541,30.8631,30.9713,293944.0
2020-01-13,31.0712,31.3042,30.9214,31.2876,252806.0
2020-01-14,31.2543,31.3792,31.0046,31.221,447240.0
2020-01-15,31.1045,31.246,30.8881,31.1211,377494.0
2020-01-16,31.3625,31.7371,31.3625,31.6788,362887.0
2020-01-17,31.9035,31.9035,31.4083,31.4541,379406.0
2020-01-18,31.9035,31.9035,31.4083,31.4541,379406.0
2020-01-19,31.9035,31.9035,31.4083,31.4541,379406.0
2020-01-20,31.9035,31.9035,31.4083,31.4541,379406.0
2020-01-21,31.3042,31.3625,30.8797,30.8964,348638.0
2020-01-22,30.8714,31.0379,30.7799,30.9547,369550.0
2020-01-23,30.8631,31.0962,30.5551,30.963,387331.0
2020-01-24,30.9047,30.988,30.1473,30.422,429101.0
2020-01-25,30.9047,30.988,30.1473,30.422,429101.0
2020-01-26,30.9047,30.988,30.1473,30.422,429101.0
2020-01-27,29.9642,30.2888,29.6645,29.6978,540319.0
2020-01-28,29.9559,30.0058,29.5647,29.5896,495942.0
2020-01-29,29.6312,29.7228,28.4576,28.5575,815692.0
2020-01-30,28.8988,29.4232,28.4743,29.1402,794655.0
2020-01-31,28.8405,29.2317,28.416,28.5492,2362240.0
2020-02-01,28.8405,29.2317,28.416,28.5492,2362240.0
2020-02-02,28.8405,29.2317,28.416,28.5492,2362240.0
2020-02-03,28.7573,29.007,28.5076,28.5492,653441.0
2020-02-04,29.0569,29.1152,28.8072,28.8988,439549.0
2020-02-05,29.3316,29.5979,29.1318,29.5022,386013.0
2020-02-06,29.6812,29.6895,29.0403,29.0569,540380.0
2020-02-07,28.9071,28.9987,28.5022,28.5492,300544.0
2020-02-08,28.9071,28.9987,28.5022,28.5492,300544.0
2020-02-09,28.9071,28.9987,28.5022,28.5492,300544.0
2020-02-10,28.3827,28.6241,28.262,28.6158,484012.0
2020-02-11,28.7656,29.0153,28.6408,28.6574,233949.0
2020-02-12,28.9154,28.9154,28.5409,28.724,301117.0
2020-02-13,28.6075,28.8239,28.6075,28.749,198010.0
2020-02-14,28.7323,28.7323,28.5326,28.5991,262868.0
2020-02-15,28.7323,28.7323,28.5326,28.5991,262868.0
2020-02-16,28.7323,28.7323,28.5326,28.5991,262868.0
