,MBWM US Equity,MBWM US Equity,MBWM US Equity,MBWM US Equity,MBWM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,30.7443,30.8538,30.4493,30.7358,26373.0
2020-01-02,30.7527,30.7527,30.3397,30.5757,27625.0
2020-01-03,30.2892,30.4324,29.9268,30.3313,26463.0
2020-01-04,30.2892,30.4324,29.9268,30.3313,26463.0
2020-01-05,30.2892,30.4324,29.9268,30.3313,26463.0
2020-01-06,30.1712,30.2386,29.5101,30.0532,23350.0
2020-01-07,29.8509,30.0785,29.5054,29.6318,22160.0
2020-01-08,29.8341,30.0195,29.7566,29.9184,25266.0
2020-01-09,30.0785,30.4662,29.7919,29.9942,24310.0
2020-01-10,29.9689,30.2966,29.5054,29.6992,25674.0
2020-01-11,29.9689,30.2966,29.5054,29.6992,25674.0
2020-01-12,29.9689,30.2966,29.5054,29.6992,25674.0
2020-01-13,29.7414,30.306,29.7414,30.1628,46223.0
2020-01-14,30.1038,30.2807,29.7245,29.8257,31469.0
2020-01-15,29.7161,29.7161,29.1929,29.5475,32451.0
2020-01-16,29.615,30.1459,29.5602,29.9689,23148.0
2020-01-17,30.2133,30.2218,29.7161,29.8678,38210.0
2020-01-18,30.2133,30.2218,29.7161,29.8678,38210.0
2020-01-19,30.2133,30.2218,29.7161,29.8678,38210.0
2020-01-20,30.2133,30.2218,29.7161,29.8678,38210.0
2020-01-21,31.2078,31.3131,29.4211,29.4801,47300.0
2020-01-22,29.6908,30.0026,29.2694,29.3284,45618.0
2020-01-23,29.261,29.6107,28.789,29.2441,50543.0
2020-01-24,29.261,29.261,28.5446,28.6711,39339.0
2020-01-25,29.261,29.261,28.5446,28.6711,39339.0
2020-01-26,29.261,29.261,28.5446,28.6711,39339.0
2020-01-27,28.2497,28.6879,28.2497,28.4435,28874.0
2020-01-28,28.6373,28.6373,28.2497,28.4435,26518.0
2020-01-29,28.4182,28.4604,28.0011,28.0558,32402.0
2020-01-30,27.8789,28.2855,27.7524,28.216,74562.0
2020-01-31,28.157,28.2328,27.5165,27.6176,47130.0
2020-02-01,28.157,28.2328,27.5165,27.6176,47130.0
2020-02-02,28.157,28.2328,27.5165,27.6176,47130.0
2020-02-03,27.6344,27.9716,27.6007,27.685,48182.0
2020-02-04,27.803,28.2918,27.803,27.8704,49023.0
2020-02-05,28.1822,28.6711,28.1612,28.6373,44735.0
2020-02-06,28.848,28.848,28.3466,28.4014,31077.0
2020-02-07,28.2075,28.2918,27.7356,27.8536,30329.0
2020-02-08,28.2075,28.2918,27.7356,27.8536,30329.0
2020-02-09,28.2075,28.2918,27.7356,27.8536,30329.0
2020-02-10,27.7676,27.8957,27.685,27.8957,18581.0
2020-02-11,28.0895,28.279,27.921,28.0811,35791.0
2020-02-12,28.2328,28.6458,27.9083,28.0306,24355.0
2020-02-13,27.9716,28.1907,27.8367,28.1822,30803.0
2020-02-14,28.0558,28.1233,27.7272,27.8283,21987.0
2020-02-15,28.0558,28.1233,27.7272,27.8283,21987.0
2020-02-16,28.0558,28.1233,27.7272,27.8283,21987.0
2020-02-17,28.0558,28.1233,27.7272,27.8283,21987.0
2020-02-18,27.98,28.039,27.2062,27.5755,40939.0
2020-02-19,27.6766,27.8199,27.5586,27.5586,20428.0
2020-02-20,27.5755,27.9041,27.449,27.7272,27629.0
2020-02-21,27.7019,27.7187,27.2973,27.6176,29825.0
2020-02-22,27.7019,27.7187,27.2973,27.6176,29825.0
2020-02-23,27.7019,27.7187,27.2973,27.6176,29825.0
2020-02-24,26.8338,27.1794,26.7495,26.9265,54719.0
2020-02-25,26.9349,27.1288,26.3029,26.4124,44333.0
2020-02-26,26.5051,26.7032,26.0332,26.0416,38340.0
2020-02-27,25.6455,26.463,25.2831,25.4011,47674.0
2020-02-28,24.8196,25.3421,23.9279,24.1791,66839.0
2020-02-29,24.8196,25.3421,23.9279,24.1791,66839.0
2020-03-01,24.8196,25.3421,23.9279,24.1791,66839.0
2020-03-02,24.137,25.4517,23.9768,25.4348,48646.0
2020-03-03,25.3758,25.8162,24.2844,24.5752,43535.0
2020-03-04,24.7775,24.8617,23.9937,24.828,48479.0
2020-03-05,24.2154,24.4111,23.3262,23.6538,56861.0
2020-03-06,22.6924,24.1558,22.6924,23.4666,71605.0
2020-03-07,22.6924,24.1558,22.6924,23.4666,71605.0
2020-03-08,22.6924,24.1558,22.6924,23.4666,71605.0
2020-03-09,21.8075,22.7414,20.0292,20.4886,81642.0
2020-03-10,21.1013,21.5267,19.5952,21.0587,63956.0
2020-03-11,20.5482,20.7424,19.9951,20.1398,70713.0
2020-03-12,18.906,19.8548,17.4936,18.5997,90694.0
2020-03-13,19.6208,20.5993,19.0252,20.3355,88442.0
2020-03-14,19.6208,20.5993,19.0252,20.3355,88442.0
2020-03-15,19.6208,20.5993,19.0252,20.3355,88442.0
2020-03-16,18.0041,19.8845,18.0041,18.5147,86960.0
2020-03-17,18.821,21.799,18.3275,21.6288,90767.0
2020-03-18,21.4076,22.0031,18.7784,19.0422,95202.0
