,MGY US Equity,MGY US Equity,MGY US Equity,MGY US Equity,MGY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,11.7812,12.0947,11.7432,11.9522,627152.0
2020-01-02,12.0567,12.1137,11.8952,11.9997,716834.0
2020-01-03,12.2182,12.3797,12.0757,12.2752,1761047.0
2020-01-04,12.2182,12.3797,12.0757,12.2752,1761047.0
2020-01-05,12.2182,12.3797,12.0757,12.2752,1761047.0
2020-01-06,12.2752,12.622,12.2277,12.4462,1097431.0
2020-01-07,12.3892,12.4367,12.1849,12.2562,706321.0
2020-01-08,12.2562,12.2562,11.6766,11.8002,1321154.0
2020-01-09,11.7812,11.9332,11.5436,11.8762,1043725.0
2020-01-10,11.8857,11.9712,11.7384,11.8762,772867.0
2020-01-11,11.8857,11.9712,11.7384,11.8762,772867.0
2020-01-12,11.8857,11.9712,11.7384,11.8762,772867.0
2020-01-13,11.8382,11.8762,11.5246,11.7052,1140381.0
2020-01-14,11.8382,11.9142,11.6244,11.7907,949795.0
2020-01-15,11.6957,11.8477,11.6671,11.7907,536004.0
2020-01-16,11.8857,11.9807,11.8002,11.8382,489062.0
2020-01-17,11.8762,11.9142,11.7337,11.7432,1033384.0
2020-01-18,11.8762,11.9142,11.7337,11.7432,1033384.0
2020-01-19,11.8762,11.9142,11.7337,11.7432,1033384.0
2020-01-20,11.8762,11.9142,11.7337,11.7432,1033384.0
2020-01-21,11.6957,11.7954,11.5341,11.5341,675190.0
2020-01-22,11.4581,11.4581,11.2016,11.2966,955986.0
2020-01-23,11.0211,11.0211,10.8477,10.9166,1656320.0
2020-01-24,10.9166,10.9308,10.546,10.6981,1286456.0
2020-01-25,10.9166,10.9308,10.546,10.6981,1286456.0
2020-01-26,10.9166,10.9308,10.546,10.6981,1286456.0
2020-01-27,10.394,10.584,10.375,10.432,1871970.0
2020-01-28,10.4985,10.66,10.375,10.3845,1574719.0
2020-01-29,10.4415,10.4985,10.0615,10.1755,1559339.0
2020-01-30,10.09,10.318,9.9855,10.299,1291970.0
2020-01-31,10.109,10.1945,9.881,9.995,1799846.0
2020-02-01,10.109,10.1945,9.881,9.995,1799846.0
2020-02-02,10.109,10.1945,9.881,9.995,1799846.0
2020-02-03,10.0045,10.1565,9.7575,9.786,1621530.0
2020-02-04,10.0235,10.052,9.786,9.8145,957083.0
2020-02-05,9.976,10.1565,9.9285,10.014,1462544.0
2020-02-06,10.0235,10.109,9.7575,9.7765,899309.0
2020-02-07,9.6339,9.729,9.5294,9.6434,874863.0
2020-02-08,9.6339,9.729,9.5294,9.6434,874863.0
2020-02-09,9.6339,9.729,9.5294,9.6434,874863.0
2020-02-10,9.5389,9.5864,9.2919,9.3299,787133.0
2020-02-11,9.4629,9.5342,9.1209,9.1304,925963.0
2020-02-12,9.2634,9.3679,8.9831,9.0924,1420970.0
2020-02-13,9.0544,9.1304,8.9309,9.0259,1035117.0
2020-02-14,9.0164,9.2159,8.9214,9.1779,2203678.0
2020-02-15,9.0164,9.2159,8.9214,9.1779,2203678.0
2020-02-16,9.0164,9.2159,8.9214,9.1779,2203678.0
2020-02-17,9.0164,9.2159,8.9214,9.1779,2203678.0
2020-02-18,9.0734,9.1304,8.6934,8.7219,1443725.0
2020-02-19,8.7694,8.9404,8.6554,8.8074,2432688.0
2020-02-20,8.7409,8.8549,8.1708,8.4178,3189838.0
2020-02-21,8.2658,8.2658,7.9713,8.1423,2414949.0
2020-02-22,8.2658,8.2658,7.9713,8.1423,2414949.0
2020-02-23,8.2658,8.2658,7.9713,8.1423,2414949.0
2020-02-24,7.8003,7.8478,7.5057,7.7338,1844156.0
2020-02-25,7.7528,7.7625,6.9452,7.0497,2186330.0
2020-02-26,7.2777,7.3727,6.9357,7.0022,2292933.0
2020-02-27,6.7077,7.0497,6.5366,6.7172,2104764.0
2020-02-28,6.5366,7.1352,6.5366,7.1352,3977862.0
2020-02-29,6.5366,7.1352,6.5366,7.1352,3977862.0
2020-03-01,6.5366,7.1352,6.5366,7.1352,3977862.0
2020-03-02,7.1922,7.2872,6.8882,7.2207,1923240.0
2020-03-03,7.3442,7.5057,7.0972,7.2492,2439801.0
2020-03-04,7.3157,7.3632,6.9262,7.2587,1884494.0
2020-03-05,7.0592,7.1257,6.6697,6.7552,1727690.0
2020-03-06,6.4416,6.6031,5.7766,5.9476,2755614.0
2020-03-07,6.4416,6.6031,5.7766,5.9476,2755614.0
2020-03-08,6.4416,6.6031,5.7766,5.9476,2755614.0
2020-03-09,3.9049,5.1115,3.4013,4.893,6640350.0
2020-03-10,5.3205,5.7481,4.5699,5.0735,4707393.0
2020-03-11,4.722,4.8265,4.3704,4.5699,4460651.0
2020-03-12,4.2754,4.6935,3.9666,4.2279,4901658.0
2020-03-13,4.4844,4.855,3.9619,4.7315,4039951.0
2020-03-14,4.4844,4.855,3.9619,4.7315,4039951.0
2020-03-15,4.4844,4.855,3.9619,4.7315,4039951.0
2020-03-16,4.0569,4.798,3.7244,3.8194,3447985.0
2020-03-17,3.8764,4.1044,3.3823,3.4583,2997105.0
2020-03-18,3.2018,3.5153,3.0688,3.2113,2546842.0
2020-03-19,3.2303,4.2659,3.0783,3.9809,2763662.0
2020-03-20,4.0949,4.5509,3.7814,3.7814,3466454.0
2020-03-21,4.0949,4.5509,3.7814,3.7814,3466454.0
2020-03-22,4.0949,4.5509,3.7814,3.7814,3466454.0
2020-03-23,3.7149,3.8431,3.4298,3.6579,2386834.0
2020-03-24,3.8764,4.0474,3.7054,3.8669,2306445.0
2020-03-25,3.9049,4.0949,3.5724,3.8384,3019991.0
2020-03-26,3.8669,4.3989,3.8669,4.2944,1904230.0
2020-03-27,4.0854,4.2089,3.8004,3.9049,2144010.0
2020-03-28,4.0854,4.2089,3.8004,3.9049,2144010.0
2020-03-29,4.0854,4.2089,3.8004,3.9049,2144010.0
2020-03-30,3.8004,3.9049,3.4963,3.7054,2439011.0
2020-03-31,3.7624,3.9904,3.6769,3.8004,3464502.0
2020-04-01,3.7624,3.8004,3.2778,3.4298,2309514.0
2020-04-02,3.4393,4.2279,3.4299,3.7719,2241039.0
2020-04-03,3.8099,4.0569,3.6864,3.7149,3729468.0
2020-04-04,3.8099,4.0569,3.6864,3.7149,3729468.0
2020-04-05,3.8099,4.0569,3.6864,3.7149,3729468.0
2020-04-06,3.8289,3.9049,3.6104,3.7149,1799194.0
2020-04-07,3.8669,4.1329,3.6579,3.7719,2380067.0
2020-04-08,3.9239,4.1424,3.8004,4.1424,2069004.0
2020-04-09,4.3514,4.912,4.0284,4.2469,2307833.0
2020-04-10,4.3514,4.912,4.0284,4.2469,2307833.0
2020-04-11,4.3514,4.912,4.0284,4.2469,2307833.0
2020-04-12,4.3514,4.912,4.0284,4.2469,2307833.0
2020-04-13,4.4084,4.6174,3.8526,4.2184,2282173.0
2020-04-14,4.2469,4.4084,4.1234,4.3324,1919839.0
2020-04-15,4.0284,4.1234,3.8384,4.0094,1418781.0
2020-04-16,3.9334,3.9334,3.5724,3.5819,1081719.0
2020-04-17,3.6294,3.9191,3.5438,3.8099,1825167.0
2020-04-18,3.6294,3.9191,3.5438,3.8099,1825167.0
2020-04-19,3.6294,3.9191,3.5438,3.8099,1825167.0
2020-04-20,3.6389,3.8574,3.4132,3.6864,1878844.0
2020-04-21,3.5724,3.8289,3.5153,3.7814,1661239.0
2020-04-22,3.9714,4.3182,3.9429,4.2279,1932518.0
2020-04-23,4.6555,5.292,4.5604,4.9025,5552783.0
2020-04-24,4.9215,5.0557,4.5842,4.893,1980633.0
2020-04-25,4.9215,5.0557,4.5842,4.893,1980633.0
2020-04-26,4.9215,5.0557,4.5842,4.893,1980633.0
2020-04-27,4.7695,5.045,4.684,4.912,2186491.0
2020-04-28,4.9405,5.254,4.8597,5.2445,2562406.0
2020-04-29,5.5105,6.0521,5.4203,5.8716,2565346.0
2020-04-30,5.8716,6.2279,5.558,6.1471,2079057.0
2020-05-01,5.8716,5.9903,5.4535,5.5295,1380139.0
2020-05-02,5.8716,5.9903,5.4535,5.5295,1380139.0
2020-05-03,5.8716,5.9903,5.4535,5.5295,1380139.0
2020-05-04,5.4725,5.6721,5.311,5.6531,1149934.0
2020-05-05,5.9571,6.1281,5.0782,5.197,3968522.0
2020-05-06,5.197,5.2255,4.798,4.8645,2517403.0
2020-05-07,5.2065,5.2635,4.5129,4.684,3816442.0
2020-05-08,4.8075,4.874,4.6745,4.76,5716999.0
2020-05-09,4.8075,4.874,4.6745,4.76,5716999.0
2020-05-10,4.8075,4.874,4.6745,4.76,5716999.0
2020-05-11,4.684,4.893,4.6127,4.7885,8433284.0
2020-05-12,4.836,5.349,4.836,5.1685,5662177.0
2020-05-13,4.9405,5.0687,4.665,4.8265,4201899.0
2020-05-14,4.76,5.0592,4.5248,4.7695,7279999.0
2020-05-15,4.8455,5.406,4.76,5.216,4319869.0
2020-05-16,4.8455,5.406,4.76,5.216,4319869.0
2020-05-17,4.8455,5.406,4.76,5.216,4319869.0
2020-05-18,5.6246,5.8716,5.52,5.8051,2440043.0
2020-05-19,5.7766,5.9571,5.6341,5.6531,1709649.0
2020-05-20,5.8051,6.0236,5.7576,5.9666,996638.0
2020-05-21,5.9761,6.1376,5.9096,5.9476,1620433.0
2020-05-22,5.9381,6.0141,5.5295,5.6341,1694587.0
2020-05-23,5.9381,6.0141,5.5295,5.6341,1694587.0
2020-05-24,5.9381,6.0141,5.5295,5.6341,1694587.0
2020-05-25,5.9381,6.0141,5.5295,5.6341,1694587.0
2020-05-26,5.9191,5.9761,5.6388,5.9381,1617622.0
2020-05-27,6.0901,6.1186,5.8224,5.8716,1875634.0
2020-05-28,5.8336,5.8383,5.5295,5.6151,1818962.0
2020-05-29,5.52,5.6436,5.235,5.273,2141631.0
2020-05-30,5.52,5.6436,5.235,5.273,2141631.0
2020-05-31,5.52,5.6436,5.235,5.273,2141631.0
2020-06-01,5.254,5.4203,5.1115,5.273,1911914.0
2020-06-02,5.3395,5.6816,5.3395,5.5961,1656828.0
2020-06-03,5.7481,6.0806,5.7101,6.0046,2274829.0
2020-06-04,5.8811,5.9761,5.7101,5.9286,1807905.0
2020-06-05,6.4416,7.0592,6.4321,6.8597,2579031.0
2020-06-06,6.4416,7.0592,6.4321,6.8597,2579031.0
2020-06-07,6.4416,7.0592,6.4321,6.8597,2579031.0
2020-06-08,7.2397,7.368,6.6697,7.1732,3484764.0
2020-06-09,6.7742,6.9544,6.3371,6.6887,1846436.0
2020-06-10,6.4891,6.6127,6.1186,6.2611,1652758.0
2020-06-11,5.7386,6.0996,5.52,5.5485,1999541.0
2020-06-12,5.9571,5.9903,5.6103,5.9286,1569506.0
2020-06-13,5.9571,5.9903,5.6103,5.9286,1569506.0
2020-06-14,5.9571,5.9903,5.6103,5.9286,1569506.0
2020-06-15,5.5295,5.9856,5.4725,5.9286,1638890.0
2020-06-16,6.4796,6.5461,5.9666,6.0711,2061944.0
2020-06-17,5.9951,6.0236,5.7196,5.7386,1415597.0
2020-06-18,5.7671,5.8716,5.6151,5.7101,1227867.0
2020-06-19,5.9476,5.9666,5.52,5.5675,2711252.0
2020-06-20,5.9476,5.9666,5.52,5.5675,2711252.0
2020-06-21,5.9476,5.9666,5.52,5.5675,2711252.0
2020-06-22,5.463,5.7861,5.3491,5.6341,3115424.0
2020-06-23,5.7196,5.7766,5.558,5.7006,2079972.0
2020-06-24,5.7576,5.7576,5.2065,5.311,3057449.0
2020-06-25,5.254,5.5723,5.216,5.501,2067320.0
2020-06-26,5.501,5.5105,5.1685,5.216,5955127.0
2020-06-27,5.501,5.5105,5.1685,5.216,5955127.0
2020-06-28,5.501,5.5105,5.1685,5.216,5955127.0
2020-06-29,5.349,5.9476,5.349,5.9191,3714094.0
2020-06-30,5.8241,5.8526,5.5865,5.7576,2337296.0
2020-07-01,5.7766,6.1756,5.7766,6.0046,2950704.0
2020-07-02,6.2516,6.4559,6.0996,6.3181,2698296.0
2020-07-03,6.2516,6.4559,6.0996,6.3181,2698296.0
2020-07-04,6.2516,6.4559,6.0996,6.3181,2698296.0
2020-07-05,6.2516,6.4559,6.0996,6.3181,2698296.0
2020-07-06,6.4226,6.5176,6.1568,6.1946,2311959.0
2020-07-07,6.0806,6.1566,5.9951,6.0616,1478531.0
2020-07-08,6.0141,6.0711,5.8716,5.9951,2012598.0
2020-07-09,5.9476,6.0046,5.7101,5.7576,2093925.0
2020-07-10,5.7006,6.2516,5.7006,6.0331,1872940.0
2020-07-11,5.7006,6.2516,5.7006,6.0331,1872940.0
2020-07-12,5.7006,6.2516,5.7006,6.0331,1872940.0
2020-07-13,6.1471,6.1661,5.7291,5.7481,1910782.0
2020-07-14,5.7956,6.1851,5.7006,6.1661,1772066.0
2020-07-15,6.3371,6.6127,6.3086,6.4796,1782554.0
2020-07-16,6.3941,6.5651,6.2089,6.3561,1699309.0
2020-07-17,6.4131,6.7029,6.2184,6.2326,1341743.0
2020-07-18,6.4131,6.7029,6.2184,6.2326,1341743.0
2020-07-19,6.4131,6.7029,6.2184,6.2326,1341743.0
2020-07-20,6.1756,6.3466,6.1186,6.2991,1009113.0
2020-07-21,6.4606,6.7932,6.4606,6.7932,1681643.0
2020-07-22,6.6507,6.7172,6.4749,6.6602,1299882.0
2020-07-23,6.5936,6.7077,6.4511,6.5081,1388280.0
2020-07-24,6.4606,6.5936,6.3371,6.3466,1149288.0
2020-07-25,6.4606,6.5936,6.3371,6.3466,1149288.0
2020-07-26,6.4606,6.5936,6.3371,6.3466,1149288.0
2020-07-27,6.2041,6.3656,6.0806,6.1091,1098607.0
2020-07-28,6.0426,6.1281,5.6436,5.6721,2122133.0
2020-07-29,5.6721,5.793,5.6149,5.7576,1358163.0
2020-07-30,5.7576,5.7576,5.4265,5.6246,1699904.0
2020-07-31,5.52,5.6911,5.4868,5.6816,1689010.0
2020-08-01,5.52,5.6911,5.4868,5.6816,1689010.0
2020-08-02,5.52,5.6911,5.4868,5.6816,1689010.0
2020-08-03,5.7101,5.7196,5.501,5.6151,1023649.0
2020-08-04,5.5865,5.9476,5.577,5.8146,1401955.0
2020-08-05,5.9951,6.1376,5.8621,6.0426,1150545.0
2020-08-06,5.7101,6.1091,5.5865,5.8051,1584678.0
2020-08-07,5.8051,6.0236,5.6721,5.9761,1797649.0
2020-08-08,5.8051,6.0236,5.6721,5.9761,1797649.0
2020-08-09,5.8051,6.0236,5.6721,5.9761,1797649.0
2020-08-10,6.0141,6.4084,5.9856,6.2801,1408461.0
2020-08-11,6.4701,6.7457,6.3989,6.4036,1746007.0
2020-08-12,6.5556,6.7789,6.4606,6.5746,1161647.0
2020-08-13,6.6792,6.7552,6.4131,6.5366,1005228.0
2020-08-14,6.4606,6.6697,6.4416,6.5936,703617.0
2020-08-15,6.4606,6.6697,6.4416,6.5936,703617.0
2020-08-16,6.4606,6.6697,6.4416,6.5936,703617.0
2020-08-17,6.5366,6.5746,6.3941,6.4891,693288.0
2020-08-18,6.3941,6.4131,6.1566,6.1946,1050430.0
2020-08-19,6.2231,6.2801,6.0996,6.1186,836850.0
2020-08-20,6.0046,6.0996,5.8431,5.8906,1066184.0
2020-08-21,5.7861,5.8478,5.6673,5.6816,898703.0
2020-08-22,5.7861,5.8478,5.6673,5.6816,898703.0
2020-08-23,5.7861,5.8478,5.6673,5.6816,898703.0
2020-08-24,5.7291,5.9618,5.6531,5.9191,1386889.0
2020-08-25,5.9951,6.0616,5.9286,5.9856,796650.0
2020-08-26,5.9856,6.0046,5.7291,5.7291,1174363.0
2020-08-27,6.1091,6.3846,5.9428,6.0806,2266283.0
2020-08-28,6.0806,6.3846,6.0188,6.2991,1542301.0
2020-08-29,6.0806,6.3846,6.0188,6.2991,1542301.0
2020-08-30,6.0806,6.3846,6.0188,6.2991,1542301.0
2020-08-31,6.2801,6.3086,6.0616,6.1186,1324209.0
2020-09-01,6.1091,6.2041,5.9665,6.1661,745879.0
2020-09-02,6.1376,6.1376,5.9096,5.9191,970740.0
2020-09-03,5.9286,6.0236,5.7291,5.7481,1626002.0
2020-09-04,5.8906,5.9571,5.6626,5.7956,740866.0
2020-09-05,5.8906,5.9571,5.6626,5.7956,740866.0
2020-09-06,5.8906,5.9571,5.6626,5.7956,740866.0
2020-09-07,5.8906,5.9571,5.6626,5.7956,740866.0
2020-09-08,5.7101,5.7101,5.3633,5.406,1890664.0
2020-09-09,5.482,5.5961,5.3965,5.52,998108.0
