,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,561.42,567.15,558.34,565.58,89832.0
2019-01-02,557.48,559.88,543.52,546.04,212219.0
2019-01-03,525.96,535.0,500.74,513.56,290314.0
2019-01-04,521.53,535.1,518.6,527.15,186543.0
2019-01-05,521.53,535.1,518.6,527.15,186543.0
2019-01-06,521.53,535.1,518.6,527.15,186543.0
2019-01-07,526.75,542.21,526.47,533.58,196574.0
2019-01-08,547.2,556.53,540.745,556.53,188427.0
2019-01-09,560.1,577.63,559.84,568.47,204907.0
2019-01-10,566.74,578.17,564.89,576.29,123399.0
2019-01-11,576.19,577.775,571.01,576.96,85813.0
2019-01-12,576.19,577.775,571.01,576.96,85813.0
2019-01-13,576.19,577.775,571.01,576.96,85813.0
2019-01-14,572.75,579.72,571.994,573.22,108626.0
2019-01-15,573.61,582.6,572.71,582.11,121664.0
2019-01-16,583.47,588.99,578.375,580.15,111675.0
2019-01-17,577.27,589.145,576.2,587.69,109199.0
2019-01-18,592.29,602.66,588.4,602.1,122891.0
2019-01-19,592.29,602.66,588.4,602.1,122891.0
2019-01-20,592.29,602.66,588.4,602.1,122891.0
2019-01-21,592.29,602.66,588.4,602.1,122891.0
2019-01-22,597.31,600.64,588.215,593.69,119525.0
2019-01-23,598.14,610.88,596.07,605.18,147997.0
2019-01-24,604.15,607.92,601.47,605.65,95454.0
2019-01-25,612.0,618.45,607.16,614.55,118366.0
2019-01-26,612.0,618.45,607.16,614.55,118366.0
2019-01-27,612.0,618.45,607.16,614.55,118366.0
2019-01-28,608.33,619.79,606.14,618.16,112553.0
2019-01-29,619.8,624.64,615.5,621.01,98101.0
2019-01-30,622.81,633.685,618.36,632.93,118194.0
2019-01-31,631.99,639.24,629.68,638.16,98319.0
2019-02-01,640.7,645.39,635.77,642.82,131768.0
2019-02-02,640.7,645.39,635.77,642.82,131768.0
2019-02-03,640.7,645.39,635.77,642.82,131768.0
2019-02-04,644.88,646.54,635.28,642.52,114115.0
2019-02-05,643.4,656.75,643.34,652.84,102700.0
2019-02-06,650.0,659.33,648.16,655.15,103823.0
2019-02-07,650.53,655.7,642.06,648.13,147793.0
2019-02-08,666.2,666.455,648.45,662.3,289761.0
2019-02-09,666.2,666.455,648.45,662.3,289761.0
2019-02-10,666.2,666.455,648.45,662.3,289761.0
2019-02-11,658.24,669.55,658.24,662.49,150758.0
2019-02-12,664.0,673.065,663.07,672.49,150787.0
2019-02-13,670.0,674.05,667.19,668.61,131167.0
2019-02-14,665.24,671.21,662.19,662.91,150742.0
2019-02-15,670.28,673.74,665.58,668.86,168252.0
2019-02-16,670.28,673.74,665.58,668.86,168252.0
2019-02-17,670.28,673.74,665.58,668.86,168252.0
2019-02-18,670.28,673.74,665.58,668.86,168252.0
2019-02-19,666.47,673.255,666.47,671.86,128716.0
2019-02-20,671.45,675.485,669.84,673.05,128959.0
2019-02-21,673.05,675.6,666.89,674.21,132243.0
2019-02-22,674.0,679.05,673.96,678.83,127887.0
2019-02-23,674.0,679.05,673.96,678.83,127887.0
2019-02-24,674.0,679.05,673.96,678.83,127887.0
2019-02-25,680.0,694.0,679.48,689.97,141935.0
2019-02-26,685.42,688.47,676.88,676.98,104233.0
2019-02-27,674.82,688.52,672.65,686.0,109501.0
2019-02-28,685.13,687.84,679.83,680.91,202351.0
2019-03-01,684.34,701.25,684.34,698.76,138793.0
2019-03-02,684.34,701.25,684.34,698.76,138793.0
2019-03-03,684.34,701.25,684.34,698.76,138793.0
2019-03-04,699.36,700.84,685.825,689.19,113666.0
2019-03-05,689.48,694.8,683.74,693.41,109082.0
2019-03-06,693.33,693.33,680.7,681.94,111225.0
2019-03-07,681.63,684.965,677.19,683.84,115078.0
2019-03-08,680.0,681.24,672.27,680.95,88347.0
2019-03-09,680.0,681.24,672.27,680.95,88347.0
2019-03-10,680.0,681.24,672.27,680.95,88347.0
2019-03-11,681.08,689.59,681.08,688.93,106785.0
2019-03-12,691.61,694.32,686.8,691.48,95907.0
2019-03-13,693.3,696.375,685.96,689.95,126240.0
2019-03-14,689.63,699.0,687.89,698.68,136563.0
2019-03-15,700.06,709.58,699.46,708.58,217564.0
2019-03-16,700.06,709.58,699.46,708.58,217564.0
2019-03-17,700.06,709.58,699.46,708.58,217564.0
2019-03-18,708.68,710.0,701.1,706.84,120012.0
2019-03-19,709.68,719.58,709.68,715.74,115880.0
2019-03-20,716.19,720.02,706.64,712.88,108202.0
2019-03-21,711.28,732.46,711.28,729.72,111927.0
2019-03-22,721.36,726.75,701.02,702.07,180092.0
2019-03-23,721.36,726.75,701.02,702.07,180092.0
2019-03-24,721.36,726.75,701.02,702.07,180092.0
2019-03-25,698.92,714.17,698.92,708.6,121707.0
2019-03-26,711.51,720.4,708.68,716.4,98741.0
2019-03-27,719.03,723.86,702.11,702.71,152860.0
2019-03-28,704.47,708.02,698.17,703.78,116664.0
2019-03-29,710.82,724.27,710.78,723.0,173458.0
2019-03-30,710.82,724.27,710.78,723.0,173458.0
2019-03-31,710.82,724.27,710.78,723.0,173458.0
2019-04-01,729.12,736.095,723.4,730.34,106978.0
2019-04-02,733.63,736.88,729.995,734.45,176094.0
2019-04-03,737.61,740.81,729.385,732.73,113781.0
2019-04-04,732.61,736.26,721.735,727.2,121029.0
2019-04-05,732.88,739.96,729.06,734.84,89997.0
2019-04-06,732.88,739.96,729.06,734.84,89997.0
2019-04-07,732.88,739.96,729.06,734.84,89997.0
2019-04-08,733.31,740.035,723.81,738.37,72687.0
2019-04-09,736.11,739.07,731.62,733.99,90959.0
2019-04-10,737.0,745.37,737.0,737.97,121129.0
