,PII US Equity,PII US Equity,PII US Equity,PII US Equity,PII US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,66.7069,67.7257,65.8988,67.348,637018.0
2019-01-02,66.7508,68.8938,65.6002,68.5689,477782.0
2019-01-03,67.752,67.9097,65.5212,65.6353,458867.0
2019-01-04,66.8035,69.7019,66.6805,69.087,402159.0
2019-01-05,66.8035,69.7019,66.6805,69.087,402159.0
2019-01-06,66.8035,69.7019,66.6805,69.087,402159.0
2019-01-07,68.6391,70.1848,67.3568,68.2614,1071999.0
2019-01-08,69.1397,71.4321,69.0344,71.3882,563070.0
2019-01-09,71.6693,73.9967,70.9227,73.6454,737651.0
2019-01-10,73.1097,74.9014,72.6529,73.9967,786605.0
2019-01-11,73.5225,73.9528,72.1172,72.7232,581857.0
2019-01-12,73.5225,73.9528,72.1172,72.7232,581857.0
2019-01-13,73.5225,73.9528,72.1172,72.7232,581857.0
2019-01-14,72.4597,74.3481,72.126,73.0833,447019.0
2019-01-15,73.1624,73.4478,70.8436,73.0306,437780.0
2019-01-16,73.3468,75.0331,73.2618,74.1636,530623.0
2019-01-17,73.7069,77.2904,73.7069,76.1574,717177.0
2019-01-18,76.6053,79.1787,76.3594,77.5714,541754.0
2019-01-19,76.6053,79.1787,76.3594,77.5714,541754.0
2019-01-20,76.6053,79.1787,76.3594,77.5714,541754.0
2019-01-21,76.6053,79.1787,76.3594,77.5714,541754.0
2019-01-22,77.4221,77.4221,74.471,75.0507,577448.0
2019-01-23,75.1561,75.5513,73.8211,74.4359,381130.0
2019-01-24,74.5413,76.8776,74.1548,75.9466,605980.0
2019-01-25,76.9303,77.993,75.9729,76.5087,658828.0
2019-01-26,76.9303,77.993,75.9729,76.5087,658828.0
2019-01-27,76.9303,77.993,75.9729,76.5087,658828.0
2019-01-28,75.9378,76.4648,74.059,74.4798,1205150.0
2019-01-29,72.6793,75.8675,70.4748,72.9955,2120817.0
2019-01-30,72.811,75.0068,71.397,74.2866,740536.0
2019-01-31,74.4183,74.8467,72.9867,73.6718,1265512.0
2019-02-01,73.8035,76.6492,73.6059,75.9905,635123.0
2019-02-02,73.8035,76.6492,73.6059,75.9905,635123.0
2019-02-03,73.8035,76.6492,73.6059,75.9905,635123.0
2019-02-04,75.6216,76.9083,75.0331,76.8073,394234.0
2019-02-05,76.7722,77.4616,75.2703,76.5789,577244.0
2019-02-06,76.3945,77.1105,75.8324,76.4735,375159.0
2019-02-07,75.9905,76.2163,73.3029,73.663,701072.0
2019-02-08,73.4258,74.2163,72.3368,72.8462,534569.0
2019-02-09,73.4258,74.2163,72.3368,72.8462,534569.0
2019-02-10,73.4258,74.2163,72.3368,72.8462,534569.0
2019-02-11,72.8989,73.4258,72.0469,72.811,3825352.0
2019-02-12,73.6191,75.604,73.0657,74.7433,899418.0
2019-02-13,75.4372,75.9378,74.392,74.6379,517678.0
2019-02-14,74.2515,75.5865,73.3644,75.0244,619703.0
2019-02-15,75.5074,76.9347,75.2044,76.2188,534972.0
2019-02-16,75.5074,76.9347,75.2044,76.2188,534972.0
2019-02-17,75.5074,76.9347,75.2044,76.2188,534972.0
2019-02-18,75.5074,76.9347,75.2044,76.2188,534972.0
2019-02-19,75.929,76.6404,75.0858,76.2276,460405.0
2019-02-20,76.052,76.7195,75.4196,76.2979,361145.0
2019-02-21,75.9466,76.6492,75.2703,75.4899,375575.0
2019-02-22,75.9993,76.5702,75.5338,76.535,287163.0
2019-02-23,75.9993,76.5702,75.5338,76.535,287163.0
2019-02-24,75.9993,76.5702,75.5338,76.535,287163.0
2019-02-25,77.2904,79.4773,76.8073,78.5815,904892.0
2019-02-26,78.2565,78.7835,76.658,76.8512,515945.0
2019-02-27,76.4384,77.317,75.951,76.4384,443765.0
2019-02-28,76.2438,76.518,75.2355,75.3859,412919.0
2019-03-01,76.4649,77.8005,76.2969,77.3229,471583.0
2019-03-02,76.4649,77.8005,76.2969,77.3229,471583.0
2019-03-03,76.4649,77.8005,76.2969,77.3229,471583.0
2019-03-04,78.1278,81.6994,77.9421,80.3479,1530824.0
2019-03-05,80.1975,80.8078,77.2875,78.8619,941670.0
2019-03-06,78.7823,79.2777,78.1101,78.119,736974.0
2019-03-07,77.9951,77.9951,75.5274,75.7839,538638.0
2019-03-08,75.0232,75.492,74.3333,75.2886,445532.0
2019-03-09,75.0232,75.492,74.3333,75.2886,445532.0
2019-03-10,75.0232,75.492,74.3333,75.2886,445532.0
2019-03-11,75.6689,76.1111,74.5456,76.0315,556881.0
2019-03-12,76.3057,78.3135,75.6601,78.2251,604927.0
2019-03-13,78.4462,78.9946,76.7126,76.9514,492707.0
2019-03-14,76.7126,76.7215,75.3239,75.4301,555705.0
2019-03-15,75.722,77.1504,75.523,76.5269,733969.0
2019-03-16,75.722,77.1504,75.523,76.5269,733969.0
2019-03-17,75.722,77.1504,75.523,76.5269,733969.0
2019-03-18,76.5446,77.5263,75.9342,77.4114,448070.0
2019-03-19,78.7735,78.9415,74.634,74.864,659979.0
2019-03-20,74.6429,74.9613,71.7461,71.9894,768054.0
2019-03-21,71.9098,73.9972,71.7323,73.1304,717467.0
2019-03-22,72.7058,73.2631,70.3442,70.3884,553758.0
2019-03-23,72.7058,73.2631,70.3442,70.3884,553758.0
2019-03-24,72.7058,73.2631,70.3442,70.3884,553758.0
2019-03-25,70.3796,71.8567,69.6985,70.9811,562395.0
2019-03-26,71.7683,73.5594,71.4587,72.7589,696830.0
2019-03-27,73.1304,74.7092,73.1304,74.1652,442513.0
2019-03-28,74.7225,76.4207,74.634,75.5981,501517.0
2019-03-29,75.4832,75.7308,74.3156,74.6783,684712.0
2019-03-30,75.4832,75.7308,74.3156,74.6783,684712.0
2019-03-31,75.4832,75.7308,74.3156,74.6783,684712.0
2019-04-01,75.4389,76.863,75.4389,76.288,461435.0
2019-04-02,76.0935,76.4119,75.0674,75.7662,353166.0
2019-04-03,76.0669,77.9951,76.0669,77.5883,517631.0
2019-04-04,77.606,80.056,77.606,79.2157,580010.0
2019-04-05,79.9499,80.9626,78.119,80.6929,1054552.0
2019-04-06,79.9499,80.9626,78.119,80.6929,1054552.0
2019-04-07,79.9499,80.9626,78.119,80.6929,1054552.0
2019-04-08,82.6564,84.4697,82.0904,84.4431,1049768.0
2019-04-09,83.9832,84.3193,81.8339,82.2496,581238.0
2019-04-10,82.6653,83.7886,82.285,83.7709,509279.0
2019-04-11,84.0274,85.08,83.3994,83.9832,562689.0
2019-04-12,84.3901,85.4957,84.0805,85.3099,506716.0
2019-04-13,84.3901,85.4957,84.0805,85.3099,506716.0
2019-04-14,84.3901,85.4957,84.0805,85.3099,506716.0
2019-04-15,85.4426,86.5748,84.7439,85.3984,679556.0
2019-04-16,86.0706,87.8655,85.2126,87.3266,495003.0
2019-04-17,87.8131,88.5737,86.8667,87.0436,803581.0
