,CWH US Equity,CWH US Equity,CWH US Equity,CWH US Equity,CWH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.9104,11.3628,10.8414,11.3015,727265.0
2020-01-02,11.3475,11.359,10.8184,11.0408,746522.0
2020-01-03,10.8414,11.1389,10.7341,10.8491,596003.0
2020-01-04,10.8414,11.1389,10.7341,10.8491,596003.0
2020-01-05,10.8414,11.1389,10.7341,10.8491,596003.0
2020-01-06,10.7341,10.8261,10.3086,10.3354,770703.0
2020-01-07,10.09,10.5401,9.5917,10.182,1024612.0
2020-01-08,10.2127,10.4887,10.2127,10.3814,523217.0
2020-01-09,10.4121,10.4121,9.8907,10.0287,565152.0
2020-01-10,9.998,10.3469,9.929,10.251,562364.0
2020-01-11,9.998,10.3469,9.929,10.251,562364.0
2020-01-12,9.998,10.3469,9.929,10.251,562364.0
2020-01-13,10.3201,11.2325,10.2856,11.1174,935138.0
2020-01-14,11.6235,13.0032,11.5391,12.1295,2149991.0
2020-01-15,12.0605,12.8426,12.0605,12.6509,1388159.0
2020-01-16,12.7659,12.8732,12.3289,12.5052,679021.0
2020-01-17,12.6202,12.7659,12.4055,12.5205,441951.0
2020-01-18,12.6202,12.7659,12.4055,12.5205,441951.0
2020-01-19,12.6202,12.7659,12.4055,12.5205,441951.0
2020-01-20,12.6202,12.7659,12.4055,12.5205,441951.0
2020-01-21,12.4439,12.4899,12.2599,12.4515,582468.0
2020-01-22,12.5742,12.9806,12.5205,12.9192,607111.0
2020-01-23,12.6279,12.9576,12.3519,12.9039,495836.0
2020-01-24,12.9346,12.9346,12.3212,12.5972,433561.0
2020-01-25,12.9346,12.9346,12.3212,12.5972,433561.0
2020-01-26,12.9346,12.9346,12.3212,12.5972,433561.0
2020-01-27,12.1909,12.5589,12.0222,12.1218,525382.0
2020-01-28,12.1142,12.2599,11.8382,12.0912,345821.0
2020-01-29,12.1678,12.3289,12.0068,12.1525,245385.0
2020-01-30,12.0068,12.1525,11.6465,12.0068,331786.0
2020-01-31,12.2062,12.6202,11.8765,11.9378,606263.0
2020-02-01,12.2062,12.6202,11.8765,11.9378,606263.0
2020-02-02,12.2062,12.6202,11.8765,11.9378,606263.0
2020-02-03,12.0682,12.2675,11.9455,12.0988,279033.0
2020-02-04,12.2445,12.4132,12.0068,12.1295,376300.0
2020-02-05,12.2599,12.4132,12.0298,12.3289,288349.0
2020-02-06,12.4362,12.5589,11.8228,12.0758,445156.0
2020-02-07,12.0298,12.0298,11.6925,11.8228,224246.0
2020-02-08,12.0298,12.0298,11.6925,11.8228,224246.0
2020-02-09,12.0298,12.0298,11.6925,11.8228,224246.0
