,PPBI US Equity,PPBI US Equity,PPBI US Equity,PPBI US Equity,PPBI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,26.9415,27.3068,26.9415,27.0701,346913.0
2020-01-02,27.2154,27.3234,26.8833,27.2902,233898.0
2020-01-03,26.8833,27.0162,26.5969,26.875,414690.0
2020-01-04,26.8833,27.0162,26.5969,26.875,414690.0
2020-01-05,26.8833,27.0162,26.5969,26.875,414690.0
2020-01-06,26.6177,26.8999,26.4765,26.6343,286408.0
2020-01-07,26.4433,26.626,26.2856,26.3188,190831.0
2020-01-08,26.3271,26.5928,26.2773,26.3769,248228.0
2020-01-09,26.4765,26.5014,26.3105,26.3935,177051.0
2020-01-10,26.3022,26.352,26.078,26.1776,260706.0
2020-01-11,26.3022,26.352,26.078,26.1776,260706.0
2020-01-12,26.3022,26.352,26.078,26.1776,260706.0
2020-01-13,26.161,26.2524,25.9535,26.2524,316192.0
2020-01-14,26.2274,26.4101,26.0199,26.3478,364347.0
2020-01-15,26.1776,26.4848,26.0863,26.2357,256853.0
2020-01-16,26.4018,26.5761,26.1361,26.3105,186586.0
2020-01-17,26.5595,26.5595,26.1029,26.3354,158629.0
2020-01-18,26.5595,26.5595,26.1029,26.3354,158629.0
2020-01-19,26.5595,26.5595,26.1029,26.3354,158629.0
2020-01-20,26.5595,26.5595,26.1029,26.3354,158629.0
2020-01-21,26.2524,26.2939,25.9369,25.9618,233231.0
2020-01-22,26.0116,26.0531,25.7791,25.7874,173206.0
2020-01-23,26.1527,26.6841,25.7874,26.298,480541.0
2020-01-24,26.4433,26.5512,25.8123,26.0199,240256.0
2020-01-25,26.4433,26.5512,25.8123,26.0199,240256.0
2020-01-26,26.4433,26.5512,25.8123,26.0199,240256.0
2020-01-27,25.4304,26.1195,25.4138,25.53,311064.0
2020-01-28,25.6629,25.7192,25.2893,25.4304,203278.0
2020-01-29,25.3972,25.5882,24.144,25.1315,245737.0
2020-01-30,24.8991,25.1647,24.6749,25.1232,272415.0
2020-01-31,24.9474,25.0563,24.7632,24.9474,353995.0
2020-02-01,24.9474,25.0563,24.7632,24.9474,353995.0
2020-02-02,24.9474,25.0563,24.7632,24.9474,353995.0
2020-02-03,24.9307,24.9307,23.1475,24.713,2616673.0
2020-02-04,25.0395,25.2404,24.78,24.9893,1328109.0
2020-02-05,25.3576,26.0943,25.1149,25.7762,1050245.0
2020-02-06,25.9688,26.1697,25.4497,25.4581,498163.0
2020-02-07,25.3158,25.5669,24.8804,24.9558,464359.0
2020-02-08,25.3158,25.5669,24.8804,24.9558,464359.0
2020-02-09,25.3158,25.5669,24.8804,24.9558,464359.0
2020-02-10,24.8218,25.0646,24.646,24.939,572370.0
2020-02-11,24.9642,25.433,24.8721,25.0395,383734.0
2020-02-12,25.2321,25.4162,24.9851,25.0897,571893.0
2020-02-13,24.9809,25.6088,24.9307,25.4413,367054.0
2020-02-14,25.4832,25.7846,25.3158,25.7092,527144.0
2020-02-15,25.4832,25.7846,25.3158,25.7092,527144.0
2020-02-16,25.4832,25.7846,25.3158,25.7092,527144.0
2020-02-17,25.4832,25.7846,25.3158,25.7092,527144.0
2020-02-18,25.659,25.7846,25.2907,25.3074,398903.0
2020-02-19,25.3576,25.5837,25.1651,25.3074,303024.0
2020-02-20,25.2404,25.5669,25.073,25.5502,409581.0
2020-02-21,25.4665,25.6171,25.0563,25.3325,333392.0
2020-02-22,25.4665,25.6171,25.0563,25.3325,333392.0
2020-02-23,25.4665,25.6171,25.0563,25.3325,333392.0
2020-02-24,24.5791,24.6963,24.2609,24.3028,322997.0
2020-02-25,24.3698,24.5121,23.4991,23.7335,550631.0
2020-02-26,23.9093,24.1689,23.4824,23.5494,290735.0
2020-02-27,23.0387,23.5828,22.3899,22.4024,513212.0
2020-02-28,21.8499,22.1764,21.2137,21.6239,652644.0
2020-02-29,21.8499,22.1764,21.2137,21.6239,652644.0
2020-03-01,21.8499,22.1764,21.2137,21.6239,652644.0
2020-03-02,21.649,22.595,21.4062,22.5866,454881.0
2020-03-03,22.3522,22.7624,21.7243,21.9336,942244.0
2020-03-04,22.235,22.235,21.3979,22.1513,473702.0
2020-03-05,21.4983,21.5737,20.7909,21.1048,526750.0
2020-03-06,20.3849,20.929,19.9914,20.3012,786068.0
2020-03-07,20.3849,20.929,19.9914,20.3012,786068.0
2020-03-08,20.3849,20.929,19.9914,20.3012,786068.0
2020-03-09,18.6017,19.0287,16.5256,16.5507,556606.0
2020-03-10,17.2539,17.9153,16.5925,17.7562,611830.0
2020-03-11,17.1869,17.3125,15.3787,15.68,968745.0
2020-03-12,14.3992,16.827,14.0141,15.1024,1029205.0
2020-03-13,16.1991,16.8018,15.1191,16.6595,833320.0
2020-03-14,16.1991,16.8018,15.1191,16.6595,833320.0
2020-03-15,16.1991,16.8018,15.1191,16.6595,833320.0
2020-03-16,16.6595,16.6595,13.3946,13.6709,866872.0
2020-03-17,13.9973,15.2949,13.1183,15.0773,831979.0
2020-03-18,14.0476,14.4243,12.6914,13.0932,756918.0
2020-03-19,12.9928,14.4243,12.6579,13.922,930724.0
2020-03-20,13.8885,14.441,12.9928,13.2355,877125.0
2020-03-21,13.8885,14.441,12.9928,13.2355,877125.0
2020-03-22,13.8885,14.441,12.9928,13.2355,877125.0
2020-03-23,13.5955,13.5955,11.6617,12.4988,685154.0
2020-03-24,13.3611,14.1731,13.1686,13.8383,675888.0
2020-03-25,14.1983,14.8136,13.0807,14.2987,1315851.0
2020-03-26,14.4745,15.5377,14.3322,15.4121,890103.0
2020-03-27,14.5834,15.8224,14.4829,15.1861,942168.0
2020-03-28,14.5834,15.8224,14.4829,15.1861,942168.0
2020-03-29,14.5834,15.8224,14.4829,15.1861,942168.0
2020-03-30,15.228,15.228,14.3908,14.8764,482669.0
2020-03-31,14.8261,15.8307,14.7173,15.7721,1446353.0
2020-04-01,14.9936,15.0019,14.4494,14.8261,874888.0
2020-04-02,14.7592,15.5042,14.4662,14.9266,555712.0
2020-04-03,14.8596,15.3535,13.0514,13.2606,642826.0
2020-04-04,14.8596,15.3535,13.0514,13.2606,642826.0
2020-04-05,14.8596,15.3535,13.0514,13.2606,642826.0
