,AON US Equity,AON US Equity,AON US Equity,AON US Equity,AON US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,137.7319,139.0783,137.1972,138.8014,741718.0
2019-01-02,137.1017,138.0375,136.3092,137.541,961644.0
2019-01-03,136.8439,137.5696,135.2397,135.4784,1027366.0
2019-01-04,136.6816,138.2285,135.402,138.028,1882846.0
2019-01-05,136.6816,138.2285,135.402,138.028,1882846.0
2019-01-06,136.6816,138.2285,135.402,138.028,1882846.0
2019-01-07,137.3977,139.5367,137.0158,137.7224,926538.0
2019-01-08,137.7033,138.5149,135.4784,138.3813,1277249.0
2019-01-09,138.9637,140.883,138.2571,138.5818,1428276.0
2019-01-10,138.5436,141.2459,137.8847,140.969,931996.0
2019-01-11,139.9568,140.6443,138.6009,140.6061,963246.0
2019-01-12,139.9568,140.6443,138.6009,140.6061,963246.0
2019-01-13,139.9568,140.6443,138.6009,140.6061,963246.0
2019-01-14,139.7276,141.2173,139.7276,140.9499,808728.0
2019-01-15,140.969,142.9551,140.5584,142.9265,832709.0
2019-01-16,143.0697,144.6453,142.0385,144.1774,923034.0
2019-01-17,143.5758,145.9917,143.5758,145.6193,800068.0
2019-01-18,146.154,147.72,145.7816,147.4431,839795.0
2019-01-19,146.154,147.72,145.7816,147.4431,839795.0
2019-01-20,146.154,147.72,145.7816,147.4431,839795.0
2019-01-21,146.154,147.72,145.7816,147.4431,839795.0
2019-01-22,147.1184,148.2547,145.7911,146.7651,759143.0
2019-01-23,147.0516,147.7677,145.6049,147.1089,724162.0
2019-01-24,146.9083,147.6245,146.0871,146.9656,998339.0
2019-01-25,147.6436,148.7035,146.7747,147.424,706337.0
2019-01-26,147.6436,148.7035,146.7747,147.424,706337.0
2019-01-27,147.6436,148.7035,146.7747,147.424,706337.0
2019-01-28,146.5359,146.9942,145.3041,146.7365,835976.0
2019-01-29,146.3545,146.7699,144.8076,145.5238,978504.0
2019-01-30,145.772,147.7677,145.5715,147.529,2153738.0
2019-01-31,147.2035,151.1478,146.6387,149.5682,1879121.0
2019-02-01,151.0808,161.3054,150.8223,160.3193,3265117.0
2019-02-02,151.0808,161.3054,150.8223,160.3193,3265117.0
2019-02-03,151.0808,161.3054,150.8223,160.3193,3265117.0
2019-02-04,161.315,161.315,158.1174,159.6875,1771274.0
2019-02-05,160.1853,161.7745,159.2758,161.5543,1114542.0
2019-02-06,161.0852,161.5543,159.563,161.1714,1175480.0
2019-02-07,160.1374,160.4821,157.6674,159.7641,1060447.0
2019-02-08,159.3811,160.9991,159.295,160.9991,847908.0
2019-02-09,159.3811,160.9991,159.295,160.9991,847908.0
2019-02-10,159.3811,160.9991,159.295,160.9991,847908.0
2019-02-11,161.5352,163.5361,161.0852,163.4786,1103024.0
2019-02-12,164.2924,164.8381,163.1531,163.9764,1101283.0
2019-02-13,164.2636,165.7093,163.9381,165.5848,1073093.0
2019-02-14,164.2828,164.7902,162.3489,162.3872,961082.0
2019-02-15,164.1392,164.7615,163.0287,164.637,1257910.0
2019-02-16,164.1392,164.7615,163.0287,164.637,1257910.0
2019-02-17,164.1392,164.7615,163.0287,164.637,1257910.0
2019-02-18,164.1392,164.7615,163.0287,164.637,1257910.0
2019-02-19,164.0052,166.1305,163.6007,165.2976,1080531.0
2019-02-20,165.3742,165.9295,164.3402,165.4316,1005034.0
2019-02-21,165.5561,165.9438,164.6179,165.0487,929222.0
2019-02-22,165.1061,165.2928,164.0722,164.7232,998066.0
2019-02-23,165.1061,165.2928,164.0722,164.7232,998066.0
2019-02-24,165.1061,165.2928,164.0722,164.7232,998066.0
2019-02-25,164.9338,165.8337,163.6988,163.8711,982529.0
2019-02-26,163.6605,164.7615,163.3542,164.0435,993361.0
2019-02-27,163.402,164.1296,162.9138,163.8903,662024.0
2019-02-28,163.8041,164.9529,163.3829,164.2158,1205627.0
2019-03-01,165.3838,165.5369,163.5935,164.3307,899809.0
2019-03-02,165.3838,165.5369,163.5935,164.3307,899809.0
2019-03-03,165.3838,165.5369,163.5935,164.3307,899809.0
2019-03-04,164.6562,165.0008,162.5117,163.3542,1663355.0
2019-03-05,164.0147,165.3263,149.4342,150.5447,6699627.0
2019-03-06,159.4194,159.4577,156.3463,157.0069,2534206.0
