,SR US Equity,SR US Equity,SR US Equity,SR US Equity,SR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,69.9019,70.2802,69.8431,70.0364,268619.0
2020-01-02,70.1793,70.2004,68.7544,69.3723,239930.0
2020-01-03,68.9267,69.8305,68.9267,69.5656,230643.0
2020-01-04,68.9267,69.8305,68.9267,69.5656,230643.0
2020-01-05,68.9267,69.8305,68.9267,69.5656,230643.0
2020-01-06,69.0192,69.9692,69.0192,69.5152,323141.0
2020-01-07,69.3134,69.7674,69.036,69.1705,219511.0
2020-01-08,68.6073,68.8595,67.9978,68.313,304912.0
2020-01-09,68.3551,68.6199,67.9179,68.0945,187364.0
2020-01-10,68.2206,68.4139,67.9768,68.1365,176057.0
2020-01-11,68.2206,68.4139,67.9768,68.1365,176057.0
2020-01-12,68.2206,68.4139,67.9768,68.1365,176057.0
2020-01-13,68.1365,68.8806,68.1197,68.809,234171.0
2020-01-14,68.9435,69.1705,68.5652,69.1453,190429.0
2020-01-15,69.1789,70.1709,69.1789,70.0869,239752.0
2020-01-16,70.3307,70.8351,70.0196,70.793,210862.0
2020-01-17,70.8855,71.0116,70.4399,70.7258,193801.0
2020-01-18,70.8855,71.0116,70.4399,70.7258,193801.0
2020-01-19,70.8855,71.0116,70.4399,70.7258,193801.0
2020-01-20,70.8855,71.0116,70.4399,70.7258,193801.0
2020-01-21,70.7426,70.814,70.1163,70.7258,173751.0
2020-01-22,70.9528,71.0368,69.9986,70.1373,258822.0
2020-01-23,70.1289,70.9948,69.9439,70.9528,270319.0
2020-01-24,70.9359,71.1713,70.4988,71.1041,217507.0
2020-01-25,70.9359,71.1713,70.4988,71.1041,217507.0
2020-01-26,70.9359,71.1713,70.4988,71.1041,217507.0
2020-01-27,70.8435,71.4487,70.4652,70.7342,223244.0
2020-01-28,71.0704,71.5664,70.6585,71.0284,213701.0
2020-01-29,71.0704,71.1881,70.4063,70.9023,197929.0
2020-01-30,70.6165,71.3311,70.5534,71.3058,169525.0
2020-01-31,71.0957,71.6841,70.4568,70.8855,444806.0
2020-02-01,71.0957,71.6841,70.4568,70.8855,444806.0
2020-02-02,71.0957,71.6841,70.4568,70.8855,444806.0
2020-02-03,71.0704,72.0372,71.0704,71.8607,297164.0
2020-02-04,71.9111,72.1381,71.1461,71.289,237232.0
2020-02-05,71.3983,73.0923,71.0158,72.8022,280897.0
2020-02-06,73.2898,73.2898,72.2642,72.4576,198570.0
2020-02-07,72.466,72.8275,72.1129,72.4323,237118.0
2020-02-08,72.466,72.8275,72.1129,72.4323,237118.0
2020-02-09,72.466,72.8275,72.1129,72.4323,237118.0
2020-02-10,72.6593,72.7854,72.0708,72.5837,149382.0
2020-02-11,72.8106,73.2058,72.2306,72.2558,175003.0
2020-02-12,72.508,72.508,71.6547,72.2054,208247.0
2020-02-13,72.1465,72.9115,71.8691,72.8863,167876.0
2020-02-14,73.1301,73.6513,72.8611,73.6261,197088.0
2020-02-15,73.1301,73.6513,72.8611,73.6261,197088.0
2020-02-16,73.1301,73.6513,72.8611,73.6261,197088.0
2020-02-17,73.1301,73.6513,72.8611,73.6261,197088.0
2020-02-18,73.8026,73.9455,73.2226,73.6429,185822.0
2020-02-19,73.542,73.6849,73.004,73.1721,170860.0
2020-02-20,73.0124,73.3066,72.3651,73.2898,199438.0
2020-02-21,73.4832,73.5757,72.9872,73.1553,281812.0
2020-02-22,73.4832,73.5757,72.9872,73.1553,281812.0
2020-02-23,73.4832,73.5757,72.9872,73.1553,281812.0
2020-02-24,72.6593,72.6593,71.7178,72.1633,197012.0
2020-02-25,72.1381,72.1381,70.1709,70.2046,229639.0
2020-02-26,70.3979,71.1041,69.1873,69.2546,364145.0
2020-02-27,68.6829,70.0785,67.0352,67.0604,394856.0
2020-02-28,65.5893,65.6061,62.0584,63.0925,576854.0
2020-02-29,65.5893,65.6061,62.0584,63.0925,576854.0
2020-03-01,65.5893,65.6061,62.0584,63.0925,576854.0
2020-03-02,63.0925,66.8839,62.9832,66.8503,395874.0
2020-03-03,66.5644,68.2542,65.1857,65.4548,292831.0
2020-03-04,66.3122,68.5736,66.287,68.2962,218935.0
2020-03-05,67.0857,67.4471,65.9886,67.1361,273801.0
2020-03-06,65.295,68.6241,64.4459,68.3887,674339.0
2020-03-07,65.295,68.6241,64.4459,68.3887,674339.0
2020-03-08,65.295,68.6241,64.4459,68.3887,674339.0
2020-03-09,63.0504,65.8919,62.2141,64.715,439395.0
2020-03-10,65.9036,66.4714,61.7338,65.2595,572292.0
2020-03-11,63.9119,64.3187,61.4668,62.4457,462137.0
2020-03-12,58.2928,58.2928,53.3348,54.0637,501524.0
2020-03-13,56.7334,56.9283,51.9703,56.4621,591503.0
2020-03-14,56.7334,56.9283,51.9703,56.4621,591503.0
2020-03-15,56.7334,56.9283,51.9703,56.4621,591503.0
2020-03-16,51.1905,56.9622,49.0633,53.5297,569139.0
2020-03-17,54.4535,67.0647,54.0147,65.7426,611780.0
2020-03-18,61.8694,64.9459,58.8352,64.4797,571870.0
2020-03-19,64.556,65.7256,58.2335,62.6152,394157.0
2020-03-20,62.5813,63.5136,53.25,53.8179,518458.0
2020-03-21,62.5813,63.5136,53.25,53.8179,518458.0
2020-03-22,62.5813,63.5136,53.25,53.8179,518458.0
2020-03-23,53.2416,54.0043,48.6225,51.0719,400477.0
2020-03-24,53.1483,57.0046,50.6905,57.0046,361650.0
2020-03-25,56.0469,59.1869,53.1059,57.6317,441956.0
2020-03-26,58.0724,62.6067,57.547,61.81,296740.0
2020-03-27,58.9284,64.5052,58.1168,61.8439,292845.0
2020-03-28,58.9284,64.5052,58.1168,61.8439,292845.0
2020-03-29,58.9284,64.5052,58.1168,61.8439,292845.0
2020-03-30,63.1152,64.912,62.2041,64.6577,323895.0
2020-03-31,63.9543,64.2255,61.8016,63.1237,433627.0
2020-04-01,60.1743,60.9456,57.1995,58.1572,277690.0
2020-04-02,57.3944,61.1659,57.3775,59.437,346291.0
2020-04-03,58.5471,59.9201,57.3351,59.0217,341567.0
2020-04-04,58.5471,59.9201,57.3351,59.0217,341567.0
