,CPF US Equity,CPF US Equity,CPF US Equity,CPF US Equity,CPF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,24.1939,24.3571,24.1286,24.1449,108992.0
2020-01-02,24.1449,24.1857,23.9816,24.1123,96708.0
2020-01-03,23.8837,24.0633,23.7694,24.0306,152298.0
2020-01-04,23.8837,24.0633,23.7694,24.0306,152298.0
2020-01-05,23.8837,24.0633,23.7694,24.0306,152298.0
2020-01-06,23.7531,23.949,23.6062,23.8102,110705.0
2020-01-07,23.8102,23.8102,23.549,23.5817,85817.0
2020-01-08,23.5898,23.7776,23.5245,23.5817,127560.0
2020-01-09,23.6551,23.696,23.4103,23.5327,294782.0
2020-01-10,23.5817,23.6511,23.3899,23.4674,171516.0
2020-01-11,23.5817,23.6511,23.3899,23.4674,171516.0
2020-01-12,23.5817,23.6511,23.3899,23.4674,171516.0
2020-01-13,23.4674,23.647,23.4021,23.5898,131276.0
2020-01-14,23.6143,23.8021,23.5327,23.647,151692.0
2020-01-15,23.4756,23.6551,23.3531,23.4674,70212.0
2020-01-16,23.5817,23.7286,23.4266,23.5164,298494.0
2020-01-17,23.7368,23.7776,23.5898,23.6715,108175.0
2020-01-18,23.7368,23.7776,23.5898,23.6715,108175.0
2020-01-19,23.7368,23.7776,23.5898,23.6715,108175.0
2020-01-20,23.7368,23.7776,23.5898,23.6715,108175.0
2020-01-21,23.5898,23.6715,23.4266,23.4348,102244.0
2020-01-22,23.4348,23.5245,23.3368,23.3776,173649.0
2020-01-23,23.3695,23.5001,23.2797,23.4837,162702.0
2020-01-24,23.4348,23.4837,22.9491,23.1491,115207.0
2020-01-25,23.4348,23.4837,22.9491,23.1491,115207.0
2020-01-26,23.4348,23.4837,22.9491,23.1491,115207.0
2020-01-27,22.9042,23.0103,22.8062,22.8307,118633.0
2020-01-28,22.8389,22.9287,22.7083,22.8144,229150.0
2020-01-29,22.7165,23.6551,22.3736,23.0021,194345.0
2020-01-30,22.7001,23.247,22.7001,23.1654,201836.0
2020-01-31,22.994,23.0511,22.5532,22.6348,166238.0
2020-02-01,22.994,23.0511,22.5532,22.6348,166238.0
2020-02-02,22.994,23.0511,22.5532,22.6348,166238.0
2020-02-03,22.7491,23.1736,22.6756,23.1654,178921.0
2020-02-04,23.3123,23.4348,23.2062,23.2389,152197.0
2020-02-05,23.4021,23.6878,23.3613,23.6388,101231.0
2020-02-06,23.7449,23.7449,23.4674,23.5082,82213.0
2020-02-07,23.3858,23.4021,23.1327,23.1736,72051.0
2020-02-08,23.3858,23.4021,23.1327,23.1736,72051.0
2020-02-09,23.3858,23.4021,23.1327,23.1736,72051.0
2020-02-10,23.043,23.1899,23.0266,23.0756,98739.0
2020-02-11,23.2144,23.3695,23.2103,23.2389,137242.0
2020-02-12,23.3858,23.4756,23.1899,23.3368,86633.0
2020-02-13,23.2389,23.4266,23.194,23.3939,54984.0
2020-02-14,23.3368,23.4592,22.9532,23.0266,117860.0
2020-02-15,23.3368,23.4592,22.9532,23.0266,117860.0
2020-02-16,23.3368,23.4592,22.9532,23.0266,117860.0
2020-02-17,23.3368,23.4592,22.9532,23.0266,117860.0
2020-02-18,22.9777,23.1409,22.8307,22.9368,177281.0
2020-02-19,23.043,23.2389,22.9695,23.1164,136968.0
2020-02-20,22.994,23.3042,22.994,23.1899,110942.0
2020-02-21,23.2144,23.2225,22.7654,22.7818,177202.0
2020-02-22,23.2144,23.2225,22.7654,22.7818,177202.0
2020-02-23,23.2144,23.2225,22.7654,22.7818,177202.0
2020-02-24,22.2022,22.4144,22.0634,22.243,93313.0
2020-02-25,22.2185,22.2824,21.3615,21.4513,114146.0
2020-02-26,21.59,21.7451,21.1819,21.3615,154897.0
2020-02-27,20.958,21.4026,20.5956,20.6121,183398.0
2020-02-28,20.0274,20.1756,19.2945,19.698,245566.0
2020-02-29,20.0274,20.1756,19.2945,19.698,245566.0
2020-03-01,20.0274,20.1756,19.2945,19.698,245566.0
2020-03-02,19.6404,20.5709,19.5662,20.538,119446.0
2020-03-03,20.5215,20.7191,19.8133,20.1098,176072.0
2020-03-04,20.1345,20.1921,19.3027,19.9121,151160.0
2020-03-05,19.5415,19.5745,18.6522,18.9816,365470.0
