,DRI US Equity,DRI US Equity,DRI US Equity,DRI US Equity,DRI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,85.0044,86.1169,84.4956,86.1169,1163427.0
2019-01-02,85.5995,86.3325,84.7112,86.1773,1563635.0
2019-01-03,85.4615,85.9617,84.4353,84.7888,1857837.0
2019-01-04,85.703,87.695,85.2804,87.445,2070148.0
2019-01-05,85.703,87.695,85.2804,87.445,2070148.0
2019-01-06,85.703,87.695,85.2804,87.445,2070148.0
2019-01-07,87.7382,90.4547,87.639,89.6354,1889290.0
2019-01-08,90.1269,91.4033,89.4543,91.0842,1676743.0
2019-01-09,91.6661,91.8919,90.4849,91.0842,1105624.0
2019-01-10,91.0321,91.9579,90.4154,91.8746,996232.0
2019-01-11,92.4304,93.9764,92.4304,93.7941,1340743.0
2019-01-12,92.4304,93.9764,92.4304,93.7941,1340743.0
2019-01-13,92.4304,93.9764,92.4304,93.7941,1340743.0
2019-01-14,93.4987,93.6942,91.4924,91.9962,1493674.0
2019-01-15,92.4478,93.3771,91.6097,93.16,955273.0
2019-01-16,93.464,93.6811,91.9441,92.7518,1090596.0
2019-01-17,92.7779,94.1762,92.7779,93.8114,1116387.0
2019-01-18,94.376,94.845,93.4206,94.6887,1111197.0
2019-01-19,94.376,94.845,93.4206,94.6887,1111197.0
2019-01-20,94.376,94.845,93.4206,94.6887,1111197.0
2019-01-21,94.376,94.845,93.4206,94.6887,1111197.0
2019-01-22,94.4107,95.6093,93.4379,94.3499,1145997.0
2019-01-23,94.8884,94.8884,93.0037,93.8809,1106383.0
2019-01-24,94.1067,94.5063,93.2729,93.299,836967.0
2019-01-25,93.9417,93.9417,91.8042,92.4391,1149257.0
2019-01-26,93.9417,93.9417,91.8042,92.4391,1149257.0
2019-01-27,93.9417,93.9417,91.8042,92.4391,1149257.0
2019-01-28,92.1178,93.6638,91.8659,93.2556,674381.0
2019-01-29,93.6725,93.6725,91.1971,92.2567,960686.0
2019-01-30,92.7344,93.3006,91.2796,92.1786,925779.0
2019-01-31,91.9527,92.3088,90.5804,91.1363,1618021.0
2019-02-01,91.145,91.6922,90.5457,91.1797,1328671.0
2019-02-02,91.145,91.6922,90.5457,91.1797,1328671.0
2019-02-03,91.145,91.6922,90.5457,91.1797,1328671.0
2019-02-04,91.475,93.3033,91.475,93.0818,1312223.0
2019-02-05,93.021,93.9417,92.552,93.8809,2029233.0
2019-02-06,94.1415,95.3487,93.768,94.8797,1303989.0
2019-02-07,94.68,95.7135,94.3673,95.1837,1035486.0
2019-02-08,94.6973,95.4964,94.1762,95.0274,856024.0
2019-02-09,94.6973,95.4964,94.1762,95.0274,856024.0
2019-02-10,94.6973,95.4964,94.1762,95.0274,856024.0
2019-02-11,95.4182,96.4605,95.1142,95.7917,805960.0
