,AGM US Equity,AGM US Equity,AGM US Equity,AGM US Equity,AGM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,51.0887,51.0887,49.3755,50.021,27084.0
2019-01-02,49.2679,51.8666,49.2679,51.8666,39244.0
2019-01-03,51.4528,52.3797,51.1466,51.7673,30546.0
2019-01-04,52.5535,54.8046,52.5535,53.9688,28060.0
2019-01-05,52.5535,54.8046,52.5535,53.9688,28060.0
2019-01-06,52.5535,54.8046,52.5535,53.9688,28060.0
2019-01-07,53.977,55.2723,53.1577,54.4239,17184.0
2019-01-08,54.9288,56.377,54.9288,55.475,17410.0
2019-01-09,55.9633,57.2875,55.9054,56.3192,18521.0
2019-01-10,56.195,57.1054,55.7771,56.0378,18577.0
2019-01-11,55.8557,57.5027,55.4212,56.8323,17374.0
2019-01-12,55.8557,57.5027,55.4212,56.8323,17374.0
2019-01-13,55.8557,57.5027,55.4212,56.8323,17374.0
2019-01-14,56.6916,58.3799,56.3937,56.3937,27047.0
2019-01-15,56.6171,57.3494,55.2377,56.7495,17933.0
2019-01-16,57.0061,57.7923,56.4847,57.6682,21340.0
2019-01-17,57.5689,59.4227,57.5689,59.3648,36235.0
2019-01-18,59.4145,61.1193,58.9841,59.8614,31154.0
2019-01-19,59.4145,61.1193,58.9841,59.8614,31154.0
2019-01-20,59.4145,61.1193,58.9841,59.8614,31154.0
2019-01-21,59.4145,61.1193,58.9841,59.8614,31154.0
2019-01-22,59.4807,60.7249,57.933,58.6117,40417.0
2019-01-23,58.951,59.5138,58.6531,58.6531,15283.0
2019-01-24,58.6696,58.6779,57.7096,58.4048,25297.0
2019-01-25,58.6696,59.0586,58.1855,58.7193,20119.0
2019-01-26,58.6696,59.0586,58.1855,58.7193,20119.0
2019-01-27,58.6696,59.0586,58.1855,58.7193,20119.0
2019-01-28,58.1068,59.6462,57.8834,59.5138,30549.0
2019-01-29,59.4807,61.0366,57.8585,57.8585,20215.0
2019-01-30,58.2889,60.0021,58.2889,59.8531,22906.0
2019-01-31,59.8614,59.8614,57.9555,58.5537,30751.0
2019-02-01,58.4627,59.9607,58.413,59.4062,7876.0
2019-02-02,58.4627,59.9607,58.413,59.4062,7876.0
2019-02-03,58.4627,59.9607,58.413,59.4062,7876.0
2019-02-04,59.1579,60.598,58.8351,59.9938,21714.0
2019-02-05,60.0435,60.3062,58.9344,59.969,11732.0
2019-02-06,60.5814,60.5814,58.4627,59.0751,15956.0
2019-02-07,59.6048,59.6048,58.3945,58.4048,11880.0
2019-02-08,58.1979,58.6986,56.2364,58.2889,25470.0
2019-02-09,58.1979,58.6986,56.2364,58.2889,25470.0
2019-02-10,58.1979,58.6986,56.2364,58.2889,25470.0
2019-02-11,58.3882,58.4626,57.5606,57.5606,8996.0
2019-02-12,57.9165,59.0007,57.2829,58.4793,22844.0
2019-02-13,58.4793,59.0172,57.9827,58.1482,23442.0
2019-02-14,57.9413,58.2558,57.4944,57.5275,24439.0
2019-02-15,57.8503,60.4159,57.8172,59.9855,31585.0
2019-02-16,57.8503,60.4159,57.8172,59.9855,31585.0
2019-02-17,57.8503,60.4159,57.8172,59.9855,31585.0
2019-02-18,57.8503,60.4159,57.8172,59.9855,31585.0
2019-02-19,60.209,61.0449,59.4476,60.7304,24238.0
2019-02-20,60.8049,60.8752,60.1014,60.6145,27620.0
2019-02-21,60.7469,60.7469,57.2627,59.3483,41712.0
2019-02-22,60.9373,68.1541,59.6131,67.0782,104319.0
2019-02-23,60.9373,68.1541,59.6131,67.0782,104319.0
2019-02-24,60.9373,68.1541,59.6131,67.0782,104319.0
2019-02-25,67.8479,69.6521,66.4409,67.0947,43224.0
2019-02-26,67.2189,69.4783,66.1709,68.5762,39495.0
2019-02-27,68.5762,68.8244,67.43,68.4934,24726.0
2019-02-28,68.0713,68.8824,67.6989,67.7568,44769.0
2019-03-01,68.5844,68.5844,67.2354,67.9968,24218.0
2019-03-02,68.5844,68.5844,67.2354,67.9968,24218.0
2019-03-03,68.5844,68.5844,67.2354,67.9968,24218.0
2019-03-04,67.9968,68.4853,66.3664,66.714,29360.0
2019-03-05,66.532,66.9747,65.7892,66.6395,18219.0
2019-03-06,66.3913,66.5568,64.2643,64.2726,37089.0
2019-03-07,64.3305,64.4422,62.0959,62.4104,20035.0
2019-03-08,62.3608,63.6353,62.3608,63.3125,27530.0
2019-03-09,62.3608,63.6353,62.3608,63.3125,27530.0
2019-03-10,62.3608,63.6353,62.3608,63.3125,27530.0
2019-03-11,62.9401,64.9595,62.9029,63.7843,25174.0
2019-03-12,64.2891,64.8353,63.2298,64.3057,18487.0
2019-03-13,64.4629,64.8519,64.0243,64.3305,30421.0
2019-03-14,64.105,65.341,64.105,65.1656,29603.0
2019-03-15,65.1656,66.4848,64.3305,65.0654,80028.0
2019-03-16,65.1656,66.4848,64.3305,65.0654,80028.0
2019-03-17,65.1656,66.4848,64.3305,65.0654,80028.0
2019-03-18,65.1238,66.4308,64.9318,65.1823,36451.0
2019-03-19,65.508,65.5092,63.4703,63.7626,14551.0
2019-03-20,63.3951,64.1557,62.0505,62.276,29923.0
2019-03-21,62.0004,63.0276,60.2299,60.5055,52243.0
2019-03-22,60.2049,60.564,56.9145,57.9333,40835.0
2019-03-23,60.2049,60.564,56.9145,57.9333,40835.0
2019-03-24,60.2049,60.564,56.9145,57.9333,40835.0
2019-03-25,57.9667,59.8792,57.9405,59.7289,39296.0
2019-03-26,60.255,61.4659,59.3614,60.5891,38988.0
2019-03-27,61.0901,62.2677,60.0963,61.6664,33276.0
2019-03-28,61.6831,62.1925,59.6621,61.182,37019.0
2019-03-29,61.5912,61.8585,59.7706,60.4888,57314.0
2019-03-30,61.5912,61.8585,59.7706,60.4888,57314.0
2019-03-31,61.5912,61.8585,59.7706,60.4888,57314.0
2019-04-01,60.9649,62.9859,60.5807,62.3094,42444.0
2019-04-02,62.3011,62.3011,60.5556,61.5244,76853.0
2019-04-03,61.9253,62.6936,61.0484,61.7833,39059.0
2019-04-04,61.7916,62.9274,61.7916,62.5683,26773.0
2019-04-05,62.7771,63.4703,62.0505,63.3283,44901.0
2019-04-06,62.7771,63.4703,62.0505,63.3283,44901.0
2019-04-07,62.7771,63.4703,62.0505,63.3283,44901.0
2019-04-08,63.0861,63.654,62.869,63.1028,37630.0
2019-04-09,63.1613,63.1613,61.7165,62.1758,42058.0
2019-04-10,62.5182,63.2531,61.9002,63.2448,61665.0
2019-04-11,63.4202,64.6478,63.3283,64.3305,27169.0
2019-04-12,64.8482,65.6333,63.2196,63.9379,29111.0
2019-04-13,64.8482,65.6333,63.2196,63.9379,29111.0
2019-04-14,64.8482,65.6333,63.2196,63.9379,29111.0
2019-04-15,64.0549,64.6478,62.3929,63.1696,47757.0
2019-04-16,63.1529,64.6645,62.4264,64.4641,27964.0
2019-04-17,64.6979,65.0236,63.654,64.4307,21330.0
2019-04-18,64.0716,64.0716,62.5433,62.5516,24156.0
2019-04-19,64.0716,64.0716,62.5433,62.5516,24156.0
2019-04-20,64.0716,64.0716,62.5433,62.5516,24156.0
2019-04-21,64.0716,64.0716,62.5433,62.5516,24156.0
2019-04-22,62.5349,62.5349,61.4576,61.9837,28958.0
2019-04-23,61.7415,63.9045,61.7415,63.1446,50750.0
2019-04-24,63.1529,64.1885,62.3011,63.8628,29079.0
2019-04-25,63.9129,63.9129,62.5182,63.0276,27137.0
2019-04-26,62.9942,63.7459,62.4347,63.7459,25373.0
2019-04-27,62.9942,63.7459,62.4347,63.7459,25373.0
2019-04-28,62.9942,63.7459,62.4347,63.7459,25373.0
2019-04-29,64.1467,65.6333,64.1467,65.366,50740.0
2019-04-30,65.4495,65.8421,63.6206,63.8711,67232.0
2019-05-01,64.0632,64.7439,63.3701,64.6144,39244.0
2019-05-02,64.2302,65.2408,63.2114,65.1489,40022.0
2019-05-03,65.2408,68.4644,64.8065,67.4372,96617.0
2019-05-04,65.2408,68.4644,64.8065,67.4372,96617.0
2019-05-05,65.2408,68.4644,64.8065,67.4372,96617.0
2019-05-06,66.9695,68.0635,65.8588,66.6438,60687.0
2019-05-07,66.2179,66.6128,64.6937,65.508,50102.0
2019-05-08,65.341,65.8462,64.3555,65.4746,39145.0
2019-05-09,64.7814,64.9067,61.4994,62.585,56619.0
2019-05-10,62.3094,63.7626,61.9002,63.7542,23940.0
2019-05-11,62.3094,63.7626,61.9002,63.7542,23940.0
2019-05-12,62.3094,63.7626,61.9002,63.7542,23940.0
2019-05-13,62.4932,63.5246,60.3135,60.7728,32136.0
2019-05-14,60.9649,62.6685,60.1047,61.7081,36575.0
2019-05-15,61.1319,62.5015,60.6433,61.2238,29947.0
2019-05-16,61.4158,62.5266,60.9649,61.5578,23013.0
2019-05-17,60.9816,61.8585,60.1548,60.9231,29046.0
2019-05-18,60.9816,61.8585,60.1548,60.9231,29046.0
2019-05-19,60.9816,61.8585,60.1548,60.9231,29046.0
2019-05-20,60.4304,61.349,60.2007,61.0734,31483.0
2019-05-21,61.5077,62.7437,61.2572,62.4013,17982.0
2019-05-22,62.0672,62.1925,60.8312,60.9983,17358.0
2019-05-23,60.2801,60.2801,58.71,58.7935,23575.0
2019-05-24,59.1693,59.6871,58.4344,59.6621,28524.0
2019-05-25,59.1693,59.6871,58.4344,59.6621,28524.0
2019-05-26,59.1693,59.6871,58.4344,59.6621,28524.0
2019-05-27,59.1693,59.6871,58.4344,59.6621,28524.0
2019-05-28,59.6454,59.6454,57.7078,58.3342,51010.0
2019-05-29,58.0753,59.2612,57.8999,58.9939,27088.0
2019-05-30,59.1109,59.4032,57.3738,58.2173,47579.0
2019-05-31,57.5408,57.8999,56.1712,57.1483,47502.0
2019-06-01,57.5408,57.8999,56.1712,57.1483,47502.0
2019-06-02,57.5408,57.8999,56.1712,57.1483,47502.0
2019-06-03,57.5492,58.7434,57.1901,58.4261,37437.0
2019-06-04,58.9939,60.2383,58.5888,59.9794,42700.0
2019-06-05,59.9126,60.6976,57.9667,58.0753,49291.0
2019-06-06,58.1338,58.9188,57.2652,58.7768,28511.0
2019-06-07,58.9856,59.1929,58.0569,58.7601,29199.0
2019-06-08,58.9856,59.1929,58.0569,58.7601,29199.0
2019-06-09,58.9856,59.1929,58.0569,58.7601,29199.0
2019-06-10,59.1025,59.9413,59.1025,59.2695,35079.0
2019-06-11,59.6454,60.6141,58.7685,59.4115,24354.0
2019-06-12,59.2695,59.8792,59.1109,59.8541,31358.0
2019-06-13,60.0228,60.5626,59.5505,60.124,32739.0
2019-06-14,59.9806,61.1108,59.5771,60.3433,47840.0
2019-06-15,59.9806,61.1108,59.5771,60.3433,47840.0
2019-06-16,59.9806,61.1108,59.5771,60.3433,47840.0
2019-06-17,60.4782,61.5577,60.4782,60.9758,26959.0
2019-06-18,61.3891,61.4397,59.93,60.4192,42602.0
2019-06-19,60.0397,61.3638,59.8794,60.4445,52765.0
2019-06-20,60.765,60.765,59.618,60.0818,36689.0
2019-06-21,59.8794,60.4951,59.2722,59.2722,71109.0
2019-06-22,59.8794,60.4951,59.2722,59.2722,71109.0
2019-06-23,59.8794,60.4951,59.2722,59.2722,71109.0
