,CRI US Equity,CRI US Equity,CRI US Equity,CRI US Equity,CRI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,71.843,72.045,70.538,71.484,663074.0
2019-01-02,70.267,72.868,70.092,71.248,820152.0
2019-01-03,70.775,71.037,68.436,70.083,531539.0
2019-01-04,70.906,72.623,70.906,72.08,540514.0
2019-01-05,70.906,72.623,70.906,72.08,540514.0
2019-01-06,70.906,72.623,70.906,72.08,540514.0
2019-01-07,72.237,73.744,70.529,72.964,580946.0
2019-01-08,73.805,74.015,72.264,72.763,701241.0
2019-01-09,73.052,73.814,72.255,73.262,581018.0
2019-01-10,71.817,72.43,70.757,71.659,497211.0
2019-01-11,71.913,72.303,71.064,71.265,574872.0
2019-01-12,71.913,72.303,71.064,71.265,574872.0
2019-01-13,71.913,72.303,71.064,71.265,574872.0
2019-01-14,71.291,71.832,70.74,70.792,724434.0
2019-01-15,70.792,70.792,68.778,69.557,585703.0
2019-01-16,69.365,69.851,68.182,68.515,665105.0
2019-01-17,68.068,69.986,67.438,69.82,873680.0
2019-01-18,70.836,72.763,70.092,72.001,558338.0
2019-01-19,70.836,72.763,70.092,72.001,558338.0
2019-01-20,70.836,72.763,70.092,72.001,558338.0
2019-01-21,70.836,72.763,70.092,72.001,558338.0
2019-01-22,71.729,72.123,70.547,70.792,433281.0
2019-01-23,71.221,71.817,70.696,70.818,463115.0
2019-01-24,70.713,71.852,70.626,71.712,446306.0
2019-01-25,72.579,73.792,72.237,72.675,658849.0
2019-01-26,72.579,73.792,72.237,72.675,658849.0
2019-01-27,72.579,73.792,72.237,72.675,658849.0
2019-01-28,71.852,73.209,71.423,73.148,516582.0
2019-01-29,73.166,74.006,72.771,73.507,475630.0
2019-01-30,73.752,74.33,73.218,74.199,925632.0
2019-01-31,73.682,73.884,71.782,72.605,1071233.0
2019-02-01,72.64,73.043,71.94,72.938,554463.0
2019-02-02,72.64,73.043,71.94,72.938,554463.0
2019-02-03,72.64,73.043,71.94,72.938,554463.0
2019-02-04,72.772,73.017,72.255,72.605,590409.0
2019-02-05,73.236,74.882,72.802,74.269,601037.0
2019-02-06,74.453,74.961,73.726,74.847,436736.0
2019-02-07,74.453,75.084,73.875,74.523,342738.0
2019-02-08,74.444,75.204,73.332,73.411,419288.0
2019-02-09,74.444,75.204,73.332,73.411,419288.0
2019-02-10,74.444,75.204,73.332,73.411,419288.0
2019-02-11,73.752,74.952,72.99,74.462,739298.0
2019-02-12,75.014,77.72,74.865,77.51,816085.0
2019-02-13,77.589,78.167,76.756,77.834,933266.0
2019-02-14,77.151,78.745,76.783,78.263,412862.0
2019-02-15,78.806,79.349,78.175,78.911,673994.0
2019-02-16,78.806,79.349,78.175,78.911,673994.0
2019-02-17,78.806,79.349,78.175,78.911,673994.0
2019-02-18,78.806,79.349,78.175,78.911,673994.0
2019-02-19,78.596,78.867,77.939,78.491,990247.0
2019-02-20,78.596,79.647,77.974,79.253,1001471.0
2019-02-21,79.183,79.463,78.14,79.2,967076.0
2019-02-22,79.507,81.284,78.955,81.03,1079487.0
2019-02-23,79.507,81.284,78.955,81.03,1079487.0
2019-02-24,79.507,81.284,78.955,81.03,1079487.0
2019-02-25,86.881,90.577,86.706,87.608,4023915.0
2019-02-26,87.669,88.746,85.953,86.811,1213461.0
2019-02-27,86.513,87.082,86.04,86.11,1009209.0
2019-02-28,86.136,86.548,84.884,85.339,977826.0
2019-03-01,86.732,87.704,85.69,87.284,822731.0
2019-03-02,86.732,87.704,85.69,87.284,822731.0
2019-03-03,86.732,87.704,85.69,87.284,822731.0
2019-03-04,86.881,87.582,83.386,83.492,988400.0
2019-03-05,83.772,84.455,82.673,82.73,595907.0
2019-03-06,82.572,83.115,81.276,81.538,658525.0
2019-03-07,81.74,82.248,80.391,81.95,742844.0
2019-03-08,81.127,81.889,80.461,81.363,660388.0
2019-03-09,81.127,81.889,80.461,81.363,660388.0
2019-03-10,81.127,81.889,80.461,81.363,660388.0
2019-03-11,81.777,82.349,80.923,82.121,893346.0
2019-03-12,82.129,82.913,81.548,82.622,605947.0
2019-03-13,82.843,83.534,82.42,82.939,635104.0
2019-03-14,82.887,83.01,81.645,82.411,489264.0
2019-03-15,82.358,83.723,82.226,83.521,718422.0
2019-03-16,82.358,83.723,82.226,83.521,718422.0
2019-03-17,82.358,83.723,82.226,83.521,718422.0
2019-03-18,84.075,85.511,83.521,85.299,1101951.0
2019-03-19,86.127,87.135,85.828,86.198,890271.0
2019-03-20,86.057,86.62,84.621,84.797,702114.0
2019-03-21,84.718,86.479,84.48,86.277,642630.0
2019-03-22,85.625,86.4,82.781,83.168,845198.0
2019-03-23,85.625,86.4,82.781,83.168,845198.0
2019-03-24,85.625,86.4,82.781,83.168,845198.0
2019-03-25,82.895,84.516,82.552,84.401,632551.0
2019-03-26,85.106,86.743,84.463,86.25,779561.0
2019-03-27,86.523,88.901,86.523,88.575,832289.0
2019-03-28,89.729,91.137,88.76,89.517,645567.0
2019-03-29,89.685,89.685,88.135,88.751,692255.0
2019-03-30,89.685,89.685,88.135,88.751,692255.0
2019-03-31,89.685,89.685,88.135,88.751,692255.0
2019-04-01,89.244,89.759,87.461,89.755,769392.0
2019-04-02,89.702,89.702,87.228,87.386,574876.0
2019-04-03,88.108,88.795,87.316,88.689,523945.0
2019-04-04,88.822,90.239,88.822,90.151,558149.0
2019-04-05,90.407,91.366,89.896,90.424,458310.0
2019-04-06,90.407,91.366,89.896,90.424,458310.0
2019-04-07,90.407,91.366,89.896,90.424,458310.0
2019-04-08,90.063,90.759,89.755,90.098,360629.0
2019-04-09,89.64,90.354,89.051,89.755,483420.0
2019-04-10,89.861,90.6,89.165,89.711,373996.0
2019-04-11,90.002,90.53,89.403,90.213,751847.0
2019-04-12,90.574,92.485,90.266,92.441,463714.0
2019-04-13,90.574,92.485,90.266,92.441,463714.0
2019-04-14,90.574,92.485,90.266,92.441,463714.0
2019-04-15,92.476,93.198,92.172,92.555,522717.0
2019-04-16,92.758,94.017,92.317,92.564,647880.0
2019-04-17,92.441,93.312,91.041,91.472,661679.0
2019-04-18,91.331,92.41,90.468,91.631,540394.0
2019-04-19,91.331,92.41,90.468,91.631,540394.0
2019-04-20,91.331,92.41,90.468,91.631,540394.0
2019-04-21,91.331,92.41,90.468,91.631,540394.0
2019-04-22,91.534,92.564,90.433,90.759,913409.0
2019-04-23,91.243,92.828,90.459,92.59,480543.0
2019-04-24,92.819,94.395,92.265,93.515,553240.0
2019-04-25,93.312,94.528,92.52,93.621,813797.0
