,SMG US Equity,SMG US Equity,SMG US Equity,SMG US Equity,SMG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,91.2735,92.0684,91.2735,91.7487,253793.0
2020-01-02,92.0339,92.319,90.5995,91.2821,343703.0
2020-01-03,90.9883,92.6819,90.9883,92.319,339172.0
2020-01-04,90.9883,92.6819,90.9883,92.319,339172.0
2020-01-05,90.9883,92.6819,90.9883,92.319,339172.0
2020-01-06,91.2821,91.5024,89.6317,90.7809,441798.0
2020-01-07,90.5735,92.1375,90.1933,91.2735,355001.0
2020-01-08,91.2994,91.4031,89.407,90.7809,290710.0
2020-01-09,91.1352,92.1548,90.6081,91.5759,414701.0
2020-01-10,91.8956,93.3127,91.1006,93.2349,311559.0
2020-01-11,91.8956,93.3127,91.1006,93.2349,311559.0
2020-01-12,91.8956,93.3127,91.1006,93.2349,311559.0
2020-01-13,93.3213,95.568,92.7597,95.0236,469415.0
2020-01-14,95.0841,96.2117,95.0495,95.7408,359005.0
2020-01-15,95.4816,96.3197,95.0582,95.4038,392273.0
2020-01-16,95.8272,96.2852,95.1964,95.6803,330709.0
2020-01-17,95.7149,96.9764,95.4988,96.4753,229592.0
2020-01-18,95.7149,96.9764,95.4988,96.4753,229592.0
2020-01-19,95.7149,96.9764,95.4988,96.4753,229592.0
2020-01-20,95.7149,96.9764,95.4988,96.4753,229592.0
2020-01-21,95.9827,96.5703,94.0126,94.2459,375017.0
2020-01-22,94.557,95.2569,93.1485,93.8571,309697.0
2020-01-23,93.5028,94.4706,92.6733,93.6065,398380.0
2020-01-24,93.7793,94.2027,93.2609,93.8744,309112.0
2020-01-25,93.7793,94.2027,93.2609,93.8744,309112.0
2020-01-26,93.7793,94.2027,93.2609,93.8744,309112.0
2020-01-27,92.6301,94.3237,92.0339,93.7534,440612.0
2020-01-28,94.0645,95.0754,93.5374,94.4447,360408.0
2020-01-29,98.3071,103.2324,97.6158,99.897,1028151.0
2020-01-30,99.1626,104.5717,98.9438,104.3989,611304.0
2020-01-31,104.1483,106.153,104.0879,106.058,525688.0
2020-02-01,104.1483,106.153,104.0879,106.058,525688.0
2020-02-02,104.1483,106.153,104.0879,106.058,525688.0
2020-02-03,105.721,108.2398,105.3986,107.0258,589767.0
2020-02-04,107.5701,107.609,105.8333,106.1185,464046.0
2020-02-05,106.4987,107.0949,105.1248,106.9653,318952.0
2020-02-06,107.3714,107.7516,105.6259,106.3345,420609.0
2020-02-07,105.8679,106.9739,105.3321,106.2394,398548.0
2020-02-08,105.8679,106.9739,105.3321,106.2394,398548.0
2020-02-09,105.8679,106.9739,105.3321,106.2394,398548.0
2020-02-10,105.8506,106.5764,104.7402,104.9087,453105.0
2020-02-11,104.5631,104.9904,102.9732,103.8286,434067.0
2020-02-12,104.036,104.1483,102.377,102.8781,447273.0
2020-02-13,102.8349,104.8915,102.7615,103.6904,323765.0
2020-02-14,104.5372,105.4531,103.8027,105.0038,346245.0
2020-02-15,104.5372,105.4531,103.8027,105.0038,346245.0
2020-02-16,104.5372,105.4531,103.8027,105.0038,346245.0
2020-02-17,104.5372,105.4531,103.8027,105.0038,346245.0
2020-02-18,104.7359,104.805,102.9905,103.8113,293728.0
2020-02-19,104.2088,105.371,103.8978,105.0643,235348.0
2020-02-20,105.2198,106.5851,105.0902,106.1876,210849.0
2020-02-21,105.9024,105.9024,104.5501,104.7618,227021.0
2020-02-22,105.9024,105.9024,104.5501,104.7618,227021.0
2020-02-23,105.9024,105.9024,104.5501,104.7618,227021.0
2020-02-24,103.529,103.6939,102.0443,102.4523,307925.0
2020-02-25,102.4523,103.0183,98.58,98.7189,361912.0
2020-02-26,98.9881,100.985,98.7276,100.0473,309729.0
2020-02-27,98.6755,100.0473,96.1229,96.1836,429168.0
2020-02-28,93.5529,93.7356,89.8021,92.0248,749621.0
2020-02-29,93.5529,93.7356,89.8021,92.0248,749621.0
2020-03-01,93.5529,93.7356,89.8021,92.0248,749621.0
2020-03-02,92.676,99.8129,92.0769,99.7174,728771.0
2020-03-03,100.3512,103.4508,99.4569,101.7317,817571.0
2020-03-04,104.2496,109.1291,102.2005,108.7471,722567.0
2020-03-05,106.29,107.3379,101.0545,102.9733,487579.0
2020-03-06,100.247,102.652,97.9288,102.2613,497565.0
2020-03-07,100.247,102.652,97.9288,102.2613,497565.0
2020-03-08,100.247,102.652,97.9288,102.2613,497565.0
2020-03-09,92.9017,99.6653,92.4485,96.6351,579201.0
2020-03-10,98.7623,99.7434,91.799,97.651,521076.0
2020-03-11,95.4717,97.0606,90.2796,90.5054,737571.0
2020-03-12,84.7836,85.5781,79.8955,80.6682,758417.0
2020-03-13,84.4624,85.6693,77.4817,85.6519,664144.0
2020-03-14,84.4624,85.6693,77.4817,85.6519,664144.0
2020-03-15,84.4624,85.6693,77.4817,85.6519,664144.0
2020-03-16,78.6626,85.0268,77.1431,78.6886,655817.0
2020-03-17,80.4598,90.6703,78.8536,89.2377,647268.0
2020-03-18,83.2555,85.2959,69.5374,72.9495,800419.0
2020-03-19,72.1334,79.2095,69.8412,77.8117,596153.0
2020-03-20,78.1503,78.1503,69.5894,72.5241,1023231.0
2020-03-21,78.1503,78.1503,69.5894,72.5241,1023231.0
2020-03-22,78.1503,78.1503,69.5894,72.5241,1023231.0
2020-03-23,70.7703,73.8004,66.4204,67.3841,546543.0
2020-03-24,70.6834,77.4904,70.0641,77.2386,517555.0
2020-03-25,78.9664,89.1422,78.6843,86.0947,1068145.0
2020-03-26,88.1958,94.5861,87.8399,90.0191,810307.0
2020-03-27,93.987,96.2357,85.0528,89.0207,1199546.0
2020-03-28,93.987,96.2357,85.0528,89.0207,1199546.0
2020-03-29,93.987,96.2357,85.0528,89.0207,1199546.0
2020-03-30,90.514,92.3808,87.5794,91.7469,612865.0
2020-03-31,91.417,92.6412,86.9195,88.9078,662090.0
2020-04-01,85.3654,90.3404,85.3523,87.4752,412533.0
2020-04-02,87.2408,91.4166,86.3994,89.7934,391077.0
2020-04-03,89.0207,90.4489,86.0513,86.8848,442103.0
