,LEA US Equity,LEA US Equity,LEA US Equity,LEA US Equity,LEA US Equity
2019-01-31,140.08,141.366,139.6605,140.3901,814426.0
2019-02-01,139.1953,142.7705,139.1953,142.196,787938.0
2019-02-02,139.1953,142.7705,139.1953,142.196,787938.0
2019-02-03,139.1953,142.7705,139.1953,142.196,787938.0
2019-02-04,141.3934,142.3328,139.5602,141.4025,677499.0
2019-02-05,140.8917,142.3875,139.551,139.9979,640066.0
2019-02-06,140.1895,141.9223,139.3139,141.3751,517769.0
2019-02-07,140.1621,140.1804,135.2371,136.0488,689674.0
2019-02-08,134.8632,136.9153,132.3095,134.9817,797069.0
2019-02-09,134.8632,136.9153,132.3095,134.9817,797069.0
2019-02-10,134.8632,136.9153,132.3095,134.9817,797069.0
2019-02-11,135.5654,137.2071,134.6899,137.0065,984305.0
2019-02-12,137.8638,141.2748,137.7452,140.7367,931888.0
2019-02-13,142.2507,142.8982,139.5374,140.08,705588.0
2019-02-14,138.7667,142.0044,138.7667,141.9315,655657.0
2019-02-15,143.3725,144.6402,142.6337,143.181,641291.0
2019-02-16,143.3725,144.6402,142.6337,143.181,641291.0
2019-02-17,143.3725,144.6402,142.6337,143.181,641291.0
2019-02-18,143.3725,144.6402,142.6337,143.181,641291.0
2019-02-19,142.278,143.792,141.2383,142.6155,689328.0
2019-02-20,143.6005,145.5158,143.5002,144.0383,1014404.0
2019-02-21,143.4454,145.0142,141.1836,141.5666,637799.0
2019-02-22,141.9588,143.336,141.1836,141.9315,614358.0
2019-02-23,141.9588,143.336,141.1836,141.9315,614358.0
2019-02-24,141.9588,143.336,141.1836,141.9315,614358.0
2019-02-25,142.8982,143.4454,140.4361,140.6272,806902.0
2019-02-26,140.5452,142.0227,140.3992,140.8097,652797.0
2019-02-27,140.5999,141.3751,138.7667,140.536,625049.0
2019-02-28,140.2152,140.6826,138.5289,139.3721,672724.0
2019-03-01,140.3985,142.2407,138.2264,139.9311,719930.0
2019-03-02,140.3985,142.2407,138.2264,139.9311,719930.0
2019-03-03,140.3985,142.2407,138.2264,139.9311,719930.0
2019-03-04,140.4535,141.0218,138.0569,139.3171,440846.0
2019-03-05,139.6103,139.7661,137.5482,138.6572,506561.0
2019-03-06,139.0696,139.8395,134.9729,135.0828,450524.0
2019-03-07,134.6338,134.8079,132.3608,133.8089,715176.0
2019-03-08,132.4983,134.2855,131.9805,132.9016,600590.0
2019-03-09,132.4983,134.2855,131.9805,132.9016,600590.0
2019-03-10,132.4983,134.2855,131.9805,132.9016,600590.0
2019-03-11,132.9016,135.9443,132.5258,134.9087,517913.0
2019-03-12,135.1287,135.8573,133.7539,133.8547,568012.0
2019-03-13,134.3221,135.2295,132.3608,132.4342,640526.0
2019-03-14,131.8109,132.9199,128.5115,128.8048,709212.0
2019-03-15,129.5838,131.0044,129.1897,130.3079,942490.0
2019-03-16,129.5838,131.0044,129.1897,130.3079,942490.0
2019-03-17,129.5838,131.0044,129.1897,130.3079,942490.0
2019-03-18,130.7295,131.2885,128.7315,129.8863,632874.0
2019-03-19,127.8517,130.1337,126.8893,127.1551,903870.0
2019-03-20,126.2478,126.4036,122.8751,123.8099,1020461.0
2019-03-21,123.205,125.8008,122.3527,124.5431,627808.0
2019-03-22,123.4616,124.2681,120.7396,121.0879,714149.0
2019-03-23,123.4616,124.2681,120.7396,121.0879,714149.0
2019-03-24,123.4616,124.2681,120.7396,121.0879,714149.0
2019-03-25,121.427,123.6541,120.6846,122.4718,969664.0
2019-03-26,122.7834,124.3323,121.7936,122.6734,514198.0
2019-03-27,123.0675,123.8924,121.2437,121.7386,518021.0
2019-03-28,122.2335,125.7987,122.2335,123.48,583042.0
2019-03-29,125.4413,125.4413,124.1948,124.3781,682190.0
2019-03-30,125.4413,125.4413,124.1948,124.3781,682190.0
2019-03-31,125.4413,125.4413,124.1948,124.3781,682190.0
2019-04-01,126.4219,130.5003,126.0736,129.2172,659511.0
2019-04-02,129.6388,131.0411,128.9835,130.0421,576528.0
2019-04-03,132.2234,136.5034,131.6093,134.982,933455.0
2019-04-04,135.3578,138.1623,134.9912,137.145,512348.0
2019-04-05,137.1816,138.3181,136.3201,137.5391,421812.0
2019-04-06,137.1816,138.3181,136.3201,137.5391,421812.0
2019-04-07,137.1816,138.3181,136.3201,137.5391,421812.0
2019-04-08,137.4657,140.1969,136.87,139.9311,411980.0
2019-04-09,139.1796,140.0136,138.0615,139.3079,591313.0
2019-04-10,139.4545,142.7906,139.4545,142.1032,615760.0
2019-04-11,142.2865,142.3507,140.3069,142.1215,426961.0
2019-04-12,143.9729,145.4118,143.2763,144.6144,404989.0
2019-04-13,143.9729,145.4118,143.2763,144.6144,404989.0
2019-04-14,143.9729,145.4118,143.2763,144.6144,404989.0
2019-04-15,144.3486,145.4209,142.8291,143.2488,437062.0
2019-04-16,143.1022,144.1287,142.1674,143.0655,429605.0
2019-04-17,144.6328,145.8517,143.8446,144.3211,554736.0
2019-04-18,144.6694,145.1918,143.3313,144.6511,391611.0
2019-04-19,144.6694,145.1918,143.3313,144.6511,391611.0
2019-04-20,144.6694,145.1918,143.3313,144.6511,391611.0
2019-04-21,144.6694,145.1918,143.3313,144.6511,391611.0
2019-04-22,144.0737,145.6776,141.9531,142.0299,409957.0
2019-04-23,141.8924,142.6256,140.6414,142.1215,599431.0
2019-04-24,141.9016,142.6714,140.2702,140.3344,584681.0
2019-04-25,139.5737,139.6012,134.1022,134.423,914214.0
2019-04-26,132.9199,135.1195,130.2437,132.6908,1324203.0
2019-04-27,132.9199,135.1195,130.2437,132.6908,1324203.0
2019-04-28,132.9199,135.1195,130.2437,132.6908,1324203.0
2019-04-29,131.3618,133.149,130.6378,131.3252,730134.0
2019-04-30,129.8221,131.7514,128.6215,131.0594,570561.0
2019-05-01,131.4443,131.9576,130.1887,130.647,832240.0
2019-05-02,129.9688,133.2132,129.3877,132.7458,629251.0
2019-05-03,133.0115,134.368,132.6587,134.0289,476306.0
2019-05-04,133.0115,134.368,132.6587,134.0289,476306.0
2019-05-05,133.0115,134.368,132.6587,134.0289,476306.0
2019-05-06,130.2987,132.1317,128.869,131.6643,614100.0
2019-05-07,130.1612,131.0961,128.5482,129.5563,474110.0
2019-05-08,129.9963,130.3354,128.8231,129.0248,498365.0
2019-05-09,125.5696,127.3934,123.5441,127.1918,948784.0
2019-05-10,126.3028,128.9056,123.897,128.6123,953324.0
2019-05-11,126.3028,128.9056,123.897,128.6123,953324.0
2019-05-12,126.3028,128.9056,123.897,128.6123,953324.0
2019-05-13,126.6419,126.6419,122.4489,123.4708,756118.0
2019-05-14,124.094,126.1745,123.9015,125.038,733422.0
2019-05-15,123.2692,126.1836,121.0421,124.9372,636563.0
2019-05-16,124.6989,125.313,122.7834,123.0125,451596.0
2019-05-17,122.096,124.7905,121.8828,122.8659,447390.0
2019-05-18,122.096,124.7905,121.8828,122.8659,447390.0
2019-05-19,122.096,124.7905,121.8828,122.8659,447390.0
2019-05-20,121.2895,122.6918,119.9423,120.2997,845798.0
2019-05-21,120.0981,121.3628,119.3007,120.6388,738965.0
2019-05-22,120.0797,120.9779,116.5421,117.1011,586261.0
2019-05-23,115.8363,115.8455,113.2976,115.5156,594310.0
2019-05-24,116.5329,117.2569,114.7365,115.3414,727703.0
2019-05-25,116.5329,117.2569,114.7365,115.3414,727703.0
2019-05-26,116.5329,117.2569,114.7365,115.3414,727703.0
2019-05-27,116.5329,117.2569,114.7365,115.3414,727703.0
2019-05-28,116.3038,119.4657,116.2809,119.1357,813342.0
2019-05-29,117.5685,118.2651,114.7915,117.3119,438244.0
2019-05-30,117.5869,119.0716,115.2956,115.708,407675.0
2019-05-31,111.5013,112.0695,108.8801,109.0909,1104250.0
2019-06-01,111.5013,112.0695,108.8801,109.0909,1104250.0
2019-06-02,111.5013,112.0695,108.8801,109.0909,1104250.0
2019-06-03,108.9076,113.1052,108.2477,112.986,966444.0
2019-06-04,116.1113,120.9132,114.3901,120.5105,1010806.0
2019-06-05,120.6663,122.2152,117.6052,122.041,734674.0
2019-06-06,120.4649,122.1885,119.5732,121.1285,548596.0
2019-06-07,121.488,123.3498,121.0272,122.8613,618253.0
2019-06-08,121.488,123.3498,121.0272,122.8613,618253.0
2019-06-09,121.488,123.3498,121.0272,122.8613,618253.0
2019-06-10,124.4282,127.4099,124.4098,124.6125,490362.0
2019-06-11,126.4098,126.9813,125.5158,125.9305,494448.0
2019-06-12,124.7876,125.8568,124.3314,125.0734,606836.0
2019-06-13,124.5664,125.7278,123.9397,125.2577,544301.0
2019-06-14,124.7323,124.7323,122.6862,123.23,398030.0
2019-06-15,124.7323,124.7323,122.6862,123.23,398030.0
2019-06-16,124.7323,124.7323,122.6862,123.23,398030.0
2019-06-17,123.1563,124.2899,122.3913,123.1102,576394.0
2019-06-18,123.9213,128.0596,123.912,125.0181,370603.0
2019-06-19,125.3038,126.2808,124.5757,125.1563,376494.0
2019-06-20,127.479,128.668,125.654,126.8338,501616.0
2019-06-21,126.3822,128.0761,126.0596,126.9721,665158.0
2019-06-22,126.3822,128.0761,126.0596,126.9721,665158.0
2019-06-23,126.3822,128.0761,126.0596,126.9721,665158.0
2019-06-24,126.0227,128.1242,125.5434,127.2762,503943.0
2019-06-25,127.7094,128.3454,126.3637,127.2301,666759.0
2019-06-26,127.2301,129.6081,127.2301,128.3822,451175.0
2019-06-27,128.8062,130.7233,128.7417,129.4606,435478.0
2019-06-28,129.5067,131.7741,128.3638,128.3638,914459.0
2019-06-29,129.5067,131.7741,128.3638,128.3638,914459.0
2019-06-30,129.5067,131.7741,128.3638,128.3638,914459.0
2019-07-01,131.2303,131.8017,126.6393,127.5066,841729.0
2019-07-02,127.1748,128.9998,123.8014,124.5664,635392.0
2019-07-03,125.1195,126.0964,123.2208,123.866,287076.0
2019-07-04,125.1195,126.0964,123.2208,123.866,287076.0
2019-07-05,123.0457,125.8384,123.0457,124.4558,321520.0
2019-07-06,123.0457,125.8384,123.0457,124.4558,321520.0
2019-07-07,123.0457,125.8384,123.0457,124.4558,321520.0
2019-07-08,123.9213,124.0964,120.4096,120.9718,542531.0
2019-07-09,120.0686,121.3866,118.9073,120.4004,908410.0
2019-07-10,121.2023,122.1055,119.4142,122.0318,448722.0
2019-07-11,121.8659,122.6724,120.6493,121.1378,492299.0
2019-07-12,121.3313,125.9305,121.3313,125.737,591521.0
2019-07-13,121.3313,125.9305,121.3313,125.737,591521.0
2019-07-14,121.3313,125.9305,121.3313,125.737,591521.0
2019-07-15,125.949,126.8799,123.1286,124.6863,393752.0
2019-07-16,115.9026,124.1517,115.4417,119.5801,1773215.0
2019-07-17,118.2529,119.1193,114.4094,117.2114,1143584.0
2019-07-18,116.6123,118.9349,115.8565,118.8151,691999.0
2019-07-19,119.617,123.7922,119.617,121.8382,686808.0
2019-07-20,119.617,123.7922,119.617,121.8382,686808.0
2019-07-21,119.617,123.7922,119.617,121.8382,686808.0
2019-07-22,122.5203,123.4051,120.8059,121.0456,424698.0
2019-07-23,124.3176,125.6448,122.6678,123.0549,554415.0
2019-07-24,122.9996,126.3269,122.9719,126.1886,470696.0
2019-07-25,124.9259,125.5342,122.4373,123.0088,540356.0
2019-07-26,121.617,124.9167,120.4281,120.4465,863244.0
2019-07-27,121.617,124.9167,120.4281,120.4465,863244.0
2019-07-28,121.617,124.9167,120.4281,120.4465,863244.0
2019-07-29,120.2714,120.2714,117.0547,118.898,697785.0
2019-07-30,117.4233,117.4833,114.8703,116.8611,827222.0
2019-07-31,117.5063,117.9487,115.5431,116.8519,564573.0
2019-08-01,117.4602,117.875,111.6259,112.3356,476882.0
2019-08-02,111.0913,112.1974,109.2203,111.46,896740.0
2019-08-03,111.0913,112.1974,109.2203,111.46,896740.0
2019-08-04,111.0913,112.1974,109.2203,111.46,896740.0
2019-08-05,108.8885,110.6074,107.5797,110.0314,637599.0
2019-08-06,110.7964,111.8379,107.3954,109.5245,576600.0
2019-08-07,108.7871,109.9023,107.1972,107.9391,1155361.0
2019-08-08,108.4092,109.6904,107.4138,108.0037,494248.0
2019-08-09,107.2018,107.3262,105.1833,105.5704,502257.0
2019-08-10,107.2018,107.3262,105.1833,105.5704,502257.0
2019-08-11,107.2018,107.3262,105.1833,105.5704,502257.0
2019-08-12,104.8515,105.1556,102.6164,103.1924,524827.0
2019-08-13,103.4597,106.1603,102.2219,104.8976,449860.0
2019-08-14,102.621,102.6579,99.6716,100.0587,543684.0
2019-08-15,99.9942,100.7222,96.8696,97.7084,600689.0
2019-08-16,98.3259,101.0357,97.9941,100.4366,813116.0
2019-08-17,98.3259,101.0357,97.9941,100.4366,813116.0
2019-08-18,98.3259,101.0357,97.9941,100.4366,813116.0
2019-08-19,101.9666,102.4827,100.5933,102.1602,515946.0
2019-08-20,101.5795,102.1509,100.1601,100.4642,467388.0
2019-08-21,101.9574,103.0035,101.5242,102.4643,469810.0
2019-08-22,103.045,103.8054,101.7408,101.9021,361030.0
2019-08-23,100.4642,101.8744,97.9987,98.16,495535.0
2019-08-24,100.4642,101.8744,97.9987,98.16,495535.0
2019-08-25,100.4642,101.8744,97.9987,98.16,495535.0
2019-08-26,99.8744,100.3905,98.7038,98.8697,374510.0
2019-08-27,99.8651,100.8421,98.3167,98.5103,407812.0
2019-08-28,98.139,99.6705,97.6006,98.8258,490964.0
2019-08-29,99.819,101.4805,99.6798,101.2948,436925.0
2019-08-30,102.4829,104.5018,102.288,104.2001,863170.0
2019-08-31,102.4829,104.5018,102.288,104.2001,863170.0
2019-09-01,102.4829,104.5018,102.288,104.2001,863170.0
2019-09-02,102.4829,104.5018,102.288,104.2001,863170.0
2019-09-03,103.4761,103.6432,99.9025,101.4434,482366.0
2019-09-04,103.0863,105.5924,102.78,105.1933,712675.0
2019-09-05,107.3375,112.3312,107.1332,111.8021,1039645.0
2019-09-06,112.2291,113.0459,110.9389,111.6258,596795.0
2019-09-07,112.2291,113.0459,110.9389,111.6258,596795.0
2019-09-08,112.2291,113.0459,110.9389,111.6258,596795.0
2019-09-09,112.8603,115.4592,112.6468,115.023,665334.0
2019-09-10,114.4939,119.8496,114.4939,119.8218,736107.0
2019-09-11,120.1838,120.1838,116.0904,117.3342,670354.0
2019-09-12,114.6331,117.5152,111.4123,117.0,500437.0
2019-09-13,118.6151,120.6154,116.8051,117.2692,555235.0
2019-09-14,118.6151,120.6154,116.8051,117.2692,555235.0
2019-09-15,118.6151,120.6154,116.8051,117.2692,555235.0
2019-09-16,115.1993,116.8515,114.7074,115.1251,613822.0
2019-09-17,113.8534,113.9927,111.8671,112.6653,532094.0
2019-09-18,112.4426,112.9624,109.3702,110.4005,512074.0
2019-09-19,110.5212,112.2105,110.2799,110.4284,454896.0
2019-09-20,110.6883,111.6722,109.6394,110.3634,879343.0
2019-09-21,110.6883,111.6722,109.6394,110.3634,879343.0
2019-09-22,110.6883,111.6722,109.6394,110.3634,879343.0
2019-09-23,108.9525,111.9228,108.5627,110.2799,458768.0
2019-09-24,111.0039,111.7928,107.3746,107.9965,422139.0
2019-09-25,107.5695,110.0664,106.6552,109.528,388679.0
2019-09-26,110.02,111.3287,108.2749,109.1846,411756.0
2019-09-27,109.2774,110.8832,108.572,109.5187,210879.0
2019-09-28,109.2774,110.8832,108.572,109.5187,210879.0
2019-09-29,109.2774,110.8832,108.572,109.5187,210879.0
2019-09-30,109.528,110.8182,108.5627,109.4352,479970.0
2019-10-01,109.4352,109.955,105.0169,105.5924,503642.0
2019-10-02,104.4043,104.887,100.5337,103.6154,447810.0
2019-10-03,103.2998,103.3462,100.4687,103.077,333148.0
2019-10-04,103.3276,104.0145,101.1092,101.8796,399289.0
2019-10-05,103.3276,104.0145,101.1092,101.8796,399289.0
2019-10-06,103.3276,104.0145,101.1092,101.8796,399289.0
2019-10-07,101.7033,102.8542,100.3202,101.8054,497145.0
2019-10-08,100.1717,100.6822,98.6587,98.668,429499.0
2019-10-09,100.0325,101.3598,99.225,100.6544,335261.0
2019-10-10,101.5455,104.098,101.0349,102.1952,712390.0
2019-10-11,104.6735,109.4538,104.4786,108.6648,660860.0
2019-10-12,104.6735,109.4538,104.4786,108.6648,660860.0
2019-10-13,104.6735,109.4538,104.4786,108.6648,660860.0
2019-10-14,107.9408,109.5373,107.2168,109.3609,398016.0
2019-10-15,109.5002,113.148,108.5256,112.9624,541548.0
2019-10-16,112.8695,113.8906,111.7928,112.1084,619187.0
2019-10-17,111.9506,112.2941,109.5883,110.8182,487766.0
2019-10-18,110.1499,111.9599,109.9069,111.2638,468156.0
2019-10-19,110.1499,111.9599,109.9069,111.2638,468156.0
2019-10-20,110.1499,111.9599,109.9069,111.2638,468156.0
2019-10-21,113.083,113.9741,111.8485,112.0527,401485.0
2019-10-22,111.3194,116.0718,110.8739,116.0254,464208.0
2019-10-23,116.1461,116.1461,113.64,114.4846,403772.0
2019-10-24,114.6981,115.5613,111.8392,112.7489,685457.0
2019-10-25,112.7303,116.1739,112.2755,115.3014,1073013.0
2019-10-26,112.7303,116.1739,112.2755,115.3014,1073013.0
2019-10-27,112.7303,116.1739,112.2755,115.3014,1073013.0
2019-10-28,116.2668,117.2599,114.2247,114.5032,647898.0
2019-10-29,114.0855,115.385,113.2408,113.278,496336.0
2019-10-30,113.2408,113.2408,110.3263,110.9389,419561.0
2019-10-31,110.9389,111.3473,108.4884,109.3145,425291.0
2019-11-01,110.3912,112.127,109.7276,111.5329,332748.0
2019-11-02,110.3912,112.127,109.7276,111.5329,332748.0
2019-11-03,110.3912,112.127,109.7276,111.5329,332748.0
2019-11-04,113.1944,116.6752,112.9252,116.5638,479241.0
2019-11-05,117.3899,120.0538,117.3528,117.3528,831276.0
2019-11-06,117.2321,117.9747,114.8652,115.0415,479691.0
2019-11-07,116.7123,120.4622,115.7563,120.1559,1057525.0
2019-11-08,119.8775,120.3137,117.919,119.8404,341816.0
2019-11-09,119.8775,120.3137,117.919,119.8404,341816.0
2019-11-10,119.8775,120.3137,117.919,119.8404,341816.0
2019-11-11,118.8565,119.9332,117.8633,118.4573,686717.0
2019-11-12,118.1417,119.1164,116.7402,117.4456,319167.0
2019-11-13,115.9048,116.2761,113.937,113.9648,405608.0
2019-11-14,114.4196,114.8837,113.1294,113.3801,279497.0
2019-11-15,113.9741,114.4475,112.6468,113.1851,287513.0
2019-11-16,113.9741,114.4475,112.6468,113.1851,287513.0
2019-11-17,113.9741,114.4475,112.6468,113.1851,287513.0
2019-11-18,112.2755,113.2547,110.7904,113.1666,502716.0
2019-11-19,113.51,113.7235,111.3844,112.2198,527977.0
2019-11-20,111.6629,111.9228,108.2842,108.4513,701160.0
2019-11-21,109.1382,110.3309,108.1171,109.2217,490585.0
2019-11-22,110.3727,110.8182,109.101,110.4655,325943.0
2019-11-23,110.3727,110.8182,109.101,110.4655,325943.0
2019-11-24,110.3727,110.8182,109.101,110.4655,325943.0
2019-11-25,111.2545,113.7421,110.5769,112.2476,350599.0
2019-11-26,111.5144,113.4822,110.8553,113.1666,838029.0
2019-11-27,113.3429,114.3454,112.0713,113.6028,262245.0
2019-11-28,113.3429,114.3454,112.0713,113.6028,262245.0
2019-11-29,113.0088,113.7606,111.6443,111.6722,172658.0
2019-11-30,113.0088,113.7606,111.6443,111.6722,172658.0
2019-12-01,113.0088,113.7606,111.6443,111.6722,172658.0
2019-12-02,112.0434,114.6238,111.6907,113.1851,323167.0
2019-12-03,111.3102,112.6375,109.593,110.5305,454400.0
2019-12-04,111.1152,113.3336,107.9408,109.0361,1193761.0
2019-12-05,109.8675,112.8569,109.4144,112.698,824423.0
2019-12-06,114.0806,116.8177,114.0432,116.2946,675800.0
2019-12-07,114.0806,116.8177,114.0432,116.2946,675800.0
2019-12-08,114.0806,116.8177,114.0432,116.2946,675800.0
2019-12-09,115.8742,117.7986,115.3698,117.1447,598279.0
2019-12-10,116.715,117.0793,115.1642,116.771,557997.0
2019-12-11,117.3315,118.2657,116.7383,118.1536,339672.0
2019-12-12,118.4245,121.7828,117.6211,121.5446,441460.0
2019-12-13,121.2831,123.2355,119.779,120.8346,574244.0
2019-12-14,121.2831,123.2355,119.779,120.8346,574244.0
2019-12-15,121.2831,123.2355,119.779,120.8346,574244.0
2019-12-16,125.0664,131.6476,124.7768,129.8681,2406501.0
2019-12-17,129.3823,132.736,129.2795,132.1848,1357681.0
2019-12-18,131.5029,132.0727,127.7755,131.4188,1713923.0
2019-12-19,131.0077,132.6706,130.3818,132.2595,1157062.0
2019-12-20,133.2871,134.0531,130.5407,132.1101,8951403.0
2019-12-21,133.2871,134.0531,130.5407,132.1101,8951403.0
2019-12-22,133.2871,134.0531,130.5407,132.1101,8951403.0
2019-12-23,131.7738,133.3712,130.4846,131.7831,734170.0
2019-12-24,131.9793,132.451,129.9568,130.1109,198537.0
2019-12-25,131.9793,132.451,129.9568,130.1109,198537.0
2019-12-26,129.9241,131.0918,129.4197,130.7835,546400.0
2019-12-27,131.3814,131.9419,128.9572,129.3449,419067.0
2019-12-28,131.3814,131.9419,128.9572,129.3449,419067.0
2019-12-29,131.3814,131.9419,128.9572,129.3449,419067.0
2019-12-30,129.3823,130.2324,128.6817,129.018,521704.0
2019-12-31,128.8218,130.167,128.1305,128.1679,551439.0
2020-01-01,128.8218,130.167,128.1305,128.1679,551439.0
2020-01-02,129.4477,130.8956,128.0931,130.8676,659001.0
2020-01-03,128.4668,128.9713,126.6639,127.8222,441340.0
2020-01-04,128.4668,128.9713,126.6639,127.8222,441340.0
2020-01-05,128.4668,128.9713,126.6639,127.8222,441340.0
2020-01-06,126.3649,128.0184,125.8605,127.1216,547979.0
2020-01-07,126.8787,128.0333,126.0847,127.3365,470512.0
2020-01-08,127.3738,129.046,126.3532,128.5789,456014.0
2020-01-09,130.0642,130.1296,128.5789,129.429,564278.0
2020-01-10,129.5878,130.0175,127.215,127.4299,427895.0
2020-01-11,129.5878,130.0175,127.215,127.4299,427895.0
2020-01-12,129.5878,130.0175,127.215,127.4299,427895.0
2020-01-13,126.8507,127.7662,125.9632,127.2617,535628.0
2020-01-14,127.2057,128.5029,126.9067,127.8409,517254.0
2020-01-15,126.9628,129.3636,125.8978,127.9437,690931.0
2020-01-16,128.7938,131.316,128.4481,131.2973,384771.0
2020-01-17,131.4188,132.2782,130.3258,131.4001,337256.0
2020-01-18,131.4188,132.2782,130.3258,131.4001,337256.0
2020-01-19,131.4188,132.2782,130.3258,131.4001,337256.0
2020-01-20,131.4188,132.2782,130.3258,131.4001,337256.0
2020-01-21,130.4753,131.0358,128.4948,128.6723,542010.0
2020-01-22,129.5318,130.0549,128.0277,128.336,449464.0
2020-01-23,127.4579,128.4761,124.4219,127.9343,699194.0
2020-01-24,127.7195,127.8503,123.1654,124.945,687304.0
2020-01-25,127.7195,127.8503,123.1654,124.945,687304.0
2020-01-26,127.7195,127.8503,123.1654,124.945,687304.0
2020-01-27,121.4419,124.5526,120.0499,121.6194,804536.0
2020-01-28,122.759,124.1883,116.3273,117.2661,1356082.0
2020-01-29,118.0882,119.9005,117.4997,117.8173,541881.0
2020-01-30,115.9583,117.9294,115.4772,117.7799,403629.0
2020-01-31,116.6496,117.098,114.5926,115.0708,754593.0
2020-02-01,116.6496,117.098,114.5926,115.0708,754593.0
2020-02-02,116.6496,117.098,114.5926,115.0708,754593.0
2020-02-03,115.7434,118.2517,115.622,116.8925,417130.0
2020-02-04,119.1625,119.4801,116.0611,116.2946,968623.0
2020-02-05,117.7706,119.8818,117.4343,118.5459,1266568.0
2020-02-06,118.5459,118.7281,113.8844,113.9311,618887.0
2020-02-07,113.7443,114.4263,112.9596,113.7069,455885.0
2020-02-08,113.7443,114.4263,112.9596,113.7069,455885.0
2020-02-09,113.7443,114.4263,112.9596,113.7069,455885.0
2020-02-10,113.7443,113.7443,112.1889,112.8195,536495.0
2020-02-11,113.1371,116.9298,112.6186,116.3506,587074.0
2020-02-12,118.3965,120.5264,118.0041,118.1816,958287.0
2020-02-13,116.6683,117.9014,115.3231,117.1353,919621.0
2020-02-14,116.9859,116.9859,114.146,114.6785,324944.0
2020-02-15,116.9859,116.9859,114.146,114.6785,324944.0
2020-02-16,116.9859,116.9859,114.146,114.6785,324944.0
2020-02-17,116.9859,116.9859,114.146,114.6785,324944.0
2020-02-18,114.2021,115.7995,113.4547,115.2763,510508.0
2020-02-19,115.6407,117.07,115.622,116.6029,709054.0
2020-02-20,115.8742,117.4903,115.5659,116.4908,700682.0
2020-02-21,115.678,116.3226,110.6616,111.4556,757946.0
2020-02-22,115.678,116.3226,110.6616,111.4556,757946.0
2020-02-23,115.678,116.3226,110.6616,111.4556,757946.0
2020-02-24,106.9996,107.9431,104.4867,105.6171,519324.0
2020-02-25,106.271,106.4204,102.7211,103.9449,818384.0
2020-02-26,105.3835,107.8123,104.3186,104.6642,683076.0
2020-02-27,102.0868,108.6618,100.7135,103.8646,776425.0
2020-02-28,99.7164,106.3291,99.7164,104.5983,1355026.0
2020-02-29,99.7164,106.3291,99.7164,104.5983,1355026.0
2020-03-01,99.7164,106.3291,99.7164,104.5983,1355026.0
2020-03-02,105.3508,107.6365,102.1432,107.2979,678789.0
2020-03-03,107.0063,108.2856,100.9675,102.1621,790574.0
2020-03-04,104.2785,106.489,102.3126,106.1692,863353.0
2020-03-05,102.4348,104.3067,100.055,100.4407,559415.0
2020-03-06,96.951,100.1773,95.3425,96.4336,662943.0
2020-03-07,96.951,100.1773,95.3425,96.4336,662943.0
2020-03-08,96.951,100.1773,95.3425,96.4336,662943.0
2020-03-09,89.8962,91.4577,85.5223,86.3877,825381.0
2020-03-10,90.1314,97.0544,89.4729,96.0197,1025777.0
2020-03-11,93.5741,94.0632,87.3377,90.1878,1185975.0
2020-03-12,85.4941,88.41,80.1889,80.9414,1002827.0
