,LEA US Equity,LEA US Equity,LEA US Equity,LEA US Equity,LEA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,111.0772,112.0896,108.3502,112.0531,510935.0
2019-01-02,110.3384,114.2328,109.4173,113.0563,436037.0
2019-01-03,112.427,112.5912,109.7456,110.9039,499455.0
2019-01-04,113.1749,115.7286,112.354,115.3182,542975.0
2019-01-05,113.1749,115.7286,112.354,115.3182,542975.0
2019-01-06,113.1749,115.7286,112.354,115.3182,542975.0
2019-01-07,117.5253,121.4197,115.7651,120.8999,985830.0
2019-01-08,123.9643,129.3453,123.1799,126.6731,1444351.0
2019-01-09,127.6398,132.6104,127.6398,131.4065,748482.0
2019-01-10,130.6404,132.5831,130.157,132.5192,523444.0
2019-01-11,133.1577,135.4469,131.9912,133.4495,764440.0
2019-01-12,133.1577,135.4469,131.9912,133.4495,764440.0
2019-01-13,133.1577,135.4469,131.9912,133.4495,764440.0
2019-01-14,132.4189,134.6169,131.7896,133.6775,666061.0
2019-01-15,133.1577,135.3192,130.5948,133.1759,846882.0
2019-01-16,132.3003,137.426,130.9505,136.14,899972.0
2019-01-17,135.985,138.2833,134.854,137.4169,781138.0
2019-01-18,137.8091,140.0435,136.2495,138.2286,853438.0
2019-01-19,137.8091,140.0435,136.2495,138.2286,853438.0
2019-01-20,137.8091,140.0435,136.2495,138.2286,853438.0
2019-01-21,137.8091,140.0435,136.2495,138.2286,853438.0
2019-01-22,137.0521,137.4351,134.9635,136.3589,806521.0
2019-01-23,136.0488,136.4592,131.1603,132.8111,608333.0
2019-01-24,133.3857,136.4501,133.3857,135.8938,884497.0
2019-01-25,139.4507,145.6435,137.8911,144.8226,1344688.0
2019-01-26,139.4507,145.6435,137.8911,144.8226,1344688.0
2019-01-27,139.4507,145.6435,137.8911,144.8226,1344688.0
2019-01-28,145.9262,145.9262,142.1686,143.9197,1443942.0
2019-01-29,142.7067,144.4487,140.6044,140.6546,960655.0
2019-01-30,140.9191,141.5621,139.0677,140.1986,888702.0
