,JWN US Equity,JWN US Equity,JWN US Equity,JWN US Equity,JWN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,39.7608,40.6057,39.2694,40.1832,1972033.0
2019-01-02,39.6228,41.4678,39.3728,40.9333,2768363.0
2019-01-03,40.7263,41.4764,40.166,40.5194,2919676.0
2019-01-04,40.9333,41.1143,40.2349,40.4936,2849645.0
2019-01-05,40.9333,41.1143,40.2349,40.4936,2849645.0
2019-01-06,40.9333,41.1143,40.2349,40.4936,2849645.0
2019-01-07,40.2953,42.1661,40.2177,41.5195,2384699.0
2019-01-08,42.6144,43.0885,41.2609,42.2609,2424850.0
2019-01-09,42.1661,43.0713,41.5626,42.4937,3078253.0
2019-01-10,39.4935,40.8126,38.4504,40.7781,4228139.0
2019-01-11,40.7005,42.0454,40.3815,40.847,3632774.0
2019-01-12,40.7005,42.0454,40.3815,40.847,3632774.0
2019-01-13,40.7005,42.0454,40.3815,40.847,3632774.0
2019-01-14,40.6832,41.2522,40.4677,40.7608,1801272.0
2019-01-15,40.5798,41.0022,40.5022,40.7436,1987123.0
2019-01-16,37.2951,38.8512,37.1055,38.8038,10653143.0
2019-01-17,38.6486,39.7263,38.5969,39.5539,3466353.0
2019-01-18,39.8901,41.2695,39.8901,40.9677,4108821.0
2019-01-19,39.8901,41.2695,39.8901,40.9677,4108821.0
2019-01-20,39.8901,41.2695,39.8901,40.9677,4108821.0
2019-01-21,39.8901,41.2695,39.8901,40.9677,4108821.0
2019-01-22,40.7436,41.235,40.3298,40.5798,2321631.0
2019-01-23,40.6574,40.6574,39.5711,40.2005,2146438.0
2019-01-24,40.1229,40.2953,39.3125,40.278,2472625.0
2019-01-25,40.5194,41.0798,40.2867,40.5884,2600825.0
2019-01-26,40.5194,41.0798,40.2867,40.5884,2600825.0
2019-01-27,40.5194,41.0798,40.2867,40.5884,2600825.0
2019-01-28,40.2177,40.2867,39.3901,39.709,3727518.0
2019-01-29,39.6228,39.7349,39.0021,39.5884,3354944.0
2019-01-30,39.6573,39.9591,39.0107,39.1228,3083251.0
2019-01-31,38.9935,40.0453,38.7607,40.0108,4779994.0
2019-02-01,40.0711,40.347,38.9676,39.0797,3870225.0
2019-02-02,40.0711,40.347,38.9676,39.0797,3870225.0
2019-02-03,40.0711,40.347,38.9676,39.0797,3870225.0
2019-02-04,39.2176,39.6573,38.8124,39.5021,1948609.0
2019-02-05,39.8729,40.3384,39.6228,40.1918,2081531.0
2019-02-06,39.9246,40.2867,39.5021,39.7522,1820764.0
2019-02-07,39.7866,40.2177,39.4935,40.0108,2530848.0
2019-02-08,39.847,39.9742,39.1185,39.2004,2343781.0
2019-02-09,39.847,39.9742,39.1185,39.2004,2343781.0
2019-02-10,39.847,39.9742,39.1185,39.2004,2343781.0
2019-02-11,39.278,39.315,38.8211,39.1056,3317893.0
2019-02-12,39.2263,39.9591,38.9763,39.4418,2288374.0
2019-02-13,39.2952,39.2952,37.6917,38.459,5568241.0
2019-02-14,37.9676,38.528,37.502,37.8469,5066612.0
2019-02-15,38.2176,38.6573,38.1228,38.3124,3501056.0
2019-02-16,38.2176,38.6573,38.1228,38.3124,3501056.0
2019-02-17,38.2176,38.6573,38.1228,38.3124,3501056.0
2019-02-18,38.2176,38.6573,38.1228,38.3124,3501056.0
2019-02-19,38.3728,39.1832,38.0279,39.0107,2838441.0
2019-02-20,39.0107,39.4849,38.6918,38.7952,2360641.0
2019-02-21,38.8038,39.1099,38.2348,38.3555,2410309.0
2019-02-22,37.502,37.9676,37.2003,37.9676,3661015.0
2019-02-23,37.502,37.9676,37.2003,37.9676,3661015.0
2019-02-24,37.502,37.9676,37.2003,37.9676,3661015.0
2019-02-25,38.2693,39.0969,38.1935,38.6314,4357387.0
2019-02-26,38.8469,40.1746,38.7262,39.3039,3816772.0
2019-02-27,39.3039,40.7608,39.1918,40.7436,4847619.0
2019-02-28,41.0281,41.0798,40.0841,40.7608,6315286.0
2019-03-01,41.7523,42.1316,39.2866,40.3298,6013201.0
2019-03-02,41.7523,42.1316,39.2866,40.3298,6013201.0
2019-03-03,41.7523,42.1316,39.2866,40.3298,6013201.0
2019-03-04,40.4074,40.4559,39.1142,39.2004,3688052.0
2019-03-05,39.5366,39.6401,38.5711,39.0797,3149739.0
2019-03-06,39.2694,39.6401,38.5021,38.5538,2383778.0
2019-03-07,38.3641,38.7866,37.6055,38.5797,2757894.0
2019-03-08,38.5101,38.5101,37.8668,38.145,1939864.0
2019-03-09,38.5101,38.5101,37.8668,38.145,1939864.0
2019-03-10,38.5101,38.5101,37.8668,38.145,1939864.0
2019-03-11,38.1276,38.7275,38.0059,38.5362,1879516.0
2019-03-12,38.6318,38.6492,38.0929,38.6231,1930012.0
2019-03-13,38.5623,38.9969,38.2406,38.6579,2237133.0
2019-03-14,38.4319,38.7275,38.1798,38.6492,2530747.0
2019-03-15,38.6579,38.7188,37.6191,38.0233,3020404.0
2019-03-16,38.6579,38.7188,37.6191,38.0233,3020404.0
2019-03-17,38.6579,38.7188,37.6191,38.0233,3020404.0
2019-03-18,38.1711,38.4406,37.9103,38.4145,2879497.0
2019-03-19,38.5884,39.0752,38.258,38.7361,2087869.0
2019-03-20,38.7275,38.8057,37.693,37.7712,2661779.0
2019-03-21,37.0932,38.0885,36.9802,38.0407,4499593.0
2019-03-22,37.9277,38.145,37.2236,37.3192,3468979.0
2019-03-23,37.9277,38.145,37.2236,37.3192,3468979.0
2019-03-24,37.9277,38.145,37.2236,37.3192,3468979.0
2019-03-25,37.1975,38.5014,37.1627,37.8495,2161150.0
2019-03-26,38.2493,38.7622,37.8755,38.0146,2419433.0
2019-03-27,38.0146,38.8839,37.9538,38.8144,2350600.0
2019-03-28,39.1013,39.9184,38.4927,38.5275,3698866.0
2019-03-29,38.7014,38.8405,38.2233,38.5797,2137515.0
2019-03-30,38.7014,38.8405,38.2233,38.5797,2137515.0
2019-03-31,38.7014,38.8405,38.2233,38.5797,2137515.0
2019-04-01,38.5188,39.0839,38.145,39.0317,3015192.0
2019-04-02,39.0752,39.1099,38.145,38.1972,3105833.0
2019-04-03,38.4667,38.8318,38.3276,38.571,2026375.0
2019-04-04,38.7883,39.6054,38.6058,39.5968,2386047.0
2019-04-05,39.7011,40.1618,39.5098,39.675,3381790.0
2019-04-06,39.7011,40.1618,39.5098,39.675,3381790.0
2019-04-07,39.7011,40.1618,39.5098,39.675,3381790.0
2019-04-08,39.5794,40.014,39.1056,39.1795,1620528.0
2019-04-09,38.91,38.9991,38.345,38.3971,1886610.0
2019-04-10,39.1186,39.9879,38.5014,39.0665,3670242.0
2019-04-11,39.2577,39.7185,37.766,38.1276,3634215.0
2019-04-12,38.2059,38.4754,37.7886,38.1016,2358035.0
2019-04-13,38.2059,38.4754,37.7886,38.1016,2358035.0
2019-04-14,38.2059,38.4754,37.7886,38.1016,2358035.0
2019-04-15,38.232,38.2841,37.5365,37.5974,3251677.0
2019-04-16,37.7104,37.806,37.5974,37.7886,4309464.0
2019-04-17,37.8929,38.4058,37.6669,38.1016,3163816.0
2019-04-18,38.2059,38.5536,37.9451,38.1276,1913670.0
2019-04-19,38.2059,38.5536,37.9451,38.1276,1913670.0
2019-04-20,38.2059,38.5536,37.9451,38.1276,1913670.0
2019-04-21,38.2059,38.5536,37.9451,38.1276,1913670.0
2019-04-22,37.9625,38.032,36.5194,36.6411,2886154.0
2019-04-23,36.815,36.9628,35.824,36.3195,3587439.0
2019-04-24,36.3108,36.9454,36.3108,36.5107,1842978.0
2019-04-25,36.3543,36.489,35.3893,35.6849,2751370.0
2019-04-26,35.4415,35.9805,34.8764,35.9805,2434345.0
2019-04-27,35.4415,35.9805,34.8764,35.9805,2434345.0
2019-04-28,35.4415,35.9805,34.8764,35.9805,2434345.0
2019-04-29,35.8588,36.1891,35.3893,35.485,2387885.0
2019-04-30,35.5197,35.7544,35.1633,35.6588,4058242.0
2019-05-01,35.6067,35.6327,35.0677,35.0764,1836526.0
2019-05-02,35.2155,35.6762,35.0356,35.1807,2720963.0
2019-05-03,35.2589,35.3702,34.7721,35.0242,2412576.0
2019-05-04,35.2589,35.3702,34.7721,35.0242,2412576.0
2019-05-05,35.2589,35.3702,34.7721,35.0242,2412576.0
2019-05-06,34.7113,35.3546,34.3375,35.3111,2841088.0
2019-05-07,35.285,35.3111,34.0767,34.2245,3137117.0
2019-05-08,33.9202,35.0764,33.8246,34.7113,2620412.0
2019-05-09,34.0071,34.7547,33.9854,34.5983,3211339.0
2019-05-10,34.2158,34.3896,33.6942,34.2245,2421987.0
2019-05-11,34.2158,34.3896,33.6942,34.2245,2421987.0
2019-05-12,34.2158,34.3896,33.6942,34.2245,2421987.0
2019-05-13,33.9376,34.0067,32.5206,32.6858,3278225.0
2019-05-14,33.0074,33.4595,32.2033,33.077,3079328.0
2019-05-15,32.8162,33.1204,32.1816,32.538,4062876.0
2019-05-16,32.6771,32.9031,32.0773,32.1034,2862229.0
2019-05-17,31.8165,32.7727,31.6166,32.2425,2422362.0
2019-05-18,31.8165,32.7727,31.6166,32.2425,2422362.0
2019-05-19,31.8165,32.7727,31.6166,32.2425,2422362.0
2019-05-20,32.5815,32.8597,32.1208,32.5641,4396027.0
2019-05-21,32.1642,33.1987,31.9643,32.9031,9394056.0
2019-05-22,29.7997,30.6082,29.339,29.8606,15979502.0
2019-05-23,29.6519,30.2604,29.2694,29.3911,4992281.0
2019-05-24,29.5215,29.5774,28.9061,29.1217,4390998.0
2019-05-25,29.5215,29.5774,28.9061,29.1217,4390998.0
2019-05-26,29.5215,29.5774,28.9061,29.1217,4390998.0
2019-05-27,29.5215,29.5774,28.9061,29.1217,4390998.0
2019-05-28,29.1912,29.5215,28.6566,28.6696,4109227.0
2019-05-29,28.4958,28.7209,28.0524,28.1828,3499887.0
2019-05-30,28.1654,28.6262,28.1306,28.2263,3375756.0
2019-05-31,28.1383,28.1383,27.1799,27.5228,6560165.0
2019-06-01,28.1383,28.1383,27.1799,27.5228,6560165.0
2019-06-02,28.1383,28.1383,27.1799,27.5228,6560165.0
2019-06-03,27.4525,28.5164,27.3909,28.2263,4044688.0
2019-06-04,28.4197,29.1759,28.323,28.9385,3624852.0
2019-06-05,29.1408,29.299,27.9932,28.1032,2673108.0
2019-06-06,27.8833,28.0241,26.8633,27.303,6394753.0
2019-06-07,27.3294,27.9009,27.1887,27.8482,3103889.0
2019-06-08,27.3294,27.9009,27.1887,27.8482,3103889.0
2019-06-09,27.3294,27.9009,27.1887,27.8482,3103889.0
