,RNST US Equity,RNST US Equity,RNST US Equity,RNST US Equity,RNST US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,31.545,31.7401,31.3854,31.4032,355098.0
2020-01-02,31.5805,31.8287,30.951,31.616,352100.0
2020-01-03,31.2081,31.5539,31.0663,31.4386,163122.0
2020-01-04,31.2081,31.5539,31.0663,31.4386,163122.0
2020-01-05,31.2081,31.5539,31.0663,31.4386,163122.0
2020-01-06,31.1283,31.3854,30.8358,31.3544,170909.0
2020-01-07,31.1904,31.1904,30.7382,30.8712,148826.0
2020-01-08,30.8446,31.0751,30.7116,30.8624,141308.0
2020-01-09,31.0929,31.0929,30.7116,30.7382,116654.0
2020-01-10,30.6496,30.685,30.3481,30.6141,168701.0
2020-01-11,30.6496,30.685,30.3481,30.6141,168701.0
2020-01-12,30.6496,30.685,30.3481,30.6141,168701.0
2020-01-13,30.6673,30.8801,30.3836,30.8801,180210.0
2020-01-14,30.818,31.1461,30.6318,31.0219,199603.0
2020-01-15,30.756,31.3411,30.6673,30.9776,195345.0
2020-01-16,31.1993,31.7046,30.889,31.5716,240288.0
2020-01-17,31.7667,31.8021,31.3677,31.545,277940.0
2020-01-18,31.7667,31.8021,31.3677,31.545,277940.0
2020-01-19,31.7667,31.8021,31.3677,31.545,277940.0
2020-01-20,31.7667,31.8021,31.3677,31.545,277940.0
2020-01-21,31.4209,31.545,30.9865,31.2081,246484.0
2020-01-22,31.217,31.6093,30.623,31.1993,413299.0
2020-01-23,31.1638,31.35,30.6673,30.8535,376169.0
2020-01-24,30.8535,30.9333,29.5413,29.8428,401290.0
2020-01-25,30.8535,30.9333,29.5413,29.8428,401290.0
2020-01-26,30.8535,30.9333,29.5413,29.8428,401290.0
2020-01-27,29.2754,29.6211,29.1069,29.2576,230601.0
2020-01-28,29.3197,29.4615,28.9562,29.0626,261533.0
2020-01-29,29.0626,29.098,28.504,28.5129,186539.0
2020-01-30,28.2735,28.8321,28.2646,28.77,234937.0
2020-01-31,28.5483,28.6547,28.1582,28.309,214715.0
2020-02-01,28.5483,28.6547,28.1582,28.309,214715.0
2020-02-02,28.5483,28.6547,28.1582,28.309,214715.0
2020-02-03,28.4952,28.77,28.4242,28.5483,178262.0
2020-02-04,28.9739,29.1601,28.7877,28.8099,182302.0
2020-02-05,29.2133,29.6034,29.0892,29.4704,142481.0
2020-02-06,29.7098,29.8339,29.2754,29.3108,103659.0
2020-02-07,29.1512,29.1601,28.8055,28.8498,83859.0
2020-02-08,29.1512,29.1601,28.8055,28.8498,83859.0
2020-02-09,29.1512,29.1601,28.8055,28.8498,83859.0
2020-02-10,28.7257,28.8232,28.6104,28.8232,59439.0
2020-02-11,28.965,29.2488,28.8321,28.8675,64063.0
2020-02-12,29.1867,29.1911,28.8321,28.9119,109541.0
2020-02-13,28.7079,29.1246,28.7079,29.0803,85916.0
2020-02-14,29.0626,29.0626,28.504,28.5129,160162.0
2020-02-15,29.0626,29.0626,28.504,28.5129,160162.0
2020-02-16,29.0626,29.0626,28.504,28.5129,160162.0
2020-02-17,29.0626,29.0626,28.504,28.5129,160162.0
