,DTE US Equity,DTE US Equity,DTE US Equity,DTE US Equity,DTE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,95.2898,95.7984,95.1793,95.7321,837803.0
2020-01-02,95.8279,95.8279,94.1694,94.8697,933617.0
2020-01-03,94.6633,95.5773,94.6485,95.0982,1163926.0
2020-01-04,94.6633,95.5773,94.6485,95.0982,1163926.0
2020-01-05,94.6633,95.5773,94.6485,95.0982,1163926.0
2020-01-06,95.0613,95.4078,94.4403,95.0761,956202.0
2020-01-07,95.1571,95.1571,94.0735,94.7591,735847.0
2020-01-08,94.936,95.0834,94.5085,94.7075,716087.0
2020-01-09,94.5969,95.1277,94.5969,94.8402,807500.0
2020-01-10,95.0908,95.4151,94.9139,95.0466,1214429.0
2020-01-11,95.0908,95.4151,94.9139,95.0466,1214429.0
2020-01-12,95.0908,95.4151,94.9139,95.0466,1214429.0
2020-01-13,95.2677,95.909,95.2161,95.5257,1010757.0
2020-01-14,95.5699,96.0343,94.9507,96.0196,1179942.0
2020-01-15,96.3587,97.516,96.3034,97.2948,907879.0
2020-01-16,97.4718,98.0301,97.3612,97.9804,641830.0
2020-01-17,98.0393,98.7544,97.715,98.6512,1015359.0
2020-01-18,98.0393,98.7544,97.715,98.6512,1015359.0
2020-01-19,98.0393,98.7544,97.715,98.6512,1015359.0
2020-01-20,98.0393,98.7544,97.715,98.6512,1015359.0
2020-01-21,98.7249,99.1008,98.0762,98.7249,1284081.0
2020-01-22,98.8133,99.3072,97.7297,97.7592,1421843.0
2020-01-23,97.7371,98.8613,97.5602,98.7028,1117386.0
2020-01-24,98.5627,99.005,97.4644,97.8624,1248934.0
2020-01-25,98.5627,99.005,97.4644,97.8624,1248934.0
2020-01-26,98.5627,99.005,97.4644,97.8624,1248934.0
2020-01-27,97.9804,98.5185,97.0958,97.516,938066.0
2020-01-28,97.5455,98.4669,97.4128,97.6413,812760.0
2020-01-29,97.6413,97.9435,97.258,97.2654,1029471.0
2020-01-30,97.2801,98.2531,96.8673,98.1499,1459008.0
2020-01-31,98.0983,98.4669,97.3759,97.7519,1234580.0
2020-02-01,98.0983,98.4669,97.3759,97.7519,1234580.0
2020-02-02,98.0983,98.4669,97.3759,97.7519,1234580.0
2020-02-03,97.9951,98.6291,97.8182,98.6143,962288.0
2020-02-04,98.5037,99.005,98.1131,98.1131,1405802.0
2020-02-05,98.7765,99.3736,98.032,99.1082,1510689.0
2020-02-06,99.4473,99.8879,98.7249,98.9313,1238657.0
2020-02-07,99.1377,99.3736,98.4227,98.489,850052.0
2020-02-08,99.1377,99.3736,98.4227,98.489,850052.0
2020-02-09,99.1377,99.3736,98.4227,98.489,850052.0
2020-02-10,98.5775,98.6364,97.9804,98.3784,805759.0
2020-02-11,98.548,98.9755,98.2453,98.7912,819054.0
2020-02-12,98.6364,99.0787,98.3325,98.5922,858119.0
2020-02-13,98.5332,98.8576,98.0909,98.4448,1733326.0
2020-02-14,98.6143,99.1377,98.3047,98.7912,1624965.0
2020-02-15,98.6143,99.1377,98.3047,98.7912,1624965.0
2020-02-16,98.6143,99.1377,98.3047,98.7912,1624965.0
2020-02-17,98.6143,99.1377,98.3047,98.7912,1624965.0
2020-02-18,99.1745,99.7716,98.9829,99.2556,1269308.0
2020-02-19,98.9829,99.462,98.7912,98.8281,941416.0
2020-02-20,98.7912,98.9681,97.9804,98.7396,1117013.0
2020-02-21,98.7691,100.0075,98.6585,99.4841,1715497.0
2020-02-22,98.7691,100.0075,98.6585,99.4841,1715497.0
2020-02-23,98.7691,100.0075,98.6585,99.4841,1715497.0
2020-02-24,99.2409,100.0001,97.8772,97.9361,2082111.0
2020-02-25,97.914,98.2384,94.4126,94.4421,1444554.0
2020-02-26,94.6264,95.1166,91.9064,91.9432,1499983.0
2020-02-27,91.4198,91.6852,86.9307,86.9896,2247914.0
2020-02-28,85.7365,85.7365,81.2326,82.3162,2907750.0
2020-02-29,85.7365,85.7365,81.2326,82.3162,2907750.0
2020-03-01,85.7365,85.7365,81.2326,82.3162,2907750.0
2020-03-02,83.3482,86.1419,82.1172,85.9798,2516963.0
2020-03-03,85.9945,88.0806,82.6,83.3113,3049485.0
2020-03-04,84.3212,87.9774,84.0706,87.9479,1838169.0
2020-03-05,86.4737,86.8275,84.5497,85.6997,2002467.0
2020-03-06,83.2229,85.965,81.5053,85.5965,2678147.0
2020-03-07,83.2229,85.965,81.5053,85.5965,2678147.0
2020-03-08,83.2229,85.965,81.5053,85.5965,2678147.0
2020-03-09,80.7166,80.7166,74.9532,75.5788,3072410.0
2020-03-10,77.0383,79.7141,74.3482,79.6183,3275239.0
2020-03-11,78.1366,78.6231,75.6304,76.7434,3071224.0
2020-03-12,70.7431,73.1167,64.4627,67.2122,2625373.0
2020-03-13,70.9411,71.8878,66.7743,71.8878,2238632.0
2020-03-14,70.9411,71.8878,66.7743,71.8878,2238632.0
2020-03-15,70.9411,71.8878,66.7743,71.8878,2238632.0
2020-03-16,60.3786,68.2875,59.5736,61.8918,2782120.0
2020-03-17,63.487,66.7966,62.0603,65.8798,3017382.0
2020-03-18,62.4956,62.4956,53.081,57.397,2669866.0
2020-03-19,57.3224,64.292,55.0265,63.6659,2920404.0
2020-03-20,64.5604,65.3505,60.5202,61.8694,4536880.0
2020-03-21,64.5604,65.3505,60.5202,61.8694,4536880.0
2020-03-22,64.5604,65.3505,60.5202,61.8694,4536880.0
2020-03-23,60.647,63.1888,55.5864,57.2553,2192925.0
2020-03-24,60.0134,64.9778,58.9921,64.4933,2128319.0
2020-03-25,64.0237,72.0891,62.6149,68.936,2268199.0
2020-03-26,68.3471,73.8557,67.87,73.0358,1607361.0
2020-03-27,70.643,74.9478,68.0415,72.7003,1704087.0
2020-03-28,70.643,74.9478,68.0415,72.7003,1704087.0
2020-03-29,70.643,74.9478,68.0415,72.7003,1704087.0
2020-03-30,73.3563,74.7353,71.5598,74.1166,1480068.0
2020-03-31,73.155,73.9675,70.7473,70.7921,1918496.0
2020-04-01,68.5931,68.5931,63.7553,65.6562,2145341.0
2020-04-02,64.9033,68.5633,64.6648,66.4687,1636334.0
