,GBCI US Equity,GBCI US Equity,GBCI US Equity,GBCI US Equity,GBCI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,39.8165,40.1299,39.7817,40.0341,293130.0
2020-01-02,40.1299,40.1299,39.6163,39.8948,210856.0
2020-01-03,39.4596,39.921,39.3029,39.8513,343794.0
2020-01-04,39.4596,39.921,39.3029,39.8513,343794.0
2020-01-05,39.4596,39.921,39.3029,39.8513,343794.0
2020-01-06,39.4929,39.4929,39.0645,39.2655,304120.0
2020-01-07,39.1344,39.3093,38.6623,38.706,201956.0
2020-01-08,38.6885,39.1358,38.6798,39.0032,289984.0
2020-01-09,39.2218,39.2218,38.5399,39.0207,263020.0
2020-01-10,38.8808,39.1694,38.5923,38.741,194990.0
2020-01-11,38.8808,39.1694,38.5923,38.741,194990.0
2020-01-12,38.8808,39.1694,38.5923,38.741,194990.0
2020-01-13,38.8109,39.2131,38.5093,39.2043,232178.0
2020-01-14,39.1694,39.4885,38.977,39.353,300352.0
2020-01-15,39.2918,39.3879,38.7147,38.8983,284223.0
2020-01-16,39.2306,39.7289,38.9333,39.5278,306349.0
2020-01-17,39.7989,39.7989,39.353,39.5278,222774.0
2020-01-18,39.7989,39.7989,39.353,39.5278,222774.0
2020-01-19,39.7989,39.7989,39.353,39.5278,222774.0
2020-01-20,39.7989,39.7989,39.353,39.5278,222774.0
2020-01-21,39.2481,39.4142,38.7147,38.741,258039.0
2020-01-22,38.7672,38.9071,38.5311,38.7497,203835.0
2020-01-23,38.741,39.012,38.4524,38.8896,380599.0
2020-01-24,39.1257,39.5628,37.753,38.4787,341076.0
2020-01-25,39.1257,39.5628,37.753,38.4787,341076.0
2020-01-26,39.1257,39.5628,37.753,38.4787,341076.0
2020-01-27,37.8142,38.4699,37.5344,37.9978,401674.0
2020-01-28,38.3737,38.3737,37.8404,37.8579,220975.0
2020-01-29,37.9803,38.2251,37.2721,37.2896,278378.0
2020-01-30,37.0535,38.2076,37.0273,37.8317,193303.0
2020-01-31,37.5781,37.5869,36.9661,37.0448,288845.0
2020-02-01,37.5781,37.5869,36.9661,37.0448,288845.0
2020-02-02,37.5781,37.5869,36.9661,37.0448,288845.0
2020-02-03,37.3683,37.8492,37.3683,37.7617,381610.0
2020-02-04,38.3737,38.4699,38.1114,38.1464,196265.0
2020-02-05,38.5136,39.1519,38.4262,39.0557,225538.0
2020-02-06,39.2568,39.318,38.6185,38.671,124566.0
2020-02-07,38.4787,38.6404,37.9628,38.1377,163206.0
2020-02-08,38.4787,38.6404,37.9628,38.1377,163206.0
2020-02-09,38.4787,38.6404,37.9628,38.1377,163206.0
2020-02-10,37.989,38.2557,37.7705,38.2557,249911.0
2020-02-11,38.4787,38.8546,38.2776,38.3825,271024.0
2020-02-12,38.7584,38.8196,38.2513,38.5311,181423.0
2020-02-13,38.3388,38.8546,38.3388,38.8459,154056.0
2020-02-14,38.7584,38.8808,38.3912,38.5836,189136.0
2020-02-15,38.7584,38.8808,38.3912,38.5836,189136.0
2020-02-16,38.7584,38.8808,38.3912,38.5836,189136.0
2020-02-17,38.7584,38.8808,38.3912,38.5836,189136.0
2020-02-18,38.4175,38.4175,37.8579,38.0852,149709.0
2020-02-19,38.2426,38.3344,37.8929,37.9453,197283.0
2020-02-20,37.8841,38.5049,37.8841,38.4699,131051.0
2020-02-21,38.3563,38.3563,37.6568,37.7617,177646.0
2020-02-22,38.3563,38.3563,37.6568,37.7617,177646.0
2020-02-23,38.3563,38.3563,37.6568,37.7617,177646.0
2020-02-24,36.7388,37.1847,36.6076,37.036,221398.0
2020-02-25,37.0448,37.1584,35.5584,35.8295,222238.0
2020-02-26,36.118,36.2885,35.2262,35.4885,270730.0
2020-02-27,34.7541,35.8819,33.9322,33.9322,402552.0
2020-02-28,32.7519,33.6699,31.7901,32.6033,534185.0
2020-02-29,32.7519,33.6699,31.7901,32.6033,534185.0
2020-03-01,32.7519,33.6699,31.7901,32.6033,534185.0
2020-03-02,32.6819,34.553,32.5616,34.4655,249738.0
2020-03-03,34.553,35.2349,33.3377,33.6699,371307.0
2020-03-04,34.0284,34.5355,33.0054,34.4568,384911.0
2020-03-05,33.3901,33.6612,31.9213,32.4196,327042.0
2020-03-06,31.0207,32.6382,31.0207,32.0175,319719.0
2020-03-07,31.0207,32.6382,31.0207,32.0175,319719.0
2020-03-08,31.0207,32.6382,31.0207,32.0175,319719.0
2020-03-09,29.4382,29.7268,27.3923,27.9344,456726.0
2020-03-10,29.1497,29.7254,27.506,29.6131,352297.0
2020-03-11,28.6076,29.1759,27.1912,27.5322,588830.0
2020-03-12,25.4688,26.6404,23.3093,23.3792,890817.0
2020-03-13,25.224,27.7945,23.7202,27.7421,972391.0
2020-03-14,25.224,27.7945,23.7202,27.7421,972391.0
2020-03-15,25.224,27.7945,23.7202,27.7421,972391.0
2020-03-16,23.6065,26.8852,23.6065,25.2415,692451.0
2020-03-17,25.6699,28.1093,24.035,27.8994,970886.0
