,TMP US Equity,TMP US Equity,TMP US Equity,TMP US Equity,TMP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,78.9662,79.7995,78.9489,79.4263,65125.0
2020-01-02,79.6607,79.8516,78.8187,79.3308,53656.0
2020-01-03,79.0183,79.8516,78.4888,79.5652,78978.0
2020-01-04,79.0183,79.8516,78.4888,79.5652,78978.0
2020-01-05,79.0183,79.8516,78.4888,79.5652,78978.0
2020-01-06,78.5669,79.3568,78.2197,79.0964,56900.0
2020-01-07,78.593,78.8273,78.1155,78.4454,38327.0
2020-01-08,78.3325,79.4523,78.3325,79.1746,34046.0
2020-01-09,79.2527,79.6259,78.8187,79.1225,35130.0
2020-01-10,79.1138,79.1572,78.4801,78.645,31941.0
2020-01-11,79.1138,79.1572,78.4801,78.645,31941.0
2020-01-12,79.1138,79.1572,78.4801,78.645,31941.0
2020-01-13,78.7926,79.7475,78.1388,79.7475,28426.0
2020-01-14,79.3655,80.1468,79.3655,79.8169,34596.0
2020-01-15,79.6867,80.277,78.6884,79.2787,31061.0
2020-01-16,79.6693,80.8325,79.6693,80.6242,24613.0
2020-01-17,81.3013,81.3013,80.1902,80.2509,29114.0
2020-01-18,81.3013,81.3013,80.1902,80.2509,29114.0
2020-01-19,81.3013,81.3013,80.1902,80.2509,29114.0
2020-01-20,81.3013,81.3013,80.1902,80.2509,29114.0
2020-01-21,79.9732,80.3898,78.9923,79.3482,45627.0
2020-01-22,79.6867,80.1294,78.7145,78.8273,23691.0
2020-01-23,78.0635,79.2527,77.7379,79.2527,36572.0
2020-01-24,78.9923,80.5721,76.2232,77.5253,26538.0
2020-01-25,78.9923,80.5721,76.2232,77.5253,26538.0
2020-01-26,78.9923,80.5721,76.2232,77.5253,26538.0
2020-01-27,76.4749,78.1155,75.711,77.3517,24462.0
2020-01-28,78.4107,78.4541,75.9801,76.3447,37781.0
2020-01-29,76.4315,76.8178,75.0817,75.494,25177.0
2020-01-30,75.0253,76.3708,74.9852,76.1798,21486.0
2020-01-31,76.3621,77.5773,74.7215,74.7302,32828.0
2020-02-01,76.3621,77.5773,74.7215,74.7302,32828.0
2020-02-02,76.3621,77.5773,74.7215,74.7302,32828.0
2020-02-03,74.7041,76.6051,74.7041,76.5965,46328.0
2020-02-04,77.4819,77.9332,76.0496,76.4142,31054.0
2020-02-05,77.152,78.2414,76.935,77.994,23928.0
2020-02-06,78.0374,78.6798,75.9393,77.2041,23548.0
2020-02-07,77.0208,77.0208,76.2218,76.427,20613.0
2020-02-08,77.0208,77.0208,76.2218,76.427,20613.0
2020-02-09,77.0208,77.0208,76.2218,76.427,20613.0
2020-02-10,76.5667,77.1517,75.973,76.9509,29912.0
2020-02-11,77.1867,77.7105,76.2262,76.7937,20359.0
2020-02-12,77.2827,77.4573,76.3135,76.8025,25088.0
2020-02-13,76.8461,77.6669,76.5056,77.1605,25551.0
2020-02-14,77.2303,77.6145,76.3659,76.7675,23346.0
2020-02-15,77.2303,77.6145,76.3659,76.7675,23346.0
2020-02-16,77.2303,77.6145,76.3659,76.7675,23346.0
2020-02-17,77.2303,77.6145,76.3659,76.7675,23346.0
2020-02-18,76.7675,76.7937,75.5975,75.6848,34552.0
2020-02-19,76.1476,76.5056,75.8333,75.8333,23500.0
2020-02-20,75.8333,77.0033,75.4578,75.9817,31228.0
2020-02-21,76.0777,76.5493,75.3181,75.5539,58581.0
2020-02-22,76.0777,76.5493,75.3181,75.5539,58581.0
2020-02-23,76.0777,76.5493,75.3181,75.5539,58581.0
2020-02-24,73.8163,74.7573,73.8076,74.1917,28015.0
2020-02-25,74.4537,75.03,72.9169,73.5805,37201.0
2020-02-26,73.4146,74.7069,72.8034,73.2837,40337.0
2020-02-27,72.6201,74.3838,70.8912,70.8912,52087.0
2020-02-28,69.8522,70.7341,67.6693,69.3981,68654.0
2020-02-29,69.8522,70.7341,67.6693,69.3981,68654.0
2020-03-01,69.8522,70.7341,67.6693,69.3981,68654.0
2020-03-02,69.6775,72.5415,69.0401,72.0787,31116.0
2020-03-03,71.9477,71.9477,68.6822,69.8522,55988.0
2020-03-04,70.4197,71.1532,68.7957,71.0571,47647.0
2020-03-05,69.8871,69.8871,66.5255,68.2543,82356.0
2020-03-06,65.7658,70.4285,65.7658,70.2276,82279.0
2020-03-07,65.7658,70.4285,65.7658,70.2276,82279.0
2020-03-08,65.7658,70.4285,65.7658,70.2276,82279.0
2020-03-09,65.9754,67.4771,62.867,63.6179,53789.0
2020-03-10,64.8577,64.9625,61.483,64.7617,40887.0
2020-03-11,63.0329,63.0765,61.208,61.7057,60397.0
2020-03-12,58.4226,60.3785,53.856,53.9171,88664.0
2020-03-13,55.5325,59.5839,54.2577,59.5839,66715.0
2020-03-14,55.5325,59.5839,54.2577,59.5839,66715.0
2020-03-15,55.5325,59.5839,54.2577,59.5839,66715.0
2020-03-16,53.7338,58.6671,51.0357,55.6111,88686.0
2020-03-17,56.7811,65.9928,53.6902,65.9928,92528.0
2020-03-18,60.7627,67.451,59.8109,66.604,112636.0
2020-03-19,66.9097,71.5461,65.6872,69.2672,97787.0
2020-03-20,68.979,70.0355,58.3005,58.3178,128454.0
2020-03-21,68.979,70.0355,58.3005,58.3178,128454.0
2020-03-22,68.979,70.0355,58.3005,58.3178,128454.0
2020-03-23,57.1129,60.1078,51.2977,55.8555,66222.0
2020-03-24,57.6368,61.9501,55.3317,61.7144,62836.0
2020-03-25,61.2778,61.5048,58.5972,59.1211,58215.0
2020-03-26,59.3656,62.867,59.2415,62.5526,62258.0
2020-03-27,58.5536,61.2953,57.663,58.5187,45659.0
2020-03-28,58.5536,61.2953,57.663,58.5187,45659.0
2020-03-29,58.5536,61.2953,57.663,58.5187,45659.0
2020-03-30,58.5885,61.9152,58.5885,61.4874,40870.0
2020-03-31,61.1207,62.867,59.4704,62.6923,63267.0
2020-04-01,60.8674,61.9327,58.4925,59.0775,47303.0
2020-04-02,58.2916,61.9152,58.2916,61.889,40148.0
2020-04-03,60.4658,61.3913,57.7765,58.8854,53115.0
2020-04-04,60.4658,61.3913,57.7765,58.8854,53115.0
2020-04-05,60.4658,61.3913,57.7765,58.8854,53115.0
2020-04-06,60.0554,63.1202,59.645,62.7622,44694.0
2020-04-07,64.168,64.264,60.5793,61.2691,43953.0
2020-04-08,62.6836,63.7314,60.946,61.5223,46394.0
2020-04-09,62.1946,65.7309,61.6445,65.4777,37302.0
2020-04-10,62.1946,65.7309,61.6445,65.4777,37302.0
2020-04-11,62.1946,65.7309,61.6445,65.4777,37302.0
2020-04-12,62.1946,65.7309,61.6445,65.4777,37302.0
2020-04-13,64.6831,65.1459,60.719,61.8454,28883.0
2020-04-14,63.6441,63.9199,60.4745,61.5485,36856.0
2020-04-15,60.2038,60.2038,58.1432,58.3266,47677.0
2020-04-16,59.2434,59.2477,56.4842,57.4621,59827.0
2020-04-17,62.4304,62.4304,60.134,61.3564,45006.0
2020-04-18,62.4304,62.4304,60.134,61.3564,45006.0
2020-04-19,62.4304,62.4304,60.134,61.3564,45006.0
2020-04-20,59.4355,60.9897,57.674,59.0687,44563.0
2020-04-21,56.8509,59.872,56.816,59.1648,32362.0
2020-04-22,60.23,60.2562,58.4575,59.0862,21653.0
2020-04-23,58.929,59.8895,58.0839,59.1561,34892.0
2020-04-24,58.6846,59.4617,57.7939,58.0559,26656.0
