,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-02-22,18.1637,18.2334,17.7853,17.8749,5280956.0
2020-02-23,18.1637,18.2334,17.7853,17.8749,5280956.0
2020-02-24,17.138,17.2276,16.4011,16.4011,7103429.0
2020-02-25,16.4509,16.6998,15.0916,15.5347,10772726.0
2020-02-26,15.6144,15.7239,15.0766,15.236,16227291.0
2020-02-27,14.6285,15.6343,14.2601,15.0567,11417787.0
2020-02-28,14.3099,15.8932,14.2302,15.7638,12729828.0
2020-02-29,14.3099,15.8932,14.2302,15.7638,12729828.0
2020-03-01,14.3099,15.8932,14.2302,15.7638,12729828.0
2020-03-02,16.0326,16.0358,15.1862,15.7339,7943799.0
2020-03-03,15.704,16.0227,14.7978,15.1215,10095690.0
2020-03-04,15.5447,15.7737,14.8675,15.2559,6594722.0
2020-03-05,14.7978,15.0866,14.509,14.7281,5213835.0
2020-03-06,14.1406,14.4144,12.8759,13.2643,8036047.0
2020-03-07,14.1406,14.4144,12.8759,13.2643,8036047.0
2020-03-08,14.1406,14.4144,12.8759,13.2643,8036047.0
2020-03-09,8.1458,10.1623,7.7474,9.3009,21197486.0
2020-03-10,10.0577,10.2171,8.3648,9.2213,17089489.0
2020-03-11,8.7632,8.7632,7.1699,7.369,19919191.0
2020-03-12,6.6919,7.3093,5.8454,6.2438,18172883.0
2020-03-13,6.901,7.3491,6.1292,7.1599,17080326.0
2020-03-14,6.901,7.3491,6.1292,7.1599,17080326.0
2020-03-15,6.901,7.3491,6.1292,7.1599,17080326.0
2020-03-16,5.9649,6.5724,5.1583,5.2081,15174917.0
2020-03-17,5.238,5.2878,3.6945,4.1725,27126356.0
2020-03-18,3.8737,4.0928,2.7186,3.0074,27816947.0
2020-03-19,3.2762,4.2123,2.9874,3.9235,32346150.0
2020-03-20,4.1526,4.282,3.8737,4.0131,37583692.0
2020-03-21,4.1526,4.282,3.8737,4.0131,37583692.0
2020-03-22,4.1526,4.282,3.8737,4.0131,37583692.0
2020-03-23,4.0828,4.6106,3.8438,4.4513,20421615.0
2020-03-24,4.989,5.8156,4.8297,5.8056,19857031.0
2020-03-25,6.194,6.7068,5.4869,6.0944,15956256.0
2020-03-26,5.9749,6.7018,5.8255,6.184,12865823.0
2020-03-27,5.955,5.9649,5.228,5.3376,10556099.0
2020-03-28,5.955,5.9649,5.228,5.3376,10556099.0
2020-03-29,5.955,5.9649,5.228,5.3376,10556099.0
2020-03-30,5.1085,5.3973,4.8197,5.2878,10485871.0
2020-03-31,5.5865,6.2438,5.5467,6.0147,15818654.0
2020-04-01,5.6662,6.2338,5.3774,5.8654,7741187.0
2020-04-02,6.2836,6.7317,5.9799,6.2836,18990922.0
2020-04-03,6.5325,6.7218,6.0745,6.1541,10496884.0
2020-04-04,6.5325,6.7218,6.0745,6.1541,10496884.0
2020-04-05,6.5325,6.7218,6.0745,6.1541,10496884.0
2020-04-06,6.2736,6.6819,6.0297,6.6421,8086989.0
2020-04-07,7.0105,7.5682,6.662,6.7516,9087035.0
2020-04-08,7.14,7.3192,6.7715,7.1898,9459732.0
2020-04-09,7.7674,8.5242,6.8014,7.4786,17014279.0
2020-04-10,7.7674,8.5242,6.8014,7.4786,17014279.0
2020-04-11,7.7674,8.5242,6.8014,7.4786,17014279.0
2020-04-12,7.7674,8.5242,6.8014,7.4786,17014279.0
2020-04-13,7.9167,7.9566,6.9807,7.1898,8027929.0
2020-04-14,7.1201,7.4188,6.9408,7.2296,8960680.0
2020-04-15,6.672,6.901,6.0147,6.8413,12844981.0
2020-04-16,6.7118,6.7516,6.1043,6.2189,10287226.0
2020-04-17,6.3035,6.9508,6.2936,6.9209,9820747.0
2020-04-18,6.3035,6.9508,6.2936,6.9209,9820747.0
2020-04-19,6.3035,6.9508,6.2936,6.9209,9820747.0
2020-04-20,6.34,7.1686,6.2736,6.8313,9483506.0
2020-04-21,6.433,6.7068,6.2338,6.6969,14608388.0
2020-04-22,7.0305,7.3491,6.9408,7.2197,10942949.0
2020-04-23,7.6279,8.2454,7.5084,7.7674,13516058.0
2020-04-24,8.0248,8.3151,7.5981,8.1458,16906786.0
2020-04-25,8.0248,8.3151,7.5981,8.1458,16906786.0
2020-04-26,8.0248,8.3151,7.5981,8.1458,16906786.0
2020-04-27,7.9765,8.323,7.6479,7.9765,9084547.0
2020-04-28,8.2354,8.3648,7.9366,8.1159,7239965.0
2020-04-29,8.4943,10.0269,8.4943,10.0079,14856906.0
2020-04-30,10.1772,10.2918,9.2312,9.7689,13171091.0
2020-05-01,9.4204,9.6694,8.7134,8.7433,9156460.0
2020-05-02,9.4204,9.6694,8.7134,8.7433,9156460.0
2020-05-03,9.4204,9.6694,8.7134,8.7433,9156460.0
2020-05-04,8.574,9.1217,8.4346,9.0968,7419005.0
2020-05-05,9.759,9.988,8.7682,8.7831,10904521.0
2020-05-06,8.8428,9.0818,8.4843,8.7433,8513758.0
2020-05-07,8.9922,9.3407,8.6935,8.8229,10364141.0
2020-05-08,9.1323,10.0705,9.0924,10.0106,12635337.0
2020-05-09,9.1323,10.0705,9.0924,10.0106,12635337.0
2020-05-10,9.1323,10.0705,9.0924,10.0106,12635337.0
2020-05-11,9.9108,10.2002,9.5016,9.5765,9770337.0
2020-05-12,9.7312,9.841,9.2122,9.2421,8533373.0
2020-05-13,9.0924,9.2321,8.2341,8.3538,10429770.0
2020-05-14,8.0744,8.8229,7.7101,8.4387,8537361.0
