,RUTH US Equity,RUTH US Equity,RUTH US Equity,RUTH US Equity,RUTH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,21.0095,21.2337,20.871,21.2337,170747.0
2019-01-02,21.0375,21.3085,20.8414,21.187,229196.0
2019-01-03,21.0936,21.3552,20.9348,21.131,276024.0
2019-01-04,21.2991,21.6915,20.5051,21.542,245745.0
2019-01-05,21.2991,21.6915,20.5051,21.542,245745.0
2019-01-06,21.2991,21.6915,20.5051,21.542,245745.0
2019-01-07,21.4766,22.2333,21.4766,22.0745,245737.0
2019-01-08,22.2053,22.5976,21.528,22.4949,306218.0
2019-01-09,22.5042,22.8312,22.1796,22.5229,165972.0
2019-01-10,22.4949,22.5042,21.9764,22.5042,117894.0
2019-01-11,22.5509,22.6163,22.2893,22.4201,243178.0
2019-01-12,22.5509,22.6163,22.2893,22.4201,243178.0
2019-01-13,22.5509,22.6163,22.2893,22.4201,243178.0
2019-01-14,22.3267,22.5322,21.8503,21.9063,144829.0
2019-01-15,21.7849,22.2239,21.6634,22.0838,199667.0
2019-01-16,22.1399,22.1959,21.7288,21.869,183988.0
2019-01-17,21.8503,22.2426,21.7662,22.0651,234273.0
2019-01-18,22.1212,22.2613,21.8409,22.0558,139249.0
2019-01-19,22.1212,22.2613,21.8409,22.0558,139249.0
2019-01-20,22.1212,22.2613,21.8409,22.0558,139249.0
2019-01-21,22.1212,22.2613,21.8409,22.0558,139249.0
2019-01-22,21.8222,22.1399,21.6728,21.897,162961.0
2019-01-23,21.9904,22.3734,21.8783,22.336,207168.0
2019-01-24,22.3547,22.4201,22.1492,22.252,135982.0
2019-01-25,22.3734,22.3734,21.9904,22.2239,112856.0
2019-01-26,22.3734,22.3734,21.9904,22.2239,112856.0
2019-01-27,22.3734,22.3734,21.9904,22.2239,112856.0
2019-01-28,22.1679,22.3641,22.0651,22.28,124697.0
2019-01-29,22.1959,22.2333,21.8222,22.1492,226655.0
2019-01-30,22.2333,22.3547,21.953,22.1212,168635.0
2019-01-31,22.1212,22.1212,21.5327,21.5794,193186.0
2019-02-01,21.6074,21.7101,21.0189,21.0656,208811.0
2019-02-02,21.6074,21.7101,21.0189,21.0656,208811.0
2019-02-03,21.6074,21.7101,21.0189,21.0656,208811.0
2019-02-04,21.0562,21.514,21.0562,21.2991,199440.0
2019-02-05,21.3458,21.8876,21.274,21.8036,164784.0
2019-02-06,21.8036,22.1025,21.7662,22.0371,151341.0
2019-02-07,21.9717,22.2987,21.8596,22.0464,115066.0
2019-02-08,22.0184,22.2987,21.9063,22.1866,181884.0
2019-02-09,22.0184,22.2987,21.9063,22.1866,181884.0
2019-02-10,22.0184,22.2987,21.9063,22.1866,181884.0
2019-02-11,22.1959,22.7284,22.1959,22.4855,238960.0
