,MGRC US Equity,MGRC US Equity,MGRC US Equity,MGRC US Equity,MGRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,70.1093,70.4443,69.2221,69.2945,87334.0
2020-01-02,69.548,69.8966,68.5793,69.3398,125322.0
2020-01-03,68.8871,69.6748,68.4978,69.6295,101798.0
2020-01-04,68.8871,69.6748,68.4978,69.6295,101798.0
2020-01-05,68.8871,69.6748,68.4978,69.6295,101798.0
2020-01-06,69.2583,70.3266,69.0773,69.7744,254414.0
2020-01-07,69.5752,69.9102,69.0229,69.9011,131162.0
2020-01-08,69.9192,70.8065,69.3126,70.6163,90675.0
2020-01-09,70.7612,72.3636,70.4126,70.6525,109519.0
2020-01-10,70.7069,71.3859,69.9554,70.1908,74554.0
2020-01-11,70.7069,71.3859,69.9554,70.1908,74554.0
2020-01-12,70.7069,71.3859,69.9554,70.1908,74554.0
2020-01-13,70.2723,71.404,69.9192,71.2682,88572.0
2020-01-14,71.0509,72.1056,70.725,71.9653,113026.0
2020-01-15,71.8023,73.3323,71.8023,72.255,111971.0
2020-01-16,72.4233,72.7235,70.786,71.5592,107074.0
2020-01-17,71.7957,71.9048,70.7041,70.8952,81737.0
2020-01-18,71.7957,71.9048,70.7041,70.8952,81737.0
2020-01-19,71.7957,71.9048,70.7041,70.8952,81737.0
2020-01-20,71.7957,71.9048,70.7041,70.8952,81737.0
2020-01-21,70.5677,71.3954,69.8309,70.977,307664.0
2020-01-22,71.2317,71.3759,69.5853,69.9946,117012.0
2020-01-23,69.8127,70.7587,69.3033,70.3767,121160.0
2020-01-24,70.3676,70.4585,69.6854,70.4494,59921.0
2020-01-25,70.3676,70.4585,69.6854,70.4494,59921.0
2020-01-26,70.3676,70.4585,69.6854,70.4494,59921.0
2020-01-27,69.4398,71.0771,69.1305,70.8861,131653.0
2020-01-28,71.2226,72.1277,70.308,71.8593,107054.0
2020-01-29,71.8684,73.9605,71.6164,73.251,149475.0
2020-01-30,72.778,74.1834,72.5052,74.0424,96769.0
2020-01-31,73.7968,73.7968,69.8218,70.3312,138338.0
2020-02-01,73.7968,73.7968,69.8218,70.3312,138338.0
2020-02-02,73.7968,73.7968,69.8218,70.3312,138338.0
2020-02-03,70.4494,71.6501,70.1675,70.8133,83661.0
2020-02-04,71.7775,72.4506,70.9861,71.8321,127319.0
2020-02-05,72.4415,73.4512,71.8957,73.3875,70489.0
2020-02-06,73.6331,73.7604,72.4779,73.4694,80013.0
2020-02-07,73.151,73.5057,72.4051,72.678,87260.0
2020-02-08,73.151,73.5057,72.4051,72.678,87260.0
2020-02-09,73.151,73.5057,72.4051,72.678,87260.0
2020-02-10,72.5597,73.5512,72.1284,73.2147,95188.0
2020-02-11,73.533,74.67,72.9964,74.5973,96852.0
2020-02-12,75.043,76.3619,75.043,75.616,77677.0
2020-02-13,75.2886,75.2886,73.3329,73.6422,86747.0
2020-02-14,73.7968,74.4426,73.1328,74.1243,81747.0
2020-02-15,73.7968,74.4426,73.1328,74.1243,81747.0
2020-02-16,73.7968,74.4426,73.1328,74.1243,81747.0
2020-02-17,73.7968,74.4426,73.1328,74.1243,81747.0
2020-02-18,74.097,74.379,73.3511,73.8423,59661.0
2020-02-19,73.8969,74.9611,73.4057,74.3972,168299.0
2020-02-20,74.097,74.3699,72.3778,73.433,92224.0
2020-02-21,72.7871,73.3329,71.8048,72.3141,116761.0
2020-02-22,72.7871,73.3329,71.8048,72.3141,116761.0
2020-02-23,72.7871,73.3329,71.8048,72.3141,116761.0
2020-02-24,70.4222,71.8684,68.8485,71.4409,107834.0
2020-02-25,71.641,71.641,68.803,69.1669,89581.0
2020-02-26,72.769,72.769,62.9724,65.4193,264733.0
2020-02-27,64.355,65.8923,62.1083,64.0003,243323.0
2020-02-28,62.5085,63.7638,61.4534,63.1725,250276.0
2020-02-29,62.5085,63.7638,61.4534,63.1725,250276.0
2020-03-01,62.5085,63.7638,61.4534,63.1725,250276.0
2020-03-02,63.6183,64.3096,61.6171,64.2914,147278.0
2020-03-03,64.0185,65.483,61.1259,62.1356,162693.0
2020-03-04,63.0998,65.0827,61.94,64.6188,124199.0
2020-03-05,63.1907,63.3999,59.8252,61.2806,116648.0
2020-03-06,59.525,59.9616,57.8331,59.4431,149683.0
2020-03-07,59.525,59.9616,57.8331,59.4431,149683.0
2020-03-08,59.525,59.9616,57.8331,59.4431,149683.0
2020-03-09,55.641,55.9502,50.015,50.3106,218284.0
2020-03-10,51.4567,53.0213,49.2282,52.8939,228505.0
2020-03-11,51.293,51.666,47.3089,48.3186,162534.0
2020-03-12,45.235,47.4999,42.2515,42.8791,200848.0
2020-03-13,45.426,50.2561,43.3157,50.1651,244580.0
2020-03-14,45.426,50.2561,43.3157,50.1651,244580.0
2020-03-15,45.426,50.2561,43.3157,50.1651,244580.0
2020-03-16,43.6614,46.7541,43.6614,44.9621,232516.0
2020-03-17,45.1077,47.4687,44.9849,47.2816,207129.0
2020-03-18,44.5801,46.7359,42.0605,42.3697,244730.0
2020-03-19,42.1514,45.617,40.9598,44.3618,270601.0
2020-03-20,44.4709,45.8262,41.5511,42.8245,335106.0
2020-03-21,44.4709,45.8262,41.5511,42.8245,335106.0
2020-03-22,44.4709,45.8262,41.5511,42.8245,335106.0
2020-03-23,43.5249,43.6432,40.314,42.4698,229453.0
2020-03-24,44.6256,48.1821,44.6256,47.8547,123136.0
2020-03-25,47.9365,49.6375,45.8444,46.8905,148270.0
2020-03-26,47.691,50.7291,47.4908,49.9013,154944.0
2020-03-27,47.6273,49.1554,45.4806,46.5357,183868.0
2020-03-28,47.6273,49.1554,45.4806,46.5357,183868.0
2020-03-29,47.6273,49.1554,45.4806,46.5357,183868.0
2020-03-30,46.5357,49.4374,46.5357,48.9189,118813.0
2020-03-31,48.3732,49.6967,46.6267,47.6455,162277.0
2020-04-01,45.7535,47.0315,44.007,45.5443,143503.0
2020-04-02,45.6352,48.5369,44.5164,47.5272,117159.0
2020-04-03,47.218,47.7182,44.6528,45.9991,263212.0
2020-04-04,47.218,47.7182,44.6528,45.9991,263212.0
2020-04-05,47.218,47.7182,44.6528,45.9991,263212.0
2020-04-06,48.2458,49.492,47.2907,49.2555,127740.0
2020-04-07,50.4835,51.3021,47.2953,47.7819,93147.0
2020-04-08,48.546,49.7649,47.3817,48.5642,102434.0
2020-04-09,50.2561,51.0747,49.119,50.6836,142849.0
2020-04-10,50.2561,51.0747,49.119,50.6836,142849.0
2020-04-11,50.2561,51.0747,49.119,50.6836,142849.0
2020-04-12,50.2561,51.0747,49.119,50.6836,142849.0
2020-04-13,50.0468,50.0468,47.3453,47.882,71494.0
2020-04-14,49.8167,50.0771,48.3038,49.0923,95484.0
2020-04-15,48.0195,48.0195,45.2321,45.3238,121128.0
2020-04-16,45.3421,46.1903,43.0956,44.2234,181321.0
2020-04-17,45.3054,47.8086,44.7553,47.4327,193790.0
2020-04-18,45.3054,47.8086,44.7553,47.4327,193790.0
2020-04-19,45.3054,47.8086,44.7553,47.4327,193790.0
2020-04-20,46.1582,47.7628,45.6172,46.6533,250913.0
2020-04-21,45.9931,46.8825,45.3879,46.094,91037.0
2020-04-22,47.0476,47.5794,45.7093,45.8051,102138.0
2020-04-23,46.1031,47.2585,45.8922,46.1765,152636.0
2020-04-24,46.3782,47.1576,45.8464,46.8734,109495.0
2020-04-25,46.3782,47.1576,45.8464,46.8734,109495.0
2020-04-26,46.3782,47.1576,45.8464,46.8734,109495.0
2020-04-27,47.4969,50.5319,47.3502,50.1376,197537.0
2020-04-28,51.3021,51.7606,49.6975,51.0637,166885.0
2020-04-29,52.8059,55.52,52.5082,55.2724,204102.0
2020-04-30,51.9073,54.4564,48.9548,50.0184,260573.0
2020-05-01,48.3496,49.4866,47.6436,48.6797,165041.0
2020-05-02,48.3496,49.4866,47.6436,48.6797,165041.0
2020-05-03,48.3496,49.4866,47.6436,48.6797,165041.0
2020-05-04,47.8912,48.7164,46.4791,48.6797,144212.0
2020-05-05,49.1565,50.0001,47.341,47.5977,89431.0
2020-05-06,47.6069,48.5147,46.5799,46.8734,120229.0
2020-05-07,47.7903,48.5055,46.0573,46.635,88896.0
2020-05-08,47.772,48.8539,47.1668,48.4963,66826.0
2020-05-09,47.772,48.8539,47.1668,48.4963,66826.0
2020-05-10,47.772,48.8539,47.1668,48.4963,66826.0
2020-05-11,47.5702,48.0929,46.3782,46.5708,100323.0
2020-05-12,46.4332,46.5616,44.5169,44.5902,130531.0
2020-05-13,44.2326,44.2968,42.6647,43.5908,123543.0
2020-05-14,42.4263,45.9839,41.9128,45.8556,235826.0
2020-05-15,45.5163,46.5066,44.4664,46.1031,215400.0
2020-05-16,45.5163,46.5066,44.4664,46.1031,215400.0
2020-05-17,45.5163,46.5066,44.4664,46.1031,215400.0
2020-05-18,48.3313,49.5966,47.9645,49.1749,140003.0
2020-05-19,48.7989,49.7929,48.4596,48.5697,163392.0
2020-05-20,49.5966,50.2935,48.7347,49.5966,103483.0
