,ON US Equity,ON US Equity,ON US Equity,ON US Equity,ON US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,24.25,24.48,24.1028,24.38,2451534.0
2020-01-02,24.75,25.08,24.4,25.06,5651181.0
2020-01-03,24.48,25.0,24.23,24.69,4413234.0
2020-01-04,24.48,25.0,24.23,24.69,4413234.0
2020-01-05,24.48,25.0,24.23,24.69,4413234.0
2020-01-06,24.25,24.38,23.99,24.07,8586622.0
2020-01-07,24.49,25.15,24.39,24.66,10549966.0
2020-01-08,24.67,25.22,24.67,24.82,6660878.0
2020-01-09,25.13,25.19,24.56,24.86,4118234.0
2020-01-10,24.86,25.02,24.55,24.58,4065526.0
2020-01-11,24.86,25.02,24.55,24.58,4065526.0
2020-01-12,24.86,25.02,24.55,24.58,4065526.0
2020-01-13,24.76,25.34,24.76,25.32,5471777.0
2020-01-14,25.3,25.92,25.23,25.62,9298709.0
2020-01-15,25.45,25.45,24.75,24.88,7302793.0
2020-01-16,25.1,25.17,24.785,25.03,5712646.0
2020-01-17,25.08,25.18,24.81,25.0,5149029.0
2020-01-18,25.08,25.18,24.81,25.0,5149029.0
2020-01-19,25.08,25.18,24.81,25.0,5149029.0
2020-01-20,25.08,25.18,24.81,25.0,5149029.0
2020-01-21,24.83,25.09,24.7547,24.79,4599302.0
2020-01-22,25.07,25.275,24.79,24.79,3520891.0
2020-01-23,24.77,25.52,24.6,25.47,5936219.0
2020-01-24,25.76,25.83,24.715,24.99,5426048.0
2020-01-25,25.76,25.83,24.715,24.99,5426048.0
2020-01-26,25.76,25.83,24.715,24.99,5426048.0
2020-01-27,24.05,24.09,23.57,23.66,7665994.0
2020-01-28,24.05,24.31,23.71,24.17,5615033.0
2020-01-29,24.26,24.31,23.835,23.88,5717932.0
2020-01-30,23.59,23.99,23.21,23.94,8514053.0
2020-01-31,23.69,23.76,22.95,23.15,7994698.0
2020-02-01,23.69,23.76,22.95,23.15,7994698.0
2020-02-02,23.69,23.76,22.95,23.15,7994698.0
2020-02-03,21.45,21.82,19.85,19.905,34727486.0
2020-02-04,19.96,20.14,19.28,19.82,22432097.0
2020-02-05,20.36,21.23,20.01,21.15,18620900.0
2020-02-06,21.18,21.525,20.59,20.91,9550952.0
2020-02-07,20.91,20.93,20.22,20.45,9186218.0
2020-02-08,20.91,20.93,20.22,20.45,9186218.0
2020-02-09,20.91,20.93,20.22,20.45,9186218.0
2020-02-10,20.28,20.72,20.0603,20.54,6650163.0
2020-02-11,20.71,21.56,20.69,21.4,8215496.0
2020-02-12,21.73,21.83,21.24,21.385,5323643.0
2020-02-13,21.22,21.81,21.11,21.63,6131701.0
2020-02-14,21.74,21.9,21.14,21.44,5629126.0
2020-02-15,21.74,21.9,21.14,21.44,5629126.0
2020-02-16,21.74,21.9,21.14,21.44,5629126.0
2020-02-17,21.74,21.9,21.14,21.44,5629126.0
2020-02-18,21.21,21.315,21.0,21.11,5020590.0
2020-02-19,21.3,21.67,20.76,20.9,7905734.0
2020-02-20,20.74,20.89,20.24,20.6,10806483.0
2020-02-21,20.43,20.5,19.68,20.015,13925731.0
2020-02-22,20.43,20.5,19.68,20.015,13925731.0
2020-02-23,20.43,20.5,19.68,20.015,13925731.0
2020-02-24,19.29,19.58,19.11,19.35,9111866.0
2020-02-25,19.56,19.79,18.575,18.62,9452955.0
2020-02-26,18.82,19.0879,18.26,18.36,7466327.0
2020-02-27,17.84,18.33,17.54,17.54,8843713.0
2020-02-28,16.93,18.78,16.9107,18.66,13505754.0
2020-02-29,16.93,18.78,16.9107,18.66,13505754.0
2020-03-01,16.93,18.78,16.9107,18.66,13505754.0
2020-03-02,18.79,18.93,18.07,18.93,8422122.0
2020-03-03,18.73,19.13,18.0,18.13,9669519.0
2020-03-04,18.39,18.76,18.005,18.73,5615553.0
2020-03-05,18.19,18.52,17.73,17.83,7134745.0
2020-03-06,17.63,18.42,17.03,17.28,11756344.0
2020-03-07,17.63,18.42,17.03,17.28,11756344.0
2020-03-08,17.63,18.42,17.03,17.28,11756344.0
2020-03-09,16.12,16.77,15.51,15.53,13614707.0
2020-03-10,16.32,16.89,15.735,16.89,9504476.0
2020-03-11,16.42,16.5,15.0,15.07,10587573.0
2020-03-12,14.26,14.4401,12.61,12.93,15397784.0
2020-03-13,13.83,14.49,12.95,14.49,12869717.0
2020-03-14,13.83,14.49,12.95,14.49,12869717.0
2020-03-15,13.83,14.49,12.95,14.49,12869717.0
2020-03-16,12.75,14.25,11.61,11.81,11719793.0
2020-03-17,12.1,12.69,10.68,11.55,16903868.0
2020-03-18,10.61,10.98,8.17,8.45,15551104.0
2020-03-19,8.36,10.7,8.27,10.51,15907353.0
2020-03-20,10.89,11.96,10.51,10.82,15008566.0
