,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity,ZBRA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,157.07,159.33,155.98,159.23,409064.0
2019-01-02,155.99,157.46,152.27,156.24,347697.0
2019-01-03,153.85,153.85,146.52,146.88,514859.0
2019-01-04,150.51,154.49,149.65,152.97,723269.0
2019-01-05,150.51,154.49,149.65,152.97,723269.0
2019-01-06,150.51,154.49,149.65,152.97,723269.0
2019-01-07,153.52,156.64,152.01,155.29,1100037.0
2019-01-08,157.35,159.0,152.13,156.33,838543.0
2019-01-09,157.79,161.6,156.79,160.21,541199.0
2019-01-10,157.5,160.69,157.297,160.35,370357.0
2019-01-11,160.15,164.19,159.02,163.2,416194.0
2019-01-12,160.15,164.19,159.02,163.2,416194.0
2019-01-13,160.15,164.19,159.02,163.2,416194.0
2019-01-14,162.48,164.325,160.61,163.61,431912.0
2019-01-15,163.85,166.96,163.62,166.4,427503.0
2019-01-16,166.65,169.375,166.1701,168.73,435307.0
2019-01-17,167.82,176.995,167.82,175.59,657007.0
2019-01-18,176.84,179.81,175.74,177.79,362722.0
2019-01-19,176.84,179.81,175.74,177.79,362722.0
2019-01-20,176.84,179.81,175.74,177.79,362722.0
2019-01-21,176.84,179.81,175.74,177.79,362722.0
2019-01-22,176.56,177.59,171.13,173.01,451416.0
2019-01-23,174.14,176.565,172.02,173.15,325359.0
2019-01-24,173.44,175.24,172.97,174.64,390466.0
2019-01-25,176.16,177.73,175.27,175.86,399299.0
2019-01-26,176.16,177.73,175.27,175.86,399299.0
2019-01-27,176.16,177.73,175.27,175.86,399299.0
2019-01-28,173.54,175.28,171.75,172.24,390905.0
2019-01-29,172.21,174.03,170.5284,170.71,347362.0
2019-01-30,172.72,173.08,168.47,171.36,378654.0
2019-01-31,171.05,174.4,170.0,173.6,388771.0
2019-02-01,174.21,176.64,173.85,175.06,574163.0
2019-02-02,174.21,176.64,173.85,175.06,574163.0
2019-02-03,174.21,176.64,173.85,175.06,574163.0
2019-02-04,175.26,176.88,175.26,176.55,281022.0
2019-02-05,177.55,178.97,176.32,178.87,379586.0
2019-02-06,179.17,182.32,179.17,180.76,414331.0
2019-02-07,179.29,179.805,175.01,176.79,260794.0
2019-02-08,175.38,178.0,174.99,176.4,346039.0
2019-02-09,175.38,178.0,174.99,176.4,346039.0
2019-02-10,175.38,178.0,174.99,176.4,346039.0
2019-02-11,176.39,179.02,176.39,178.38,332929.0
2019-02-12,180.04,183.92,179.9,182.96,365655.0
