,OSK US Equity,OSK US Equity,OSK US Equity,OSK US Equity,OSK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,55.6748,56.3174,55.4453,56.2807,570164.0
2019-01-02,55.1975,56.6662,54.6375,56.5193,515606.0
2019-01-03,55.9961,56.1522,54.1969,54.8303,545431.0
2019-01-04,56.1981,57.8642,55.5004,57.6209,912302.0
2019-01-05,56.1981,57.8642,55.5004,57.6209,912302.0
2019-01-06,56.1981,57.8642,55.5004,57.6209,912302.0
2019-01-07,57.6301,59.1631,57.0793,58.0432,613351.0
2019-01-08,59.0162,60.5584,58.6123,60.2738,846469.0
2019-01-09,60.586,61.5223,60.2738,60.7695,508952.0
2019-01-10,61.3662,62.7891,60.8889,62.7707,750827.0
2019-01-11,62.5045,63.1195,61.3754,62.7891,548954.0
2019-01-12,62.5045,63.1195,61.3754,62.7891,548954.0
2019-01-13,62.5045,63.1195,61.3754,62.7891,548954.0
2019-01-14,61.8803,62.5871,61.2836,62.0455,960617.0
2019-01-15,61.917,62.3393,60.8613,62.1098,366232.0
2019-01-16,61.9721,63.0277,61.9354,62.9176,336821.0
2019-01-17,62.3026,65.5476,62.2475,64.8086,1048641.0
2019-01-18,65.3777,67.2688,64.8912,66.7822,884781.0
2019-01-19,65.3777,67.2688,64.8912,66.7822,884781.0
2019-01-20,65.3777,67.2688,64.8912,66.7822,884781.0
2019-01-21,65.3777,67.2688,64.8912,66.7822,884781.0
2019-01-22,65.6715,65.8184,63.7254,63.8264,880775.0
2019-01-23,64.3772,64.6847,61.8803,62.5045,854666.0
2019-01-24,62.7891,63.8218,62.2475,63.2756,909094.0
2019-01-25,64.4047,64.9555,63.6703,64.4322,819168.0
2019-01-26,64.4047,64.9555,63.6703,64.4322,819168.0
2019-01-27,64.4047,64.9555,63.6703,64.4322,819168.0
2019-01-28,63.3031,64.5699,62.4861,64.4873,1117805.0
2019-01-29,64.9922,65.3135,64.3955,65.1391,825302.0
2019-01-30,70.5276,70.6652,65.6531,66.8098,2151686.0
2019-01-31,67.5442,69.5637,66.796,68.8936,1470177.0
