,SSB US Equity,SSB US Equity,SSB US Equity,SSB US Equity,SSB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,77.3203,77.8117,77.3158,77.5079,137608.0
2020-01-02,78.4907,78.4907,76.9093,77.6241,216912.0
2020-01-03,77.0433,77.8832,76.5698,77.8117,165540.0
2020-01-04,77.0433,77.8832,76.5698,77.8117,165540.0
2020-01-05,77.0433,77.8832,76.5698,77.8117,165540.0
2020-01-06,77.2756,77.8653,76.7664,77.5794,166904.0
2020-01-07,77.0433,77.231,75.721,76.3822,146301.0
2020-01-08,76.4179,77.2846,76.0248,76.7217,114494.0
2020-01-09,76.9272,77.4945,76.6055,76.945,84789.0
2020-01-10,76.6859,77.1952,76.2124,76.5966,155808.0
2020-01-11,76.6859,77.1952,76.2124,76.5966,155808.0
2020-01-12,76.6859,77.1952,76.2124,76.5966,155808.0
2020-01-13,76.7485,77.2846,76.3464,77.231,101378.0
2020-01-14,77.1237,77.3739,76.7172,77.1863,107877.0
2020-01-15,76.9272,77.1639,76.0024,76.8825,161630.0
2020-01-16,76.9272,77.8653,76.9272,77.8028,110586.0
2020-01-17,78.2227,78.6069,77.4811,77.5794,88919.0
2020-01-18,78.2227,78.6069,77.4811,77.5794,88919.0
2020-01-19,78.2227,78.6069,77.4811,77.5794,88919.0
2020-01-20,78.2227,78.6069,77.4811,77.5794,88919.0
2020-01-21,77.1416,77.6241,76.6055,76.7395,105909.0
2020-01-22,77.0433,77.0433,76.1019,76.5162,79739.0
2020-01-23,76.2303,77.3918,75.444,76.9987,103719.0
2020-01-24,77.0076,77.222,75.6485,76.409,113405.0
2020-01-25,77.0076,77.222,75.6485,76.409,113405.0
2020-01-26,77.0076,77.222,75.6485,76.409,113405.0
2020-01-27,74.4344,74.4344,70.1726,71.2001,833026.0
2020-01-28,71.6468,71.9832,68.9307,69.2434,736411.0
2020-01-29,69.6008,69.6008,68.2695,68.2874,431170.0
2020-01-30,67.6173,69.9135,67.0097,69.7705,545705.0
2020-01-31,69.297,69.297,67.4386,67.5547,406042.0
2020-02-01,69.297,69.297,67.4386,67.5547,406042.0
2020-02-02,69.297,69.297,67.4386,67.5547,406042.0
2020-02-03,67.8317,69.6723,67.519,69.2791,523278.0
2020-02-04,70.3424,71.5217,69.6991,71.1197,385006.0
2020-02-05,71.9685,73.1657,71.0661,72.6564,269439.0
2020-02-06,72.6924,73.0608,72.0139,72.1712,306227.0
2020-02-07,71.6589,71.9375,70.2346,70.4547,243508.0
2020-02-08,71.6589,71.9375,70.2346,70.4547,243508.0
2020-02-09,71.6589,71.9375,70.2346,70.4547,243508.0
2020-02-10,69.9695,70.5895,69.4572,70.3828,196974.0
2020-02-11,70.8591,71.4433,69.8437,71.1557,253123.0
2020-02-12,71.7129,71.9884,70.5895,70.7872,135924.0
2020-02-13,70.4008,71.0074,70.2391,70.8322,212805.0
2020-02-14,71.0479,71.0479,70.2121,70.5356,119444.0
2020-02-15,71.0479,71.0479,70.2121,70.5356,119444.0
2020-02-16,71.0479,71.0479,70.2121,70.5356,119444.0
2020-02-17,71.0479,71.0479,70.2121,70.5356,119444.0
2020-02-18,70.1941,70.3918,69.5741,70.1492,178401.0
2020-02-19,70.1402,70.4458,69.7089,69.7987,238061.0
2020-02-20,69.6459,70.3739,69.0438,70.2391,194244.0
2020-02-21,70.0683,70.3536,68.9899,69.9335,235622.0
2020-02-22,70.0683,70.3536,68.9899,69.9335,235622.0
2020-02-23,70.0683,70.3536,68.9899,69.9335,235622.0
2020-02-24,67.8486,69.5111,67.1956,69.1966,315072.0
2020-02-25,69.0259,69.3629,66.95,67.5341,426320.0
2020-02-26,67.9115,68.0733,65.9345,66.4467,231255.0
2020-02-27,65.1616,66.5546,63.0769,63.2116,201242.0
2020-02-28,61.2255,62.4836,59.7158,61.2165,340627.0
2020-02-29,61.2255,62.4836,59.7158,61.2165,340627.0
2020-03-01,61.2255,62.4836,59.7158,61.2165,340627.0
2020-03-02,61.1177,63.7508,60.3538,63.7058,241733.0
2020-03-03,63.4183,64.4697,61.0009,62.1422,227262.0
2020-03-04,62.9869,64.0473,61.7467,63.9754,251499.0
2020-03-05,62.0793,62.6993,60.6144,61.9445,260075.0
2020-03-06,59.7068,61.9894,59.2844,61.0817,254746.0
2020-03-07,59.7068,61.9894,59.2844,61.0817,254746.0
2020-03-08,59.7068,61.9894,59.2844,61.0817,254746.0
2020-03-09,56.1841,57.7746,53.0028,53.1736,371965.0
2020-03-10,55.1776,55.9639,51.8435,54.8091,596159.0
2020-03-11,53.56,54.3149,50.7562,51.3583,228862.0
2020-03-12,47.5749,51.5021,46.5325,48.2399,563734.0
2020-03-13,51.1696,53.524,49.5699,53.4971,594535.0
2020-03-14,51.1696,53.524,49.5699,53.4971,594535.0
2020-03-15,51.1696,53.524,49.5699,53.4971,594535.0
2020-03-16,52.7781,52.7781,48.177,49.3543,433927.0
2020-03-17,50.172,53.6948,48.5634,52.7602,578467.0
2020-03-18,49.6149,54.5485,48.9578,54.3957,535957.0
2020-03-19,53.9105,61.2974,51.4571,60.0752,666639.0
2020-03-20,60.3808,60.8795,52.6344,53.3353,568431.0
2020-03-21,60.3808,60.8795,52.6344,53.3353,568431.0
2020-03-22,60.3808,60.8795,52.6344,53.3353,568431.0
2020-03-23,53.4252,53.4252,46.2539,48.9409,362882.0
2020-03-24,51.8525,52.5804,49.0352,51.7267,316196.0
2020-03-25,51.8885,52.6883,48.9319,50.8191,349047.0
2020-03-26,51.3493,55.9234,50.3428,55.5011,279198.0
2020-03-27,53.7397,54.5395,50.7022,53.6229,258810.0
2020-03-28,53.7397,54.5395,50.7022,53.6229,258810.0
2020-03-29,53.7397,54.5395,50.7022,53.6229,258810.0
2020-03-30,53.6229,54.5844,52.9489,53.8386,351375.0
2020-03-31,53.4971,54.0183,51.3673,52.7781,258091.0
2020-04-01,50.2979,50.7652,49.543,50.0642,431000.0
2020-04-02,49.4891,51.8301,48.0422,49.0487,255226.0
2020-04-03,48.3478,49.2015,45.1935,45.6248,319199.0
2020-04-04,48.3478,49.2015,45.1935,45.6248,319199.0
2020-04-05,48.3478,49.2015,45.1935,45.6248,319199.0
