,GRA US Equity,GRA US Equity,GRA US Equity,GRA US Equity,GRA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,61.616,62.1951,61.0675,62.1329,549393.0
2019-01-02,61.1852,63.1427,60.6588,62.9082,826905.0
2019-01-03,62.6976,62.7838,61.1709,61.6351,620851.0
2019-01-04,62.5253,64.6504,62.3052,63.9899,642114.0
2019-01-05,62.5253,64.6504,62.3052,63.9899,642114.0
2019-01-06,62.5253,64.6504,62.3052,63.9899,642114.0
2019-01-07,63.7889,64.2962,63.0901,63.6548,807656.0
2019-01-08,64.1717,65.0715,62.7838,64.2483,673694.0
2019-01-09,64.2866,64.6982,63.7219,63.8367,419565.0
2019-01-10,63.6261,64.971,63.272,64.9088,365008.0
2019-01-11,64.1909,65.4353,64.1909,64.9088,650618.0
2019-01-12,64.1909,65.4353,64.1909,64.9088,650618.0
2019-01-13,64.1909,65.4353,64.1909,64.9088,650618.0
2019-01-14,64.4015,65.1529,64.2866,64.4206,519852.0
2019-01-15,64.0186,64.5163,63.6357,64.1143,489520.0
2019-01-16,64.0282,64.4685,63.4825,63.9229,405110.0
2019-01-17,63.6166,65.0524,63.6166,64.7748,465870.0
2019-01-18,65.0907,66.2489,64.7078,66.1053,1064411.0
2019-01-19,65.0907,66.2489,64.7078,66.1053,1064411.0
2019-01-20,65.0907,66.2489,64.7078,66.1053,1064411.0
2019-01-21,65.0907,66.2489,64.7078,66.1053,1064411.0
2019-01-22,65.4736,66.2202,65.3108,65.7224,748454.0
2019-01-23,65.7224,66.1245,64.7939,65.5693,381027.0
2019-01-24,65.4353,67.1678,65.4353,67.053,1529576.0
2019-01-25,67.5124,68.4984,67.3306,68.0772,847815.0
2019-01-26,67.5124,68.4984,67.3306,68.0772,847815.0
2019-01-27,67.5124,68.4984,67.3306,68.0772,847815.0
2019-01-28,67.3976,68.6132,66.9477,68.2782,561529.0
2019-01-29,68.0198,68.5654,67.3018,67.6081,859300.0
2019-01-30,67.656,68.6419,67.3018,68.2973,406697.0
2019-01-31,67.8475,68.6802,67.4359,67.9719,845852.0
2019-02-01,67.9623,69.6374,67.9527,69.4556,1130957.0
2019-02-02,67.9623,69.6374,67.9527,69.4556,1130957.0
2019-02-03,67.9623,69.6374,67.9527,69.4556,1130957.0
2019-02-04,69.2163,70.2979,68.7089,70.0299,730102.0
2019-02-05,70.0586,70.0682,69.312,69.9246,661493.0
2019-02-06,69.7332,70.1065,69.312,70.0299,969295.0
2019-02-07,71.0446,72.4038,69.0535,71.303,1478270.0
2019-02-08,71.3509,72.1358,70.6808,71.4849,714673.0
2019-02-09,71.3509,72.1358,70.6808,71.4849,714673.0
2019-02-10,71.3509,72.1358,70.6808,71.4849,714673.0
2019-02-11,71.9731,72.0209,71.2456,71.5519,575093.0
2019-02-12,72.0496,72.5282,71.6667,72.3655,851130.0
2019-02-13,72.7388,72.9973,71.8869,72.2506,799667.0
2019-02-14,71.9443,72.5522,71.906,71.9826,599716.0
2019-02-15,72.6431,72.691,72.0783,72.3655,503300.0
2019-02-16,72.6431,72.691,72.0783,72.3655,503300.0
2019-02-17,72.6431,72.691,72.0783,72.3655,503300.0
2019-02-18,72.6431,72.691,72.0783,72.3655,503300.0
2019-02-19,71.9922,73.3802,71.9922,73.0739,647166.0
2019-02-20,73.0739,74.2895,72.9781,73.696,606862.0
2019-02-21,73.9641,74.5575,73.7439,74.2225,518504.0
2019-02-22,74.5288,74.9309,74.2321,74.3278,292951.0
2019-02-23,74.5288,74.9309,74.2321,74.3278,292951.0
2019-02-24,74.5288,74.9309,74.2321,74.3278,292951.0
2019-02-25,74.5575,75.3425,74.2034,74.5958,477997.0
2019-02-26,74.4714,75.0074,74.2991,74.6724,562584.0
2019-02-27,74.6244,75.3448,74.1153,74.7877,453704.0
2019-02-28,74.6436,75.095,74.1777,74.6052,376564.0
2019-03-01,75.0566,75.4264,74.5859,75.0086,359452.0
2019-03-02,75.0566,75.4264,74.5859,75.0086,359452.0
2019-03-03,75.0566,75.4264,74.5859,75.0086,359452.0
2019-03-04,74.8741,75.0758,73.5966,74.4034,688419.0
2019-03-05,74.3938,74.6628,74.1345,74.4803,467855.0
2019-03-06,74.5187,74.7781,74.2594,74.3074,259670.0
2019-03-07,74.1825,74.2594,73.174,73.952,321322.0
2019-03-08,73.5005,74.2498,73.0395,73.7791,323420.0
2019-03-09,73.5005,74.2498,73.0395,73.7791,323420.0
2019-03-10,73.5005,74.2498,73.0395,73.7791,323420.0
2019-03-11,74.1057,74.8837,73.683,74.8837,390712.0
2019-03-12,75.047,75.1911,74.2017,74.2402,347979.0
2019-03-13,74.2882,75.1335,74.2017,74.3746,562150.0
2019-03-14,74.4707,74.4707,73.7887,74.1825,348708.0
2019-03-15,74.2978,74.7588,74.1345,74.413,279901.0
2019-03-16,74.2978,74.7588,74.1345,74.413,279901.0
2019-03-17,74.2978,74.7588,74.1345,74.413,279901.0
2019-03-18,74.5091,74.8741,74.2113,74.7492,345823.0
2019-03-19,75.2391,75.316,73.9136,74.2498,319809.0
2019-03-20,74.2402,74.4323,73.539,73.952,302425.0
2019-03-21,74.4899,75.8154,74.1729,75.0854,419020.0
2019-03-22,75.2007,75.3544,73.5486,73.6158,314871.0
2019-03-23,75.2007,75.3544,73.5486,73.6158,314871.0
2019-03-24,75.2007,75.3544,73.5486,73.6158,314871.0
2019-03-25,73.4525,74.3554,73.4525,73.7887,509651.0
2019-03-26,74.1729,74.5091,73.6734,73.7695,291967.0
2019-03-27,73.7695,74.0961,72.8474,73.2028,441225.0
2019-03-28,73.4813,74.5379,73.4813,74.4995,376032.0
2019-03-29,74.7396,75.2391,74.4419,74.9606,371700.0
2019-03-30,74.7396,75.2391,74.4419,74.9606,371700.0
2019-03-31,74.7396,75.2391,74.4419,74.9606,371700.0
2019-04-01,75.2967,75.5033,74.7973,75.4985,315574.0
2019-04-02,75.4792,75.7578,74.9894,75.2295,468908.0
2019-04-03,75.6041,75.6329,74.8261,74.9317,438412.0
2019-04-04,75.0182,75.7674,74.999,75.1815,370532.0
2019-04-05,75.3928,75.6233,75.1527,75.2967,246650.0
2019-04-06,75.3928,75.6233,75.1527,75.2967,246650.0
2019-04-07,75.3928,75.6233,75.1527,75.2967,246650.0
2019-04-08,75.1431,75.1431,74.3842,74.73,473357.0
2019-04-09,74.4707,74.7781,73.904,74.317,331192.0
2019-04-10,74.634,74.6916,73.9616,74.4707,206080.0
2019-04-11,74.5379,74.7492,74.0384,74.2594,276910.0
2019-04-12,73.9616,74.634,73.8079,74.365,236746.0
2019-04-13,73.9616,74.634,73.8079,74.365,236746.0
2019-04-14,73.9616,74.634,73.8079,74.365,236746.0
2019-04-15,74.5571,74.5571,73.7022,74.2113,311770.0
2019-04-16,74.4419,74.6916,74.0336,74.365,180407.0
2019-04-17,74.4419,74.6148,73.7407,73.9328,301815.0
2019-04-18,74.0865,74.0865,73.2124,73.8559,215644.0
2019-04-19,74.0865,74.0865,73.2124,73.8559,215644.0
2019-04-20,74.0865,74.0865,73.2124,73.8559,215644.0
2019-04-21,74.0865,74.0865,73.2124,73.8559,215644.0
2019-04-22,73.7215,73.8271,73.1403,73.6254,249129.0
2019-04-23,73.7022,73.9328,73.174,73.4621,262973.0
2019-04-24,73.5582,73.8175,72.0213,72.2903,429573.0
2019-04-25,72.3191,73.0491,70.1002,70.2827,964662.0
2019-04-26,70.4364,73.6254,70.4364,72.3287,455715.0
2019-04-27,70.4364,73.6254,70.4364,72.3287,455715.0
2019-04-28,70.4364,73.6254,70.4364,72.3287,455715.0
2019-04-29,72.3767,72.6168,71.6947,72.3191,501666.0
2019-04-30,72.3479,72.6168,71.858,72.5976,399231.0
2019-05-01,72.7993,72.9146,72.0021,72.0501,390015.0
2019-05-02,72.0693,72.7897,71.4354,72.54,396687.0
2019-05-03,72.8858,73.7599,72.638,73.4909,295382.0
2019-05-04,72.8858,73.7599,72.638,73.4909,295382.0
2019-05-05,72.8858,73.7599,72.638,73.4909,295382.0
2019-05-06,72.3863,73.8655,72.3863,73.8175,543203.0
2019-05-07,73.2892,73.6446,72.0885,72.5208,362379.0
2019-05-08,72.2422,72.5879,71.6275,72.0117,320967.0
2019-05-09,71.3585,71.7716,70.5805,71.5699,204659.0
2019-05-10,71.397,72.1078,70.6285,71.7235,363431.0
2019-05-11,71.397,72.1078,70.6285,71.7235,363431.0
2019-05-12,71.397,72.1078,70.6285,71.7235,363431.0
2019-05-13,70.6189,71.0416,69.9561,70.494,342443.0
2019-05-14,70.5325,71.3201,70.5229,70.9743,332979.0
2019-05-15,70.5019,71.3985,70.4055,70.8972,232963.0
2019-05-16,70.6176,71.3792,70.6176,71.1382,238987.0
2019-05-17,70.6851,71.6684,70.5501,71.5238,435644.0
2019-05-18,70.6851,71.6684,70.5501,71.5238,435644.0
2019-05-19,70.6851,71.6684,70.5501,71.5238,435644.0
2019-05-20,71.0804,71.3214,70.0681,70.1934,381002.0
2019-05-21,70.8104,71.196,70.4634,71.0804,268436.0
2019-05-22,70.849,71.1768,70.3091,70.3862,407770.0
2019-05-23,69.8656,69.8656,67.7543,68.1014,521854.0
2019-05-24,68.487,68.8823,67.9231,68.5834,336923.0
2019-05-25,68.487,68.8823,67.9231,68.5834,336923.0
2019-05-26,68.487,68.8823,67.9231,68.5834,336923.0
2019-05-27,68.487,68.8823,67.9231,68.5834,336923.0
2019-05-28,68.4292,68.6798,67.7929,67.8025,371378.0
2019-05-29,67.4458,68.2267,66.7324,67.6387,297834.0
2019-05-30,67.8989,68.8727,67.7543,68.5931,473955.0
2019-05-31,67.764,68.5737,67.6097,67.9472,543749.0
2019-06-01,67.764,68.5737,67.6097,67.9472,543749.0
2019-06-02,67.764,68.5737,67.6097,67.9472,543749.0
2019-06-03,68.2074,69.2535,68.0243,69.1522,518453.0
2019-06-04,69.9235,71.6877,69.9235,71.6202,364080.0
2019-06-05,72.0251,72.0251,70.7526,71.6684,338829.0
2019-06-06,71.7552,72.0637,71.196,71.9095,292068.0
2019-06-07,72.3626,72.4975,71.6299,71.707,325870.0
2019-06-08,72.3626,72.4975,71.6299,71.707,325870.0
2019-06-09,72.3626,72.4975,71.6299,71.707,325870.0
2019-06-10,71.8227,72.4397,71.331,72.0541,596592.0
2019-06-11,72.9314,73.1145,71.4178,71.8612,334787.0
2019-06-12,71.5527,72.5843,71.4178,72.5554,287669.0
2019-06-13,72.8542,72.9121,71.8612,72.0733,361015.0
2019-06-14,72.0348,72.1601,71.3214,71.6781,241069.0
2019-06-15,72.0348,72.1601,71.3214,71.6781,241069.0
2019-06-16,72.0348,72.1601,71.3214,71.6781,241069.0
2019-06-17,71.3696,71.3696,70.5019,70.7044,338087.0
2019-06-18,71.0032,71.572,70.3766,70.4055,314902.0
2019-06-19,70.4152,71.2153,69.9042,71.0032,329547.0
2019-06-20,71.707,71.707,70.7622,71.225,289152.0
2019-06-21,70.9068,71.1189,69.8078,70.8586,557593.0
2019-06-22,70.9068,71.1189,69.8078,70.8586,557593.0
2019-06-23,70.9068,71.1189,69.8078,70.8586,557593.0
2019-06-24,70.7622,71.6781,70.7622,71.2828,294746.0
2019-06-25,71.3021,72.5168,71.0032,72.2276,373041.0
2019-06-26,72.2083,72.4108,71.7456,71.9577,455659.0
2019-06-27,71.9962,72.9796,71.4949,72.8157,265403.0
2019-06-28,73.0663,73.7315,72.6325,73.3748,1169125.0
2019-06-29,73.0663,73.7315,72.6325,73.3748,1169125.0
2019-06-30,73.0663,73.7315,72.6325,73.3748,1169125.0
2019-07-01,74.0497,75.1294,73.7508,75.1198,635523.0
2019-07-02,75.0909,75.5054,74.7438,75.5054,550531.0
2019-07-03,75.6307,76.8455,75.2547,76.749,310430.0
2019-07-04,75.6307,76.8455,75.2547,76.749,310430.0
2019-07-05,76.1706,76.3923,75.3801,76.3538,278948.0
2019-07-06,76.1706,76.3923,75.3801,76.3538,278948.0
2019-07-07,76.1706,76.3923,75.3801,76.3538,278948.0
2019-07-08,76.161,76.2381,75.0041,75.168,422935.0
2019-07-09,74.9462,75.2258,74.2149,74.3389,196740.0
2019-07-10,74.4546,74.9462,74.069,74.069,161787.0
2019-07-11,74.0207,74.3244,73.2977,73.7122,314995.0
2019-07-12,74.0015,74.7631,73.9436,74.7342,441055.0
2019-07-13,74.0015,74.7631,73.9436,74.7342,441055.0
2019-07-14,74.0015,74.7631,73.9436,74.7342,441055.0
2019-07-15,74.927,75.4765,74.5895,75.1294,269945.0
2019-07-16,75.0137,75.6693,74.5992,75.4186,454133.0
2019-07-17,75.3801,75.8091,74.7342,74.7342,400711.0
2019-07-18,74.4449,75.1005,73.8954,74.8016,360728.0
2019-07-19,74.9077,75.1792,73.8954,73.9629,353156.0
2019-07-20,74.9077,75.1792,73.8954,73.9629,353156.0
2019-07-21,74.9077,75.1792,73.8954,73.9629,353156.0
2019-07-22,74.2328,74.5703,73.8954,74.1654,473963.0
2019-07-23,74.6956,74.9848,73.7797,73.8761,443333.0
2019-07-24,73.7508,74.2328,73.1145,73.2688,694785.0
2019-07-25,69.3258,71.3407,68.381,68.6413,1907760.0
2019-07-26,68.6316,69.0173,67.9472,68.4485,988682.0
2019-07-27,68.6316,69.0173,67.9472,68.4485,988682.0
2019-07-28,68.6316,69.0173,67.9472,68.4485,988682.0
2019-07-29,68.2846,68.4292,67.0699,67.3302,566245.0
2019-07-30,66.9252,67.1373,66.2408,66.4239,701251.0
2019-07-31,66.3564,66.7228,64.2162,65.3731,1523054.0
2019-08-01,65.6045,66.8578,65.1128,65.5081,995752.0
2019-08-02,65.9033,66.2022,65.2574,65.6623,544361.0
2019-08-03,65.9033,66.2022,65.2574,65.6623,544361.0
2019-08-04,65.9033,66.2022,65.2574,65.6623,544361.0
2019-08-05,65.2574,65.643,63.9656,64.4187,746185.0
2019-08-06,64.5826,65.2478,63.6474,64.785,428003.0
2019-08-07,64.0427,64.4765,63.5992,64.0813,539918.0
2019-08-08,64.6404,65.0646,64.2307,64.9007,389876.0
2019-08-09,64.5922,64.8814,63.9559,64.0427,377886.0
2019-08-10,64.5922,64.8814,63.9559,64.0427,377886.0
2019-08-11,64.5922,64.8814,63.9559,64.0427,377886.0
2019-08-12,63.7535,63.9029,62.1387,62.587,313004.0
