,GATX US Equity,GATX US Equity,GATX US Equity,GATX US Equity,GATX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,75.0891,76.1418,75.0891,75.5175,363058.0
2020-01-02,76.037,76.1646,74.6424,76.0917,201481.0
2020-01-03,74.9068,75.8593,74.729,75.6815,249049.0
2020-01-04,74.9068,75.8593,74.729,75.6815,249049.0
2020-01-05,74.9068,75.8593,74.729,75.6815,249049.0
2020-01-06,74.9615,75.1711,74.4328,74.5148,274656.0
2020-01-07,74.0682,74.5422,73.7947,74.4328,238574.0
2020-01-08,74.5513,75.1711,73.977,74.0226,141009.0
2020-01-09,74.3963,74.3963,73.5578,73.7856,174528.0
2020-01-10,73.6671,73.895,72.7009,73.3572,210125.0
2020-01-11,73.6671,73.895,72.7009,73.3572,210125.0
2020-01-12,73.6671,73.895,72.7009,73.3572,210125.0
2020-01-13,73.4757,73.6307,72.5369,73.4939,280272.0
2020-01-14,73.1567,73.4393,71.9626,72.1449,554520.0
2020-01-15,71.9262,72.8103,71.5069,71.9991,385534.0
2020-01-16,72.5095,73.5578,72.3728,72.7283,649520.0
2020-01-17,73.184,73.2023,70.3493,70.5316,336379.0
2020-01-18,73.184,73.2023,70.3493,70.5316,336379.0
2020-01-19,73.184,73.2023,70.3493,70.5316,336379.0
2020-01-20,73.184,73.2023,70.3493,70.5316,336379.0
2020-01-21,69.9938,70.0394,67.3413,68.4716,449940.0
2020-01-22,68.8727,68.9912,68.2528,68.6357,421113.0
2020-01-23,75.7089,75.7089,71.2243,75.0617,1242173.0
2020-01-24,75.244,75.3534,73.0838,74.4054,656480.0
2020-01-25,75.244,75.3534,73.0838,74.4054,656480.0
2020-01-26,75.244,75.3534,73.0838,74.4054,656480.0
2020-01-27,72.7556,73.3116,71.7484,71.7895,623763.0
2020-01-28,72.0902,72.5551,71.0694,72.1814,195515.0
2020-01-29,72.1632,72.865,71.5525,71.7348,169005.0
2020-01-30,70.8871,72.3455,70.6774,71.6072,208707.0
2020-01-31,70.9691,71.2198,69.2783,69.3922,301280.0
2020-02-01,70.9691,71.2198,69.2783,69.3922,301280.0
2020-02-02,70.9691,71.2198,69.2783,69.3922,301280.0
2020-02-03,69.5836,69.9892,69.1552,69.6474,268555.0
2020-02-04,70.568,71.5707,70.0029,70.9418,195430.0
2020-02-05,71.9262,72.6098,71.8284,72.1176,178553.0
2020-02-06,72.6189,72.6189,70.9326,70.96,110784.0
2020-02-07,70.4496,70.8871,69.5381,69.6565,156487.0
2020-02-08,70.4496,70.8871,69.5381,69.6565,156487.0
2020-02-09,70.4496,70.8871,69.5381,69.6565,156487.0
2020-02-10,69.2281,71.1058,69.2281,71.0876,155902.0
2020-02-11,71.6983,71.9079,71.0557,71.5433,178761.0
2020-02-12,72.4184,73.0929,71.9353,72.5186,345812.0
2020-02-13,71.9535,72.3728,71.1058,71.4157,143138.0
2020-02-14,71.2517,71.4887,70.249,70.3857,90170.0
2020-02-15,71.2517,71.4887,70.249,70.3857,90170.0
2020-02-16,71.2517,71.4887,70.249,70.3857,90170.0
2020-02-17,71.2517,71.4887,70.249,70.3857,90170.0
2020-02-18,70.0667,70.9235,69.2281,70.805,201897.0
2020-02-19,70.9691,71.4522,70.3584,71.279,182953.0
2020-02-20,71.1149,73.3299,71.1149,73.02,252584.0
2020-02-21,72.5004,73.0291,71.6482,72.9379,284100.0
2020-02-22,72.5004,73.0291,71.6482,72.9379,284100.0
2020-02-23,72.5004,73.0291,71.6482,72.9379,284100.0
2020-02-24,70.0667,70.3493,68.7086,69.4378,259964.0
2020-02-25,69.5198,69.611,67.9338,68.4898,385761.0
2020-02-26,69.2008,69.2008,67.4279,68.1708,534959.0
2020-02-27,66.6938,68.7763,64.7673,66.1526,279282.0
2020-02-28,63.8316,67.3085,63.749,65.6205,547986.0
2020-02-29,63.8316,67.3085,63.749,65.6205,547986.0
2020-03-01,63.8316,67.3085,63.749,65.6205,547986.0
2020-03-02,66.07,66.7764,64.4921,66.7489,270920.0
2020-03-03,66.7122,68.5378,64.804,65.804,235255.0
2020-03-04,66.9599,67.5837,65.2994,67.4277,210358.0
2020-03-05,65.437,66.3223,65.2719,66.015,335609.0
2020-03-06,64.0151,65.9324,63.6206,64.7857,333976.0
2020-03-07,64.0151,65.9324,63.6206,64.7857,333976.0
2020-03-08,64.0151,65.9324,63.6206,64.7857,333976.0
2020-03-09,59.8318,60.6712,56.3824,56.8319,501979.0
2020-03-10,58.8502,60.6207,56.1989,60.5382,449323.0
2020-03-11,58.6117,59.4006,55.0155,55.3641,376734.0
2020-03-12,50.0158,53.7862,47.6765,50.979,526519.0
2020-03-13,54.1991,59.6483,52.9101,59.6024,533651.0
2020-03-14,54.1991,59.6483,52.9101,59.6024,533651.0
2020-03-15,54.1991,59.6483,52.9101,59.6024,533651.0
2020-03-16,52.5202,54.5844,51.4561,52.0982,646349.0
2020-03-17,53.3642,56.887,49.8323,55.9421,515458.0
2020-03-18,52.2909,53.6945,46.5848,49.8965,540599.0
2020-03-19,50.0525,54.4192,47.9104,52.5294,435819.0
2020-03-20,52.8138,55.4559,50.025,50.3552,538607.0
