,MSM US Equity,MSM US Equity,MSM US Equity,MSM US Equity,MSM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,59.6198,60.0815,59.211,59.3927,337623.0
2020-01-02,59.7711,60.0323,58.8704,59.6198,394659.0
2020-01-03,58.9991,59.2451,58.4996,58.8175,671609.0
2020-01-04,58.9991,59.2451,58.4996,58.8175,671609.0
2020-01-05,58.9991,59.2451,58.4996,58.8175,671609.0
2020-01-06,58.4087,58.5743,57.7503,57.947,968855.0
2020-01-07,57.8184,58.0265,57.0842,57.4702,979942.0
2020-01-08,58.8023,59.7938,57.4929,57.5232,1838698.0
2020-01-09,57.2734,57.7881,56.4787,56.8041,1054120.0
2020-01-10,56.9177,57.7881,56.7209,57.2129,778178.0
2020-01-11,56.9177,57.7881,56.7209,57.2129,778178.0
2020-01-12,56.9177,57.7881,56.7209,57.2129,778178.0
2020-01-13,57.5232,58.3558,57.3869,57.9622,1147178.0
2020-01-14,57.9016,58.7342,57.7503,58.4314,1253998.0
2020-01-15,58.3633,58.5753,57.9016,58.2422,624858.0
2020-01-16,58.6661,59.4154,58.4844,59.37,699677.0
2020-01-17,59.5743,59.7938,58.1741,58.1968,1257932.0
2020-01-18,59.5743,59.7938,58.1741,58.1968,1257932.0
2020-01-19,59.5743,59.7938,58.1741,58.1968,1257932.0
2020-01-20,59.5743,59.7938,58.1741,58.1968,1257932.0
2020-01-21,58.5404,58.884,57.6978,58.2705,1072479.0
2020-01-22,58.7368,58.7613,58.3195,58.5077,550741.0
2020-01-23,58.2541,59.4157,57.7264,59.3176,558691.0
2020-01-24,59.4403,59.6325,58.2459,58.8104,489227.0
2020-01-25,59.4403,59.6325,58.2459,58.8104,489227.0
2020-01-26,59.4403,59.6325,58.2459,58.8104,489227.0
2020-01-27,57.6896,58.565,57.5751,58.205,586411.0
2020-01-28,58.5322,58.7122,57.8696,58.3195,296859.0
2020-01-29,58.6631,58.8022,57.5342,57.5915,414887.0
2020-01-30,57.2642,57.7878,56.8798,57.6406,566617.0
2020-01-31,57.4115,57.8287,55.5054,55.6854,536192.0
2020-02-01,57.4115,57.8287,55.5054,55.6854,536192.0
2020-02-02,57.4115,57.8287,55.5054,55.6854,536192.0
2020-02-03,55.9799,56.8716,55.7999,56.2498,435818.0
2020-02-04,57.1661,58.2868,57.0925,57.8614,818967.0
2020-02-05,58.5241,59.1785,58.1232,58.9249,464554.0
2020-02-06,59.3094,59.3339,58.4177,58.6059,655793.0
2020-02-07,58.2377,58.2377,57.1988,57.4769,368314.0
2020-02-08,58.2377,58.2377,57.1988,57.4769,368314.0
2020-02-09,58.2377,58.2377,57.1988,57.4769,368314.0
2020-02-10,57.4688,57.5506,56.7734,57.1415,673979.0
2020-02-11,57.4933,58.3359,57.3215,57.976,360695.0
2020-02-12,58.5731,58.974,58.115,58.8022,477502.0
2020-02-13,58.6468,58.9331,58.3932,58.6222,347431.0
2020-02-14,58.7122,58.9413,58.4995,58.8595,294649.0
2020-02-15,58.7122,58.9413,58.4995,58.8595,294649.0
2020-02-16,58.7122,58.9413,58.4995,58.8595,294649.0
2020-02-17,58.7122,58.9413,58.4995,58.8595,294649.0
2020-02-18,58.7122,58.8503,57.7142,58.2214,240748.0
2020-02-19,58.3032,58.4684,58.0169,58.1068,308583.0
2020-02-20,58.0087,59.1867,57.8287,58.9167,287389.0
2020-02-21,58.5322,58.8595,58.1068,58.295,272230.0
2020-02-22,58.5322,58.8595,58.1068,58.295,272230.0
2020-02-23,58.5322,58.8595,58.1068,58.295,272230.0
2020-02-24,56.6589,57.2397,56.348,56.9125,464130.0
2020-02-25,57.0925,57.0925,54.082,54.1147,452776.0
2020-02-26,54.5401,54.8101,53.673,53.6975,647757.0
2020-02-27,52.6749,54.0329,51.771,52.045,558147.0
2020-02-28,50.4253,51.2515,49.5745,50.5725,999569.0
2020-02-29,50.4253,51.2515,49.5745,50.5725,999569.0
2020-03-01,50.4253,51.2515,49.5745,50.5725,999569.0
