,WAFD US Equity,WAFD US Equity,WAFD US Equity,WAFD US Equity,WAFD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,32.1117,32.3211,31.9547,31.9721,324474.0
2020-01-02,32.103,32.1422,31.3789,31.8325,254950.0
2020-01-03,31.4749,31.8238,31.2917,31.754,232051.0
2020-01-04,31.4749,31.8238,31.2917,31.754,232051.0
2020-01-05,31.4749,31.8238,31.2917,31.754,232051.0
2020-01-06,31.5272,31.6493,31.1434,31.5054,424401.0
2020-01-07,31.2829,31.5359,31.03,31.0779,201460.0
2020-01-08,31.0125,31.3615,30.8293,31.0648,281228.0
2020-01-09,31.1085,31.3396,31.0038,31.03,247077.0
2020-01-10,30.9689,31.0474,30.6461,30.7857,192744.0
2020-01-11,30.9689,31.0474,30.6461,30.7857,192744.0
2020-01-12,30.9689,31.0474,30.6461,30.7857,192744.0
2020-01-13,30.7682,31.1521,30.5938,31.0997,272692.0
2020-01-14,30.9951,31.296,30.8991,31.1783,530617.0
2020-01-15,31.8761,32.103,30.5502,31.1521,639111.0
2020-01-16,31.2393,31.5839,31.03,31.4443,386275.0
2020-01-17,31.6581,31.6581,31.0343,31.0605,371080.0
2020-01-18,31.6581,31.6581,31.0343,31.0605,371080.0
2020-01-19,31.6581,31.6581,31.0343,31.0605,371080.0
2020-01-20,31.6581,31.6581,31.0343,31.0605,371080.0
2020-01-21,31.0038,31.3178,30.8213,31.1085,395948.0
2020-01-22,31.1259,31.3178,30.7246,30.8249,269750.0
2020-01-23,30.7682,31.187,30.524,31.091,434990.0
2020-01-24,31.091,31.1259,30.4629,30.6287,402604.0
2020-01-25,31.091,31.1259,30.4629,30.6287,402604.0
2020-01-26,31.091,31.1259,30.4629,30.6287,402604.0
2020-01-27,30.2099,30.4935,30.0267,30.2536,600850.0
2020-01-28,30.4804,30.5807,30.2012,30.5327,530091.0
2020-01-29,30.5414,30.6723,30.018,30.0442,518534.0
2020-01-30,29.861,30.3233,29.6603,30.1838,424554.0
2020-01-31,29.9918,29.9918,29.5033,29.6603,505500.0
2020-02-01,29.9918,29.9918,29.5033,29.6603,505500.0
2020-02-02,29.9918,29.9918,29.5033,29.6603,505500.0
2020-02-03,29.8435,30.2099,29.7519,30.1314,564314.0
2020-02-04,30.5065,30.5763,30.0965,30.175,397640.0
2020-02-05,30.4019,30.6461,30.3931,30.6025,439678.0
2020-02-06,30.7693,30.7693,30.383,30.4445,300199.0
2020-02-07,30.3918,30.5323,30.1636,30.2426,263334.0
2020-02-08,30.3918,30.5323,30.1636,30.2426,263334.0
2020-02-09,30.3918,30.5323,30.1636,30.2426,263334.0
2020-02-10,30.1109,30.5235,30.1025,30.5059,300192.0
2020-02-11,30.5761,30.8395,30.304,30.3479,269507.0
2020-02-12,30.6025,30.6991,30.3303,30.4181,357437.0
2020-02-13,30.304,30.8044,30.2865,30.6376,387948.0
2020-02-14,30.5937,30.7386,30.4269,30.6991,381342.0
2020-02-15,30.5937,30.7386,30.4269,30.6991,381342.0
2020-02-16,30.5937,30.7386,30.4269,30.6991,381342.0
2020-02-17,30.5937,30.7386,30.4269,30.6991,381342.0
2020-02-18,30.6288,30.7781,30.4532,30.6464,338233.0
2020-02-19,30.5235,30.829,30.462,30.4971,374506.0
2020-02-20,30.4796,30.8658,30.4796,30.7824,276130.0
2020-02-21,30.6991,30.8834,30.3742,30.383,595921.0
2020-02-22,30.6991,30.8834,30.3742,30.383,595921.0
2020-02-23,30.6991,30.8834,30.3742,30.383,595921.0
2020-02-24,29.6983,29.9265,29.47,29.6412,436289.0
2020-02-25,29.6895,29.6895,28.6975,28.8994,635199.0
2020-02-26,29.0487,29.3208,28.4166,28.4254,479548.0
2020-02-27,27.9952,28.6185,27.4509,27.4861,531512.0
2020-02-28,26.7135,27.1437,25.9673,26.3273,1022821.0
2020-02-29,26.7135,27.1437,25.9673,26.3273,1022821.0
2020-03-01,26.7135,27.1437,25.9673,26.3273,1022821.0
2020-03-02,26.4326,27.767,26.257,27.7055,582170.0
2020-03-03,27.6002,28.1181,27.0691,27.3983,660178.0
2020-03-04,27.688,28.1181,27.3236,28.0654,523262.0
2020-03-05,27.3544,27.5563,26.6257,26.9769,653371.0
2020-03-06,25.9849,26.6433,25.9586,26.5467,573518.0
2020-03-07,25.9849,26.6433,25.9586,26.5467,573518.0
2020-03-08,25.9849,26.6433,25.9586,26.5467,573518.0
2020-03-09,24.8963,25.8971,22.9124,22.9299,666441.0
2020-03-10,23.7376,24.0799,22.1398,24.0448,736282.0
2020-03-11,23.5795,23.8605,22.57,22.886,809167.0
2020-03-12,21.5604,22.4383,20.4631,20.586,800631.0
2020-03-13,21.8589,22.935,21.0776,22.7631,755773.0
2020-03-14,21.8589,22.935,21.0776,22.7631,755773.0
2020-03-15,21.8589,22.935,21.0776,22.7631,755773.0
2020-03-16,19.8047,22.3856,19.8047,21.5956,741239.0
2020-03-17,22.0257,25.0631,21.4375,24.9227,1286524.0
2020-03-18,23.5269,26.4238,23.2196,25.3441,1512034.0
2020-03-19,24.9315,26.3097,23.1318,24.6857,920610.0
2020-03-20,24.9315,24.9747,22.175,22.5349,1467979.0
2020-03-21,24.9315,24.9747,22.175,22.5349,1467979.0
2020-03-22,24.9315,24.9747,22.175,22.5349,1467979.0
2020-03-23,22.1574,22.8246,18.8391,19.0234,908810.0
2020-03-24,19.9539,20.9196,18.3738,20.8318,1103022.0
2020-03-25,20.8494,21.3585,18.3606,20.3226,3247810.0
2020-03-26,20.4017,22.4208,20.2744,22.1047,922957.0
2020-03-27,20.8933,22.4208,20.8933,21.6395,579608.0
2020-03-28,20.8933,22.4208,20.8933,21.6395,579608.0
2020-03-29,20.8933,22.4208,20.8933,21.6395,579608.0
2020-03-30,21.7272,22.5524,20.9403,22.3681,525578.0
2020-03-31,22.1311,22.9036,21.7272,22.7895,685268.0
2020-04-01,21.6482,22.3383,21.578,21.9994,513694.0
2020-04-02,21.7272,22.728,21.7185,22.2276,348748.0
2020-04-03,22.052,22.5875,20.8011,21.2532,523789.0
2020-04-04,22.052,22.5875,20.8011,21.2532,523789.0
2020-04-05,22.052,22.5875,20.8011,21.2532,523789.0
2020-04-06,22.1486,22.8158,21.5424,22.3593,487878.0
2020-04-07,23.0265,23.5532,22.3242,22.649,529494.0
2020-04-08,23.044,23.5444,22.2891,23.2635,753331.0
2020-04-09,23.8605,24.7295,23.0967,24.5364,518699.0
2020-04-10,23.8605,24.7295,23.0967,24.5364,518699.0
2020-04-11,23.8605,24.7295,23.0967,24.5364,518699.0
2020-04-12,23.8605,24.7295,23.0967,24.5364,518699.0
2020-04-13,24.475,24.5452,23.1669,23.2811,324373.0
2020-04-14,23.957,24.1238,22.8158,23.2635,504384.0
2020-04-15,22.0082,22.5524,21.3322,21.4288,560619.0
2020-04-16,21.2181,21.7711,20.1866,20.586,521801.0
2020-04-17,21.3936,22.1047,21.1742,21.6921,438614.0
2020-04-18,21.3936,22.1047,21.1742,21.6921,438614.0
2020-04-19,21.3936,22.1047,21.1742,21.6921,438614.0
2020-04-20,21.1654,22.1311,21.1654,21.6219,331648.0
2020-04-21,20.9108,21.7272,20.7133,21.3673,257117.0
2020-04-22,21.9204,22.1837,20.5333,21.499,422626.0
2020-04-23,21.736,22.5612,21.3673,22.1925,411816.0
