,SLGN US Equity,SLGN US Equity,SLGN US Equity,SLGN US Equity,SLGN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,21.6983,21.9762,21.568,21.8836,491592.0
2019-01-02,21.4944,21.6241,21.1794,21.3369,735251.0
2019-01-03,21.2906,21.8465,21.1424,21.4388,660203.0
2019-01-04,21.7353,22.2264,21.7353,21.9206,527760.0
2019-01-05,21.7353,22.2264,21.7353,21.9206,527760.0
2019-01-06,21.7353,22.2264,21.7353,21.9206,527760.0
2019-01-07,22.8749,22.8749,22.1615,22.4395,480020.0
2019-01-08,22.6155,23.0695,22.5784,23.0046,572983.0
2019-01-09,22.9953,23.2409,22.81,23.1992,410693.0
2019-01-10,23.0695,23.6254,23.0695,23.5605,256198.0
2019-01-11,23.5605,23.8199,23.3752,23.7365,456914.0
2019-01-12,23.5605,23.8199,23.3752,23.7365,456914.0
2019-01-13,23.5605,23.8199,23.3752,23.7365,456914.0
2019-01-14,23.6624,23.857,23.5512,23.6068,302444.0
2019-01-15,23.6068,23.7643,23.4308,23.7643,244555.0
2019-01-16,23.8292,23.894,23.579,23.6717,335168.0
2019-01-17,23.6068,24.0701,23.5976,23.9959,469664.0
2019-01-18,24.1349,24.4129,24.0423,24.1812,347194.0
2019-01-19,24.1349,24.4129,24.0423,24.1812,347194.0
2019-01-20,24.1349,24.4129,24.0423,24.1812,347194.0
2019-01-21,24.1349,24.4129,24.0423,24.1812,347194.0
2019-01-22,24.1349,24.4036,23.8848,24.0886,356908.0
2019-01-23,24.172,24.4499,23.7643,24.2646,538045.0
2019-01-24,24.2554,24.4499,24.1257,24.2183,333764.0
2019-01-25,24.2554,24.5333,24.2368,24.487,317272.0
2019-01-26,24.2554,24.5333,24.2368,24.487,317272.0
2019-01-27,24.2554,24.5333,24.2368,24.487,317272.0
2019-01-28,24.3758,24.6352,24.2461,24.3758,380146.0
2019-01-29,24.4592,24.5518,24.2368,24.4685,507769.0
2019-01-30,25.0521,26.1269,24.1257,25.256,1488012.0
2019-01-31,25.0336,25.6636,24.626,25.5895,921307.0
2019-02-01,25.6636,26.1917,25.6451,25.8767,504635.0
2019-02-02,25.6636,26.1917,25.6451,25.8767,504635.0
2019-02-03,25.6636,26.1917,25.6451,25.8767,504635.0
2019-02-04,25.9416,26.1547,25.4505,26.0342,653244.0
2019-02-05,26.1176,26.4511,26.0064,26.4233,577108.0
2019-02-06,26.4326,26.516,25.8952,25.9416,589490.0
2019-02-07,25.7748,25.9045,25.4969,25.8119,821793.0
2019-02-08,25.8026,25.8397,25.4135,25.7748,430407.0
2019-02-09,25.8026,25.8397,25.4135,25.7748,430407.0
2019-02-10,25.8026,25.8397,25.4135,25.7748,430407.0
2019-02-11,25.7933,26.0342,25.747,26.0157,360880.0
2019-02-12,26.1732,26.3214,25.9786,26.0342,433571.0
2019-02-13,26.0991,26.4882,26.0991,26.4697,346479.0
2019-02-14,26.3955,26.5994,26.1547,26.2473,409526.0
2019-02-15,26.3492,26.655,25.0243,26.3863,520434.0
2019-02-16,26.3492,26.655,25.0243,26.3863,520434.0
2019-02-17,26.3492,26.655,25.0243,26.3863,520434.0
2019-02-18,26.3492,26.655,25.0243,26.3863,520434.0
2019-02-19,26.377,26.6642,26.3122,26.4697,312483.0
2019-02-20,26.4697,26.7476,26.3307,26.6457,456059.0
2019-02-21,26.6272,26.7661,26.4697,26.6179,240987.0
2019-02-22,26.6272,26.7893,26.5345,26.7476,296261.0
2019-02-23,26.6272,26.7893,26.5345,26.7476,296261.0
2019-02-24,26.6272,26.7893,26.5345,26.7476,296261.0
2019-02-25,26.8032,26.9514,26.4141,26.5252,371273.0
2019-02-26,26.5252,26.6457,26.3029,26.3214,332298.0
2019-02-27,26.238,26.4882,26.1176,26.2658,278809.0
2019-02-28,26.3122,26.3492,26.0713,26.2288,426245.0
2019-03-01,26.3492,26.5623,26.1639,26.4419,318577.0
2019-03-02,26.3492,26.5623,26.1639,26.4419,318577.0
2019-03-03,26.3492,26.5623,26.1639,26.4419,318577.0
2019-03-04,26.4419,26.5994,26.1824,26.4975,319688.0
2019-03-05,25.3023,26.8866,25.3023,26.6086,418299.0
2019-03-06,26.6179,26.7198,26.4326,26.4975,205929.0
2019-03-07,26.4511,26.4511,26.1963,26.3307,288486.0
2019-03-08,26.1917,26.4697,26.1917,26.3492,341521.0
2019-03-09,26.1917,26.4697,26.1917,26.3492,341521.0
2019-03-10,26.1917,26.4697,26.1917,26.3492,341521.0
2019-03-11,26.3585,26.7013,26.3585,26.5994,327971.0
2019-03-12,26.6086,26.8773,26.4882,26.6272,276858.0
2019-03-13,26.7383,26.7569,26.5716,26.6272,309892.0
2019-03-14,26.6086,26.7383,26.4233,26.692,257840.0
2019-03-15,26.692,26.9338,26.6176,26.8129,867388.0
2019-03-16,26.692,26.9338,26.6176,26.8129,867388.0
2019-03-17,26.692,26.9338,26.6176,26.8129,867388.0
2019-03-18,26.8129,27.1012,26.8129,27.064,172066.0
2019-03-19,27.1942,27.4267,26.878,26.9617,294972.0
2019-03-20,26.9059,27.0919,26.6641,26.8222,279271.0
2019-03-21,26.8222,27.3058,26.8036,27.2593,386085.0
2019-03-22,27.1105,27.2779,26.9896,26.9989,727499.0
2019-03-23,27.1105,27.2779,26.9896,26.9989,727499.0
2019-03-24,27.1105,27.2779,26.9896,26.9989,727499.0
2019-03-25,26.9803,27.2407,26.9478,27.1198,493370.0
2019-03-26,27.2128,27.5569,27.064,27.3151,475398.0
2019-03-27,27.3895,27.6127,27.2593,27.4081,424292.0
2019-03-28,27.4174,27.6406,27.1942,27.3895,632352.0
2019-03-29,27.5662,27.6034,26.2273,27.5569,517825.0
2019-03-30,27.5662,27.6034,26.2273,27.5569,517825.0
2019-03-31,27.5662,27.6034,26.2273,27.5569,517825.0
2019-04-01,27.7337,27.8546,27.5941,27.7709,391346.0
2019-04-02,27.8453,27.8453,27.4174,27.5476,441682.0
2019-04-03,27.6685,27.7988,27.5476,27.7244,575148.0
2019-04-04,27.7988,28.0127,27.6918,27.9011,632712.0
2019-04-05,27.9662,28.1289,27.8453,28.022,621171.0
2019-04-06,27.9662,28.1289,27.8453,28.022,621171.0
2019-04-07,27.9662,28.1289,27.8453,28.022,621171.0
2019-04-08,28.0034,28.2824,27.8267,27.9569,311618.0
2019-04-09,27.8732,27.8732,27.5569,27.7058,369480.0
2019-04-10,27.8546,27.9569,27.6685,27.8732,376459.0
2019-04-11,27.8732,28.0406,27.8174,27.9476,395161.0
2019-04-12,28.0499,28.2824,27.9941,28.1243,428090.0
2019-04-13,28.0499,28.2824,27.9941,28.1243,428090.0
2019-04-14,28.0499,28.2824,27.9941,28.1243,428090.0
2019-04-15,28.1243,28.2173,27.8918,28.0034,362640.0
2019-04-16,27.9197,28.0173,27.7523,27.9662,308808.0
2019-04-17,28.0313,28.1615,27.6685,27.6965,343125.0
2019-04-18,27.7337,28.0152,27.6127,27.9011,756917.0
2019-04-19,27.7337,28.0152,27.6127,27.9011,756917.0
2019-04-20,27.7337,28.0152,27.6127,27.9011,756917.0
2019-04-21,27.7337,28.0152,27.6127,27.9011,756917.0
2019-04-22,27.929,28.0592,27.7709,27.8918,402469.0
2019-04-23,27.9755,28.4265,27.8011,28.3382,895147.0
2019-04-24,28.3754,28.5986,27.529,27.5941,1434279.0
2019-04-25,28.7381,28.7381,27.5197,27.5383,1132506.0
2019-04-26,27.5476,28.1615,27.5476,27.8453,569663.0
2019-04-27,27.5476,28.1615,27.5476,27.8453,569663.0
2019-04-28,27.5476,28.1615,27.5476,27.8453,569663.0
2019-04-29,27.8732,27.9197,27.7151,27.8546,424247.0
2019-04-30,27.8453,27.8546,27.5383,27.8453,544790.0
2019-05-01,27.8825,28.0778,27.6592,27.7988,476019.0
2019-05-02,27.7058,27.8552,26.8408,27.743,753735.0
2019-05-03,27.8546,28.4265,27.743,28.3103,542782.0
2019-05-04,27.8546,28.4265,27.743,28.3103,542782.0
2019-05-05,27.8546,28.4265,27.743,28.3103,542782.0
2019-05-06,28.022,28.487,27.9011,28.1336,444568.0
2019-05-07,27.9383,28.0313,27.5848,27.7616,338733.0
2019-05-08,27.6779,27.8639,27.622,27.6313,342592.0
2019-05-09,27.4918,27.836,27.3895,27.7709,441040.0
2019-05-10,27.6872,28.0871,27.6127,28.0499,329830.0
2019-05-11,27.6872,28.0871,27.6127,28.0499,329830.0
2019-05-12,27.6872,28.0871,27.6127,28.0499,329830.0
2019-05-13,27.6592,27.836,27.5662,27.7151,692052.0
2019-05-14,27.8081,28.208,27.7662,27.9569,459372.0
2019-05-15,27.8825,28.1522,27.8825,27.9848,618242.0
2019-05-16,28.0592,28.2824,28.0127,28.1336,513494.0
2019-05-17,28.0034,28.2545,28.0034,28.0406,485393.0
2019-05-18,28.0034,28.2545,28.0034,28.0406,485393.0
2019-05-19,28.0034,28.2545,28.0034,28.0406,485393.0
2019-05-20,27.8825,27.9476,27.6685,27.8825,432743.0
2019-05-21,28.022,28.2173,27.8453,28.022,471944.0
2019-05-22,27.9755,28.1708,27.8081,27.8174,283265.0
2019-05-23,27.6127,27.7895,27.5011,27.7802,313278.0
