,VCTR US Equity,VCTR US Equity,VCTR US Equity,VCTR US Equity,VCTR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,8.2323,9.148,8.2323,9.0858,213917.0
2019-01-02,8.9524,9.4236,8.6235,9.3169,162238.0
2019-01-03,9.2725,9.4503,9.148,9.3258,100957.0
2019-01-04,9.4503,9.7525,9.0235,9.6547,124664.0
2019-01-05,9.4503,9.7525,9.0235,9.6547,124664.0
2019-01-06,9.4503,9.7525,9.0235,9.6547,124664.0
2019-01-07,9.6014,9.9703,9.5392,9.7792,91571.0
2019-01-08,9.8681,9.9748,9.6992,9.7881,76754.0
2019-01-09,9.7881,9.9392,9.6992,9.7525,53190.0
2019-01-10,9.6992,9.8592,9.5392,9.7792,87689.0
2019-01-11,9.8681,9.8681,9.6992,9.8059,110957.0
2019-01-12,9.8681,9.8681,9.6992,9.8059,110957.0
2019-01-13,9.8681,9.8681,9.6992,9.8059,110957.0
2019-01-14,9.7436,9.8325,9.0502,9.6725,159787.0
2019-01-15,9.6992,9.7081,9.468,9.5569,62283.0
2019-01-16,9.4947,9.6458,8.4634,9.5214,156265.0
2019-01-17,9.468,9.8059,9.3969,9.7881,91962.0
2019-01-18,9.7792,9.8681,9.6814,9.7525,222063.0
2019-01-19,9.7792,9.8681,9.6814,9.7525,222063.0
2019-01-20,9.7792,9.8681,9.6814,9.7525,222063.0
2019-01-21,9.7792,9.8681,9.6814,9.7525,222063.0
2019-01-22,9.7081,9.8503,9.4503,9.6547,78740.0
2019-01-23,9.6192,9.6814,9.3702,9.5214,41095.0
2019-01-24,9.5925,9.5925,9.308,9.3614,28917.0
2019-01-25,9.3614,9.4414,8.9969,9.3525,73605.0
2019-01-26,9.3614,9.4414,8.9969,9.3525,73605.0
2019-01-27,9.3614,9.4414,8.9969,9.3525,73605.0
2019-01-28,9.3258,9.5392,9.3213,9.4236,46846.0
2019-01-29,9.4947,9.5125,9.3525,9.468,43738.0
2019-01-30,9.4325,9.5303,9.3347,9.4058,105287.0
2019-01-31,9.3969,9.6903,9.3791,9.6903,105082.0
2019-02-01,9.6103,10.2148,9.4503,9.8059,92067.0
2019-02-02,9.6103,10.2148,9.4503,9.8059,92067.0
2019-02-03,9.6103,10.2148,9.4503,9.8059,92067.0
2019-02-04,9.9037,10.2237,9.7881,10.1793,89183.0
2019-02-05,10.197,10.2237,9.7259,9.7347,66418.0
2019-02-06,9.4947,9.8859,9.3791,9.6103,55923.0
2019-02-07,9.6814,9.9081,9.5036,9.5036,51462.0
2019-02-08,9.5125,9.797,9.1213,9.637,120656.0
2019-02-09,9.5125,9.797,9.1213,9.637,120656.0
2019-02-10,9.5125,9.797,9.1213,9.637,120656.0
2019-02-11,9.5925,10.0014,9.5658,9.8948,68648.0
2019-02-12,10.0815,10.1348,9.8325,10.0014,108694.0
2019-02-13,10.2059,10.3126,10.0281,10.277,98256.0
2019-02-14,10.2326,10.6682,10.2326,10.5349,85199.0
2019-02-15,10.6238,11.1038,10.526,10.9171,105598.0
2019-02-16,10.6238,11.1038,10.526,10.9171,105598.0
2019-02-17,10.6238,11.1038,10.526,10.9171,105598.0
2019-02-18,10.6238,11.1038,10.526,10.9171,105598.0
2019-02-19,10.8016,11.2105,10.6682,11.006,132234.0
2019-02-20,11.2372,11.4505,11.006,11.2905,187774.0
2019-02-21,11.2727,11.3528,10.9794,10.9971,316106.0
2019-02-22,11.1038,11.5839,11.1038,11.5572,123181.0
2019-02-23,11.1038,11.5839,11.1038,11.5572,123181.0
2019-02-24,11.1038,11.5839,11.1038,11.5572,123181.0
2019-02-25,11.6728,11.7706,11.4683,11.5128,62921.0
2019-02-26,11.4328,11.6461,11.3883,11.6017,171519.0
2019-02-27,11.575,11.6817,11.1927,11.4417,71725.0
2019-02-28,11.4061,11.5394,10.9971,11.1927,73745.0
2019-03-01,11.4683,11.8239,11.3972,11.5217,120689.0
2019-03-02,11.4683,11.8239,11.3972,11.5217,120689.0
2019-03-03,11.4683,11.8239,11.3972,11.5217,120689.0
2019-03-04,11.6372,11.855,11.4239,11.5661,72481.0
2019-03-05,11.5661,11.7395,11.4861,11.5572,75577.0
2019-03-06,11.5661,11.735,11.175,11.2816,60411.0
2019-03-07,11.2461,11.495,10.8727,11.0327,60801.0
2019-03-08,10.9171,11.8862,10.8216,11.4505,97673.0
2019-03-09,10.9171,11.8862,10.8216,11.4505,97673.0
2019-03-10,10.9171,11.8862,10.8216,11.4505,97673.0
2019-03-11,11.6106,12.304,11.6106,11.8239,124118.0
2019-03-12,11.8239,12.0284,11.6372,11.7261,53630.0
2019-03-13,11.7528,11.7528,11.5394,11.6728,65140.0
2019-03-14,11.6817,11.984,11.6284,11.8684,100804.0
2019-03-15,12.1618,12.7307,12.1618,12.6063,293607.0
2019-03-16,12.1618,12.7307,12.1618,12.6063,293607.0
2019-03-17,12.1618,12.7307,12.1618,12.6063,293607.0
2019-03-18,12.7841,12.8196,12.1795,12.5351,57614.0
2019-03-19,12.6685,13.2001,12.4813,12.9441,116686.0
2019-03-20,12.9708,13.2908,12.7485,13.1841,133187.0
2019-03-21,13.113,14.1443,13.094,13.602,291484.0
2019-03-22,13.6109,13.6375,12.6418,13.1219,117629.0
2019-03-23,13.6109,13.6375,12.6418,13.1219,117629.0
2019-03-24,13.6109,13.6375,12.6418,13.1219,117629.0
2019-03-25,12.9974,13.1575,12.6063,13.0508,59718.0
2019-03-26,13.4508,13.4508,12.6864,12.9352,69089.0
2019-03-27,13.1486,13.5531,12.7441,12.9441,38421.0
2019-03-28,12.9797,13.2464,12.8908,13.2464,38289.0
2019-03-29,13.3797,13.6375,13.1752,13.353,87876.0
2019-03-30,13.3797,13.6375,13.1752,13.353,87876.0
2019-03-31,13.3797,13.6375,13.1752,13.353,87876.0
2019-04-01,13.3619,13.842,13.2819,13.7353,60034.0
2019-04-02,13.8598,14.2421,13.5575,14.0465,330494.0
2019-04-03,14.2332,14.2332,13.6464,14.082,173254.0
2019-04-04,14.1887,14.5354,14.1418,14.2687,152092.0
2019-04-05,14.2332,14.6421,14.2332,14.4376,118643.0
2019-04-06,14.2332,14.6421,14.2332,14.4376,118643.0
2019-04-07,14.2332,14.6421,14.2332,14.4376,118643.0
2019-04-08,14.5088,14.6243,13.7709,14.1265,83328.0
2019-04-09,14.0643,14.2687,13.9842,14.0554,71237.0
2019-04-10,14.082,14.4732,13.7842,14.0109,61498.0
2019-04-11,13.4953,13.7798,12.1795,13.2375,202193.0
2019-04-12,13.3175,13.6642,13.2346,13.4686,26455.0
2019-04-13,13.3175,13.6642,13.2346,13.4686,26455.0
2019-04-14,13.3175,13.6642,13.2346,13.4686,26455.0
2019-04-15,13.4597,13.7887,13.2828,13.6375,39227.0
2019-04-16,13.6197,14.1976,13.6197,14.0109,62726.0
2019-04-17,14.0554,14.0554,13.5842,13.6642,26773.0
2019-04-18,13.6375,13.922,13.2553,13.3708,153759.0
2019-04-19,13.6375,13.922,13.2553,13.3708,153759.0
2019-04-20,13.6375,13.922,13.2553,13.3708,153759.0
2019-04-21,13.6375,13.922,13.2553,13.3708,153759.0
2019-04-22,13.3797,13.6998,13.2686,13.5486,56077.0
2019-04-23,13.5486,13.6464,12.8214,13.5131,75833.0
2019-04-24,13.6553,14.2598,13.4508,14.2243,101714.0
2019-04-25,14.2065,14.3576,13.664,14.002,45454.0
2019-04-26,14.002,14.4554,14.002,14.3132,44166.0
2019-04-27,14.002,14.4554,14.002,14.3132,44166.0
2019-04-28,14.002,14.4554,14.002,14.3132,44166.0
2019-04-29,14.3399,15.1044,14.3399,14.7044,135836.0
2019-04-30,14.9533,15.1089,14.4821,14.6599,71962.0
2019-05-01,14.6688,14.8377,14.4821,14.6154,55207.0
2019-05-02,14.5799,14.6688,14.571,14.5888,63181.0
2019-05-03,14.6332,15.0777,14.5977,14.5977,55737.0
2019-05-04,14.6332,15.0777,14.5977,14.5977,55737.0
2019-05-05,14.6332,15.0777,14.5977,14.5977,55737.0
2019-05-06,14.3665,14.8999,13.5042,14.6688,54900.0
2019-05-07,14.5177,14.7399,14.0465,14.1354,65871.0
2019-05-08,14.0998,14.5443,14.082,14.1532,38208.0
2019-05-09,14.0109,14.5977,13.8376,14.1976,105052.0
2019-05-10,14.1176,14.4732,13.6998,14.2421,39229.0
2019-05-11,14.1176,14.4732,13.6998,14.2421,39229.0
2019-05-12,14.1176,14.4732,13.6998,14.2421,39229.0
2019-05-13,14.002,14.4288,13.4953,13.6464,54142.0
2019-05-14,13.6642,14.0998,13.5931,13.8242,72724.0
2019-05-15,13.7087,14.611,13.7087,14.4376,105681.0
2019-05-16,14.9177,15.3622,14.3754,15.1755,114128.0
2019-05-17,15.1578,16.7135,15.1578,15.9579,181253.0
2019-05-18,15.1578,16.7135,15.1578,15.9579,181253.0
2019-05-19,15.1578,16.7135,15.1578,15.9579,181253.0
2019-05-20,15.869,16.1001,15.5934,15.789,108358.0
