,WMT US Equity,WMT US Equity,WMT US Equity,WMT US Equity,WMT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,28.3301,28.5502,28.2017,28.4768,21018078.0
2019-01-02,28.0152,28.6297,28.0152,28.5349,24458199.0
2019-01-03,28.4952,28.9537,28.3393,28.3882,24831867.0
2019-01-04,28.4952,28.6327,28.3362,28.5655,24087432.0
2019-01-05,28.4952,28.6327,28.3362,28.5655,24087432.0
2019-01-06,28.4952,28.6327,28.3362,28.5655,24087432.0
2019-01-07,28.6205,29.0944,28.486,28.9018,23369103.0
2019-01-08,29.0607,29.2732,28.7092,29.1035,21602736.0
2019-01-09,29.2594,29.3909,28.9721,29.0088,18816879.0
2019-01-10,28.7,29.0363,28.4677,29.0302,28188813.0
2019-01-11,29.0393,29.1311,28.9048,28.9935,16183776.0
2019-01-12,29.0393,29.1311,28.9048,28.9935,16183776.0
2019-01-13,29.0393,29.1311,28.9048,28.9935,16183776.0
2019-01-14,28.8834,29.18,28.8223,29.0271,21255282.0
2019-01-15,29.1861,29.5315,29.1586,29.4245,21174690.0
2019-01-16,29.3267,29.611,29.2946,29.4551,16229850.0
2019-01-17,29.4459,29.718,29.397,29.5743,16843467.0
2019-01-18,29.6385,30.0204,29.608,29.877,18361929.0
2019-01-19,29.6385,30.0204,29.608,29.877,18361929.0
2019-01-20,29.6385,30.0204,29.608,29.877,18361929.0
2019-01-21,29.6385,30.0204,29.608,29.877,18361929.0
2019-01-22,29.6997,30.091,29.5866,29.8036,24189606.0
2019-01-23,30.2255,30.3722,29.8158,30.1766,25037250.0
2019-01-24,30.0207,30.1002,29.4796,30.0696,22829238.0
2019-01-25,30.1888,30.2377,29.5774,29.6355,21666267.0
2019-01-26,30.1888,30.2377,29.5774,29.6355,21666267.0
2019-01-27,30.1888,30.2377,29.5774,29.6355,21666267.0
2019-01-28,29.5101,29.6752,29.3726,29.6722,17627343.0
2019-01-29,29.5835,29.7023,29.504,29.5652,15760110.0
2019-01-30,29.556,29.5927,28.8162,28.9813,35548011.0
2019-01-31,28.9293,29.6141,28.9293,29.2961,44168964.0
2019-02-01,29.3236,29.3481,28.4646,28.6939,37775766.0
2019-02-02,29.3236,29.3481,28.4646,28.6939,37775766.0
