,TXN US Equity,TXN US Equity,TXN US Equity,TXN US Equity,TXN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,112.9858,113.998,112.8171,113.9092,2813548.0
2020-01-02,114.6551,115.0812,113.4475,115.0457,4307006.0
2020-01-03,113.1723,114.7616,112.968,113.5185,4057223.0
2020-01-04,113.1723,114.7616,112.968,113.5185,4057223.0
2020-01-05,113.1723,114.7616,112.968,113.5185,4057223.0
2020-01-06,112.8171,113.0568,111.7871,112.7283,4345537.0
2020-01-07,114.6728,116.2266,114.0246,114.9037,7186129.0
2020-01-08,114.8415,115.9336,114.5929,115.2144,3546870.0
2020-01-09,116.0491,116.9725,115.6406,116.6084,3528081.0
2020-01-10,117.0346,117.0346,115.2677,115.4275,3234039.0
2020-01-11,117.0346,117.0346,115.2677,115.4275,3234039.0
2020-01-12,117.0346,117.0346,115.2677,115.4275,3234039.0
2020-01-13,115.9336,116.0846,115.2233,115.3831,4313199.0
2020-01-14,115.3831,117.079,115.2766,116.0224,4632403.0
2020-01-15,115.8093,115.8093,114.4153,114.6906,3392366.0
2020-01-16,115.4275,115.6317,114.8548,115.5696,5475961.0
2020-01-17,116.1023,117.2389,115.8179,116.937,5487095.0
2020-01-18,116.1023,117.2389,115.8179,116.937,5487095.0
2020-01-19,116.1023,117.2389,115.8179,116.937,5487095.0
2020-01-20,116.1023,117.2389,115.8179,116.937,5487095.0
2020-01-21,116.3953,117.372,115.9425,116.1911,8631707.0
2020-01-22,117.2211,120.4886,117.0435,118.3931,8899712.0
2020-01-23,116.6884,119.3432,115.1168,119.2011,8598678.0
2020-01-24,119.6895,120.2577,115.2056,115.8892,5606800.0
2020-01-25,119.6895,120.2577,115.2056,115.8892,5606800.0
2020-01-26,119.6895,120.2577,115.2056,115.8892,5606800.0
2020-01-27,114.2289,114.7616,112.089,112.1512,5891326.0
2020-01-28,112.897,113.927,112.5507,113.6872,4397463.0
2020-01-29,113.2522,114.1046,111.3787,111.4231,4537551.0
2020-01-30,110.1979,111.4902,109.3036,111.2711,5521312.0
2020-01-31,110.3231,110.5735,107.2823,107.8995,5782520.0
2020-02-01,110.3231,110.5735,107.2823,107.8995,5782520.0
2020-02-02,110.3231,110.5735,107.2823,107.8995,5782520.0
2020-02-03,108.2662,110.6048,108.2662,110.3589,5396697.0
2020-02-04,112.6841,113.8646,112.1117,113.1044,4434701.0
2020-02-05,115.063,118.8597,115.063,118.4435,7281760.0
2020-02-06,118.9443,118.9443,117.5849,118.515,3686554.0
2020-02-07,117.3793,117.3793,114.9288,115.0987,4331746.0
2020-02-08,117.3793,117.3793,114.9288,115.0987,4331746.0
2020-02-09,117.3793,117.3793,114.9288,115.0987,4331746.0
2020-02-10,114.0703,115.9931,113.8467,115.9483,2882681.0
2020-02-11,116.6817,118.0321,116.3776,116.8874,2986832.0
2020-02-12,117.737,118.8907,117.728,118.4256,2839108.0
2020-02-13,117.9427,119.2931,117.3027,118.7744,4268722.0
2020-02-14,119.3736,119.4988,117.3983,118.2378,2605266.0
2020-02-15,119.3736,119.4988,117.3983,118.2378,2605266.0
2020-02-16,119.3736,119.4988,117.3983,118.2378,2605266.0
2020-02-17,119.3736,119.4988,117.3983,118.2378,2605266.0
2020-02-18,117.2451,117.8532,116.789,117.3703,3094593.0
2020-02-19,118.8549,120.1069,118.2378,119.0606,3931602.0
2020-02-20,118.5955,119.1768,116.5654,117.576,2487936.0
2020-02-21,116.941,117.0036,114.4369,114.9378,4121290.0
2020-02-22,116.941,117.0036,114.4369,114.9378,4121290.0
2020-02-23,116.941,117.0036,114.4369,114.9378,4121290.0
2020-02-24,110.9044,112.0223,108.4361,108.606,7483779.0
2020-02-25,109.9117,110.028,105.543,105.8694,6347264.0
2020-02-26,106.6832,107.8905,105.1986,106.2361,5778181.0
2020-02-27,104.0539,105.9678,101.1206,101.1742,8687345.0
2020-02-28,97.8831,103.8482,97.1319,102.0775,11432756.0
2020-02-29,97.8831,103.8482,97.1319,102.0775,11432756.0
2020-03-01,97.8831,103.8482,97.1319,102.0775,11432756.0
2020-03-02,102.9897,106.4865,101.3441,106.397,7207458.0
2020-03-03,105.8694,107.4255,100.3514,101.7823,9217500.0
2020-03-04,103.5352,106.5043,102.2563,106.4686,5556691.0
2020-03-05,102.9986,104.823,101.6929,102.5962,6162250.0
2020-03-06,99.3498,101.8389,98.5002,101.201,6386222.0
2020-03-07,99.3498,101.8389,98.5002,101.201,6386222.0
2020-03-08,99.3498,101.8389,98.5002,101.201,6386222.0
2020-03-09,94.0018,98.4465,93.3848,93.9392,8454636.0
2020-03-10,97.3286,100.2888,93.6754,100.2709,9206433.0
2020-03-11,97.9636,99.6628,94.6099,95.2449,9636948.0
2020-03-12,88.9131,93.6619,86.3464,87.2228,15158498.0
2020-03-13,92.392,96.1124,88.0546,94.8335,16040243.0
2020-03-14,92.392,96.1124,88.0546,94.8335,16040243.0
2020-03-15,92.392,96.1124,88.0546,94.8335,16040243.0
2020-03-16,85.7472,93.4562,83.2521,83.6187,12389356.0
2020-03-17,85.8814,96.2644,85.0586,94.9319,16243501.0
2020-03-18,89.4765,94.6367,84.2001,89.4318,16413940.0
2020-03-19,88.8863,93.9034,86.8562,90.8359,9298541.0
2020-03-20,93.4562,94.3506,86.8383,87.2855,10253305.0
2020-03-21,93.4562,94.3506,86.8383,87.2855,10253305.0
