,COLB US Equity,COLB US Equity,COLB US Equity,COLB US Equity,COLB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,33.6412,33.7729,33.4929,33.5053,253486.0
2020-01-02,33.6247,33.6247,33.2047,33.4765,232148.0
2020-01-03,32.9823,33.4476,32.8176,33.3447,326944.0
2020-01-04,32.9823,33.4476,32.8176,33.3447,326944.0
2020-01-05,32.9823,33.4476,32.8176,33.3447,326944.0
2020-01-06,32.9906,33.0534,32.7518,32.9412,227138.0
2020-01-07,33.04,33.1882,32.5706,32.6035,167361.0
2020-01-08,32.6776,32.8506,32.5129,32.5294,275740.0
2020-01-09,32.6859,32.6859,32.2165,32.2741,244232.0
2020-01-10,32.1341,32.2906,31.9529,32.2412,305142.0
2020-01-11,32.1341,32.2906,31.9529,32.2412,305142.0
2020-01-12,32.1341,32.2906,31.9529,32.2412,305142.0
2020-01-13,32.2576,32.6282,32.1176,32.62,278968.0
2020-01-14,32.5376,32.8012,32.4059,32.6529,215860.0
2020-01-15,32.4882,32.5912,32.1918,32.34,230859.0
2020-01-16,32.5706,32.8835,32.5376,32.8176,254292.0
2020-01-17,33.1141,33.1141,32.7435,32.8753,184531.0
2020-01-18,33.1141,33.1141,32.7435,32.8753,184531.0
2020-01-19,33.1141,33.1141,32.7435,32.8753,184531.0
2020-01-20,33.1141,33.1141,32.7435,32.8753,184531.0
2020-01-21,32.6282,32.7106,32.0723,32.1094,236842.0
2020-01-22,32.2659,32.2741,31.9447,32.06,330326.0
2020-01-23,32.1176,33.0235,31.9406,32.9412,558276.0
2020-01-24,33.04,33.3118,32.48,33.0235,388896.0
2020-01-25,33.04,33.3118,32.48,33.0235,388896.0
2020-01-26,33.04,33.3118,32.48,33.0235,388896.0
2020-01-27,32.3647,33.0565,32.1588,32.83,259825.0
2020-01-28,33.147,33.147,32.6941,32.7188,237159.0
2020-01-29,32.8176,32.9412,32.4141,32.4306,199500.0
2020-01-30,32.1753,32.7435,32.1588,32.7106,227708.0
2020-01-31,32.447,32.5376,31.8047,31.8706,248203.0
2020-02-01,32.447,32.5376,31.8047,31.8706,248203.0
2020-02-02,32.447,32.5376,31.8047,31.8706,248203.0
