,LRCX US Equity,LRCX US Equity,LRCX US Equity,LRCX US Equity,LRCX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,126.8895,127.9285,124.5981,126.3236,1597317.0
2019-01-02,123.8096,129.5474,123.7539,128.2996,1712561.0
2019-01-03,125.4238,126.4906,121.8522,122.1119,2111106.0
2019-01-04,124.394,128.244,123.7076,128.077,2127000.0
2019-01-05,124.394,128.244,123.7076,128.077,2127000.0
2019-01-06,124.394,128.244,123.7076,128.077,2127000.0
2019-01-07,128.4573,130.8693,127.4554,129.218,1393997.0
2019-01-08,130.0901,130.3127,123.7168,127.0287,2746335.0
2019-01-09,128.68,134.209,128.2811,133.5875,3336666.0
2019-01-10,132.7433,135.0439,131.1662,134.1162,2009414.0
2019-01-11,133.5411,136.4355,132.567,133.6895,2281356.0
2019-01-12,133.5411,136.4355,132.567,133.6895,2281356.0
2019-01-13,133.5411,136.4355,132.567,133.6895,2281356.0
2019-01-14,131.964,132.0289,128.6058,130.2756,3239073.0
2019-01-15,131.1013,132.066,128.8377,129.8767,1453894.0
2019-01-16,130.0066,131.5002,128.615,128.7171,1912381.0
2019-01-17,127.9935,131.6857,126.7689,131.5094,1844614.0
2019-01-18,132.9288,139.0423,132.7525,136.8808,3780233.0
2019-01-19,132.9288,139.0423,132.7525,136.8808,3780233.0
2019-01-20,132.9288,139.0423,132.7525,136.8808,3780233.0
2019-01-21,132.9288,139.0423,132.7525,136.8808,3780233.0
2019-01-22,135.7675,135.9345,128.4202,129.7747,3724943.0
2019-01-23,130.4983,131.9826,127.6341,129.2551,3506794.0
2019-01-24,139.3855,150.4529,139.1722,149.5437,13421441.0
2019-01-25,151.2414,154.7481,148.1986,153.5235,7159739.0
2019-01-26,151.2414,154.7481,148.1986,153.5235,7159739.0
2019-01-27,151.2414,154.7481,148.1986,153.5235,7159739.0
2019-01-28,148.4305,154.9243,147.4982,154.0523,4513851.0
2019-01-29,157.0951,157.6796,152.0578,153.0597,3421202.0
2019-01-30,155.3233,160.0545,154.5997,158.5702,3880743.0
2019-01-31,157.3456,160.3977,155.7222,157.3178,3048054.0
2019-02-01,157.893,160.9543,157.174,160.2771,2891660.0
2019-02-02,157.893,160.9543,157.174,160.2771,2891660.0
2019-02-03,157.893,160.9543,157.174,160.2771,2891660.0
2019-02-04,159.9803,161.3718,158.5238,160.6389,1738638.0
2019-02-05,160.1009,161.8264,159.2845,161.1306,2474254.0
2019-02-06,161.7243,167.4714,161.4182,164.294,3379489.0
2019-02-07,162.3598,163.9229,160.7317,163.0138,2166354.0
2019-02-08,160.1936,162.9396,159.2381,162.6242,1704157.0
2019-02-09,160.1936,162.9396,159.2381,162.6242,1704157.0
2019-02-10,160.1936,162.9396,159.2381,162.6242,1704157.0
2019-02-11,162.9303,164.2013,162.1929,163.1993,1682943.0
2019-02-12,165.1289,167.1142,164.4796,166.2886,1963080.0
2019-02-13,167.0585,169.7303,166.3164,167.9213,2028081.0
2019-02-14,167.04,171.8426,167.04,168.2182,2001179.0
2019-02-15,168.8583,169.9066,166.3721,167.9955,2313804.0
2019-02-16,168.8583,169.9066,166.3721,167.9955,2313804.0
2019-02-17,168.8583,169.9066,166.3721,167.9955,2313804.0
2019-02-18,168.8583,169.9066,166.3721,167.9955,2313804.0
2019-02-19,167.8564,169.7674,167.1884,167.2719,1551743.0
2019-02-20,168.0697,169.9529,167.5038,169.0345,2197187.0
2019-02-21,169.016,169.619,165.6577,165.8897,1914318.0
2019-02-22,163.6817,166.9008,162.4386,166.2607,2710326.0
2019-02-23,163.6817,166.9008,162.4386,166.2607,2710326.0
2019-02-24,163.6817,166.9008,162.4386,166.2607,2710326.0
2019-02-25,169.118,169.1963,166.4463,166.6133,1837965.0
2019-02-26,165.9546,167.2812,165.3145,165.6485,1506323.0
2019-02-27,164.795,165.3238,161.715,164.3868,1758657.0
2019-02-28,163.422,164.2384,162.253,163.3571,1659794.0
2019-03-01,164.8228,166.1116,163.1715,163.9693,1513615.0
2019-03-02,164.8228,166.1116,163.1715,163.9693,1513615.0
2019-03-03,164.8228,166.1116,163.1715,163.9693,1513615.0
2019-03-04,164.5259,167.2534,163.7931,164.9156,2278528.0
2019-03-05,164.1641,164.4517,159.7947,160.9914,2575581.0
2019-03-06,160.9543,161.3532,156.019,156.956,3012783.0
2019-03-07,156.3252,156.3484,152.9669,155.0728,2446736.0
2019-03-08,152.7907,157.1601,151.7702,156.622,1943860.0
2019-03-09,152.7907,157.1601,151.7702,156.622,1943860.0
2019-03-10,152.7907,157.1601,151.7702,156.622,1943860.0
2019-03-11,157.3642,160.5647,157.2621,159.5721,2029712.0
2019-03-12,160.3606,160.6853,158.5424,159.6185,1635360.0
2019-03-13,160.5925,160.5925,157.7167,158.0878,2158491.0
2019-03-14,158.6351,165.5279,158.6351,163.7652,3623484.0
2019-03-15,168.2274,174.3687,167.309,169.2015,6122544.0
2019-03-16,168.2274,174.3687,167.309,169.2015,6122544.0
2019-03-17,168.2274,174.3687,167.309,169.2015,6122544.0
2019-03-18,168.6727,170.1106,165.6021,167.1699,2034264.0
2019-03-19,168.2712,170.1886,167.0671,167.4032,2088373.0
2019-03-20,167.2351,168.6539,162.9696,164.0336,2067256.0
2019-03-21,164.0803,174.1562,164.0803,171.5567,3103274.0
2019-03-22,170.166,172.1541,167.0554,167.4965,2204703.0
